Treebank,Number of Sentences,Failures,Total,_,acl,acl:attr,acl:cleft,acl:crel,acl:dpct,acl:relcl,advcl,advcl:caus,advcl:ccomp,advcl:cmp,advcl:concess,advcl:cond,advcl:dpct,advcl:fin,advcl:lcl,advcl:manner,advcl:pred,advcl:relcl,advcl:tcl,advmod,advmod:emph,amod,amod:att,appos,appos:trans,case:loc,cc,ccomp,ccomp:cleft,ccomp:obj,ccomp:obl,ccomp:pmod,ccomp:rel,ccomp:relcl,ccomp:reported,clf,compound,compound:coord,compound:lvc,compound:name,compound:nn,compound:prt,compound:redup,conj:expl,csubj,csubj:cleft,csubj:cop,csubj:pass,csubj:relcl,csubj:reported,dep,discourse,discourse:filler,dislocated,dislocated:nsubj,dislocated:obj,dislocated:obl,fixed,flat,flat:foreign,flat:frac,flat:gov,flat:name,flat:range,flat:repeat,flat:sibl,flat:title,iobj,iobj:agent,list,nmod,nmod:appos,nmod:arg,nmod:att,nmod:attlvc,nmod:bahuv,nmod:cau,nmod:flat,nmod:gobj,nmod:gsubj,nmod:npmod,nmod:obj,nmod:poss,nmod:subj,nmod:tmod,nsubj,nsubj:caus,nsubj:cop,nsubj:lvc,nsubj:outer,nsubj:pass,nummod,nummod:entity,nummod:gov,obj,obj:agent,obl,obl:agent,obl:arg,obl:cau,obl:cmp,obl:cmpr,obl:dat,obl:depict,obl:goal,obl:grad,obl:lmod,obl:manner,obl:mcl,obl:pmod,obl:smod,obl:soc,obl:source,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:insert,parataxis:newsent,parataxis:obj,parataxis:rep,parataxis:restart,parataxis:trans,reparandum,root,vocative,xcomp,xcomp:ds,xcomp:pred,xcomp:result
el_gud-ud-test,736,0,281,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,203.0,,,,,13.0,,,,12.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,25.0,,,
tr_pud-ud-test,1000,0,666,,3.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,1.0,,2.0,,,,,,25.0,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,618.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,
fi_ood-ud-test,2122,0,1770,,1.0,,,,,4.0,22.0,,,,,,,,,,,,,,,,,26.0,,,,5.0,,,,,,,,,,,,,73.0,,,,,,1.0,,,,,51.0,,,,,,,,,,,3.0,,,,,,,,11.0,,,,,,,,,,,,3.0,,,493.0,,433.0,,,,,,,173.0,,25.0,,,,,,,,,,,,,,,,,,5.0,27.0,,,,,,,,,411.0,3.0,,,,
de_hdt-ud-test,18459,0,259,,,,,,,,1.0,,,,,,,,,,,,,,,,,69.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,132.0,,,,,9.0,,,,4.0,,25.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,9.0,,,,,
de_hdt-ud-train,153035,0,2179,,8.0,,,,,,3.0,,,,,,,,,,,,,,,,,486.0,,,,5.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,106.0,,,,,,,,,,,,,,,1137.0,,,,,99.0,,,,39.0,,152.0,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,118.0,1.0,12.0,,,
de_hdt-ud-dev,18434,0,6151,,10.0,,,,,,3.0,,,,,,,,,,,,,,,,,69.0,,,,9.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,4511.0,,,,,977.0,,,,16.0,,19.0,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,494.0,,15.0,,,
sga_dipsgg-ud-test,64,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,
sv_talbanken-ud-dev,504,0,1787,,16.0,,2.0,,,1.0,8.0,,,,,,,,,,,,,,,,,30.0,,,,1.0,,,,,,,,,,,,,,6.0,,,3.0,,,1.0,,,,,,6.0,,,,75.0,,,,,,,,,,8.0,,,280.0,,,,,,,,,,,,,,,319.0,,,,,62.0,,,,359.0,,497.0,13.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,59.0,1.0,36.0,,,
sv_talbanken-ud-test,1219,0,4040,,13.0,,,,,11.0,13.0,,,,,,,,,,,,,,,,,72.0,,,,1.0,,,,,,,,,,,,,,7.0,,,,,,1.0,,,,,,5.0,,,,130.0,,,,,,,,,,9.0,,,664.0,,,,,,,,,,,,,,,845.0,,,,,196.0,,,,696.0,,1117.0,10.0,,,,,,,,,,,,,,,,,3.0,12.0,,,,,,,,,166.0,,69.0,,,
sv_talbanken-ud-train,4303,0,13384,,77.0,,1.0,,,13.0,27.0,,,,,,,,,,,,,,,,,237.0,,,,30.0,,,,,,,,,,,,,,20.0,,,5.0,,,,,,,,,31.0,,,,357.0,,,,,,,,,,33.0,,1.0,2342.0,,,,,,,,,,,,,,,2499.0,,,,,712.0,,,,2280.0,,3705.0,125.0,,,,,,,,,,,,,,,,,12.0,49.0,,,,,,,,,664.0,,164.0,,,
ar_nyuad-ud-train,15789,0,22339,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,110.0,,,4898.0,,,,,,,,,,,,175.0,,,13503.0,,,,,,,,,2525.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1088.0,,4.0,,,
ar_nyuad-ud-dev,1986,0,2750,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,16.0,,,618.0,,,,,,,,,,,,17.0,,,1634.0,,,,,,,,,320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.0,,2.0,,,
ar_nyuad-ud-test,1963,0,2674,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,583.0,,,,,,,,,,,,16.0,,,1625.0,,,,,,,,,271.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.0,,,,,
pl_pdb-ud-test,2215,0,1633,,1.0,,,,,4.0,3.0,,,,,,,,,,,,,,,,,61.0,,,,7.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,3.0,,,23.0,,,,,,,,,,,,,,,1281.0,,,,,78.0,,,,6.0,,15.0,,,,,38.0,,,,,,,,,,,,,,,,4.0,,15.0,,,,,88.0,1.0,,,1.0,
pl_pdb-ud-train,17722,0,13761,,1.0,,,,,30.0,36.0,,,,,,,,,,,,,,2.0,,,412.0,,,,45.0,5.0,15.0,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,20.0,3.0,,,,,,,,,15.0,,3.0,316.0,,9.0,,,,,38.0,,,,,,,,10693.0,,,,,668.0,,,,29.0,,216.0,4.0,4.0,,,277.0,,,,,,,,,,,,,5.0,,,19.0,,125.0,,,,,746.0,11.0,5.0,,2.0,
pl_pdb-ud-dev,2215,0,1672,,,,,,,5.0,2.0,,,,,,,,,,,,,,1.0,,,51.0,,,,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,5.0,,,,,,,,2.0,,,29.0,,1.0,,,,,8.0,,,,,,,,1301.0,,,,,89.0,,,,1.0,,31.0,,,,,32.0,,,,,,,,,,,,,,,,3.0,,11.0,,,,,90.0,2.0,,,1.0,
sah_yktdt-ud-test,299,0,221,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,113.0,,,,,,,,,25.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,1.0,1.0,,,
uk_iu-ud-dev,673,0,644,,2.0,,,,,,6.0,,,,,,,,,,,,,,,,,30.0,,,,1.0,,,,,,,,,12.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,30.0,,,2.0,1.0,,,,,,,,,,,,,,,461.0,,,,,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,20.0,1.0,,,,,,,,67.0,,,,4.0,
uk_iu-ud-train,5521,0,4325,,18.0,,,,,2.0,105.0,,,,,,,,,,1.0,,,,,1.0,,193.0,,,,35.0,,,,,,,,,52.0,,,,,,,,7.0,,,,,,,1.0,,6.0,,,,8.0,,,,,,3.0,4.0,2.0,142.0,,,5.0,,,,,,,,,,,,,,,,3193.0,,,,,,,,,3.0,,10.0,,,,,,,,,,,,,,,,,,5.0,99.0,11.0,,1.0,,,,,,393.0,3.0,1.0,,21.0,
uk_iu-ud-test,898,0,724,,5.0,,,,,2.0,10.0,,,,,,,,,,2.0,,,,,,,30.0,,,,2.0,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,5.0,46.0,,,4.0,1.0,,,,,,,,,,,,,,,539.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,17.0,1.0,,,,,,,,46.0,,1.0,,2.0,
sa_vedic-ud-test,2709,0,1974,,41.0,8.0,,1.0,7.0,29.0,20.0,7.0,29.0,,2.0,7.0,6.0,,,32.0,,,1.0,,,6.0,,19.0,,,,44.0,,,,,,,,,,,,1.0,,,,,6.0,,,,,,,1.0,,4.0,,,,,206.0,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,969.0,,,,,,,,,2.0,,5.0,,,,,,,,,2.0,,37.0,,,,,,,22.0,7.0,,,,,,,,,332.0,,57.0,,,16.0
sa_vedic-ud-train,21477,0,15861,,420.0,42.0,,,43.0,368.0,252.0,16.0,137.0,,1.0,27.0,70.0,3.0,2.0,249.0,,,2.0,,,26.0,,102.0,,,,364.0,,,,,4.0,,,,,4.0,,1.0,,,,,54.0,,,,,,,5.0,,31.0,,,,,1637.0,,,,,,,,,,,,11.0,380.0,,,,,,,,,,,,,,7507.0,,,,,,,,,16.0,,19.0,,,,,,,,1.0,37.0,,337.0,,,,1.0,,1.0,178.0,184.0,,,,,,,,,2985.0,5.0,183.0,,,156.0
sa_vedic-ud-dev,2996,0,2387,,60.0,2.0,,,3.0,45.0,45.0,2.0,24.0,,,11.0,10.0,,,24.0,,,,,,3.0,,13.0,,,,59.0,,,,,,,,,,,,,,,,,8.0,,,,,,,1.0,,6.0,,,,,215.0,,,,,,,,,,,,8.0,48.0,,,,,,,,,,,,,,1186.0,,,,,,,,,4.0,,4.0,,,,,,,,,1.0,,47.0,,,,,1.0,,29.0,27.0,,,,,,,,,417.0,,54.0,,,30.0
bn_bru-ud-test,56,0,51,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,21.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2.0,,,,
hi_hdtb-ud-train,13306,0,27962,,188.0,,,,,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12295.0,,,,,,,,,,,,,,1.0,,,3.0,,,,,,,,,,,,,,7.0,,,1659.0,,,,,,,,,,,,,,,5185.0,,,,,120.0,,,,5698.0,,1700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,833.0,5.0,207.0,,,
hi_hdtb-ud-dev,1659,0,3537,,35.0,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1565.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,195.0,,,,,,,,,,,,,,,659.0,,,,,11.0,,,,741.0,,178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.0,,26.0,,,
hi_hdtb-ud-test,1684,0,3555,,27.0,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1582.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.0,,,,,,,,,,,,,,,592.0,,,,,11.0,,,,767.0,,199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.0,,17.0,,,
kmr_mg-ud-train,20,0,13,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
kmr_mg-ud-test,734,0,498,,,,,,,,1.0,,,,,,,,,,,,,,,,,3.0,,,,6.0,,,,,,,,,1.0,,53.0,,,,,,,,,,,,,2.0,,,,,,25.0,4.0,,,,,,,,,,,,81.0,,,,,,,,,,,,34.0,,,171.0,,,,,,,,,69.0,,1.0,,,,,,6.0,,,,,,,,,,,,,4.0,,,,,,,,,30.0,,7.0,,,
hr_set-ud-dev,960,0,1256,,10.0,,,,,,8.0,,,,,,,,,,,,,,,2.0,,43.0,,,,14.0,,,,,,,,,,,,,,,,,5.0,,,,,,,2.0,,,,,,,26.0,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,947.0,,,,,,,,,9.0,,29.0,,,,,,,,,,,,,,,,,,1.0,38.0,,,,,,,,,88.0,,11.0,,,
hr_set-ud-train,6914,0,7772,,76.0,,,,,,54.0,,,,,,,,,,,,,,,55.0,,296.0,,,,92.0,,,,,,,,,,,,,,,,,12.0,,,,,,,3.0,,,,,,1.0,130.0,,,,,,,,,,,4.0,86.0,,,,,,,,,,,,,,,5847.0,,,,,,,,1.0,79.0,,205.0,,,,,,,,,,,,,,,,,,5.0,154.0,,,,,,,,,571.0,,101.0,,,
hr_set-ud-test,1136,0,1394,,13.0,,,,,,16.0,,,,,,,,,,,,,,,10.0,,47.0,,,,19.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,28.0,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,1044.0,,,,,,,,,14.0,,41.0,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,88.0,,15.0,,,
orv_rnc-ud-dev,943,0,962,,1.0,,,,,,3.0,,,,,,,,,,,,,,,2.0,,95.0,,,,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,8.0,,,,,,,,56.0,,,,,,,,,,,,,,,341.0,,,,,279.0,,,2.0,5.0,,4.0,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,125.0,13.0,1.0,,,
orv_rnc-ud-train,1868,0,1824,,3.0,,,,,6.0,9.0,,,,,,,,,,,,,,,,,260.0,,,,2.0,,,,,,,,,9.0,,,,,,,,,,,,,,1.0,,,6.0,,,,,,,,,41.0,,,,,,,24.0,23.0,,,,,,,,,,,,,,,978.0,,,,,116.0,,,,12.0,,11.0,,,,,,,,,,,,,,,,,,,32.0,7.0,,,,,,,,198.0,80.0,6.0,,,
orv_rnc-ud-test,717,0,753,,2.0,,,,,3.0,12.0,,,,,,,,,,,,,,,,,131.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,6.0,,,,,,,,,1.0,,,,,,,,8.0,,,,,,,,,,,,,,,371.0,,,,,65.0,,,,14.0,,3.0,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,36.0,73.0,3.0,,,
cpg_tuecl-ud-test,350,0,217,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,6.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.0,,,,,7.0,,,,4.0,,15.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,26.0,,4.0,,,
la_circse-ud-test,1263,0,1275,,,,,,,1.0,9.0,,,7.0,,,,,,,38.0,3.0,,,,6.0,,20.0,,,,1.0,,,,,,,,,,,,,,,,10.0,1.0,,,,2.0,,,,,,3.0,,,,,,,2.0,,,,,,,,,5.0,,,,,,,,,,,,,,,994.0,,,,,91.0,,,,5.0,,,,,,,,,,,,,,,,,,,,2.0,5.0,,,,,,,,,57.0,,13.0,,,
is_pud-ud-test,1000,0,1055,,8.0,,,,,29.0,3.0,,,,,,,,,,,,,,,12.0,,38.0,,,,12.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,6.0,,,,,,,,7.0,,,,,,,,,,,,7.0,,,731.0,,,,,,,,,27.0,,36.0,,3.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,102.0,1.0,25.0,,,
grc_perseus-ud-dev,1137,0,745,,3.0,,,,,,11.0,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,,,,,,,,,,,,,,610.0,,,,,,,,,10.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,31.0,,,
grc_perseus-ud-train,11476,0,6990,,36.0,,,,,,42.0,,,,,,,,,,,,,,,,,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,613.0,,,,,,,,,,,,,,,5857.0,,,,,,,,,49.0,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0,14.0,172.0,,,
grc_perseus-ud-test,1306,0,1031,,2.0,,,,,,10.0,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,790.0,,,,1.0,,,,,19.0,,11.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,37.0,1.0,47.0,,,
qpm_philotis-ud-train,980,0,663,,,,,,,,5.0,,,,,,,,,,,,,1.0,,3.0,,7.0,,,,12.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,8.0,,,,,,,,,,,,,,1.0,512.0,,,,,11.0,,,,22.0,,9.0,,,,,,,,,,,,,,,,,,7.0,6.0,,,,,,,,,27.0,2.0,25.0,,,
qpm_philotis-ud-dev,635,0,351,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,1.0,,,,,,,,,,,,,,,,2.0,,,12.0,,,,,,,,,,,,,,,213.0,,,,,,,,,26.0,,7.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,15.0,1.0,,,,
qpm_philotis-ud-test,635,0,372,,1.0,,,,,1.0,2.0,,,,,,,,,,,,,,,3.0,,,,,,10.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,3.0,,,6.0,,,,,,,,,,,,,,,291.0,,,,,7.0,,,,12.0,,3.0,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,21.0,3.0,3.0,,,
tr_atis-ud-dev,572,0,944,,7.0,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,5.0,,,,,,,,,81.0,,,,,,,,7.0,,,,,,,1.0,,,,,,,6.0,,,,,,,,,,,,267.0,,,,,,,,,,,,2.0,,67.0,145.0,,,,,,,,,172.0,,6.0,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,60.0,,59.0,,,
tr_atis-ud-train,4274,0,7824,,3.0,,,,,,1.0,,,,,,,,,,,,,,,160.0,,,,,,17.0,,,,,,,,,903.0,,,,,,,,41.0,,,,,,1.0,19.0,,1.0,,,,3.0,165.0,,,,,,,,,,,,2253.0,,,,,,,,,,,,12.0,,461.0,1220.0,,,,,21.0,3.0,,,1476.0,,140.0,,,,,,,,,,,,,,,,,144.0,,8.0,,,,,,,,,429.0,,343.0,,,
tr_atis-ud-test,586,0,1098,,3.0,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,1.0,,,,,,,,,79.0,,,,,,,,6.0,,,,,,,4.0,,1.0,,,,,33.0,,,,,,,,,,,,305.0,,,,,,,,,,,,4.0,,96.0,185.0,,,,,,,,,192.0,,15.0,,,,,,,,,,,,,,,,,23.0,,1.0,,,,,,,,,90.0,,46.0,,,
hi_pud-ud-test,1000,0,1977,,4.0,,,,,7.0,1.0,,,,,,,,,,,,,,,36.0,,29.0,,,,5.0,,,,,,,,,234.0,,8.0,,,,1.0,,,,,,,,3.0,,,,,,,1.0,,,,,,,,,,12.0,,,15.0,,,,,,,,,,,,21.0,,,267.0,,,,,97.0,1.0,,,1032.0,,82.0,2.0,,,,,,,,,,,,,,,,84.0,,2.0,,,,,,,,,21.0,,12.0,,,
la_perseus-ud-test,939,0,465,,1.0,,,,,1.0,3.0,,,7.0,,,,,,,,,,,,,,14.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,344.0,,,,,38.0,,,,7.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,11.0,,,
la_perseus-ud-train,1334,0,651,,,,,,,5.0,3.0,,,4.0,,,,,,,,,,,,1.0,,7.0,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,487.0,,,,,82.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,1.0,23.0,,,
tr_kenet-ud-dev,1646,0,3371,,49.0,,,,,,41.0,,,,,,,,,,,,,,,63.0,,3.0,,,,18.0,,,,,,,,3.0,615.0,,,,,,,,41.0,,,,,,,7.0,,1.0,,,,,28.0,,,,,,,,,4.0,,,582.0,,,,,,,,,,,,,,,799.0,,,,,,4.0,,,642.0,,240.0,,,,,,,,,,,,,,,,,,,39.0,,,,,,,,,112.0,19.0,61.0,,,
