Treebank,Number of Sentences,Failures,Total,_,acl,acl:adv,acl:attr,acl:crel,acl:dpct,acl:relcl,advcl,advcl:caus,advcl:ccomp,advcl:cmp,advcl:cmpr,advcl:cond,advcl:fin,advcl:manner,advcl:pred,advcl:relcl,advcl:tcl,advmod,amod,appos,case:loc,ccomp,ccomp:obj,clf,compound,compound:lvc,compound:redup,csubj,csubj:cop,csubj:outer,csubj:pass,dep,discourse,dislocated,fixed,flat,flat:foreign,flat:name,flat:range,flat:sibl,iobj,list,nmod,nmod:appos,nmod:arg,nmod:flat,nmod:lmod,nmod:npmod,nmod:part,nmod:poss,nmod:tmod,nsubj,nsubj:outer,nsubj:pass,nummod,nummod:gov,obj,obl,obl:agent,obl:arg,obl:benef,obl:cmpr,obl:depict,obl:goal,obl:grad,obl:instr,obl:lmod,obl:manner,obl:own,obl:soc,obl:source,obl:subj,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:insert,parataxis:obj,parataxis:restart,parataxis:trans,reparandum,root,vocative,vocative:cl,xcomp,xcomp:pred,xcomp:result
sa_ufal-ud-test,230,0,42,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,6.0,,,,,,,,,2.0,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
be_hse-ud-train,22853,0,6227,3.0,2.0,,,,,11.0,11.0,,,,,,,,,,,,,24.0,,27.0,,,,,,3.0,,,,1.0,,,65.0,1.0,,,,,,1.0,1701.0,,,,,,,,,2.0,,,,,2.0,3946.0,,,,,,,,,,,,,,,,24.0,62.0,,,,,,,339.0,,,2.0,,
be_hse-ud-dev,1301,0,466,1.0,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,14.0,,,,,,1.0,,128.0,,,,,,,,,,,,,,,273.0,,,,,,,,,,,,,,,,10.0,3.0,,,,,,,32.0,,,,,
be_hse-ud-test,1077,0,599,,,,,,,2.0,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,61.0,,,,,,,,238.0,,,,,,,,,,,,,,,261.0,,,,,,,,,,,,,,,,1.0,8.0,,,,,,,25.0,,,,,
gub_tudet-ud-test,1182,0,181,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,1.0,,29.0,,,,,,,,,,,,,,1.0,139.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,4.0,,,,,
cs_pud-ud-test,1000,0,599,,2.0,,,,,2.0,1.0,,,,,,,,,,,,,5.0,,3.0,,,1.0,,,,,,,,,,26.0,2.0,,,,,,,170.0,,,,,,,,,,,,,,,358.0,,17.0,,,,,,,,,,,,,,1.0,,,,,,,,9.0,,,2.0,,
orv_ruthenian-ud-test,390,0,160,,,,,,,1.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,1.0,,,,,16.0,,,,,,,,,,,,,,1.0,126.0,,,,,,,,,,,,,,,,6.0,1.0,,,,,,1.0,3.0,,,,,
orv_ruthenian-ud-train,2789,0,746,,,,,,,4.0,9.0,,,,,,,,,,,,,33.0,,4.0,,,1.0,,,,,,,,,1.0,,,,,,,,,108.0,,,,,,,,,5.0,,,,,4.0,551.0,,,,,,,,,,,,,,,,7.0,2.0,,,,,,,15.0,,,2.0,,
orv_ruthenian-ud-dev,344,0,44,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,34.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,3.0,,,,,
lzh_tuecl-ud-test,100,0,36,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,11.0,,,,,,,,,5.0,,,,,7.0,3.0,,,,,,,,,5.0,,,,,,,,1.0,,,,,,,1.0,,,,,
ml_ufal-ud-test,218,0,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,10.0,,,,,,,,,2.0,,,,,1.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apu_ufpa-ud-test,161,0,13,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,7.0,,,,,,3.0,,,,,,,,,1.0,,,,,
egy_ujaen-ud-test,721,0,19,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,11.0,,,,,,,,,3.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
mr_ufal-ud-dev,46,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
mr_ufal-ud-test,47,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mr_ufal-ud-train,373,0,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,1.0,,,,,,,3.0,,,,,
si_stb-ud-test,100,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,
lt_alksnis-ud-test,684,0,145,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt_alksnis-ud-dev,617,0,196,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,3.0,,,,,,,1.0,,,,,,,,,,,,,,,191.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt_alksnis-ud-train,2341,0,709,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,703.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
cu_proiel-ud-train,18327,0,2327,,55.0,,,,,,48.0,,,6.0,,,,,,,,,,51.0,,10.0,,,,,,,,,,1.0,,11.0,1.0,,,,,,,,144.0,,,,,,,,,14.0,,,,,13.0,1704.0,,51.0,,,,,,,,,,,,,,57.0,3.0,,,,,,,98.0,,,60.0,,
cu_proiel-ud-test,2096,0,286,,9.0,,,,,,8.0,,,3.0,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,2.0,218.0,,5.0,,,,,,,,,,,,,,2.0,,,,,,,,10.0,,,10.0,,
cu_proiel-ud-dev,2205,0,286,,12.0,,,,,,11.0,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,1.0,1.0,,,,,200.0,,6.0,,,,,,,,,,,,,,8.0,,,,,,,,12.0,,,9.0,,
hy_bsut-ud-train,1226,0,253,,1.0,,,,,1.0,2.0,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,3.0,,,3.0,,,,,,,,1.0,,,,,22.0,,,,,,,,,,203.0,,,,,,,,,,,,,,,,,6.0,,,,,,,8.0,,,,,
hy_bsut-ud-test,595,0,131,,1.0,,,,,1.0,2.0,,,,,,,,,,,,,3.0,,,,,,3.0,,,,,,2.0,,,4.0,,,,,,,,,,,,,9.0,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,3.0,,,,,,,3.0,,,,,
hy_bsut-ud-dev,479,0,124,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,2.0,,,,,,,,,4.0,,,,,,,,,,,,,19.0,,,,,,,,,,95.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
hsb_ufal-ud-test,623,0,288,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,110.0,,,,,,,,,,,,,,3.0,162.0,,,,,,,,,,,,,,,,7.0,1.0,,,,,,,,,,,,
hsb_ufal-ud-train,23,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sr_set-ud-test,520,0,306,,1.0,,,,,,2.0,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,1.0,,1.0,4.0,,,,,,,95.0,,,,,,,,,,,,,,,186.0,,,,,,,,,,,,,,,,,3.0,,,,,,,10.0,,,,,
sr_set-ud-train,3328,0,2057,,19.0,,,,,,17.0,,,,,,,,,,,,,8.0,,16.0,,,,,,,,,,,2.0,,2.0,6.0,,,,,,,682.0,,,,,,,,,2.0,,,,,,1211.0,,,,,,,,,,,,,,,,5.0,35.0,,,,,,,51.0,,,1.0,,
sr_set-ud-dev,536,0,312,,1.0,,,,,,3.0,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,2.0,,,,,,,1.0,1.0,,,,,,,89.0,,,,,,,,,,,,,,,204.0,,,,,,,,,,,,,,,,,7.0,,,,,,,1.0,,,,,
myv_jr-ud-test,921,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
myv_jr-ud-train,1217,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
tr_framenet-ud-test,205,0,38,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,1.0,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_framenet-ud-train,2288,0,410,,,,,,,,13.0,,,,,,,,,,,,,,,2.0,,,54.0,,,,,,,,2.0,,,,,,,,,,51.0,,,,,,,,,2.0,,,,,3.0,278.0,,,,,,,,,,,,,,,,1.0,3.0,,,,,,,1.0,,,,,
tr_framenet-ud-dev,205,0,36,,,,,,,,2.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,1.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ky_ktmu-ud-train,80,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
ky_ktmu-ud-test,701,0,169,,,,,,,,,,,,,,,,,,,,4.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,19.0,,,,,,,31.0,,1.0,,,,,,107.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,
kpv_ikdp-ud-test,214,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
kpv_lattice-ud-test,643,0,29,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tt_nmctt-ud-test,148,0,89,,,,,,,,,,,,,,,,,,,,8.0,4.0,,,,,,,,,,,,,,,,1.0,,,,,,,5.0,,,,,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,,,,
tr_gb-ud-test,2880,0,491,,4.0,,,,,,4.0,,,,,,,,,,,,,,,4.0,,,7.0,,,1.0,2.0,,,,,,2.0,,,,,,,,29.0,,,,,,1.0,,,,,,,,,278.0,2.0,,,,,,,,,,,,,,96.0,,,,,,,,,61.0,,,,,
ru_taiga-ud-train,16045,0,3378,,14.0,,,,,15.0,29.0,,,,,,,,,,,,,9.0,,14.0,,,1.0,,,2.0,,,,,,,72.0,,,,,,,1.0,739.0,,,,,,,,,2.0,,,,,1.0,2127.0,,,,,,,,,,,,,,,,12.0,66.0,,,,,,,272.0,,,2.0,,
ru_taiga-ud-dev,946,0,228,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,5.0,,,,,,,,42.0,,,,,,,,,,,,,,,153.0,,,,,,,,,,,,,,,,1.0,8.0,,,,,,,17.0,,,,,
ru_taiga-ud-test,881,0,161,,1.0,,,,,2.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,6.0,,,,,,,,32.0,,,,,,,,,,,,,,,98.0,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,12.0,,,,,
tpn_tudet-ud-test,581,0,51,,1.0,,,,,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,1.0,,,,,,,3.0,,,,,
cs_cltt-ud-dev,316,0,397,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,4.0,,,34.0,,,,,,,,159.0,,,,,,,,,,,3.0,,,,169.0,,24.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,
cs_cltt-ud-train,467,0,506,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,6.0,,,50.0,,,,,,,,202.0,,,,,,,,,,,,,,,201.0,,25.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,6.0,,
cs_cltt-ud-test,338,0,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,61.0,,,,,,,,133.0,,,,,,,,,1.0,,1.0,,,,129.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
hy_armtdp-ud-train,1974,0,485,,1.0,,,,,1.0,,,,,,,,,,,,,,8.0,,5.0,,,,,,1.0,,,,1.0,,1.0,4.0,,,,,,,,,,,,,55.0,,,,,,,,,,391.0,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,9.0,,,,,
hy_armtdp-ud-dev,249,0,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,4.0,,,,,,,,,,63.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
hy_armtdp-ud-test,277,0,63,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,58.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
ota_boun-ud-train,114,0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
ota_boun-ud-test,400,0,203,,1.0,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,9.0,,,,,,,1.0,176.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,1.0,,
