Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,amod,appos,ccomp,compound,compound:nn,compound:prt,csubj,csubj:cop,dep,discourse,dislocated,fixed,flat,flat:foreign,flat:name,iobj,nmod,nmod:gobj,nsubj,nsubj:cop,nsubj:outer,nummod,obj,obl,orphan,parataxis,root,vocative,xcomp,xcomp:ds
fi_pud-ud-test,1000,0,632,,3.0,9.0,2.0,7.0,2.0,,,,,,,,,,21.0,,,,36.0,,27.0,49.0,,,399.0,51.0,,5.0,20.0,,1.0,
et_edt-ud-dev,3128,0,1660,1.0,4.0,12.0,,15.0,5.0,13.0,,,,,,,,,2.0,,,,39.0,,148.0,135.0,,,1078.0,164.0,4.0,9.0,31.0,,,
et_edt-ud-train,24615,0,13199,6.0,14.0,124.0,5.0,65.0,32.0,13.0,,,1.0,2.0,,1.0,,,4.0,,,,320.0,,1013.0,963.0,,1.0,8980.0,1291.0,46.0,81.0,236.0,,1.0,
et_edt-ud-test,3214,0,1903,2.0,1.0,16.0,1.0,9.0,5.0,19.0,,,,,1.0,,,,2.0,,,,36.0,,119.0,113.0,,,1351.0,167.0,6.0,20.0,35.0,,,
ru_syntagrus-ud-train,69630,0,141,,,,,1.0,,,,,,,,,,29.0,,,,,10.0,,22.0,,,,1.0,73.0,1.0,2.0,2.0,,,
ru_syntagrus-ud-dev,8906,0,20,,,,,,,,,,,,,,,2.0,,,,,3.0,,1.0,,,,,14.0,,,,,,
ru_syntagrus-ud-test,8800,0,9,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,7.0,,,,,,
ru_poetry-ud-dev,789,0,5,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,2.0,,,,,,
ru_poetry-ud-train,3569,0,11,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,5.0,,1.0,1.0,,,
krl_kkpp-ud-test,228,0,135,,,1.0,,,,,,,,,,,,,,,,,1.0,,2.0,4.0,,,106.0,13.0,,2.0,6.0,,,
eu_bdt-ud-train,5396,0,256,1.0,,2.0,,1.0,,2.0,,,,,,,,,,,,1.0,4.0,,52.0,,,,166.0,11.0,1.0,,14.0,,1.0,
eu_bdt-ud-test,1799,0,97,,,1.0,,,,,,,,,,,,,,,,,3.0,,16.0,,1.0,,61.0,9.0,,,4.0,1.0,1.0,
eu_bdt-ud-dev,1798,0,81,,,,,,1.0,1.0,,,,,,,,,,,,,2.0,,16.0,,,,49.0,2.0,1.0,,6.0,,3.0,
fi_ftb-ud-dev,1875,0,626,,,5.0,,,,,1.0,4.0,,1.0,,,,1.0,,,,,93.0,,117.0,1.0,,,337.0,,,,64.0,,1.0,1.0
fi_ftb-ud-train,14981,0,5134,15.0,,47.0,,,17.0,,3.0,47.0,3.0,,,,,4.0,,,,,767.0,,993.0,15.0,,,2776.0,,,,426.0,,21.0,
fi_ftb-ud-test,1867,0,703,2.0,,8.0,,,3.0,,,6.0,1.0,,,,,1.0,,,,,84.0,,111.0,2.0,,,431.0,,,,51.0,,3.0,
ru_gsd-ud-dev,579,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
ru_gsd-ud-train,3850,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
