Treebank,Number of Sentences,Failures,Total,_,acl,acl:adv,acl:attr,acl:crel,acl:dpct,acl:relcl,advcl,advcl:ccomp,advcl:cmp,advcl:cond,advcl:dpct,advcl:fin,advcl:manner,advcl:pred,advcl:relcl,advcl:tcl,amod,appos,appos:trans,ccomp,ccomp:obj,ccomp:relcl,ccomp:reported,compound,compound:coord,compound:lvc,compound:name,compound:nn,compound:prt,compound:redup,conj:expl,csubj,csubj:cop,csubj:pass,csubj:relcl,dep,discourse,dislocated,dislocated:csubj,dislocated:obj,fixed,flat,flat:abs,flat:foreign,flat:gov,flat:name,flat:range,flat:repeat,flat:sibl,flat:title,iobj,iobj:appl,list,nmod,nmod:appos,nmod:arg,nmod:att,nmod:flat,nmod:gobj,nmod:gsubj,nmod:npmod,nmod:part,nmod:poss,nmod:pre,nmod:tmod,nsubj,nsubj:cop,nsubj:outer,nsubj:pass,nummod,nummod:entity,nummod:gov,obj,obj:appl,obj:caus,obl,obl:agent,obl:appl,obl:arg,obl:benef,obl:cau,obl:cmp,obl:cmpr,obl:goal,obl:grad,obl:instr,obl:lmod,obl:manner,obl:own,obl:smod,obl:source,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:insert,parataxis:obj,parataxis:restart,reparandum,root,vocative,xcomp,xcomp:ds,xcomp:pred
uk_iu-ud-test,898,0,1769,,,,,,,,2.0,,,,,,,,,,,33.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,8.0,,,,1332.0,,,,,,,,,,,,20.0,,,,,,,109.0,,,243.0,,,,,,,,,,,,,,,,,5.0,7.0,4.0,,,,,1.0,,,,
sa_vedic-ud-test,2709,0,473,,2.0,,,,,,,7.0,,,,,,,,,,7.0,,10.0,,,,,,,1.0,,,,,,,,,,,,,,,40.0,,,,,,,,,1.0,,,280.0,2.0,,,,,,,,,,,1.0,,,,,,,22.0,,,13.0,2.0,,,5.0,,,,3.0,3.0,1.0,5.0,2.0,,,5.0,6.0,28.0,,,,,,,26.0,,1.0,,
sa_vedic-ud-train,21477,0,3838,,38.0,,4.0,2.0,1.0,3.0,5.0,128.0,,3.0,1.0,1.0,3.0,,,1.0,6.0,16.0,,50.0,,,,,3.0,,6.0,,,,,2.0,,,,,,1.0,,,,376.0,,,,,,,,,23.0,,,2471.0,40.0,,,,,,,,,,,11.0,,,,,,,183.0,,,72.0,8.0,,,47.0,,,,12.0,7.0,9.0,25.0,13.0,,,14.0,7.0,156.0,5.0,,,,,,82.0,3.0,,,
sa_vedic-ud-dev,2996,0,501,,1.0,,,,,2.0,,9.0,,,,,1.0,,,,,1.0,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,38.0,,,,,,,,,5.0,,,334.0,8.0,,,,,,,,,,,5.0,,,,,,,22.0,,,10.0,2.0,,,,,,,1.0,,1.0,1.0,2.0,,,2.0,5.0,21.0,2.0,,,,,,24.0,,,,
bn_bru-ud-test,56,0,6,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_nynorsk-ud-dev,1890,0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_nynorsk-ud-test,1511,0,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
no_nynorsk-ud-train,14174,0,437,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,340.0,,,,,,,,,,,,1.0,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,1.0,,,,,,3.0,,,,
hr_set-ud-dev,960,0,1742,,1.0,,,,,,1.0,,,,,,,,,,1.0,15.0,,,,,,,,,,,,,,,,,,,2.0,,,,,50.0,,,,,,,,,1.0,,,1168.0,,,,,,,,,,,,42.0,,,,,,,79.0,,,339.0,,,,,,,,,,,,,,,,,8.0,26.0,,,,,,8.0,,1.0,,
hr_set-ud-train,6914,0,11712,,11.0,,,,,,3.0,,,,,,,,,,21.0,107.0,,12.0,,,,,,,,,,,,1.0,,,,,8.0,,,,5.0,238.0,,,,,,,,,9.0,,4.0,8013.0,,,,,,,,,,,,324.0,,,,1.0,,,433.0,,,2267.0,,,,,,,,,,,,,,,,,9.0,151.0,,,,,,69.0,,26.0,,
hr_set-ud-test,1136,0,1946,,2.0,,,,,,2.0,,,,,,,,,,,16.0,,3.0,,,,,,,,,,,,,,,,,1.0,,,,2.0,43.0,,,,,,,,,,,,1355.0,,,,,,,,,,,,45.0,,,,1.0,,,50.0,,,384.0,,,,,,,,,,,,,,,,,2.0,28.0,,,,,,10.0,,2.0,,
orv_rnc-ud-dev,943,0,1931,,1.0,,,,,1.0,5.0,,,,,,,,,,1.0,80.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,,,,,5.0,,,813.0,,,,,,,,,,,,234.0,,,128.0,3.0,,6.0,127.0,,,364.0,2.0,,,,,,,,,,,,,,,41.0,24.0,8.0,,,,,2.0,81.0,,,,
orv_rnc-ud-train,1868,0,2729,,1.0,,,,,11.0,5.0,,,,,,,,,,1.0,162.0,,1.0,,,,2.0,,,,,,,,,,,,,1.0,,,,,3.0,,,,6.0,,,,,3.0,,7.0,1343.0,,,,,,,,,,,,127.0,,1.0,29.0,,,1.0,254.0,,,461.0,9.0,,,,,,,,,,,,,,,128.0,80.0,9.0,,,,,1.0,79.0,2.0,2.0,,
orv_rnc-ud-test,717,0,985,,1.0,,,,,1.0,1.0,,,,,,,,,,,95.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.0,,,,,,,,,,,,54.0,,,24.0,1.0,,1.0,164.0,,,269.0,1.0,,,,,,,,,,,,,,,32.0,13.0,2.0,,,,,,8.0,1.0,1.0,,
cpg_tuecl-ud-test,350,0,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_circse-ud-test,1263,0,632,,,,,,,,,,3.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,583.0,,,,,,,,,,,,2.0,,,1.0,,,,2.0,,,10.0,,,19.0,,,,,,,,,,,,,,3.0,,,,,,,4.0,,,,
is_pud-ud-test,1000,0,505,,1.0,,,,,2.0,2.0,,,,,,,,,,1.0,10.0,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,62.0,,,,,,,,,310.0,,,1.0,,,,,,,10.0,,,67.0,,,26.0,,,,,,,,,,,,,,,3.0,,,,,,5.0,,,,
grc_perseus-ud-dev,1137,0,1049,,2.0,,,,,,2.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531.0,,,,,,,,,,,,109.0,,,,,,,109.0,,,277.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,12.0,,
grc_perseus-ud-train,11476,0,6836,,7.0,,,,,,4.0,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3632.0,,,,,,,,,,,,291.0,,,,,,,1017.0,,,1805.0,,,,,,,,,,,,,,,,,,,,,,,,23.0,12.0,35.0,,
grc_perseus-ud-test,1306,0,1183,,,,,,,,1.0,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634.0,,,,,,,,,,,,65.0,,,,,,,103.0,,,351.0,,,,,,,,,,,,,,,,,1.0,,,,,,,5.0,5.0,12.0,,
qpm_philotis-ud-train,980,0,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,20.0,,,,,,,,,,,,1.0,,,,,,,2.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qpm_philotis-ud-dev,635,0,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,19.0,,,3.0,,,,,,,,,,,,4.0,,,,,,,8.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
qpm_philotis-ud-test,635,0,34,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,6.0,,,,,,,,,,,,1.0,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
tr_atis-ud-dev,572,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,5.0,,,,,,,,,43.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_atis-ud-train,4274,0,318,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,8.0,,,,,,,,,1.0,24.0,,,,,,,,,,,,57.0,,,,,,,,,208.0,,1.0,11.0,,,4.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_atis-ud-test,586,0,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,3.0,,,,,,,,,,,,9.0,,,,,,,,,24.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_perseus-ud-test,939,0,185,,1.0,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.0,,,,,,,,,,,,,,,,,,,7.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,
la_perseus-ud-train,1334,0,461,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432.0,,,,,,,,,,,,1.0,,,4.0,,,,20.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
tr_kenet-ud-dev,1646,0,463,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,407.0,,,,,,,,,,,,44.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,
tr_kenet-ud-test,1643,0,453,,2.0,,,,,,,,,,,,,,,,1.0,,,4.0,,,,14.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,4.0,316.0,,,,,,,,,,,,84.0,,,,,,,21.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_kenet-ud-train,15398,0,4024,,6.0,,,,,,5.0,,,,,,,,,,15.0,1.0,,12.0,,,,36.0,,,,,,,,9.0,,,,,,,,,1.0,19.0,,,,,,,,,1.0,,2.0,3418.0,,,,,,,,,,,,416.0,,,,3.0,,,52.0,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,
sms_giellagas-ud-test,230,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,7.0,,,1.0,,,,,,,2.0,,,3.0,,,,,,,,,,,14.0,,,,,1.0,1.0,,,,,,,1.0,,,,
sms_giellagas-ud-train,20,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
sk_snk-ud-dev,1060,0,900,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,688.0,,,,,,,,,,,,3.0,,,,,,,1.0,,,167.0,,,34.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,
sk_snk-ud-test,1061,0,894,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,655.0,,,,,,,,,,,,1.0,,,1.0,,,,1.0,,,209.0,,,13.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,,2.0,,
sk_snk-ud-train,8483,0,3454,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,11.0,,,,,1.0,,,,,,,,,,,,,2368.0,,,,,,,,,,,,17.0,,,1.0,,,,15.0,,,892.0,,,112.0,,,,,,,,,,,,,,5.0,,,,,,,16.0,,3.0,,
lt_hse-ud-train,153,0,144,,2.0,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,,,,,,,,,,,,12.0,,,,,,,16.0,,,19.0,2.0,,,,,,,,,,,,,,,,1.0,3.0,,,,,,2.0,,,,
lt_hse-ud-test,55,0,82,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,,,,,,,,,,,,6.0,,,,,,,9.0,,,3.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
lt_hse-ud-dev,55,0,73,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,4.0,,,,,,,15.0,,,11.0,,,,,,,,,,,,,,,,,,3.0,,,,,,1.0,,,,
ess_sli-ud-test,309,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ky_tuecl-ud-test,145,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hit_hittb-ud-test,136,0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
sa_ufal-ud-test,230,0,22,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,6.0,,,,,,,,,7.0,,,3.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
be_hse-ud-train,22853,0,18945,4.0,2.0,,,,,5.0,10.0,,,,,,,,,,,138.0,,9.0,,,,1.0,,,,,,,,2.0,,,,1.0,,,,,13.0,1095.0,,,,1.0,,,,,2.0,,12.0,12687.0,,,,,,,,,,,,719.0,,2.0,57.0,103.0,,6.0,752.0,,,2753.0,,,,,,,,,,,,,,,,,23.0,114.0,,,,,2.0,428.0,,4.0,,
be_hse-ud-dev,1301,0,1245,4.0,,,,,,1.0,,,,,,,,,,,,12.0,,2.0,,,,,,,,,,,,,,,,,,,,,3.0,83.0,,,,,,,,,,,,839.0,,,,,,,,,,,,40.0,,,5.0,6.0,,,37.0,,,174.0,,,,,,,,,,,,,,,,,,15.0,,,,,,24.0,,,,
be_hse-ud-test,1077,0,1580,1.0,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,4.0,83.0,,,,,,,,,,,,1203.0,,,,,,,,,,,,30.0,,,3.0,1.0,,,37.0,,,176.0,1.0,,,,,,,,,,,,,,,,2.0,10.0,,,,,,20.0,,,,
et_ewt-ud-train,5444,0,2226,,6.0,,,,,1.0,11.0,,,,,,,,,,2.0,2.0,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,4.0,,,,,,,,,,,,1213.0,,,,,,,,,,,,1.0,5.0,,,,,,346.0,,,575.0,,,,,,,,,,,,,,,,,2.0,11.0,,,,,,42.0,,1.0,,
et_ewt-ud-test,913,0,518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,299.0,,,,,,,,,,,,1.0,,,,,,,91.0,,,115.0,,,,,,,,,,,,,,,,,4.0,1.0,,,,,,4.0,,,,
et_ewt-ud-dev,833,0,315,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.0,,,,,,,,,,,,,2.0,,,,,,77.0,,,74.0,,,,,,,,,,,,,,,,,,6.0,,,,,,8.0,,1.0,,
wo_wtb-ud-dev,449,0,251,,,,,,,14.0,1.0,,,,,,,,,,,15.0,,3.0,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,6.0,,,26.0,,,,,,,,,,,,30.0,,,,,,,48.0,1.0,1.0,69.0,,5.0,,,,,,,,,,,,,,,,2.0,,,,,,7.0,,4.0,,
