Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,amod,appos,aux,case,cc,ccomp,compound,cop,csubj,dep,det,discourse,dislocated,fixed,flat,iobj,list,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,reparandum,root,vocative,xcomp
sa_vedic-ud-train,21477,0,5737,,257.0,57.0,4.0,,20.0,,,,23.0,3.0,,4.0,,,,,,556.0,5.0,,,56.0,2.0,47.0,6.0,4254.0,352.0,8.0,,80.0,1.0,2.0
sa_vedic-ud-dev,2996,0,711,,23.0,11.0,,,,,,,4.0,,1.0,,,,,,,51.0,2.0,,,8.0,,6.0,,552.0,48.0,,,5.0,,
hr_set-ud-dev,960,0,305,,3.0,,,,1.0,,,,2.0,,,,,,,,5.0,13.0,10.0,,4.0,66.0,,3.0,13.0,153.0,3.0,2.0,,3.0,,24.0
hr_set-ud-train,6914,0,2364,,23.0,2.0,1.0,,20.0,,,2.0,3.0,,,,,,9.0,,36.0,170.0,44.0,,23.0,637.0,1.0,13.0,98.0,1104.0,6.0,16.0,,32.0,,124.0
hr_set-ud-test,1136,0,373,,4.0,,,,7.0,,,,,,,,,,1.0,,6.0,22.0,6.0,,4.0,92.0,1.0,3.0,24.0,181.0,,3.0,,6.0,,13.0
orv_rnc-ud-dev,943,0,501,,1.0,,,,18.0,,,,,,,1.0,,,,,,16.0,38.0,,,247.0,2.0,6.0,15.0,135.0,11.0,1.0,,3.0,,7.0
orv_rnc-ud-train,1868,0,1231,,22.0,4.0,,,107.0,,,,1.0,,,2.0,,,,,,55.0,213.0,,,299.0,3.0,8.0,71.0,381.0,27.0,7.0,,14.0,,17.0
orv_rnc-ud-test,717,0,460,,3.0,,,,21.0,,,1.0,,,,,,,,,,16.0,72.0,,,106.0,,3.0,56.0,167.0,2.0,,,2.0,,11.0
tr_atis-ud-dev,572,0,11,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,8.0,,,,,,
tr_atis-ud-train,4274,0,79,,,,,,,,,,1.0,,,,,,,,,12.0,,,,35.0,,,,30.0,,,,,,1.0
tr_atis-ud-test,586,0,12,,,,,,,,,,,,,,,,,,,2.0,,,,6.0,,,1.0,3.0,,,,,,
tr_kenet-ud-dev,1646,0,159,,,1.0,,,,,,,1.0,1.0,,,,,1.0,,,1.0,,,,6.0,,,3.0,142.0,,2.0,,1.0,,
tr_kenet-ud-test,1643,0,197,,,,,,,,,,2.0,11.0,,,,,,,,2.0,,1.0,,9.0,3.0,,6.0,152.0,,1.0,,1.0,,9.0
tr_kenet-ud-train,15398,0,1437,,1.0,14.0,,,1.0,,,,6.0,16.0,,,,,,1.0,,3.0,,,,58.0,25.0,1.0,54.0,1237.0,,4.0,,10.0,,6.0
sk_snk-ud-dev,1060,0,310,,7.0,1.0,,,2.0,,,,,,,2.0,1.0,,,,4.0,,,,1.0,76.0,,4.0,,151.0,1.0,,,57.0,,3.0
sk_snk-ud-test,1061,0,361,,5.0,,,,3.0,,,,,,,1.0,3.0,,,,16.0,,,,,74.0,,2.0,,183.0,2.0,1.0,,69.0,,2.0
sk_snk-ud-train,8483,0,1512,,12.0,4.0,,,9.0,,,,11.0,,,5.0,16.0,,,,21.0,,,,,309.0,,18.0,,903.0,5.0,3.0,,187.0,,9.0
lt_hse-ud-train,153,0,61,,1.0,,1.0,,4.0,,,,,,,,,,,,2.0,,15.0,,,8.0,,,9.0,18.0,,2.0,,,,1.0
lt_hse-ud-test,55,0,24,,1.0,,,,,,,,,,,,,,,,,,5.0,,,2.0,,,3.0,11.0,,1.0,,1.0,,
lt_hse-ud-dev,55,0,23,,,,,,,,,,,,,,,,,,,,8.0,,,2.0,,,3.0,7.0,,2.0,,1.0,,
hit_hittb-ud-test,136,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,
sa_ufal-ud-test,230,0,63,,4.0,1.0,,,1.0,,,,,,,,,,,,,,,,,3.0,,2.0,1.0,47.0,1.0,,,2.0,,1.0
be_hse-ud-train,22853,0,5291,4.0,84.0,13.0,5.0,,135.0,,,,13.0,,,15.0,,,,,2.0,205.0,480.0,1.0,1.0,1235.0,2.0,19.0,192.0,1953.0,18.0,56.0,,230.0,,628.0
be_hse-ud-dev,1301,0,263,,6.0,,,,2.0,,,,1.0,,,,,,,,,4.0,30.0,,,77.0,2.0,2.0,5.0,95.0,,3.0,,7.0,,29.0
be_hse-ud-test,1077,0,372,,6.0,,,,9.0,,,,1.0,,,1.0,,,,,1.0,7.0,24.0,,,81.0,,,13.0,162.0,,10.0,,13.0,,44.0
cs_pud-ud-test,1000,0,452,,7.0,3.0,,,7.0,,,,3.0,2.0,,,,3.0,,,10.0,18.0,,,,134.0,1.0,4.0,,187.0,,,,45.0,,28.0
orv_ruthenian-ud-test,390,0,207,,3.0,2.0,,,18.0,,,,1.0,,,1.0,,,,,,,44.0,,,28.0,1.0,2.0,5.0,89.0,6.0,,,4.0,,3.0
orv_ruthenian-ud-train,2789,0,1914,,13.0,8.0,,,188.0,,,,4.0,,,,,,,,,57.0,305.0,,,314.0,4.0,24.0,108.0,799.0,73.0,1.0,3.0,12.0,,1.0
orv_ruthenian-ud-dev,344,0,85,,,,,,,,,,,,,,,,,,,2.0,12.0,,,12.0,,2.0,7.0,46.0,,,,4.0,,
ml_ufal-ud-test,218,0,4,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,,,,,,
mr_ufal-ud-dev,46,0,2,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,
mr_ufal-ud-test,47,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,
mr_ufal-ud-train,373,0,10,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,8.0,,,,1.0,,
si_stb-ud-test,100,0,7,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,4.0,,,,1.0,,
lt_alksnis-ud-test,684,0,236,,30.0,,,,3.0,,,,,,,,,,,,,5.0,,,,13.0,,,,179.0,,5.0,,,,1.0
lt_alksnis-ud-dev,617,0,248,,25.0,,,,,,,,,,,,,,,,,,,,,7.0,1.0,2.0,,204.0,,8.0,,1.0,,
lt_alksnis-ud-train,2341,0,1021,,99.0,,,,1.0,,,,5.0,,,,6.0,,,,,7.0,,,4.0,59.0,1.0,11.0,,809.0,,15.0,,4.0,,
cu_proiel-ud-train,18327,0,3072,,56.0,64.0,32.0,,43.0,,,,1.0,,5.0,,1.0,,,2.0,9.0,2.0,,,,110.0,3.0,42.0,2.0,2527.0,44.0,5.0,,90.0,,34.0
cu_proiel-ud-test,2096,0,403,,7.0,5.0,,,4.0,,,,2.0,,,,,,,1.0,1.0,,,,,16.0,,9.0,,345.0,4.0,,,6.0,,3.0
cu_proiel-ud-dev,2205,0,380,,8.0,10.0,5.0,,10.0,,,,,,1.0,1.0,,,,,2.0,1.0,,,,18.0,1.0,5.0,,291.0,11.0,,,10.0,,6.0
olo_kkpp-ud-test,106,0,6,,,,,,,,,,,,,,,,,,,,,,,2.0,,3.0,,1.0,,,,,,
hy_bsut-ud-train,1226,0,333,,2.0,39.0,,,5.0,,4.0,,,8.0,,,2.0,,1.0,1.0,1.0,,,,,42.0,,,,216.0,2.0,6.0,,4.0,,
hy_bsut-ud-test,595,0,130,,2.0,31.0,,,,,3.0,,,2.0,,,,,,,,,,,,13.0,,,,74.0,,3.0,,2.0,,
hy_bsut-ud-dev,479,0,141,,,38.0,,,1.0,,,,,3.0,,,,,,,2.0,,,,,11.0,,,,83.0,,3.0,,,,
hsb_ufal-ud-test,623,0,164,,1.0,,,,2.0,,,,,,,,1.0,,,,,1.0,,,,94.0,,1.0,3.0,58.0,2.0,,,1.0,,
hsb_ufal-ud-train,23,0,11,,,,,,,,,,,,,,,,,,,1.0,,,,7.0,,,,3.0,,,,,,
fi_tdt-ud-train,12217,0,343,,3.0,212.0,,,,1.0,,,,,2.0,,,,,,1.0,,,,,8.0,2.0,1.0,1.0,107.0,,,,5.0,,
fi_tdt-ud-test,1555,0,41,,,16.0,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,19.0,,,,2.0,,
fi_tdt-ud-dev,1364,0,31,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,14.0,1.0,,,,,
sr_set-ud-test,520,0,171,,2.0,,,,3.0,,,,,,,,,,,,6.0,17.0,,,4.0,35.0,,3.0,1.0,93.0,,1.0,,6.0,,
sr_set-ud-train,3328,0,1102,,9.0,3.0,,,22.0,,,,3.0,,,,,,2.0,,17.0,122.0,,,12.0,242.0,1.0,6.0,4.0,598.0,,8.0,,19.0,,34.0
sr_set-ud-dev,536,0,162,,3.0,,,,,,,,,,,,,,,,8.0,11.0,,,7.0,31.0,,2.0,,84.0,2.0,2.0,,2.0,,10.0
tr_framenet-ud-test,205,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,
tr_framenet-ud-train,2288,0,129,,,4.0,,,,,,,,18.0,,,,,,,,,,,,5.0,,,1.0,101.0,,,,,,
tr_framenet-ud-dev,205,0,8,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,6.0,,,,,,
ky_ktmu-ud-train,80,0,4,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,
ky_ktmu-ud-test,701,0,16,,,,,,,,,,,,,,,,,,,,,,,10.0,1.0,,3.0,2.0,,,,,,
kpv_ikdp-ud-test,214,0,29,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,,23.0,,,,2.0,,
kpv_lattice-ud-test,643,0,162,,2.0,19.0,17.0,,3.0,,,,,,,,,,1.0,,,,,2.0,,1.0,3.0,,,90.0,3.0,,,3.0,,18.0
abq_atb-ud-test,98,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
tr_gb-ud-test,2880,0,157,,1.0,11.0,,,1.0,,,,,,,,,,,,,,,,,24.0,17.0,,,99.0,,,,4.0,,
ru_taiga-ud-train,16045,0,3326,,50.0,19.0,7.0,,30.0,,,1.0,9.0,,,13.0,2.0,,,,25.0,22.0,491.0,,2.0,701.0,1.0,19.0,44.0,1469.0,12.0,45.0,,117.0,,247.0
ru_taiga-ud-dev,946,0,240,,6.0,,,,4.0,,,,1.0,,,1.0,,,,,2.0,,52.0,,,27.0,,1.0,12.0,102.0,7.0,2.0,,11.0,,12.0
ru_taiga-ud-test,881,0,204,,4.0,1.0,1.0,,2.0,,,,2.0,,,3.0,,,,,2.0,,52.0,,,35.0,,2.0,7.0,67.0,,2.0,,9.0,,15.0
fi_pud-ud-test,1000,0,47,,,40.0,,,,,,,,,,,,,,,,,,,,1.0,,,,6.0,,,,,,
cs_cltt-ud-dev,316,0,243,,16.0,3.0,,,,,,,,,,,4.0,,,,18.0,,,,,51.0,1.0,1.0,,137.0,,,,9.0,,3.0
cs_cltt-ud-train,467,0,376,,34.0,7.0,,,2.0,,,,1.0,,,,4.0,,,,33.0,,,,,109.0,,2.0,,161.0,3.0,,,20.0,,
cs_cltt-ud-test,338,0,320,,12.0,5.0,,,3.0,,,,,,,,14.0,1.0,,,43.0,,,,,49.0,,1.0,,189.0,1.0,1.0,,1.0,,
hy_armtdp-ud-train,1974,0,697,,11.0,166.0,,,5.0,,14.0,,,10.0,,,7.0,,1.0,,,,,,,42.0,1.0,,,387.0,1.0,40.0,,12.0,,
hy_armtdp-ud-dev,249,0,107,,1.0,22.0,,,1.0,,,,1.0,1.0,,,,,1.0,,,,,,,6.0,,,,72.0,,2.0,,,,
hy_armtdp-ud-test,277,0,88,,2.0,20.0,,,1.0,,2.0,,,5.0,,,,,,,,,,,,5.0,,,,42.0,6.0,5.0,,,,
ota_boun-ud-train,114,0,27,,,1.0,,,,,,,,,,,,,,,,,,,,7.0,,,2.0,17.0,,,,,,
ota_boun-ud-test,400,0,103,,,,,,,,,,,1.0,,,,,,,,2.0,,,,44.0,,,4.0,51.0,,,,1.0,,
ru_syntagrus-ud-train,69630,0,28973,,809.0,126.0,9.0,,379.0,,,,97.0,3.0,,51.0,,,108.0,,529.0,347.0,1193.0,,7.0,5087.0,15.0,249.0,173.0,16787.0,105.0,637.0,,898.0,,1364.0
ru_syntagrus-ud-dev,8906,0,3957,,118.0,16.0,,,70.0,,,,9.0,1.0,,6.0,,,18.0,,63.0,76.0,164.0,,,656.0,,42.0,16.0,2286.0,20.0,106.0,,153.0,,137.0
ru_syntagrus-ud-test,8800,0,3931,,114.0,26.0,1.0,,64.0,,,,13.0,,,9.0,,,15.0,,79.0,57.0,158.0,,3.0,730.0,2.0,41.0,27.0,2214.0,22.0,76.0,,122.0,,158.0
orv_birchbark-ud-train,1045,0,87,,,,1.0,,1.0,,,,,,,,5.0,,,,,1.0,24.0,,,20.0,,1.0,1.0,17.0,3.0,1.0,1.0,11.0,,
orv_birchbark-ud-dev,1062,0,137,,,,,,4.0,,,,,,,,1.0,,,,1.0,2.0,36.0,,,24.0,,1.0,,48.0,4.0,2.0,1.0,12.0,,1.0
orv_birchbark-ud-test,1007,0,146,,,,1.0,,4.0,,,,,,,,1.0,,,,,4.0,32.0,,,35.0,1.0,1.0,,50.0,4.0,,,11.0,,2.0
ru_poetry-ud-test,728,0,320,,7.0,,,,,,,,1.0,,,1.0,,,,,1.0,,99.0,,,33.0,,2.0,2.0,144.0,4.0,1.0,,10.0,,15.0
ru_poetry-ud-dev,789,0,259,,1.0,1.0,,,,,,,1.0,,,1.0,,,,,,,96.0,,,19.0,,,3.0,108.0,3.0,3.0,,11.0,,12.0
ru_poetry-ud-train,3569,0,1369,,28.0,,,,11.0,,,,2.0,,,4.0,,,,,1.0,,454.0,,,100.0,,4.0,5.0,635.0,10.0,9.0,,56.0,1.0,49.0
myu_tudet-ud-test,158,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,
wbp_ufal-ud-test,55,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
koi_uh-ud-test,94,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,
cs_fictree-ud-dev,1309,0,313,,5.0,5.0,,,2.0,,,,3.0,1.0,,,2.0,1.0,,,1.0,,,,,35.0,,6.0,,236.0,2.0,,,12.0,,2.0
cs_fictree-ud-train,10160,0,2640,,21.0,20.0,,,16.0,,,,25.0,,,6.0,19.0,16.0,,,13.0,22.0,,,1.0,304.0,,43.0,,2006.0,10.0,2.0,,96.0,,20.0
cs_fictree-ud-test,1291,0,324,,3.0,,,,1.0,,,,6.0,,,,2.0,1.0,,,1.0,2.0,,,,45.0,,7.0,,235.0,3.0,,,15.0,,3.0
hyw_armtdp-ud-test,680,0,221,,2.0,48.0,,,1.0,,,,,4.0,,,,,,,,,,,,9.0,,,,143.0,1.0,8.0,1.0,4.0,,
hyw_armtdp-ud-dev,694,0,244,,4.0,65.0,,,1.0,,1.0,,1.0,2.0,,,1.0,,,1.0,,,,,,15.0,,,,143.0,,5.0,,5.0,,
hyw_armtdp-ud-train,5282,0,1588,,10.0,329.0,,,6.0,11.0,,,,6.0,2.0,,3.0,,,4.0,,,,,,147.0,,,,990.0,4.0,42.0,,33.0,1.0,
sl_sst-ud-train,4558,0,508,,,,1.0,,16.0,,,,,,,,1.0,,,,1.0,9.0,,,,98.0,,12.0,1.0,313.0,17.0,7.0,20.0,12.0,,
sl_sst-ud-test,1041,0,112,,,,,,2.0,,,,,,,,,,,,1.0,,,,1.0,13.0,,2.0,,74.0,5.0,2.0,6.0,6.0,,
sl_sst-ud-dev,505,0,143,,,1.0,,,6.0,,,,1.0,,,,,,,,,2.0,,,,41.0,,7.0,,72.0,2.0,4.0,7.0,,,
ka_glc-ud-test,151,0,37,,,,,,,,,,,,,,,1.0,,,,,,,,6.0,,3.0,,27.0,,,,,,
arr_tudet-ud-test,674,0,1,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
kk_ktb-ud-test,1047,0,90,,,6.0,,,1.0,,,,1.0,,1.0,,,,,,,1.0,,,,17.0,,,,62.0,,1.0,,,,
kk_ktb-ud-train,31,0,6,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,5.0,,,,,,
cs_pdt-ud-test,10146,0,4124,77.0,86.0,35.0,,,30.0,,,,63.0,,,7.0,57.0,11.0,,,96.0,105.0,,,,814.0,2.0,77.0,,2197.0,13.0,5.0,,405.0,,44.0
cs_pdt-ud-dev,9270,0,3626,69.0,77.0,17.0,,,32.0,,,,41.0,,,8.0,51.0,14.0,,,91.0,110.0,,,,701.0,2.0,80.0,,1886.0,13.0,5.0,,379.0,,50.0
cs_pdt-ud-train,68491,0,26858,501.0,575.0,162.0,,,255.0,,,,328.0,1.0,,60.0,378.0,101.0,1.0,,709.0,787.0,,,,5399.0,9.0,490.0,,13998.0,135.0,37.0,,2606.0,,326.0
ta_mwtt-ud-test,534,0,10,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,9.0,,,,,,
ota_dudu-ud-test,85,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,
ta_ttb-ud-train,400,0,16,,,3.0,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,10.0,,,,,,
ta_ttb-ud-dev,80,0,3,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,
ta_ttb-ud-test,120,0,5,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,
ru_pud-ud-test,1000,0,611,,25.0,5.0,1.0,,7.0,,,,4.0,,,,,,1.0,,7.0,28.0,63.0,,,96.0,,8.0,24.0,181.0,2.0,7.0,,26.0,,126.0
qtd_sagt-ud-test,805,0,38,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,30.0,,1.0,1.0,,,
qtd_sagt-ud-dev,801,0,37,,,,,,,,,,,,,,,,,,,,,,,3.0,,,1.0,31.0,,,1.0,,,1.0
qtd_sagt-ud-train,578,0,28,,,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,23.0,1.0,,,,,
krl_kkpp-ud-test,228,0,5,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,3.0,,,,,,
pl_pud-ud-test,1000,0,481,,24.0,2.0,,4.0,9.0,,,,7.0,,,,,12.0,,,11.0,17.0,75.0,,,77.0,,5.0,,152.0,,6.0,,56.0,,24.0
orv_torot-ud-test,2955,0,610,,5.0,9.0,8.0,,21.0,,,,,,,,,,,3.0,3.0,6.0,,,,41.0,1.0,6.0,2.0,471.0,12.0,,,8.0,,14.0
orv_torot-ud-dev,3061,0,708,,6.0,7.0,7.0,,23.0,,,,,,2.0,,,,,1.0,3.0,2.0,,,,45.0,,7.0,,565.0,21.0,,,11.0,,8.0
orv_torot-ud-train,20480,0,4575,,53.0,52.0,27.0,,220.0,,,,5.0,,2.0,,,,,4.0,21.0,25.0,,,,367.0,4.0,52.0,2.0,3487.0,114.0,5.0,,65.0,1.0,69.0
cs_cac-ud-dev,603,0,248,,6.0,,,,2.0,,,,1.0,,,,2.0,,,,14.0,2.0,,,,64.0,,,,143.0,,,,13.0,,1.0
cs_cac-ud-train,23478,0,11873,,243.0,75.0,,,148.0,,,,85.0,2.0,,27.0,110.0,40.0,,,411.0,102.0,,,1.0,2339.0,2.0,170.0,,6716.0,103.0,16.0,,1124.0,,159.0
cs_cac-ud-test,628,0,317,,10.0,3.0,,,4.0,,,,2.0,,,1.0,3.0,,,,7.0,2.0,,,,47.0,,6.0,,197.0,4.0,,,25.0,,6.0
eu_bdt-ud-train,5396,0,520,,,143.0,,,,1.0,,,,7.0,2.0,,1.0,,,,,1.0,,,,20.0,,,,341.0,1.0,1.0,,2.0,,
eu_bdt-ud-test,1799,0,170,,,50.0,,,,,,,,3.0,4.0,,,,,,,,,,,9.0,,,,103.0,,,,1.0,,
eu_bdt-ud-dev,1798,0,190,,,42.0,1.0,,,,,,,3.0,2.0,,,,,,,,,,,7.0,,,1.0,133.0,,,,1.0,,
fi_ftb-ud-dev,1875,0,34,,,17.0,,,,,,,,,,,,,,,5.0,,,,,9.0,,1.0,,,,,,2.0,,
fi_ftb-ud-train,14981,0,261,,3.0,112.0,,,,,,,,,2.0,,5.0,,,,20.0,,,,,88.0,,5.0,,,,,,26.0,,
fi_ftb-ud-test,1867,0,38,,1.0,14.0,,,,,,,,,1.0,,,,,,5.0,,,,,14.0,,,,,,,,3.0,,
am_att-ud-test,1074,0,5,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,
pl_lfg-ud-test,1727,0,240,,3.0,1.0,,,1.0,,,,1.0,,,1.0,,,,,,2.0,,,,23.0,,2.0,1.0,178.0,,,,20.0,,7.0
pl_lfg-ud-train,13774,0,2163,,53.0,8.0,,,9.0,,,,14.0,,,3.0,,,,,,24.0,,,,217.0,,11.0,10.0,1523.0,,,,199.0,,92.0
pl_lfg-ud-dev,1745,0,265,,5.0,1.0,,,,,,,5.0,,,1.0,,,,,,6.0,,,,22.0,,1.0,1.0,192.0,,,,18.0,,13.0
tr_tourism-ud-train,15473,0,296,,,9.0,,,,,,,2.0,4.0,,,1.0,,2.0,,1.0,,,,,54.0,96.0,,15.0,108.0,,1.0,,2.0,,1.0
tr_tourism-ud-dev,2166,0,45,,,5.0,,,1.0,,,,,,,,,,,,,,,,,1.0,21.0,,2.0,14.0,,,,1.0,,
tr_tourism-ud-test,2191,0,34,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,14.0,,,16.0,,,,,,
ab_abnc-ud-test,263,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,
cs_poetry-ud-test,297,0,183,,,1.0,,,,,,,,,,,3.0,2.0,,,,1.0,,,,19.0,,3.0,,145.0,4.0,1.0,,4.0,,
ru_gsd-ud-test,601,0,295,,16.0,,1.0,,7.0,,,,2.0,,,,,,,,6.0,8.0,27.0,,1.0,47.0,,1.0,13.0,88.0,2.0,2.0,,9.0,,65.0
ru_gsd-ud-dev,579,0,299,,9.0,1.0,2.0,,13.0,,,,2.0,,,,,,,,,11.0,29.0,,,62.0,,6.0,35.0,87.0,1.0,1.0,,6.0,,34.0
ru_gsd-ud-train,3850,0,2068,,105.0,5.0,15.0,,62.0,,,,4.0,1.0,1.0,,1.0,,,,3.0,60.0,163.0,,,465.0,,41.0,214.0,597.0,10.0,13.0,,60.0,,248.0
tr_imst-ud-train,3435,0,381,,1.0,4.0,5.0,,1.0,,,,,12.0,,,,,1.0,,,7.0,1.0,,,91.0,14.0,,28.0,212.0,,,,4.0,,
tr_imst-ud-dev,1100,0,132,,,1.0,1.0,,,,,2.0,,6.0,,,,,,,,,2.0,,,35.0,1.0,,9.0,75.0,,,,,,
tr_imst-ud-test,1100,0,108,,,1.0,1.0,,,,,,,1.0,,,,,,,,2.0,,,,26.0,7.0,,6.0,64.0,,,,,,
tr_boun-ud-dev,979,0,143,,,1.0,,,,,,,,2.0,,,,,1.0,,,,,,,8.0,3.0,,8.0,118.0,1.0,,,1.0,,
tr_boun-ud-test,979,0,122,,,,,,,,,,1.0,,,,,,,,,2.0,,,,8.0,3.0,,12.0,91.0,,,,5.0,,
tr_boun-ud-train,7803,0,1109,,,8.0,,,1.0,,,,5.0,17.0,3.0,,,,1.0,,,18.0,4.0,,,70.0,13.0,,105.0,848.0,,,,15.0,,1.0
tr_penn-ud-dev,622,0,43,,,1.0,,,,,,,,,,,,,,,,1.0,,,,15.0,,,1.0,25.0,,,,,,
tr_penn-ud-test,924,0,32,,,4.0,,,,,,,,,,,,,,,,,,,,17.0,,,,11.0,,,,,,
tr_penn-ud-train,14850,0,808,,,11.0,,,4.0,,,,4.0,7.0,,,,,5.0,,3.0,,,5.0,,220.0,1.0,,56.0,481.0,,,,7.0,,4.0
