Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,amod,appos,aux,case,cc,ccomp,clf,compound,conj,cop,csubj,dep,det,discourse,dislocated,expl,fixed,flat,iobj,list,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,reparandum,root,vocative,xcomp
tr_pud-ud-test,1000,0,691,,8.0,24.0,,,3.0,,,,36.0,,15.0,,9.0,2.0,,,,,,,18.0,123.0,,,46.0,,,126.0,240.0,,,,25.0,,16.0
es_gsd-ud-test,426,0,61,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,60.0,,,,,,
es_gsd-ud-dev,1400,0,111,,,,,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,2.0,,5.0,100.0,,,,,,
es_gsd-ud-train,14187,0,1227,,,,,,,,,,,,2.0,,,,2.0,,,,3.0,,5.0,,,,2.0,1.0,,26.0,1186.0,,,,,,
de_hdt-ud-test,18459,0,5311,,1.0,1.0,,,47.0,,,,,,,,,,,,,,70.0,,105.0,,,,1665.0,3.0,2.0,423.0,2960.0,,,2.0,10.0,,22.0
de_hdt-ud-train,153035,0,44652,,23.0,8.0,,,377.0,,,,12.0,,,,,,,,,,582.0,,716.0,,,,15067.0,61.0,5.0,3573.0,23850.0,,5.0,9.0,122.0,,242.0
de_hdt-ud-dev,18434,0,12367,,9.0,6.0,,,45.0,,,,4.0,,,,,1.0,,,,,53.0,,88.0,,,,4509.0,8.0,,845.0,6712.0,,2.0,3.0,56.0,,26.0
sga_dipsgg-ud-test,64,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,2.0,,,,7.0,,
pt_porttinari-ud-train,5893,0,136,,,,,,,,,,,,,,,,,,,,10.0,,,66.0,,,6.0,,,16.0,37.0,,1.0,,,,
pt_porttinari-ud-test,1683,0,28,,,,,,,,,,,,,,,,,,,,1.0,,,14.0,,,1.0,,,5.0,7.0,,,,,,
pt_porttinari-ud-dev,842,0,11,,,,,,,,,,,,,,,,,,,,,,,6.0,,,1.0,,,,4.0,,,,,,
pl_pdb-ud-test,2215,0,316,,6.0,,,4.0,3.0,,,,,,,,,,,11.0,,,20.0,,1.0,230.0,,,9.0,,3.0,,27.0,,,,2.0,,
pl_pdb-ud-train,17722,0,2655,,53.0,,,6.0,46.0,,,,,,,,,,,48.0,,,232.0,3.0,24.0,1886.0,,,72.0,,11.0,2.0,265.0,2.0,2.0,,3.0,,
pl_pdb-ud-dev,2215,0,353,,7.0,,,1.0,6.0,,,,,,,,,,,2.0,,,28.0,1.0,8.0,254.0,,,9.0,,,2.0,35.0,,,,,,
sah_yktdt-ud-test,299,0,93,,,,,,,,,,,,3.0,,,1.0,1.0,,,,,,,4.0,,,2.0,2.0,,4.0,76.0,,,,,,
uk_iu-ud-dev,673,0,88,,,,,,4.0,,,,,,,,,,,,,,,,8.0,15.0,,,6.0,,,46.0,5.0,,1.0,,3.0,,
uk_iu-ud-train,5521,0,898,,1.0,2.0,,,23.0,,,,,,,,,,,1.0,,,13.0,,57.0,285.0,,,33.0,,3.0,446.0,19.0,3.0,,,12.0,,
uk_iu-ud-test,898,0,127,,,1.0,,,4.0,,,,,,,,,,,2.0,,,,,2.0,33.0,,,15.0,,,56.0,4.0,,,,10.0,,
sa_vedic-ud-test,2709,0,485,,24.0,68.0,,,6.0,,,,3.0,,1.0,,,1.0,,,,1.0,,,82.0,171.0,,,18.0,1.0,,2.0,56.0,16.0,2.0,,33.0,,
sa_vedic-ud-train,21477,0,3783,,127.0,573.0,,,22.0,,,,50.0,,2.0,,1.0,1.0,,,,,,,811.0,1338.0,,,96.0,6.0,2.0,28.0,345.0,177.0,18.0,,181.0,,5.0
sa_vedic-ud-dev,2996,0,517,,16.0,70.0,,,3.0,,,,4.0,,,,,2.0,,,,,,,92.0,210.0,,,6.0,2.0,1.0,3.0,50.0,33.0,5.0,,20.0,,
es_ancora-ud-train,14287,0,1798,,,,,,,,,,,,,,,,,,,,318.0,,,,,,,,,,1480.0,,,,,,
es_ancora-ud-test,1721,0,185,,,,,,,,,,,,,,,,,,,,41.0,,,,,,,,,,144.0,,,,,,
es_ancora-ud-dev,1654,0,235,,,,,,,,,,,,,,,,,,,,46.0,,,,,,,,,,189.0,,,,,,
hr_set-ud-dev,960,0,186,,,,,,2.0,,,,,,,,,,,,,,3.0,,10.0,53.0,,,21.0,,,80.0,16.0,,1.0,,,,
hr_set-ud-train,6914,0,1475,,7.0,,,,12.0,,,,,,,,,,,1.0,4.0,1.0,2.0,3.0,50.0,462.0,1.0,4.0,227.0,4.0,5.0,551.0,128.0,5.0,3.0,,3.0,,2.0
hr_set-ud-test,1136,0,271,,1.0,,,,4.0,,,,,,,,,,,,,,,1.0,16.0,67.0,,,56.0,,,106.0,19.0,,1.0,,,,
orv_rnc-ud-dev,943,0,680,,1.0,,,,101.0,,,,,,,,1.0,,,,,1.0,,1.0,48.0,236.0,,,39.0,,33.0,1.0,168.0,37.0,6.0,,7.0,,
orv_rnc-ud-train,1868,0,1801,,26.0,9.0,,,296.0,1.0,,,,,1.0,,4.0,1.0,,,,1.0,,2.0,110.0,619.0,,,136.0,6.0,17.0,7.0,506.0,37.0,1.0,,18.0,,3.0
orv_rnc-ud-test,717,0,1239,,7.0,1.0,,,211.0,,,,,,4.0,,,,1.0,,,,,,132.0,450.0,,,62.0,7.0,11.0,1.0,315.0,9.0,1.0,,25.0,,2.0
la_circse-ud-test,1263,0,522,,16.0,15.0,,,2.0,,,,,,,,,,,,,,,,,,,,6.0,1.0,,,450.0,16.0,,,16.0,,
is_pud-ud-test,1000,0,1545,,13.0,7.0,6.0,,15.0,1.0,,,10.0,,4.0,,,2.0,,,,,1.0,16.0,6.0,25.0,,3.0,538.0,48.0,27.0,173.0,611.0,,1.0,,31.0,,7.0
grc_perseus-ud-dev,1137,0,1134,,3.0,19.0,39.0,,,,,,1.0,,,,3.0,,,,,,,,,136.0,,,237.0,4.0,,202.0,442.0,,,,6.0,,42.0
grc_perseus-ud-train,11476,0,10065,,8.0,43.0,119.0,,15.0,,,,,,,,11.0,,,,,,,,,1215.0,,,2480.0,22.0,3.0,1828.0,4059.0,,2.0,,19.0,2.0,239.0
grc_perseus-ud-test,1306,0,1016,,2.0,14.0,18.0,,,,,,1.0,,,,4.0,,,,,,,,,99.0,,,219.0,,,171.0,452.0,,,,5.0,,31.0
tr_atis-ud-dev,572,0,458,,,,,,,,,,3.0,,6.0,,,,,,,,,,126.0,,,,151.0,,,,160.0,,,,12.0,,
tr_atis-ud-train,4274,0,3556,,2.0,,,,,,,,3.0,,82.0,,,,,,,,,,944.0,,1.0,,1185.0,2.0,,6.0,1283.0,,,,48.0,,
tr_atis-ud-test,586,0,453,,2.0,,,,,,,,,,8.0,,,,,,,,,,108.0,,,,198.0,,,,123.0,,,,13.0,,1.0
pt_pud-ud-test,1000,0,7,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,
la_perseus-ud-test,939,0,222,,,1.0,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,200.0,,,,1.0,,1.0
la_perseus-ud-train,1334,0,426,,,1.0,,,2.0,,,,,,,,,,,,,,,,8.0,,,,25.0,,1.0,,387.0,,,,1.0,,1.0
tr_kenet-ud-dev,1646,0,933,,1.0,16.0,,,,,,,64.0,,87.0,,,,,,2.0,,,,4.0,117.0,,,12.0,1.0,,31.0,597.0,,,,1.0,,
tr_kenet-ud-test,1643,0,950,,1.0,15.0,,,,,,,90.0,,206.0,,,,,,1.0,,,,3.0,1.0,7.0,,18.0,4.0,,102.0,498.0,,,,1.0,,3.0
tr_kenet-ud-train,15398,0,5920,,11.0,89.0,,,5.0,,,,363.0,1.0,527.0,,,2.0,,,5.0,,,4.0,15.0,302.0,1.0,,191.0,12.0,3.0,362.0,3975.0,2.0,3.0,2.0,23.0,,22.0
sk_snk-ud-dev,1060,0,162,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,28.0,,,,132.0,,,,,,
sk_snk-ud-test,1061,0,168,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,25.0,,2.0,,138.0,1.0,,,,,
sk_snk-ud-train,8483,0,1504,,,,,,4.0,,,,,,,,,,5.0,,3.0,,,3.0,,,,,79.0,,6.0,,1395.0,,,,9.0,,
lt_hse-ud-train,153,0,68,,1.0,,,,,,,,,,,,,,,,,,,,14.0,16.0,,,16.0,,,15.0,5.0,,1.0,,,,
lt_hse-ud-test,55,0,16,,,,,,1.0,,,,,,,,,,,,,,,,,6.0,,,4.0,,,3.0,1.0,,1.0,,,,
lt_hse-ud-dev,55,0,16,,,,,,,,,,,,,,,,,,,,,,,7.0,,,1.0,2.0,,5.0,,,1.0,,,,
hit_hittb-ud-test,136,0,71,,,,,,,,,,,,,,,,,,,,1.0,,,18.0,,,5.0,,,6.0,37.0,4.0,,,,,
sa_ufal-ud-test,230,0,14,,1.0,,,,,,,,,,,,,,,,,,,,1.0,6.0,,,,1.0,,,2.0,,,,3.0,,
be_hse-ud-train,22853,0,2404,1.0,14.0,1.0,,,63.0,,,,2.0,,,,,,,,,,,7.0,132.0,1746.0,1.0,,162.0,1.0,3.0,19.0,175.0,18.0,10.0,,39.0,,10.0
be_hse-ud-dev,1301,0,102,,,,,,2.0,,,,,,,,,,,,,,,1.0,2.0,80.0,,,8.0,,,1.0,6.0,,,,1.0,,1.0
be_hse-ud-test,1077,0,104,,1.0,,,,3.0,,,,,,,,,,,,,,,,5.0,58.0,,,20.0,1.0,,4.0,8.0,2.0,,,2.0,,
gub_tudet-ud-test,1182,0,134,,,,,,6.0,,,,,,,,,,,,,,,,,6.0,,,3.0,,,1.0,118.0,,,,,,
cs_pud-ud-test,1000,0,285,,3.0,,,,1.0,,,,,,,,,,,,,,22.0,3.0,7.0,,,,53.0,1.0,2.0,,190.0,,,,2.0,,1.0
orv_ruthenian-ud-test,390,0,494,,3.0,,,,57.0,,,,,,,,,,,,,2.0,,2.0,,291.0,,,10.0,,,,104.0,6.0,1.0,,18.0,,
orv_ruthenian-ud-train,2789,0,3867,,66.0,5.0,,,699.0,,,,,,,,,,1.0,,,2.0,,,212.0,1815.0,,,250.0,1.0,14.0,2.0,540.0,71.0,1.0,10.0,172.0,,6.0
orv_ruthenian-ud-dev,344,0,433,,4.0,,,,81.0,,,,,,,,,,,,,,,,8.0,191.0,,,21.0,,,,86.0,5.0,,,37.0,,
ml_ufal-ud-test,218,0,58,,,,,,,,,,,,,,,,,,,,,,4.0,7.0,,,9.0,13.0,1.0,,24.0,,,,,,
apu_ufpa-ud-test,161,0,12,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,10.0,,,,,,
de_pud-ud-test,1000,0,1722,,,,,,18.0,,,,,,66.0,,,,,57.0,,,,,45.0,,,,496.0,,,,1035.0,2.0,1.0,,2.0,,
gl_treegal-ud-train,600,0,80,,,,,,,,,,,,,,,,,,,,26.0,1.0,,45.0,,,,3.0,,5.0,,,,,,,
gl_treegal-ud-test,400,0,39,,,,,,,,,,,,,,,,,,,,20.0,,,17.0,,,,1.0,,1.0,,,,,,,
ro_nonstandard-ud-test,1052,0,894,,1.0,4.0,,,7.0,,,,,,20.0,,,,,,,,70.0,,1.0,438.0,,,315.0,,1.0,5.0,23.0,1.0,1.0,,6.0,,1.0
ro_nonstandard-ud-dev,1052,0,874,,,1.0,,,4.0,,,,1.0,,,,,,,,,,72.0,,2.0,475.0,,,285.0,2.0,,8.0,16.0,,3.0,,4.0,,1.0
ro_nonstandard-ud-train,24121,0,20071,,30.0,16.0,,,122.0,,,,12.0,,12.0,,,4.0,,,,,1857.0,,4.0,10123.0,,1.0,6650.0,151.0,28.0,389.0,553.0,5.0,11.0,,65.0,7.0,31.0
ro_simonero-ud-test,491,0,3,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,
ro_simonero-ud-train,3747,0,99,,,,,,,,,,,,,,,,,,,,67.0,,,20.0,,,5.0,,,7.0,,,,,,,
ro_simonero-ud-dev,443,0,4,,,,,,,,,,,,,,,,,,,,3.0,,,,,,1.0,,,,,,,,,,
sq_tsa-ud-test,60,0,9,,,,,,,,,,,,,,,,,,,,3.0,,,2.0,,,1.0,,,2.0,1.0,,,,,,
pt_petrogold-ud-train,7170,0,10,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,
pt_petrogold-ud-test,1039,0,1,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
pt_petrogold-ud-dev,737,0,1,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
mr_ufal-ud-dev,46,0,9,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,4.0,,1.0,2.0,,,,,,
mr_ufal-ud-test,47,0,11,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,5.0,,5.0,,,,,,,
mr_ufal-ud-train,373,0,108,,,1.0,,,,,,,,,,,,,,,,,,,,23.0,,,,38.0,,33.0,11.0,,,,2.0,,
pt_gsd-ud-dev,1204,0,2,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,
pt_gsd-ud-test,1200,0,3,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
pt_gsd-ud-train,9616,0,8,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,
si_stb-ud-test,100,0,18,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,9.0,,1.0,3.0,,,,1.0,,
ro_tuecl-ud-test,210,0,86,,,,,,,,,,1.0,,,,,,,,,,14.0,,,46.0,,,21.0,,,2.0,1.0,,,,,1.0,
lt_alksnis-ud-test,684,0,197,,4.0,,,,,,,,1.0,,,,,,2.0,,,,,,1.0,,,,7.0,1.0,2.0,,172.0,,6.0,,1.0,,
lt_alksnis-ud-dev,617,0,290,,12.0,,,,1.0,,,,,,,,,,,,,,,,9.0,,,,10.0,3.0,4.0,,243.0,,7.0,,,,1.0
lt_alksnis-ud-train,2341,0,783,,50.0,1.0,,,8.0,,,,2.0,,,,,,2.0,,,,,,7.0,,,,19.0,13.0,3.0,,650.0,,22.0,,3.0,,3.0
cu_proiel-ud-train,18327,0,8679,,233.0,737.0,32.0,,168.0,,,,14.0,,,,137.0,3.0,2.0,,,27.0,17.0,10.0,17.0,,,,730.0,699.0,40.0,8.0,5538.0,144.0,2.0,,89.0,2.0,30.0
cu_proiel-ud-test,2096,0,1121,,23.0,111.0,8.0,,17.0,,,,9.0,,,,30.0,,,,,5.0,2.0,7.0,2.0,,,,87.0,112.0,4.0,1.0,677.0,16.0,1.0,,7.0,,2.0
cu_proiel-ud-dev,2205,0,1117,,23.0,105.0,5.0,,23.0,,,,2.0,,,,13.0,,,,,,,4.0,2.0,,,,95.0,109.0,6.0,,709.0,14.0,,,3.0,,4.0
hy_bsut-ud-train,1226,0,2455,,4.0,15.0,,,23.0,,1.0,,,,29.0,,,1.0,44.0,,,3.0,,9.0,86.0,56.0,,,1420.0,11.0,,212.0,489.0,10.0,15.0,,16.0,,11.0
hy_bsut-ud-test,595,0,1260,,2.0,10.0,,,9.0,,,,,,20.0,,,,28.0,,,1.0,,4.0,20.0,25.0,,,743.0,6.0,,114.0,227.0,1.0,7.0,,37.0,,6.0
hy_bsut-ud-dev,479,0,1387,,1.0,8.0,,,9.0,,,,,,17.0,,,,43.0,1.0,1.0,,,4.0,25.0,47.0,,,846.0,14.0,,91.0,260.0,3.0,5.0,,9.0,,3.0
mdf_jr-ud-test,454,0,71,,,1.0,,,2.0,,,,,,,,,,,,,,,,1.0,,,,5.0,,,,55.0,,,,3.0,,4.0
mdf_jr-ud-train,20,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,
la_llct-ud-dev,850,0,425,,1.0,,,,4.0,,,,,,,,,,,,,,,,,,,,6.0,1.0,,,413.0,,,,,,
la_llct-ud-test,884,0,445,,,1.0,,,11.0,,,,,,,,,,,,,,,1.0,,,,,8.0,,,,424.0,,,,,,
la_llct-ud-train,7289,0,3294,,14.0,2.0,,,343.0,,,,,,,,,,,,,4.0,,11.0,41.0,,,,54.0,8.0,,,2815.0,1.0,,,,,1.0
es_pud-ud-test,1000,0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,,,,,,
hsb_ufal-ud-test,623,0,79,,,,,,1.0,,,,,,,,,,,,,,2.0,,1.0,12.0,,,23.0,,,9.0,31.0,,,,,,
hsb_ufal-ud-train,23,0,3,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,
sr_set-ud-test,520,0,114,,1.0,,,,3.0,,,,,,,,,,,,,,,,11.0,,,,21.0,,,1.0,77.0,,,,,,
sr_set-ud-train,3328,0,648,,5.0,,,,13.0,,,,,,,,,,,,1.0,,,1.0,25.0,1.0,,1.0,115.0,1.0,3.0,6.0,475.0,,1.0,,,,
sr_set-ud-dev,536,0,95,,,,,,,,,,,,,,,,,,,,,,11.0,,,,11.0,,,,73.0,,,,,,
myv_jr-ud-test,921,0,136,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,125.0,1.0,,,5.0,,
myv_jr-ud-train,1217,0,145,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,133.0,6.0,,,3.0,,
tr_framenet-ud-test,205,0,73,,,,,,,,,,1.0,,24.0,,,,,,,,,,,,,,3.0,,,8.0,37.0,,,,,,
tr_framenet-ud-train,2288,0,777,,,19.0,,,,,,,31.0,,275.0,,,,,,,,,,,1.0,,,22.0,3.0,,69.0,357.0,,,,,,
tr_framenet-ud-dev,205,0,68,,,3.0,,,,,,,7.0,,21.0,,,,,,,,,,,,,,,1.0,,11.0,25.0,,,,,,
ky_ktmu-ud-train,80,0,27,,1.0,,2.0,,,,,,2.0,,1.0,,,,,,,,,,1.0,,,,12.0,,,,8.0,,,,,,
ky_ktmu-ud-test,701,0,293,,9.0,14.0,3.0,,,,,,3.0,,13.0,,,1.0,,,,,,2.0,1.0,,,,90.0,7.0,1.0,7.0,140.0,,2.0,,,,
la_proiel-ud-test,1260,0,401,,5.0,12.0,6.0,,7.0,,,,,,,,,1.0,,,,1.0,,1.0,,,,,3.0,1.0,3.0,,352.0,7.0,,,2.0,,
la_proiel-ud-dev,1233,0,403,,5.0,8.0,1.0,,7.0,,,,2.0,,,,,,,,,1.0,,,,,,,8.0,1.0,,,364.0,3.0,,,2.0,,1.0
la_proiel-ud-train,16196,0,5022,,51.0,123.0,17.0,,59.0,,,,11.0,,,,,,,,,6.0,,3.0,25.0,,,,28.0,6.0,10.0,2.0,4490.0,131.0,5.0,,38.0,,17.0
kpv_ikdp-ud-test,214,0,12,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,2.0,1.0,,2.0,5.0,,,,,,
kpv_lattice-ud-test,643,0,57,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,51.0,,,,3.0,,
kpv_lattice-ud-train,20,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,
tt_nmctt-ud-test,148,0,70,,,,,,,,,,,,1.0,,,,1.0,,,,,,2.0,,,,9.0,1.0,,,56.0,,,,,,
tr_gb-ud-test,2880,0,773,,3.0,51.0,,,,2.0,,,1.0,,20.0,,4.0,,,,,,,3.0,,,,,23.0,3.0,2.0,,647.0,1.0,,,9.0,,4.0
grc_proiel-ud-test,1047,0,725,,12.0,29.0,32.0,,12.0,,,,,,,,2.0,,,,,,,,,,,,46.0,3.0,3.0,1.0,560.0,9.0,,,5.0,,11.0
grc_proiel-ud-train,15016,0,10356,,128.0,408.0,181.0,,213.0,,,,22.0,,,,32.0,3.0,3.0,,,18.0,,9.0,55.0,,,,479.0,32.0,51.0,25.0,8250.0,243.0,5.0,,101.0,1.0,97.0
grc_proiel-ud-dev,1019,0,708,,10.0,24.0,4.0,,17.0,,,,1.0,,,,2.0,,,,,2.0,,,2.0,,,,50.0,3.0,4.0,2.0,563.0,14.0,,,6.0,,4.0
nds_lsdc-ud-train,500,0,176,,,1.0,,,4.0,,,,,,,,,,,,,,,,,17.0,,,18.0,2.0,1.0,12.0,118.0,,,,3.0,,
nds_lsdc-ud-test,500,0,102,,,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,8.0,,,7.0,2.0,2.0,10.0,69.0,,,,1.0,,
fo_oft-ud-test,1208,0,892,,,3.0,,,2.0,,,,1.0,,7.0,,,,4.0,,,,,,9.0,1.0,,,265.0,4.0,28.0,19.0,393.0,1.0,,,154.0,,1.0
ru_taiga-ud-train,16045,0,3269,,28.0,,2.0,,39.0,,,,4.0,,,,,,,,,,,67.0,20.0,1706.0,1.0,,313.0,4.0,8.0,14.0,875.0,31.0,112.0,,42.0,,3.0
ru_taiga-ud-dev,946,0,161,,2.0,,,,2.0,,,,,,,,,,,,,,,2.0,,77.0,,,19.0,,2.0,4.0,41.0,4.0,8.0,,,,
ru_taiga-ud-test,881,0,175,,,,,,2.0,,,,,,,,,,,,,,,2.0,,87.0,,,21.0,,,3.0,44.0,8.0,7.0,,1.0,,
tpn_tudet-ud-test,581,0,28,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,1.0
ga_idt-ud-train,4005,0,239,,,,,,,,,,,,,,,,,,,,,59.0,,,,3.0,91.0,,,,83.0,,,,1.0,,2.0
ga_idt-ud-test,454,0,13,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,7.0,,,,4.0,,,,,,
ga_idt-ud-dev,451,0,25,,,,,,,,,,,,,,,,,,,,,6.0,,,,,8.0,,,,10.0,,,,,,1.0
ro_art-ud-test,50,0,13,,,,,,,,,,,,,,,,,,,,4.0,,,7.0,,,2.0,,,,,,,,,,
ceb_gja-ud-test,188,0,9,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,
cs_cltt-ud-dev,316,0,112,,,,,,,,,,,,,,,,,,,,,2.0,,,,,24.0,,,,85.0,,,,1.0,,
cs_cltt-ud-train,467,0,140,,,,,,,,,,,,,,,,,,,,,3.0,,,,,56.0,1.0,,,80.0,,,,,,
cs_cltt-ud-test,338,0,208,,2.0,1.0,,,1.0,,,,,,,,,,6.0,,,,,1.0,,,,,41.0,1.0,1.0,,154.0,,,,,,
tl_trg-ud-test,128,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,1.0,,,,,,
hy_armtdp-ud-train,1974,0,4589,,41.0,27.0,,,55.0,,1.0,,4.0,,65.0,,,,13.0,,1.0,3.0,,9.0,117.0,129.0,,,2557.0,2.0,,516.0,965.0,7.0,31.0,,33.0,,13.0
hy_armtdp-ud-dev,249,0,741,,2.0,3.0,,,2.0,,1.0,,,,2.0,,,,1.0,,,,,1.0,7.0,12.0,,,468.0,,,72.0,153.0,1.0,6.0,,8.0,,2.0
hy_armtdp-ud-test,277,0,570,,2.0,,,,2.0,,,,,,15.0,,,,,1.0,,,,,26.0,10.0,,,342.0,,,37.0,122.0,3.0,3.0,,7.0,,
mk_mtb-ud-test,155,0,33,,,,,,,,,,,,,,,,,,,,8.0,,,24.0,,,1.0,,,,,,,,,,
is_gc-ud-test,540,0,1032,,6.0,13.0,15.0,,,,,,13.0,,,,2.0,,1.0,,,,,8.0,34.0,31.0,,1.0,67.0,26.0,25.0,90.0,650.0,,,,35.0,,15.0
is_gc-ud-train,3960,0,8072,,89.0,77.0,248.0,,,9.0,,,49.0,,,,14.0,1.0,15.0,,,,1.0,50.0,183.0,228.0,,11.0,602.0,217.0,151.0,665.0,5013.0,,,,286.0,,163.0
is_gc-ud-dev,500,0,1073,,10.0,10.0,24.0,,,1.0,,,9.0,,,,3.0,,2.0,,,,,8.0,10.0,24.0,,2.0,99.0,43.0,18.0,88.0,673.0,,,,31.0,,18.0
ota_boun-ud-train,114,0,74,,,,,,,,,,10.0,,3.0,,,,,,,,,,2.0,5.0,,,4.0,,,14.0,35.0,,,,1.0,,
ota_boun-ud-test,400,0,271,,4.0,7.0,,,,1.0,,,27.0,,11.0,,,,,,,1.0,,,,12.0,,,14.0,3.0,,45.0,144.0,,,,1.0,,1.0
ru_syntagrus-ud-train,69630,0,22286,,398.0,19.0,16.0,,247.0,,,,5.0,,,,,2.0,,,,,,566.0,228.0,8966.0,,,3511.0,17.0,116.0,,6391.0,94.0,1522.0,,160.0,,28.0
ru_syntagrus-ud-dev,8906,0,2841,,62.0,4.0,1.0,,41.0,,,,,,,,,,,,,,,62.0,48.0,1164.0,,,471.0,2.0,12.0,,799.0,15.0,139.0,,17.0,,4.0
ru_syntagrus-ud-test,8800,0,3021,,42.0,3.0,6.0,,44.0,,,,1.0,,1.0,,,2.0,,,,,,67.0,49.0,1236.0,,,387.0,,18.0,,975.0,12.0,165.0,,11.0,,2.0
grc_ptnk-ud-train,727,0,907,,44.0,6.0,,,23.0,,,,12.0,,,,1.0,,,,,5.0,,,,456.0,,,45.0,10.0,9.0,15.0,260.0,6.0,7.0,,8.0,,
grc_ptnk-ud-dev,439,0,351,,20.0,2.0,,,8.0,,,,3.0,,,,1.0,,,,,2.0,,,,150.0,,,25.0,5.0,11.0,9.0,107.0,2.0,3.0,,3.0,,
grc_ptnk-ud-test,410,0,494,,11.0,,,,14.0,,,,5.0,,,,1.0,1.0,,,,8.0,,,,300.0,,,22.0,4.0,3.0,17.0,103.0,,1.0,,3.0,,1.0
sjo_xdt-ud-test,810,0,55,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,,1.0,,,,
pt_bosque-ud-dev,1172,0,21,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,
pt_bosque-ud-test,1167,0,21,,,,,,,,,,,,,,,,,,,,2.0,,,19.0,,,,,,,,,,,,,
pt_bosque-ud-train,7018,0,185,,,,,,,,,,,,,,,,,,,,4.0,,,177.0,,,,,,4.0,,,,,,,
