Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,amod,appos,aux,case,cc,ccomp,clf,compound,cop,csubj,dep,det,discourse,dislocated,expl,fixed,flat,iobj,list,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,reparandum,root,vocative,xcomp
sk_snk-ud-test,1061,0,514,,,,,,2.0,,,,,,,,,3.0,,,,,3.0,,,,,126.0,,5.0,,373.0,1.0,,,1.0,,
sk_snk-ud-train,8483,0,2123,,,,,,5.0,,,,,,,,,26.0,,,,,27.0,1.0,,,,388.0,,27.0,,1621.0,5.0,,,23.0,,
lt_hse-ud-train,153,0,57,,1.0,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,9.0,,,,39.0,,3.0,,2.0,,
lt_hse-ud-test,55,0,25,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,3.0,,,1.0,16.0,,,,1.0,1.0,
lt_hse-ud-dev,55,0,10,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,8.0,,,,,,
ess_sli-ud-test,309,0,27,,,,10.0,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,
sa_ufal-ud-test,230,0,49,,1.0,5.0,,,,,,,,,,,,,,,,,,1.0,,,,7.0,2.0,,,31.0,,,,2.0,,
be_hse-ud-train,22853,0,8967,3.0,58.0,15.0,1.0,,42.0,,,,32.0,,,1.0,4.0,2.0,,,,,85.0,3.0,2.0,2.0,1.0,2620.0,3.0,34.0,2.0,5484.0,35.0,75.0,,441.0,,22.0
be_hse-ud-dev,1301,0,617,1.0,5.0,1.0,,,4.0,,,,,,,,,,,,,,16.0,,1.0,,,177.0,,5.0,,347.0,11.0,4.0,,45.0,,
be_hse-ud-test,1077,0,730,,27.0,,,,2.0,,,,3.0,,,,,,,,,,65.0,,,1.0,,266.0,,3.0,,322.0,1.0,8.0,,32.0,,
gub_tudet-ud-test,1182,0,236,,,,,,5.0,,,,,,,,,,,,,,,,1.0,,,29.0,,,1.0,195.0,,1.0,,4.0,,
cs_pud-ud-test,1000,0,740,,5.0,2.0,,,7.0,,,,3.0,,3.0,,1.0,,2.0,,,,26.0,6.0,,,,217.0,,19.0,,435.0,2.0,,,10.0,,2.0
orv_ruthenian-ud-test,390,0,298,,4.0,,,,4.0,,,,,,,,,,,,,,,2.0,,,,28.0,,18.0,1.0,224.0,11.0,1.0,1.0,4.0,,
orv_ruthenian-ud-train,2789,0,1594,,13.0,15.0,,,98.0,,,,4.0,,3.0,,,,,,1.0,,,6.0,,,,205.0,5.0,21.0,5.0,1155.0,12.0,2.0,1.0,45.0,,3.0
orv_ruthenian-ud-dev,344,0,121,,1.0,,,,8.0,,,,,,,,,,,,1.0,,,1.0,,,,10.0,1.0,3.0,1.0,88.0,2.0,1.0,,4.0,,
lzh_tuecl-ud-test,100,0,36,,,,,,,,,,,,,,,,,,,,,2.0,,,,12.0,5.0,,7.0,8.0,,1.0,,1.0,,
ml_ufal-ud-test,218,0,92,,3.0,2.0,,,,,,,,,,,,,,,,,,3.0,,,,12.0,2.0,,1.0,69.0,,,,,,
apu_ufpa-ud-test,161,0,18,,1.0,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,12.0,,,,1.0,,
egy_ujaen-ud-test,721,0,19,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,11.0,3.0,,2.0,,,,,,1.0,
nyq_aha-ud-test,10,0,1,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mr_ufal-ud-dev,46,0,11,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,7.0,,,,3.0,,
mr_ufal-ud-test,47,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,1.0,,
mr_ufal-ud-train,373,0,49,,,6.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,35.0,,2.0,,4.0,,
si_stb-ud-test,100,0,9,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,4.0,,,,2.0,,
lt_alksnis-ud-test,684,0,192,,8.0,,,,3.0,,,,,,,,,1.0,,,,,,,,,,5.0,,2.0,,173.0,,,,,,
lt_alksnis-ud-dev,617,0,244,,16.0,,,,1.0,,,,,,,,,,,,,,,3.0,,,,2.0,,3.0,,219.0,,,,,,
lt_alksnis-ud-train,2341,0,928,,32.0,,,,1.0,,,,,,,,,2.0,,,,,,2.0,,,,28.0,,19.0,,843.0,,1.0,,,,
cu_proiel-ud-train,18327,0,3531,,126.0,101.0,53.0,,70.0,,,,15.0,,,,,1.0,,,15.0,,4.0,6.0,,,,190.0,21.0,97.0,20.0,2505.0,77.0,6.0,,143.0,,81.0
cu_proiel-ud-test,2096,0,446,,20.0,19.0,15.0,,6.0,,,,,,,,,1.0,,,,,1.0,,,,,17.0,,17.0,2.0,313.0,6.0,,,15.0,,14.0
cu_proiel-ud-dev,2205,0,433,,26.0,15.0,8.0,,12.0,,,,,,,,,,,,,,,,,,,22.0,3.0,27.0,1.0,284.0,9.0,,,17.0,,9.0
hy_bsut-ud-train,1226,0,309,,2.0,2.0,,,3.0,,4.0,,,,2.0,,,3.0,,,,,11.0,1.0,,,,27.0,,,,240.0,,6.0,,8.0,,
hy_bsut-ud-test,595,0,163,,3.0,2.0,,,3.0,,2.0,,1.0,,3.0,,,2.0,,,1.0,,4.0,,,,,12.0,,,,124.0,,3.0,,3.0,,
hy_bsut-ud-dev,479,0,153,,,,,,1.0,,1.0,,,,2.0,,,,,,,,4.0,,,,,29.0,,,,114.0,,2.0,,,,
mdf_jr-ud-test,454,0,46,,1.0,,6.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,6.0,,,,2.0,,27.0
mdf_jr-ud-train,20,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
la_llct-ud-dev,850,0,37,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_llct-ud-test,884,0,34,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_llct-ud-train,7289,0,168,,,,167.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
hsb_ufal-ud-test,623,0,378,,1.0,2.0,,,3.0,,,,,,,,,,,,,,2.0,1.0,,,,145.0,,2.0,6.0,208.0,7.0,1.0,,,,
hsb_ufal-ud-train,23,0,24,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,13.0,,,,,,
sr_set-ud-test,520,0,448,,4.0,2.0,,,2.0,,,,2.0,,,,,,,1.0,,,1.0,14.0,,,,158.0,,6.0,,242.0,,5.0,,11.0,,
sr_set-ud-train,3328,0,2834,,51.0,17.0,,,11.0,,,1.0,16.0,,,,,,1.0,2.0,,1.0,4.0,42.0,,,,1017.0,3.0,11.0,,1553.0,5.0,43.0,,55.0,,1.0
sr_set-ud-dev,536,0,425,,6.0,3.0,,,1.0,,,2.0,1.0,,,,2.0,,,,,,1.0,6.0,,,,139.0,,2.0,,251.0,,9.0,,2.0,,
myv_jr-ud-test,921,0,108,,2.0,4.0,6.0,,1.0,,,,1.0,,1.0,2.0,,,,,,,,,,,,,,,,5.0,,2.0,,23.0,,61.0
myv_jr-ud-train,1217,0,121,,1.0,2.0,1.0,,1.0,,,,7.0,,,,1.0,,,,,,,,,,,,,,,12.0,,1.0,,38.0,,57.0
tr_framenet-ud-test,205,0,39,,,5.0,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,,,27.0,,,,,,
tr_framenet-ud-train,2288,0,423,,,13.0,,,,,,,2.0,,54.0,,,,,2.0,,,,,,,,51.0,2.0,,3.0,291.0,1.0,3.0,,1.0,,
tr_framenet-ud-dev,205,0,37,,,2.0,,,,,,,,,3.0,,,,,,,,,,,,,3.0,,,1.0,28.0,,,,,,
kfm_aha-ud-test,10,0,1,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ky_ktmu-ud-train,80,0,37,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,27.0,,,,4.0,,
ky_ktmu-ud-test,701,0,392,,1.0,3.0,1.0,,,,,,2.0,,4.0,,1.0,,,,,,,,,,,78.0,3.0,,,262.0,,,,37.0,,
kpv_ikdp-ud-test,214,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
kpv_lattice-ud-test,643,0,27,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,
tt_nmctt-ud-test,148,0,97,,,3.0,,,4.0,,,,,,1.0,,,,,,,,,1.0,,,,5.0,,,,80.0,,1.0,,2.0,,
tr_gb-ud-test,2880,0,657,,5.0,26.0,,,,,,,6.0,,9.0,,3.0,,,,,,2.0,1.0,,,,30.0,,2.0,,470.0,,2.0,,100.0,,1.0
ru_taiga-ud-train,16045,0,4230,,56.0,37.0,,,19.0,,,,22.0,,2.0,,2.0,,,,,,89.0,1.0,,1.0,,855.0,2.0,43.0,1.0,2647.0,14.0,98.0,1.0,336.0,,4.0
ru_taiga-ud-dev,946,0,276,,5.0,1.0,,,,,,,2.0,,,,,,,,,,6.0,,,,,47.0,,,,184.0,1.0,9.0,,21.0,,
ru_taiga-ud-test,881,0,239,,6.0,3.0,,,2.0,,,,,,,,1.0,,,,,,6.0,1.0,,,,48.0,,1.0,,145.0,5.0,7.0,,14.0,,
tpn_tudet-ud-test,581,0,62,,1.0,5.0,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,4.0,,,,45.0,,1.0,,3.0,,
cs_cltt-ud-dev,316,0,433,,1.0,,,,1.0,,,,,,,,,5.0,,,,,36.0,,,,,161.0,3.0,1.0,,223.0,1.0,,,,,1.0
cs_cltt-ud-train,467,0,527,,,,,,13.0,,,,,,,,,7.0,,,,,51.0,,,,,204.0,,,,243.0,1.0,1.0,,1.0,,6.0
cs_cltt-ud-test,338,0,380,,,,,,,,,,,,,,,4.0,,,,,61.0,,,,,133.0,2.0,,,179.0,,,,,,1.0
hy_armtdp-ud-train,1974,0,575,,3.0,,,,9.0,,,,5.0,,,,1.0,1.0,,,1.0,,11.0,2.0,,,,68.0,,,,456.0,4.0,5.0,,9.0,,
hy_armtdp-ud-dev,249,0,74,,,,,,,,,,,,,,,,,,,,2.0,,,,,4.0,,,,66.0,1.0,1.0,,,,
hy_armtdp-ud-test,277,0,68,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,63.0,,2.0,,,,
ota_boun-ud-train,114,0,60,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,54.0,,,,4.0,,
ota_boun-ud-test,400,0,222,,1.0,1.0,,,,,,,1.0,,2.0,,,,,1.0,,,,3.0,,,,9.0,,,1.0,199.0,,,,3.0,,1.0
ru_syntagrus-ud-train,69630,0,37986,,648.0,155.0,,,181.0,,,,75.0,,1.0,1.0,3.0,,,,,,1430.0,29.0,,,,9272.0,14.0,264.0,1.0,23877.0,129.0,684.0,,1206.0,,16.0
ru_syntagrus-ud-dev,8906,0,4716,,90.0,26.0,,,39.0,,,,11.0,,1.0,,1.0,,,,,,166.0,15.0,,,,1124.0,2.0,39.0,,2934.0,25.0,106.0,,136.0,,1.0
ru_syntagrus-ud-test,8800,0,5031,,93.0,15.0,,,17.0,,,,9.0,,1.0,,,,,,,,160.0,6.0,,,,1196.0,3.0,34.0,,3215.0,36.0,109.0,,136.0,,1.0
sjo_xdt-ud-test,810,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,
orv_birchbark-ud-train,1045,0,115,,,1.0,,,4.0,,,,,,,,,5.0,,,,,,10.0,,,,9.0,,3.0,,45.0,3.0,,,35.0,,
orv_birchbark-ud-dev,1062,0,162,,1.0,2.0,,,4.0,,,,,,,,,2.0,,,,,,10.0,,,,15.0,1.0,3.0,1.0,90.0,5.0,2.0,,26.0,,
orv_birchbark-ud-test,1007,0,211,,1.0,,,,3.0,,,,,,1.0,,,2.0,,,,,,12.0,,,,27.0,,8.0,1.0,111.0,4.0,3.0,,38.0,,
ltg_cairo-ud-test,20,0,4,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,
ru_poetry-ud-test,728,0,215,,,,,,1.0,,,,2.0,,,,,,,,,,1.0,,,,,33.0,,2.0,,150.0,,5.0,,21.0,,
ru_poetry-ud-dev,789,0,242,,4.0,1.0,,,3.0,,,,,,,,,,,,,,1.0,,,,,34.0,,1.0,,178.0,,1.0,,19.0,,
ru_poetry-ud-train,3569,0,1085,,17.0,3.0,,,3.0,,,,1.0,,,,,,,,1.0,,1.0,,,,,134.0,,1.0,,825.0,3.0,12.0,,84.0,,
wbp_ufal-ud-test,55,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,
cs_fictree-ud-dev,1309,0,405,,2.0,2.0,,,9.0,,,,3.0,,,,,12.0,3.0,,,,1.0,,,,,58.0,,5.0,,298.0,1.0,,,11.0,,
cs_fictree-ud-train,10160,0,2987,,10.0,16.0,,,18.0,,,,32.0,,,,1.0,103.0,14.0,,,,9.0,2.0,,,,472.0,,43.0,,2130.0,7.0,3.0,,117.0,,10.0
cs_fictree-ud-test,1291,0,367,,2.0,,,,1.0,,,,3.0,,,,,15.0,,,,,2.0,,,,,58.0,,3.0,,267.0,2.0,,,13.0,,1.0
la_udante-ud-dev,376,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,
hyw_armtdp-ud-test,680,0,2,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
hyw_armtdp-ud-train,5282,0,7,,,,,,,,,,1.0,,,,1.0,,,2.0,,,,,,,,,,,,3.0,,,,,,
sme_giella-ud-train,2257,0,668,,,12.0,,,2.0,,,,,,,,,,,,,,,2.0,,,,31.0,,3.0,,614.0,,,,4.0,,
sme_giella-ud-test,865,0,503,,,5.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,26.0,,2.0,,467.0,,1.0,,,,
ca_ancora-ud-dev,1709,0,130,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,99.0,29.0,,,,1.0,,
ca_ancora-ud-test,1846,0,141,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,95.0,45.0,,,,,,
ca_ancora-ud-train,13123,0,1046,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,803.0,239.0,,,,1.0,,
sl_sst-ud-train,4558,0,1569,,1.0,3.0,5.0,,31.0,,,,,,,,1.0,1.0,,13.0,1.0,,9.0,1.0,,,3.0,209.0,1.0,26.0,2.0,1086.0,52.0,13.0,62.0,49.0,,
sl_sst-ud-test,1041,0,263,,,,,,6.0,,,,,,,,,,,7.0,,,1.0,1.0,,,,37.0,,5.0,1.0,176.0,6.0,6.0,7.0,10.0,,
sl_sst-ud-dev,505,0,395,,1.0,,2.0,,5.0,,,,,,,,,,,4.0,,,2.0,,,,,57.0,,10.0,,287.0,7.0,2.0,10.0,8.0,,
kk_ktb-ud-test,1047,0,313,,1.0,25.0,,,1.0,2.0,,,1.0,,1.0,2.0,1.0,,,,,,,2.0,,,,19.0,,,,232.0,2.0,,,24.0,,
kk_ktb-ud-train,31,0,19,,,1.0,,,2.0,,,,,,,,,,,,,,,1.0,,,,2.0,,,,13.0,,,,,,
cs_pdt-ud-test,10146,0,6207,3.0,39.0,13.0,,,45.0,,,,14.0,,,,4.0,103.0,13.0,,,,198.0,18.0,,,,1732.0,,112.0,,3746.0,34.0,3.0,,121.0,,9.0
cs_pdt-ud-dev,9270,0,5665,5.0,27.0,13.0,,,32.0,,,,12.0,,,,2.0,103.0,17.0,,,,166.0,7.0,,,,1650.0,2.0,93.0,,3371.0,38.0,2.0,,121.0,,4.0
cs_pdt-ud-train,68491,0,41377,41.0,177.0,99.0,,,275.0,,,,135.0,,4.0,,36.0,792.0,122.0,,,,1313.0,66.0,,,4.0,11929.0,3.0,650.0,,24586.0,216.0,13.0,,853.0,,63.0
gn_oldtudet-ud-test,59,0,3,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,
ta_mwtt-ud-test,534,0,45,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,1.0,37.0,,,,,,
ota_dudu-ud-test,85,0,18,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,16.0,,,,,,
ug_udt-ud-test,900,0,189,,,11.0,5.0,,1.0,1.0,,,1.0,,3.0,,,,,1.0,,,5.0,,,,,33.0,,,,128.0,,,,,,
ug_udt-ud-dev,900,0,190,,,11.0,6.0,,,1.0,,,,,,1.0,,1.0,,,,,2.0,,,,,34.0,,,1.0,129.0,,1.0,,3.0,,
ug_udt-ud-train,1656,0,349,,,25.0,2.0,,,1.0,,,1.0,,,,,,,,,,,,,,,43.0,,,,266.0,4.0,,,7.0,,
lzh_kyoto-ud-dev,6102,0,2592,,,,,,,,,,1.0,3.0,178.0,,,,,,,,,38.0,3.0,2.0,,797.0,480.0,,779.0,256.0,,5.0,,50.0,,
lzh_kyoto-ud-train,74609,0,35132,,23.0,18.0,,,,,,,24.0,32.0,2762.0,,8.0,,,,8.0,,,460.0,66.0,16.0,,10121.0,5899.0,,10439.0,4656.0,,32.0,,566.0,,2.0
lzh_kyoto-ud-test,5528,0,2362,,4.0,1.0,,,,,,,1.0,1.0,233.0,,,,,,3.0,,,31.0,6.0,2.0,,624.0,384.0,,711.0,321.0,,4.0,,35.0,,1.0
lv_lvtb-ud-test,2412,0,1495,,8.0,1.0,,,11.0,,,,4.0,,2.0,,,13.0,,2.0,,,,,4.0,,,201.0,1.0,25.0,,1190.0,19.0,3.0,,11.0,,
lv_lvtb-ud-train,14358,0,10331,,48.0,2.0,,,78.0,,,,17.0,,24.0,,3.0,77.0,,57.0,,,1.0,4.0,32.0,,,1408.0,2.0,133.0,,8248.0,110.0,23.0,,61.0,,3.0
lv_lvtb-ud-dev,2080,0,1389,,12.0,2.0,,,24.0,,,,,,1.0,,,10.0,,10.0,,,,1.0,1.0,,,207.0,,16.0,,1068.0,25.0,3.0,,9.0,,
ta_ttb-ud-train,400,0,320,,,7.0,,,,,,,,,,,,,,,,,,,2.0,,,16.0,,5.0,1.0,289.0,,,,,,
ta_ttb-ud-dev,80,0,48,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,
ta_ttb-ud-test,120,0,77,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,72.0,,,,,,
xum_ikuvina-ud-test,133,0,16,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,14.0,,,,,,
ru_pud-ud-test,1000,0,805,,9.0,,,,8.0,,,,,,,,,,,,,,35.0,8.0,,,,191.0,,10.0,1.0,528.0,5.0,3.0,,7.0,,
la_ittb-ud-dev,2101,0,6,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,
la_ittb-ud-test,2101,0,6,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
la_ittb-ud-train,22775,0,163,,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.0,,
qtd_sagt-ud-test,805,0,180,,2.0,5.0,,,,,,,,,2.0,,,,,,2.0,,,,,,1.0,10.0,,,,142.0,,7.0,2.0,7.0,,
qtd_sagt-ud-dev,801,0,186,,,5.0,1.0,,,,,,2.0,,2.0,,,,,,,,,,,,,22.0,,2.0,,147.0,,,1.0,3.0,,1.0
qtd_sagt-ud-train,578,0,155,,,1.0,,,,,,,1.0,,1.0,,,,,,1.0,,,2.0,,,,6.0,,1.0,,135.0,,,2.0,3.0,,2.0
pl_pud-ud-test,1000,0,959,,23.0,2.0,,104.0,2.0,,,,,,,,,,16.0,,,,75.0,16.0,1.0,,,210.0,,8.0,,498.0,1.0,,,3.0,,
orv_torot-ud-test,2955,0,689,,20.0,14.0,12.0,,43.0,,,,2.0,,,,,,,,3.0,,4.0,3.0,,,,35.0,1.0,4.0,2.0,477.0,28.0,1.0,,30.0,,10.0
orv_torot-ud-dev,3061,0,638,,6.0,12.0,8.0,,39.0,,,,1.0,,,1.0,1.0,,,,1.0,,5.0,4.0,,,,31.0,1.0,7.0,1.0,454.0,26.0,1.0,,30.0,,9.0
orv_torot-ud-train,20480,0,5091,,102.0,103.0,35.0,,313.0,,,,13.0,,,1.0,2.0,,,,16.0,,44.0,33.0,,,,309.0,5.0,68.0,14.0,3533.0,203.0,1.0,,234.0,,62.0
