Treebank,Number of Sentences,Failures,Total,_,acl,advcl,appos,ccomp,compound,conj,csubj,dep,discourse,dislocated,fixed,flat,iobj,list,nmod,nsubj,nummod,obj,obl,orphan,parataxis,reparandum,root,vocative,xcomp
be_hse-ud-test,1077,0,1580,1.0,,,9.0,,,,,,,,4.0,83.0,,,1203.0,33.0,1.0,37.0,177.0,2.0,10.0,,20.0,,
et_ewt-ud-train,5444,0,2224,,7.0,11.0,2.0,3.0,,,1.0,,,,,4.0,,,1213.0,6.0,,346.0,575.0,2.0,11.0,,42.0,,1.0
et_ewt-ud-test,913,0,518,,,,,,,,1.0,,,,,2.0,,,299.0,1.0,,91.0,115.0,4.0,1.0,,4.0,,
et_ewt-ud-dev,833,0,315,,1.0,,,,,,,,,,,,,,146.0,2.0,,77.0,74.0,,6.0,,8.0,,1.0
wo_wtb-ud-dev,449,0,251,,14.0,1.0,15.0,3.0,,,,,,19.0,,,6.0,,26.0,30.0,,50.0,74.0,,2.0,,7.0,,4.0
wo_wtb-ud-test,470,0,327,,2.0,,13.0,6.0,5.0,,,,,31.0,,,11.0,,49.0,46.0,,68.0,79.0,,1.0,,13.0,,3.0
wo_wtb-ud-train,1188,0,636,,7.0,4.0,16.0,3.0,3.0,,,,,46.0,,,17.0,,75.0,72.0,,162.0,192.0,1.0,8.0,,29.0,,1.0
cs_pud-ud-test,1000,0,1167,,2.0,2.0,16.0,1.0,3.0,,,,,,2.0,,,,822.0,32.0,,31.0,247.0,2.0,,,7.0,,
orv_ruthenian-ud-test,390,0,362,,,1.0,36.0,,,,,,,1.0,,,,,110.0,7.0,,79.0,117.0,7.0,1.0,,3.0,,
orv_ruthenian-ud-train,2789,0,4011,,30.0,5.0,497.0,3.0,2.0,,1.0,,,3.0,1.0,10.0,2.0,,1686.0,95.0,12.0,601.0,914.0,74.0,6.0,4.0,59.0,,6.0
orv_ruthenian-ud-dev,344,0,237,,,,35.0,,,,,,,,,,,,66.0,12.0,,76.0,28.0,10.0,,,10.0,,
ml_ufal-ud-test,218,0,41,,,,,,,,,,,,,1.0,,,39.0,,,,1.0,,,,,,
egy_ujaen-ud-test,721,0,87,,,,,,16.0,,,,,,7.0,,,,61.0,1.0,,,,,,,2.0,,
de_pud-ud-test,1000,0,450,,,,2.0,,9.0,,,,,,,,,,390.0,,,3.0,46.0,,,,,,
ro_simonero-ud-test,491,0,722,,,,1.0,,,,,,,,,,36.0,,658.0,,,1.0,26.0,,,,,,
ro_simonero-ud-train,3747,0,5613,,,1.0,3.0,,,,,,,,,,232.0,,5127.0,2.0,,1.0,246.0,,,,1.0,,
ro_simonero-ud-dev,443,0,762,,,,3.0,,,,,,,,,,29.0,,700.0,,,,30.0,,,,,,
sq_tsa-ud-test,60,0,45,,,,,,,,,,,,,,,,44.0,1.0,,,,,,,,,
si_stb-ud-test,100,0,12,,,,,,1.0,,,1.0,,,,,,,10.0,,,,,,,,,,
ar_padt-ud-dev,909,0,6015,,,,74.0,,,,,14.0,,,85.0,,,,4091.0,25.0,,,1700.0,3.0,3.0,,8.0,,12.0
ar_padt-ud-train,6075,0,47758,,5.0,3.0,269.0,5.0,,,,65.0,,2.0,844.0,,,,33160.0,117.0,,,13077.0,45.0,18.0,,45.0,,103.0
ar_padt-ud-test,680,0,6196,,,,27.0,2.0,,,,11.0,,,101.0,,,,4262.0,18.0,,,1749.0,3.0,,,7.0,,16.0
lt_alksnis-ud-test,684,0,970,,,,1.0,,,,,,,,,2.0,,,634.0,2.0,,,327.0,,3.0,,1.0,,
lt_alksnis-ud-dev,617,0,1423,,1.0,1.0,,,,,,,,,,13.0,,,1060.0,3.0,,,335.0,,1.0,,9.0,,
lt_alksnis-ud-train,2341,0,6400,,,1.0,,,,,,9.0,,,,43.0,,,4794.0,24.0,,,1497.0,,18.0,,13.0,,1.0
cu_proiel-ud-train,18327,0,6377,,33.0,44.0,240.0,7.0,,,,96.0,,13.0,6.0,,,,2155.0,76.0,,1217.0,2235.0,60.0,15.0,,91.0,12.0,77.0
cu_proiel-ud-test,2096,0,853,,5.0,5.0,24.0,1.0,,,,10.0,,2.0,1.0,,,,292.0,21.0,,161.0,310.0,3.0,,,7.0,1.0,10.0
cu_proiel-ud-dev,2205,0,751,,2.0,1.0,38.0,,,,,4.0,,3.0,1.0,,,,272.0,6.0,,141.0,263.0,5.0,,,2.0,,13.0
olo_kkpp-ud-test,106,0,62,,,,,,,,,,,,,,,,46.0,,,5.0,11.0,,,,,,
olo_kkpp-ud-train,19,0,1,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
hy_bsut-ud-train,1226,0,15,,,,,,1.0,,,,,,4.0,,,,8.0,2.0,,,,,,,,,
hy_bsut-ud-test,595,0,3,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,
hy_bsut-ud-dev,479,0,1,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
mdf_jr-ud-test,454,0,273,,,,1.0,,,,,,,,,4.0,,,122.0,1.0,,85.0,59.0,,,,1.0,,
mdf_jr-ud-train,20,0,9,,,,,,,,,,,,,,,,1.0,,,6.0,,2.0,,,,,
vep_vwt-ud-test,103,0,44,,,,,,,,,,,,,,,,23.0,,,3.0,18.0,,,,,,
la_llct-ud-dev,850,0,444,,9.0,,,,,,,,,1.0,,,,,417.0,4.0,,,13.0,,,,,,
la_llct-ud-test,884,0,524,,4.0,,,,,,,,,1.0,,,,,513.0,,,,5.0,,,,1.0,,
la_llct-ud-train,7289,0,5331,,33.0,,1.0,,,,,,,1.0,,1.0,,,5225.0,4.0,,1.0,55.0,1.0,2.0,1.0,3.0,,3.0
hsb_ufal-ud-test,623,0,541,,,,10.0,,,,,,,,,,1.0,,387.0,25.0,,24.0,88.0,1.0,1.0,,3.0,,1.0
hsb_ufal-ud-train,23,0,22,,,,,,,,,,,,,,,,15.0,,,1.0,6.0,,,,,,
fi_tdt-ud-train,12217,0,10737,,,9.0,49.0,5.0,14.0,,,,,,,19.0,,,7350.0,665.0,,1482.0,1072.0,27.0,2.0,,40.0,,3.0
fi_tdt-ud-test,1555,0,1404,,,1.0,7.0,2.0,1.0,,,,,,,4.0,,,995.0,87.0,,200.0,100.0,2.0,,,5.0,,
fi_tdt-ud-dev,1364,0,1192,,,2.0,3.0,2.0,3.0,,,,,,,2.0,,,803.0,64.0,,195.0,110.0,,1.0,,7.0,,
sr_set-ud-test,520,0,917,,,1.0,15.0,3.0,,,,,,,,22.0,,,549.0,21.0,,24.0,264.0,,11.0,,7.0,,
sr_set-ud-train,3328,0,5821,,4.0,2.0,66.0,7.0,,,,1.0,1.0,,3.0,141.0,,3.0,3320.0,195.0,,181.0,1743.0,4.0,110.0,,34.0,,6.0
sr_set-ud-dev,536,0,895,,1.0,,8.0,,,,,,,,1.0,19.0,,,513.0,35.0,,27.0,273.0,,15.0,,3.0,,
ar_pud-ud-test,1000,0,3629,,12.0,3.0,31.0,,3.0,,,,,,37.0,,2.0,,1926.0,71.0,1.0,94.0,1439.0,,1.0,,8.0,,1.0
myv_jr-ud-test,921,0,702,,,,7.0,,10.0,,,,,,1.0,,,,312.0,4.0,,274.0,91.0,1.0,,,2.0,,
myv_jr-ud-train,1217,0,578,,,1.0,1.0,,1.0,,,,,1.0,2.0,3.0,,,256.0,9.0,,214.0,76.0,3.0,,,5.0,6.0,
tr_framenet-ud-test,205,0,30,,,,,,2.0,,,,,,,,,,26.0,1.0,,1.0,,,,,,,
tr_framenet-ud-train,2288,0,368,,,,,3.0,18.0,,,,,,,,,,307.0,38.0,,2.0,,,,,,,
tr_framenet-ud-dev,205,0,28,,,,,,1.0,,,,,,,,,,24.0,3.0,,,,,,,,,
ky_ktmu-ud-train,80,0,18,,,,,,,,,,,,,,,,14.0,2.0,,1.0,1.0,,,,,,
ky_ktmu-ud-test,701,0,291,,5.0,,,4.0,3.0,,2.0,,,,2.0,1.0,,,185.0,33.0,,32.0,19.0,,,,5.0,,
la_proiel-ud-test,1260,0,418,,,1.0,11.0,1.0,,,,,,,,,,,379.0,7.0,,1.0,15.0,,,,3.0,,
la_proiel-ud-dev,1233,0,358,,2.0,,4.0,2.0,,,,,,1.0,,,,,320.0,7.0,,1.0,11.0,,1.0,,8.0,,1.0
la_proiel-ud-train,16196,0,4796,,35.0,10.0,63.0,19.0,,,1.0,1.0,,3.0,,,,,4370.0,78.0,,19.0,120.0,5.0,1.0,,47.0,4.0,20.0
kpv_ikdp-ud-test,214,0,19,,,,1.0,,,,,,,,,,,,8.0,,,,7.0,,,,3.0,,
kpv_lattice-ud-test,643,0,39,,1.0,,1.0,,,,,,,,,4.0,,,26.0,,,,4.0,,,,3.0,,
tt_nmctt-ud-test,148,0,47,,,,,,,,,,,,,,,,46.0,,,,1.0,,,,,,
mpu_tudet-ud-test,37,0,8,,,,,,,,,,,,,,,,3.0,1.0,,2.0,,,,,2.0,,
tr_gb-ud-test,2880,0,220,,,,,,,,,,,,,,,,139.0,67.0,,,14.0,,,,,,
sv_lines-ud-dev,1032,0,82,,,,1.0,,,,,,,,,,,,78.0,,,2.0,1.0,,,,,,
sv_lines-ud-train,3176,0,279,,,,,1.0,1.0,,,,,,,,,,267.0,1.0,,1.0,7.0,,,,1.0,,
sv_lines-ud-test,1035,0,72,,,,,,,,,,,,,,,,70.0,,,,1.0,,,,1.0,,
grc_proiel-ud-test,1047,0,490,,5.0,1.0,7.0,,,,,,,1.0,,,,,247.0,22.0,,5.0,191.0,1.0,,,1.0,,9.0
grc_proiel-ud-train,15016,0,7356,,29.0,55.0,204.0,13.0,,,,1.0,,13.0,,,,,3878.0,269.0,,67.0,2607.0,70.0,7.0,,93.0,,50.0
grc_proiel-ud-dev,1019,0,513,,1.0,2.0,13.0,,,,,,,,,,,,258.0,29.0,,7.0,187.0,4.0,,,3.0,,9.0
nds_lsdc-ud-train,500,0,9,,,,,,,,,,,,,,,,2.0,,,,6.0,,,,1.0,,
nds_lsdc-ud-test,500,0,17,,,,,,,,,,,,,,,,5.0,,,1.0,9.0,1.0,,,,1.0,
fo_oft-ud-test,1208,0,43,,,,,,,,,,,,,,,,18.0,2.0,,,14.0,,,,8.0,,1.0
ru_taiga-ud-train,16045,0,8587,,6.0,5.0,58.0,10.0,1.0,,2.0,1.0,,,45.0,64.0,,2.0,4953.0,703.0,17.0,436.0,1881.0,20.0,115.0,,262.0,1.0,5.0
ru_taiga-ud-dev,946,0,432,,1.0,4.0,4.0,,,,,,,,2.0,7.0,,,216.0,25.0,1.0,39.0,111.0,2.0,3.0,,16.0,1.0,
ru_taiga-ud-test,881,0,553,,,,2.0,,,,,,,1.0,1.0,8.0,2.0,,332.0,29.0,1.0,27.0,108.0,5.0,14.0,,21.0,,2.0
fi_pud-ud-test,1000,0,1017,,2.0,1.0,4.0,1.0,,,,,,,,2.0,,,661.0,31.0,,194.0,117.0,,1.0,,1.0,,2.0
ga_idt-ud-train,4005,0,4903,,,3.0,1.0,,113.0,,,,,,3.0,1.0,,,4208.0,4.0,,126.0,418.0,,3.0,,2.0,,21.0
ga_idt-ud-test,454,0,402,,,,,,24.0,,,,,,,1.0,,1.0,321.0,,,17.0,33.0,,1.0,,,,4.0
ga_idt-ud-dev,451,0,415,,,,,,16.0,,,,,,,,,,345.0,,,15.0,35.0,,,,1.0,,3.0
cs_cltt-ud-dev,316,0,1237,,,3.0,,,,,,5.0,,,7.0,,,,1000.0,6.0,,,215.0,,,,,,1.0
cs_cltt-ud-train,467,0,1366,,2.0,4.0,3.0,,,,,7.0,,,21.0,,,,1120.0,3.0,,1.0,196.0,1.0,,,8.0,,
cs_cltt-ud-test,338,0,1050,,,,1.0,,,,,6.0,,,6.0,,,,844.0,8.0,,1.0,182.0,2.0,,,,,
hy_armtdp-ud-train,1974,0,46,,,,,,21.0,,,,,,4.0,,,,21.0,,,,,,,,,,
hy_armtdp-ud-dev,249,0,1,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
hy_armtdp-ud-test,277,0,7,,,,,,6.0,,,,,,,,,,1.0,,,,,,,,,,
is_gc-ud-test,540,0,309,,1.0,1.0,,,,,,,,,,3.0,,,209.0,1.0,,12.0,80.0,,,,1.0,,1.0
is_gc-ud-train,3960,0,2350,,2.0,10.0,,1.0,,,,1.0,,,,29.0,6.0,,1556.0,27.0,,73.0,623.0,,,,5.0,,17.0
is_gc-ud-dev,500,0,352,,1.0,1.0,,,,,,,,,,4.0,,,238.0,3.0,,6.0,97.0,,,,1.0,,1.0
ota_boun-ud-train,114,0,73,,,,,,,,,,,,,,,,54.0,19.0,,,,,,,,,
ota_boun-ud-test,400,0,232,,,,,,,,,,,1.0,1.0,2.0,,,181.0,45.0,,,1.0,,,,1.0,,
et_edt-ud-dev,3128,0,2611,,8.0,11.0,8.0,2.0,,,,,,,,3.0,,,1764.0,6.0,,267.0,500.0,7.0,7.0,,26.0,,2.0
et_edt-ud-train,24615,0,21964,,51.0,70.0,69.0,21.0,2.0,,3.0,,,,,16.0,,,14632.0,42.0,,2432.0,4402.0,20.0,69.0,,132.0,,3.0
et_edt-ud-test,3214,0,3243,,9.0,13.0,13.0,5.0,,,,,,,,4.0,,,2267.0,5.0,,341.0,551.0,4.0,6.0,,22.0,,3.0
ru_syntagrus-ud-train,69630,0,87645,,72.0,110.0,520.0,33.0,163.0,,2.0,,,,517.0,897.0,152.0,,61734.0,3267.0,741.0,997.0,16555.0,115.0,1081.0,,676.0,,13.0
ru_syntagrus-ud-dev,8906,0,10916,,22.0,11.0,53.0,3.0,23.0,,1.0,,,,62.0,56.0,29.0,,7854.0,377.0,66.0,107.0,2001.0,15.0,155.0,,81.0,,
ru_syntagrus-ud-test,8800,0,10965,,14.0,13.0,51.0,3.0,18.0,,1.0,,,,50.0,154.0,18.0,,7430.0,445.0,95.0,91.0,2326.0,24.0,158.0,,74.0,,
grc_ptnk-ud-train,727,0,535,,17.0,3.0,44.0,2.0,,,,,,1.0,,,,,261.0,4.0,,6.0,189.0,2.0,1.0,,4.0,,1.0
grc_ptnk-ud-dev,439,0,427,,14.0,1.0,24.0,,,,,,,2.0,,,,,236.0,2.0,,3.0,132.0,5.0,2.0,,6.0,,
grc_ptnk-ud-test,410,0,361,,2.0,,36.0,4.0,,,,,,,,,,,186.0,2.0,,1.0,125.0,,,,4.0,,1.0
sv_pud-ud-test,1000,0,118,,,,,,,,,,,,1.0,1.0,,,110.0,,,2.0,4.0,,,,,,
sjo_xdt-ud-test,810,0,191,,,,1.0,,4.0,,,,,,,,,,158.0,11.0,,1.0,16.0,,,,,,
akk_riao-ud-test,1874,0,1329,,2.0,,65.0,,,,,,,,,,,,716.0,,,7.0,526.0,,,,13.0,,
orv_birchbark-ud-train,1045,0,270,,,,20.0,,,,,8.0,,,,,,2.0,104.0,57.0,,27.0,24.0,1.0,1.0,,26.0,,
orv_birchbark-ud-dev,1062,0,415,,,,18.0,,,,,6.0,,,,2.0,1.0,,130.0,91.0,1.0,85.0,34.0,12.0,1.0,1.0,33.0,,
orv_birchbark-ud-test,1007,0,484,,,,11.0,,,,,,,,,,3.0,,168.0,113.0,,107.0,44.0,10.0,4.0,3.0,20.0,1.0,
is_icepahc-ud-dev,4865,0,2071,,10.0,14.0,48.0,7.0,,,,1.0,,,,,3.0,,966.0,24.0,,148.0,824.0,,2.0,,12.0,1.0,11.0
is_icepahc-ud-train,34007,0,11573,,48.0,73.0,745.0,40.0,,,,5.0,,,,,24.0,,4865.0,183.0,,938.0,4502.0,,9.0,,79.0,11.0,51.0
is_icepahc-ud-test,5157,0,2313,,7.0,19.0,66.0,12.0,,,,,,,,,2.0,,1131.0,32.0,,171.0,833.0,,1.0,,19.0,,20.0
de_lit-ud-test,1920,0,303,,1.0,,,,,,,,,,,,,,282.0,,,1.0,16.0,,2.0,,1.0,,
ltg_cairo-ud-test,20,0,2,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,
ru_poetry-ud-test,728,0,467,,,,2.0,,,,,,,,3.0,1.0,,,279.0,31.0,,37.0,107.0,,1.0,,6.0,,
ru_poetry-ud-dev,789,0,455,,,,4.0,,,,,,,,2.0,1.0,1.0,,250.0,24.0,,42.0,111.0,2.0,3.0,,14.0,,1.0
ru_poetry-ud-train,3569,0,2115,,1.0,2.0,19.0,1.0,,,,,,,6.0,4.0,2.0,,1310.0,93.0,,172.0,445.0,5.0,8.0,,46.0,,1.0
fo_farpahc-ud-test,301,0,39,,,,1.0,,,,,,,,,,,,22.0,,,,16.0,,,,,,
fo_farpahc-ud-train,1020,0,77,,1.0,,,,,,,,,,,,,,44.0,,,,31.0,,,,1.0,,
fo_farpahc-ud-dev,300,0,60,,,,3.0,,,,,,,,,,,,35.0,,,,22.0,,,,,,
is_modern-ud-dev,394,0,149,,1.0,1.0,2.0,,,,,,,,,,,,106.0,,,4.0,34.0,,,,1.0,,
