Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,case,ccomp,clf,compound,csubj,dep,discourse,dislocated,fixed,flat,iobj,list,nmod,nsubj,nummod,obj,obl,orphan,parataxis,reparandum,root,vocative,xcomp
cs_cltt-ud-train,467,0,506,,,,,13.0,,,,,,6.0,,,50.0,,,,202.0,,,,226.0,1.0,1.0,,1.0,,6.0
cs_cltt-ud-test,338,0,348,,,,,,,,,,,4.0,,,61.0,,,,133.0,2.0,,,147.0,,,,,,1.0
hy_armtdp-ud-train,1974,0,485,,2.0,,,8.0,,5.0,,,1.0,1.0,,1.0,4.0,,,,55.0,,,,391.0,4.0,4.0,,9.0,,
hy_armtdp-ud-dev,249,0,70,,,,,,,,,,,,,,1.0,,,,4.0,,,,63.0,1.0,1.0,,,,
hy_armtdp-ud-test,277,0,63,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,58.0,,2.0,,,,
ota_boun-ud-train,114,0,53,,,,,,,,,,,,,,,,,,1.0,,,,49.0,,,,3.0,,
ota_boun-ud-test,400,0,194,,1.0,,,,,,,,,,1.0,,,2.0,,,9.0,,,1.0,176.0,,,,3.0,,1.0
ru_syntagrus-ud-train,69630,0,28956,,106.0,108.0,,123.0,,58.0,,,2.0,,,,1337.0,6.0,,,7431.0,7.0,16.0,1.0,18425.0,65.0,512.0,,754.0,,5.0
ru_syntagrus-ud-dev,8906,0,3638,,14.0,18.0,,25.0,,7.0,,1.0,1.0,,,,154.0,2.0,,,918.0,1.0,2.0,,2328.0,14.0,66.0,,87.0,,
ru_syntagrus-ud-test,8800,0,3830,,20.0,13.0,,8.0,,7.0,,1.0,,,,,151.0,,,,952.0,2.0,1.0,,2488.0,25.0,79.0,,82.0,,1.0
sjo_xdt-ud-test,810,0,4,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,
orv_birchbark-ud-train,1045,0,57,,,1.0,,1.0,,,,,,5.0,,,,2.0,,,5.0,,,,23.0,,,,20.0,,
orv_birchbark-ud-dev,1062,0,72,,,1.0,,4.0,,,,,,,,,,,,,13.0,1.0,,,36.0,1.0,,,16.0,,
orv_birchbark-ud-test,1007,0,85,,,,,1.0,,,,,,1.0,,,,,,,18.0,,,1.0,41.0,2.0,2.0,,19.0,,
ltg_cairo-ud-test,20,0,3,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,
ru_poetry-ud-test,728,0,190,,,,,,,1.0,,,,,,,1.0,,,,30.0,,,,134.0,,4.0,,20.0,,
ru_poetry-ud-dev,789,0,188,,1.0,1.0,,2.0,,,,,,,,,1.0,,,,28.0,,,,140.0,,,,15.0,,
ru_poetry-ud-train,3569,0,968,,3.0,3.0,,2.0,,,,,,,,1.0,1.0,,,,122.0,,,,749.0,2.0,11.0,,74.0,,
wbp_ufal-ud-test,55,0,6,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,
cs_fictree-ud-dev,1309,0,334,,2.0,2.0,,8.0,,2.0,,,,11.0,,,1.0,,,,52.0,,,,246.0,1.0,,,9.0,,
cs_fictree-ud-train,10160,0,2417,,6.0,15.0,,16.0,,25.0,,,1.0,79.0,,,9.0,,,,429.0,,,,1732.0,4.0,2.0,,91.0,,8.0
cs_fictree-ud-test,1291,0,299,,2.0,,,1.0,,2.0,,,,10.0,,,2.0,,,,48.0,,,,222.0,1.0,,,10.0,,1.0
hyw_armtdp-ud-test,680,0,1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
hyw_armtdp-ud-train,5282,0,3,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,
sme_giella-ud-train,2257,0,429,,,3.0,,1.0,,,,,,,,,,,,,18.0,,,,403.0,,,,4.0,,
sme_giella-ud-test,865,0,362,,,2.0,,1.0,,,,,,,,,,,,,21.0,,,,337.0,,1.0,,,,
sl_sst-ud-train,4558,0,1143,,,2.0,,26.0,,,,,1.0,,13.0,,6.0,,,,154.0,,,1.0,838.0,44.0,11.0,11.0,36.0,,
sl_sst-ud-test,1041,0,189,,,,,3.0,,,,,,,7.0,,,,,,26.0,,,1.0,136.0,5.0,3.0,1.0,7.0,,
sl_sst-ud-dev,505,0,322,,1.0,,,5.0,,,,,,,4.0,,2.0,,,,44.0,,,,250.0,5.0,2.0,1.0,8.0,,
kk_ktb-ud-test,1047,0,233,,1.0,2.0,,1.0,,1.0,,1.0,1.0,,,,,1.0,,,17.0,,,,189.0,2.0,,,17.0,,
kk_ktb-ud-train,31,0,17,,,,,2.0,,,,,,,,,,1.0,,,2.0,,,,12.0,,,,,,
cs_pdt-ud-test,10146,0,4903,2.0,31.0,11.0,,33.0,,10.0,,,1.0,67.0,,,193.0,,,,1336.0,,,,3094.0,23.0,2.0,,93.0,,7.0
cs_pdt-ud-dev,9270,0,4461,4.0,20.0,13.0,,23.0,,9.0,,,,76.0,,,165.0,,,,1254.0,2.0,,,2767.0,22.0,2.0,,102.0,,2.0
cs_pdt-ud-train,68491,0,32994,33.0,133.0,87.0,,223.0,,110.0,,,30.0,580.0,,,1292.0,1.0,,,9081.0,3.0,,,20507.0,150.0,10.0,,702.0,,52.0
gn_oldtudet-ud-test,59,0,2,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,
ta_mwtt-ud-test,534,0,39,,,,,,,,,,,,,,,,2.0,,,,,1.0,36.0,,,,,,
ota_dudu-ud-test,85,0,17,,,,,,,,,,,,,,,,,,2.0,,,,15.0,,,,,,
ug_udt-ud-test,900,0,160,,,1.0,,1.0,,1.0,,3.0,,,1.0,,4.0,,,,32.0,,,,117.0,,,,,,
ug_udt-ud-dev,900,0,153,,,,,,,,,,,1.0,,,2.0,,,,32.0,,,1.0,114.0,,1.0,,2.0,,
ug_udt-ud-train,1656,0,287,,,1.0,,,,1.0,,,,,,,,,,,39.0,,,,238.0,4.0,,,4.0,,
lzh_kyoto-ud-dev,6102,0,1624,,,,,,,1.0,3.0,93.0,,,,,,34.0,1.0,2.0,413.0,347.0,,501.0,179.0,,4.0,,46.0,,
lzh_kyoto-ud-train,74609,0,19966,,14.0,9.0,,,,12.0,31.0,1141.0,7.0,,,6.0,,424.0,35.0,16.0,5603.0,3093.0,,5885.0,3211.0,,23.0,,455.0,,1.0
lzh_kyoto-ud-test,5528,0,1131,,1.0,,,,,1.0,1.0,149.0,,,,3.0,,31.0,3.0,2.0,210.0,166.0,,345.0,186.0,,4.0,,29.0,,
lv_lvtb-ud-test,2412,0,1291,,7.0,1.0,,8.0,,4.0,,,,8.0,2.0,,,,3.0,,175.0,1.0,,,1052.0,19.0,2.0,,9.0,,
lv_lvtb-ud-train,14358,0,8919,,40.0,2.0,,65.0,,16.0,,1.0,3.0,49.0,55.0,,1.0,,21.0,,1207.0,,,,7285.0,93.0,22.0,,57.0,,2.0
lv_lvtb-ud-dev,2080,0,1207,,10.0,2.0,,20.0,,,,,,5.0,10.0,,,1.0,,,178.0,,,,946.0,24.0,3.0,,8.0,,
ta_ttb-ud-train,400,0,259,,,,,,,,,,,,,,,,2.0,,14.0,,,1.0,242.0,,,,,,
ta_ttb-ud-dev,80,0,38,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,
ta_ttb-ud-test,120,0,66,,,,,,,,,,,,,,,,,,,,,,66.0,,,,,,
xum_ikuvina-ud-test,133,0,14,,,,,,,,,,,,,,,,,,,,,1.0,13.0,,,,,,
ru_pud-ud-test,1000,0,624,,,,,4.0,,,,,,,,,33.0,,,,144.0,,,,430.0,5.0,2.0,,6.0,,
qtd_sagt-ud-test,805,0,125,,,1.0,,,,,,2.0,,,,2.0,,,,,10.0,,,,98.0,,6.0,1.0,5.0,,
qtd_sagt-ud-dev,801,0,107,,,1.0,1.0,,,1.0,,2.0,,,,,,,,,12.0,,2.0,,85.0,,,,2.0,,1.0
qtd_sagt-ud-train,578,0,95,,,,,,,,,1.0,,,,1.0,,,,,4.0,,1.0,,83.0,,,1.0,2.0,,2.0
pl_pud-ud-test,1000,0,602,,,2.0,,,,,,,,,,,71.0,,,,132.0,,,,394.0,,,,3.0,,
orv_torot-ud-test,2955,0,419,,6.0,8.0,,25.0,,,,,,,,2.0,,,,,25.0,1.0,,2.0,311.0,12.0,,,21.0,,6.0
orv_torot-ud-dev,3061,0,440,,3.0,4.0,,28.0,,,,,1.0,,,1.0,,,,,25.0,1.0,,1.0,324.0,20.0,,,23.0,,9.0
orv_torot-ud-train,20480,0,3132,,37.0,62.0,,183.0,,8.0,,,1.0,,,13.0,1.0,,,,211.0,4.0,,9.0,2275.0,111.0,,,166.0,,51.0
cs_cac-ud-dev,603,0,346,,,,,5.0,,,,,,4.0,,,27.0,,,,129.0,,,,172.0,2.0,,,5.0,,2.0
cs_cac-ud-train,23478,0,15092,1.0,55.0,46.0,,128.0,,23.0,,,12.0,161.0,,,882.0,4.0,,,4350.0,1.0,,,9020.0,99.0,4.0,,267.0,,39.0
cs_cac-ud-test,628,0,340,,,3.0,,3.0,,,,,,5.0,,,15.0,,,,76.0,,,,228.0,3.0,1.0,,3.0,,3.0
eu_bdt-ud-train,5396,0,968,,,6.0,,,,,,,,12.0,,,,7.0,,,894.0,8.0,,4.0,31.0,,,,5.0,,1.0
eu_bdt-ud-test,1799,0,311,,,1.0,,,,,,,,5.0,,,,2.0,,,293.0,,,,7.0,1.0,,,2.0,,
eu_bdt-ud-dev,1798,0,293,,,,,,,,,,,3.0,,,,1.0,,,272.0,2.0,,2.0,12.0,1.0,,,,,
eme_tudet-ud-test,913,0,56,,,,,,,,,,,,,1.0,,,,,3.0,,,,48.0,,1.0,,3.0,,
pl_lfg-ud-test,1727,0,280,,,1.0,,,,,,,,,,,,,,,36.0,,,,239.0,,,,4.0,,
pl_lfg-ud-train,13774,0,2532,,,2.0,,8.0,,3.0,,,,,,,,,,,349.0,,,,2126.0,,,,43.0,,1.0
pl_lfg-ud-dev,1745,0,293,,,,,,,,,,,,,,,,,,38.0,,,,247.0,,,,7.0,,1.0
tr_tourism-ud-train,15473,0,575,,2.0,27.0,,,,,,4.0,,2.0,3.0,,,3.0,,,220.0,4.0,,9.0,263.0,,7.0,,28.0,,3.0
tr_tourism-ud-dev,2166,0,95,,,6.0,,,,,,1.0,,,,,,,,,14.0,,,,70.0,,,,4.0,,
tr_tourism-ud-test,2191,0,93,,1.0,3.0,,,,,,1.0,,,,,,,,,25.0,,1.0,3.0,50.0,,3.0,,6.0,,
ab_abnc-ud-test,263,0,1,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
cs_poetry-ud-test,297,0,161,,,,,3.0,,,,,,,,,,,,,16.0,,,,138.0,4.0,,,,,
ru_gsd-ud-test,601,0,415,,2.0,,,3.0,,,,,,,,,13.0,,,,75.0,,,,307.0,4.0,5.0,,6.0,,
ru_gsd-ud-dev,579,0,389,,,,,1.0,,,,,,,,,7.0,,,1.0,90.0,,,,285.0,,1.0,,4.0,,
ru_gsd-ud-train,3850,0,2651,,1.0,,,30.0,,,,,,,,,31.0,,,6.0,666.0,2.0,,,1870.0,18.0,15.0,,12.0,,
aqz_tudet-ud-test,343,0,2,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
tr_imst-ud-train,3435,0,761,,5.0,8.0,,1.0,,2.0,,17.0,,,,,,15.0,,,113.0,2.0,,1.0,573.0,,,,24.0,,
tr_imst-ud-dev,1100,0,202,,1.0,1.0,,,,1.0,,5.0,,,,,,8.0,,,33.0,1.0,,1.0,145.0,,,,6.0,,
tr_imst-ud-test,1100,0,159,,,2.0,,,,3.0,,4.0,,,,,,3.0,,,24.0,,,1.0,118.0,,,,4.0,,
lv_cairo-ud-test,20,0,2,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,
tr_boun-ud-dev,979,0,326,,2.0,2.0,,1.0,,2.0,,6.0,,,,,,,,,2.0,1.0,,2.0,291.0,,1.0,,15.0,,1.0
tr_boun-ud-test,979,0,373,,3.0,2.0,,,,2.0,,6.0,,,1.0,,,2.0,,,6.0,,,2.0,329.0,,,,20.0,,
tr_boun-ud-train,7803,0,2747,,15.0,16.0,,2.0,,8.0,,31.0,4.0,,15.0,,,7.0,,,45.0,2.0,,12.0,2481.0,1.0,3.0,,103.0,,2.0
tr_penn-ud-dev,622,0,187,,,6.0,,,,,,8.0,,,,,,,,,34.0,,,,135.0,,1.0,,2.0,,1.0
tr_penn-ud-test,924,0,259,,,19.0,,,,,,11.0,,,3.0,,,1.0,,,66.0,,2.0,,146.0,,1.0,,10.0,,
tr_penn-ud-train,14850,0,4402,,3.0,110.0,,3.0,,10.0,1.0,217.0,,,36.0,,17.0,23.0,,2.0,1140.0,8.0,16.0,43.0,2585.0,,9.0,,156.0,,23.0
