Treebank,Number of Sentences,Failures,Total,_,acl,advcl,appos,ccomp,clf,compound,conj,csubj,dep,discourse,dislocated,fixed,flat,iobj,list,nmod,nsubj,nummod,obj,obl,orphan,parataxis,reparandum,root,vocative,xcomp
sa_ufal-ud-test,230,0,8,,,,,,,,,,,,,,,,,2.0,,,,5.0,1.0,,,,,
et_ewt-ud-train,5444,0,67,,,1.0,,,,,,,,,,,,,,3.0,,,,62.0,1.0,,,,,
et_ewt-ud-test,913,0,14,,,,,,,,,,,,,,,,,2.0,,,,11.0,1.0,,,,,
et_ewt-ud-dev,833,0,9,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,
gub_tudet-ud-test,1182,0,19,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,
sq_tsa-ud-test,60,0,6,,,,,,,,,,,,,,,,,3.0,,,,3.0,,,,,,
mr_ufal-ud-train,373,0,1,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
si_stb-ud-test,100,0,4,,,,,,,,,,1.0,,,,,,,,,,,3.0,,,,,,
olo_kkpp-ud-test,106,0,1,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
hy_bsut-ud-train,1226,0,204,,,,2.0,1.0,,2.0,,,16.0,,1.0,1.0,,,,34.0,,,,140.0,,3.0,,4.0,,
hy_bsut-ud-test,595,0,101,,1.0,,,,,3.0,,,4.0,,,,,,,17.0,,,,68.0,1.0,4.0,,3.0,,
hy_bsut-ud-dev,479,0,94,,,1.0,1.0,,,1.0,,,3.0,,,,1.0,,,19.0,,,,66.0,,1.0,,1.0,,
mdf_jr-ud-test,454,0,20,,,,,,,,,,,,,,,,,4.0,,,1.0,15.0,,,,,,
mdf_jr-ud-train,20,0,1,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
vep_vwt-ud-test,103,0,2,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,
la_llct-ud-dev,850,0,1408,,11.0,159.0,144.0,,,,,,,,1.0,,,,,268.0,96.0,,,727.0,,,1.0,1.0,,
la_llct-ud-test,884,0,1439,,9.0,210.0,117.0,,,,,,,,5.0,,,,,319.0,54.0,,1.0,721.0,,,,3.0,,
la_llct-ud-train,7289,0,11887,,62.0,1396.0,1036.0,4.0,,,,1.0,,,16.0,,116.0,,,1957.0,486.0,,1.0,6743.0,4.0,,,59.0,,6.0
fi_tdt-ud-train,12217,0,490,1.0,,2.0,4.0,,,,,,,,,1.0,,,,123.0,,,,347.0,5.0,,,6.0,,1.0
fi_tdt-ud-test,1555,0,55,,,,,,,,,,,,,,,,,12.0,,,,43.0,,,,,,
fi_tdt-ud-dev,1364,0,54,,,,,,,,,,,,,,,,,22.0,,,,31.0,,,,1.0,,
myv_jr-ud-test,921,0,85,,,1.0,,,,3.0,,,,,,,,,,1.0,,,1.0,78.0,1.0,,,,,
myv_jr-ud-train,1217,0,79,,,,,,,,,,,,,,,,,2.0,2.0,,4.0,71.0,,,,,,
tr_framenet-ud-test,205,0,32,,,,,,,1.0,,,,,,,,,,3.0,,,2.0,26.0,,,,,,
tr_framenet-ud-train,2288,0,329,,,38.0,,1.0,,76.0,,,,,,,,,,42.0,3.0,,19.0,149.0,,,,1.0,,
tr_framenet-ud-dev,205,0,25,,,1.0,,,,9.0,,,,,,,,,,2.0,,,2.0,10.0,,,,1.0,,
ky_ktmu-ud-train,80,0,4,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,
ky_ktmu-ud-test,701,0,80,,,,,1.0,,1.0,,,,,,1.0,,,,27.0,6.0,2.0,1.0,40.0,,,,1.0,,
la_proiel-ud-test,1260,0,702,,9.0,17.0,4.0,3.0,,,,,1.0,,,,,,,47.0,67.0,,3.0,519.0,11.0,,,16.0,1.0,4.0
la_proiel-ud-dev,1233,0,670,,10.0,14.0,6.0,5.0,,,,1.0,,,,,,,,42.0,51.0,,5.0,502.0,8.0,,,18.0,,8.0
la_proiel-ud-train,16196,0,8686,,88.0,176.0,151.0,58.0,,,,6.0,9.0,,12.0,,,,,480.0,802.0,,25.0,6426.0,136.0,12.0,,234.0,1.0,70.0
kpv_ikdp-ud-test,214,0,3,,,,,,,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,
kpv_lattice-ud-test,643,0,17,,1.0,,,,,,,,,,,,,,,9.0,,,,7.0,,,,,,
tt_nmctt-ud-test,148,0,19,,,,,,,,,,,,,,,,,5.0,,,,13.0,,,,1.0,,
tr_gb-ud-test,2880,0,199,,,1.0,,,,2.0,,,,,,1.0,,,,64.0,1.0,,1.0,125.0,,,,2.0,,2.0
fi_pud-ud-test,1000,0,32,,,,,,,,,,,,,,,,,7.0,,,,24.0,,,,,,1.0
hy_armtdp-ud-train,1974,0,428,,4.0,,7.0,1.0,,6.0,,1.0,,,2.0,3.0,1.0,,,44.0,,,,343.0,7.0,6.0,,3.0,,
hy_armtdp-ud-dev,249,0,58,,,,1.0,,,1.0,,,,1.0,,1.0,,,,6.0,,,,45.0,,2.0,,1.0,,
hy_armtdp-ud-test,277,0,70,,,,,,,2.0,,,1.0,,,,1.0,,,16.0,,,,44.0,1.0,3.0,,2.0,,
ota_boun-ud-train,114,0,43,,,,,,,,,,,,,,,,,6.0,,,5.0,31.0,,,,1.0,,
ota_boun-ud-test,400,0,119,,,,,2.0,,,,,,,,,2.0,1.0,,18.0,,,6.0,90.0,,,,,,
et_edt-ud-dev,3128,0,54,,,1.0,,,,,,,,,,,,,,4.0,,,,49.0,,,,,,
et_edt-ud-train,24615,0,468,,1.0,3.0,1.0,3.0,,,,,,,,,,,,59.0,,,,393.0,1.0,1.0,,6.0,,
et_edt-ud-test,3214,0,54,,,,,,,,,,,,,,,,,4.0,,,,48.0,,,,2.0,,
sjo_xdt-ud-test,810,0,4,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,
la_udante-ud-train,926,0,1220,,26.0,34.0,8.0,1.0,,,12.0,6.0,,,,,1.0,,,31.0,68.0,,3.0,994.0,22.0,,,12.0,,2.0
la_udante-ud-test,419,0,444,,2.0,18.0,,1.0,,,7.0,,,,,,1.0,,,5.0,15.0,,1.0,379.0,8.0,,,5.0,,2.0
la_udante-ud-dev,376,0,487,,,9.0,1.0,5.0,,,3.0,2.0,,,,,,,,22.0,29.0,,,407.0,7.0,,,2.0,,
hyw_armtdp-ud-test,680,0,150,,,,,,,,,,,,,2.0,,,,17.0,,,,131.0,,,,,,
hyw_armtdp-ud-dev,694,0,196,,1.0,,2.0,,,3.0,,,4.0,,1.0,,,,,33.0,,,,144.0,2.0,1.0,,5.0,,
hyw_armtdp-ud-train,5282,0,1075,,7.0,,11.0,2.0,,10.0,,,31.0,,1.0,5.0,6.0,,,198.0,,,3.0,757.0,2.0,25.0,,17.0,,
aln_gps-ud-test,966,0,110,,,2.0,,,,,,,,,,,,,,10.0,,,11.0,85.0,,,,2.0,,
kk_ktb-ud-test,1047,0,117,,,2.0,1.0,1.0,,,,,,,,,,1.0,,32.0,,,,78.0,,,,2.0,,
kk_ktb-ud-train,31,0,9,,,,,,,,,,,,,,,,,2.0,,,,7.0,,,,,,
gn_oldtudet-ud-test,59,0,2,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
ta_mwtt-ud-test,534,0,7,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,
ota_dudu-ud-test,85,0,18,,,,,,,,,,,,,,,,,6.0,,,1.0,11.0,,,,,,
ug_udt-ud-test,900,0,117,,,,,,,3.0,,,,,,,,,,26.0,,,,88.0,,,,,,
ug_udt-ud-dev,900,0,85,,,1.0,,,,5.0,,,,,,,,,,13.0,1.0,,,63.0,,,,2.0,,
ug_udt-ud-train,1656,0,201,,1.0,1.0,1.0,,,8.0,,,,,,1.0,,,,40.0,,,,147.0,,,,1.0,,1.0
xum_ikuvina-ud-test,133,0,39,,,,,1.0,,,,,,,,,,,,,,,,38.0,,,,,,
la_ittb-ud-dev,2101,0,1046,,30.0,63.0,,4.0,,,2.0,22.0,,,1.0,,,,,62.0,24.0,,,727.0,17.0,,,76.0,,18.0
la_ittb-ud-test,2101,0,966,,22.0,58.0,,9.0,,,2.0,19.0,,,,,1.0,,,84.0,12.0,,,626.0,19.0,,,94.0,,20.0
la_ittb-ud-train,22775,0,14864,,330.0,790.0,3.0,69.0,,,76.0,192.0,,,,,15.0,,,1034.0,416.0,,,10861.0,252.0,1.0,,719.0,,106.0
qtd_sagt-ud-test,805,0,38,,,1.0,,,,,,,,,,,,,,6.0,,,,29.0,,1.0,1.0,,,
qtd_sagt-ud-dev,801,0,56,,,1.0,,,,,,,,,,,,,,6.0,,,,45.0,,,,3.0,,1.0
qtd_sagt-ud-train,578,0,28,,,,,,,,,,,,,,,,,2.0,,,,26.0,,,,,,
krl_kkpp-ud-test,228,0,4,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,
eu_bdt-ud-train,5396,0,322,,,21.0,5.0,,,5.0,,,,,,,,,,21.0,,,2.0,268.0,,,,,,
eu_bdt-ud-test,1799,0,103,,,7.0,,,,3.0,,,,,,,,,,10.0,,,,83.0,,,,,,
eu_bdt-ud-dev,1798,0,86,,,3.0,,1.0,,2.0,,,,,,,,,,7.0,,,,73.0,,,,,,
fi_ftb-ud-dev,1875,0,40,,,,,,,,,,,,,1.0,,,,37.0,,,,,,,,2.0,,
fi_ftb-ud-train,14981,0,283,,,1.0,,,,1.0,,,1.0,,,6.0,,,,271.0,,,,,,,,3.0,,
fi_ftb-ud-test,1867,0,40,,,,,,,,,,,,,1.0,,,,38.0,,,,,,,,1.0,,
eme_tudet-ud-test,913,0,15,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,
tr_tourism-ud-train,15473,0,1010,,6.0,46.0,1.0,2.0,,9.0,,,1.0,,,,5.0,,,136.0,5.0,1.0,421.0,276.0,,2.0,,99.0,,
tr_tourism-ud-dev,2166,0,159,,,19.0,,,,1.0,,,,,,,,,,9.0,1.0,1.0,102.0,11.0,,,,15.0,,
tr_tourism-ud-test,2191,0,128,,,17.0,,,,1.0,,,,,,,,,,3.0,1.0,,52.0,33.0,,,,21.0,,
aqz_tudet-ud-test,343,0,4,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,
tr_imst-ud-train,3435,0,367,,2.0,6.0,1.0,,,18.0,,1.0,,,,,4.0,1.0,,81.0,4.0,,24.0,214.0,,,,11.0,,
tr_imst-ud-dev,1100,0,119,,1.0,1.0,,,,9.0,,,,,,,2.0,,,32.0,,,3.0,66.0,,,,5.0,,
tr_imst-ud-test,1100,0,103,,,,,,,4.0,,,,,,,1.0,,,25.0,,,6.0,62.0,,,,5.0,,
bxr_bdt-ud-train,19,0,1,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
bxr_bdt-ud-test,908,0,64,,,,,,,,,,,,,1.0,,1.0,,52.0,1.0,,5.0,1.0,,,,2.0,,1.0
tr_boun-ud-dev,979,0,133,,,1.0,,,,2.0,,,,,,,,,,13.0,,,5.0,111.0,,1.0,,,,
tr_boun-ud-test,979,0,168,,1.0,1.0,1.0,,,2.0,,,,,,,1.0,,,15.0,,,10.0,136.0,,,,1.0,,
tr_boun-ud-train,7803,0,1214,,5.0,5.0,1.0,4.0,,16.0,,1.0,,,,,5.0,1.0,,147.0,1.0,1.0,61.0,949.0,,1.0,,16.0,,
tr_penn-ud-dev,622,0,84,,,5.0,,,,1.0,,,,,,,,,1.0,32.0,,,4.0,41.0,,,,,,
tr_penn-ud-test,924,0,108,,,3.0,,1.0,,5.0,,,,4.0,,,,,,24.0,,2.0,1.0,68.0,,,,,,
tr_penn-ud-train,14850,0,2200,,2.0,43.0,1.0,50.0,,94.0,,,,5.0,,9.0,5.0,,1.0,747.0,5.0,15.0,158.0,1043.0,,2.0,,9.0,,11.0
