Treebank,Number of Sentences,Failures,Total,_,acl,advcl,appos,ccomp,compound,csubj,dep,discourse,dislocated,fixed,flat,iobj,list,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,reparandum,root,vocative,xcomp
tr_atis-ud-train,4274,0,66,,,,,1.0,,,,,,,8.0,,,,27.0,,,,29.0,,,,,,1.0
tr_atis-ud-test,586,0,7,,,,,,,,,,,,2.0,,,,2.0,,,1.0,2.0,,,,,,
tr_kenet-ud-dev,1646,0,155,,,1.0,,1.0,1.0,,,1.0,,,,,,,6.0,,,3.0,139.0,,2.0,,1.0,,
tr_kenet-ud-test,1643,0,192,,,,,2.0,11.0,,,,,,1.0,,1.0,,8.0,2.0,,6.0,150.0,,1.0,,1.0,,9.0
tr_kenet-ud-train,15398,0,1422,,1.0,14.0,1.0,6.0,16.0,,,,1.0,,,,,,57.0,22.0,1.0,53.0,1230.0,,4.0,,10.0,,6.0
sk_snk-ud-dev,1060,0,242,,7.0,,2.0,,,2.0,1.0,,,2.0,,,,,58.0,,,,119.0,1.0,,,48.0,,2.0
sk_snk-ud-test,1061,0,264,,3.0,,2.0,,,1.0,3.0,,,,,,,,41.0,,,,148.0,2.0,1.0,,62.0,,1.0
sk_snk-ud-train,8483,0,1153,,11.0,4.0,6.0,10.0,,4.0,6.0,,,3.0,,,,,248.0,,,,676.0,3.0,2.0,,172.0,,8.0
lt_hse-ud-train,153,0,44,,,,3.0,,,,,,,1.0,,12.0,,,7.0,,,5.0,14.0,,2.0,,,,
lt_hse-ud-test,55,0,21,,,,,,,,,,,,,4.0,,,1.0,,,3.0,11.0,,1.0,,1.0,,
lt_hse-ud-dev,55,0,19,,,,,,,,,,,,,6.0,,,2.0,,,2.0,6.0,,2.0,,1.0,,
hit_hittb-ud-test,136,0,8,,,,,,,,,,,,,,,,,,,,8.0,,,,,,
sa_ufal-ud-test,230,0,41,,2.0,,1.0,,,,,,,,,,,,3.0,,,1.0,30.0,1.0,,,2.0,,1.0
be_hse-ud-train,22853,0,3758,4.0,11.0,5.0,42.0,7.0,,8.0,,,,1.0,2.0,416.0,,,980.0,2.0,,149.0,1502.0,8.0,40.0,,166.0,,415.0
be_hse-ud-dev,1301,0,199,,1.0,,1.0,,,,,,,,,27.0,,,62.0,1.0,,5.0,76.0,,2.0,,5.0,,19.0
be_hse-ud-test,1077,0,302,,,,3.0,1.0,,1.0,,,,1.0,,21.0,,,67.0,,,12.0,142.0,,9.0,,11.0,,34.0
cs_pud-ud-test,1000,0,326,,6.0,2.0,3.0,2.0,,,,,,2.0,2.0,,,,96.0,1.0,,,145.0,,,,40.0,,27.0
orv_ruthenian-ud-test,390,0,157,,,2.0,10.0,1.0,,1.0,,,,,,39.0,,,24.0,1.0,,4.0,64.0,5.0,,,3.0,,3.0
orv_ruthenian-ud-train,2789,0,1214,,4.0,7.0,100.0,3.0,,,,,,,6.0,270.0,,,249.0,2.0,,105.0,397.0,63.0,1.0,3.0,3.0,,1.0
orv_ruthenian-ud-dev,344,0,49,,,,,,,,,,,,,4.0,,,6.0,,,7.0,31.0,,,,1.0,,
ml_ufal-ud-test,218,0,4,,,,,,,,,,,,,,,,1.0,,,,3.0,,,,,,
mr_ufal-ud-dev,46,0,2,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,
mr_ufal-ud-test,47,0,3,,,,,,,,,,,,,,,,,,,,3.0,,,,,,
mr_ufal-ud-train,373,0,8,,,,,,,,,,,,,,,,,,,,8.0,,,,,,
si_stb-ud-test,100,0,7,,,1.0,,,,,1.0,,,,,,,,,,,,4.0,,,,1.0,,
lt_alksnis-ud-test,684,0,179,,,,3.0,,,,,,,,3.0,,,,7.0,,,,161.0,,5.0,,,,
lt_alksnis-ud-dev,617,0,194,,,,,,,,,,,,,,,,3.0,,,,183.0,,8.0,,,,
lt_alksnis-ud-train,2341,0,778,,,,1.0,,,,1.0,,,,6.0,,,,16.0,1.0,,,736.0,,15.0,,2.0,,
cu_proiel-ud-train,18327,0,2231,,6.0,12.0,28.0,1.0,,,1.0,,1.0,1.0,,,,,99.0,2.0,,,1984.0,29.0,3.0,,41.0,,23.0
cu_proiel-ud-test,2096,0,278,,2.0,,2.0,,,,,,,,,,,,12.0,,,,257.0,1.0,,,2.0,,2.0
cu_proiel-ud-dev,2205,0,257,,1.0,2.0,4.0,,,1.0,,,,,,,,,13.0,,,,222.0,7.0,,,4.0,,3.0
olo_kkpp-ud-test,106,0,3,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,
hy_bsut-ud-train,1226,0,273,,2.0,,5.0,,7.0,,2.0,1.0,,,,,,,42.0,,,,204.0,2.0,5.0,,3.0,,
hy_bsut-ud-test,595,0,87,,,,,,2.0,,,,,,,,,,13.0,,,,69.0,,2.0,,1.0,,
hy_bsut-ud-dev,479,0,98,,,,1.0,,3.0,,,,,,,,,,10.0,,,,81.0,,3.0,,,,
hsb_ufal-ud-test,623,0,130,,1.0,,2.0,,,,,,,,,,,,82.0,,,3.0,41.0,,,,1.0,,
hsb_ufal-ud-train,23,0,9,,,,,,,,,,,,,,,,6.0,,,,3.0,,,,,,
fi_tdt-ud-train,12217,0,119,,,,,,,,,,,,,,,,7.0,2.0,,1.0,107.0,,,,2.0,,
fi_tdt-ud-test,1555,0,21,,,,,,,,,,,1.0,,,,,,1.0,,,19.0,,,,,,
fi_tdt-ud-dev,1364,0,15,,,,,,,,,,,,,,,,,,,,14.0,1.0,,,,,
sr_set-ud-test,520,0,117,,,,1.0,,,,,,,5.0,1.0,,,,27.0,,,1.0,76.0,,,,6.0,,
sr_set-ud-train,3328,0,749,,1.0,1.0,5.0,3.0,,,,1.0,,16.0,6.0,,,,196.0,,,4.0,475.0,,7.0,,14.0,,20.0
sr_set-ud-dev,536,0,98,,,,,,,,,,,7.0,,,,,24.0,,,,59.0,,1.0,,2.0,,5.0
tr_framenet-ud-test,205,0,8,,,,,,,,,,,,,,,,,,,,8.0,,,,,,
tr_framenet-ud-train,2288,0,126,,,4.0,,,18.0,,,,,,,,,,5.0,,,1.0,98.0,,,,,,
tr_framenet-ud-dev,205,0,8,,,,,,1.0,,,,,,,,,,1.0,,,,6.0,,,,,,
ky_ktmu-ud-train,80,0,4,,,,,,,,,,,,,,,,4.0,,,,,,,,,,
ky_ktmu-ud-test,701,0,14,,,,,,,,,,,,,,,,8.0,1.0,,3.0,2.0,,,,,,
kpv_ikdp-ud-test,214,0,20,,1.0,,,,,1.0,,,,,,,,,1.0,,,,17.0,,,,,,
kpv_lattice-ud-test,643,0,106,,2.0,,2.0,,,,,1.0,,,,,2.0,,1.0,1.0,,,82.0,3.0,,,2.0,,10.0
abq_atb-ud-test,98,0,1,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
tr_gb-ud-test,2880,0,86,,,,1.0,,,,,,,,,,,,10.0,7.0,,,66.0,,,,2.0,,
ru_taiga-ud-train,16045,0,2526,,5.0,13.0,18.0,4.0,,8.0,2.0,,,19.0,,405.0,,,638.0,1.0,1.0,37.0,1116.0,9.0,28.0,,82.0,,140.0
ru_taiga-ud-dev,946,0,198,,2.0,,3.0,,,1.0,,,,2.0,,46.0,,,26.0,,,10.0,84.0,7.0,1.0,,10.0,,6.0
ru_taiga-ud-test,881,0,152,,,1.0,1.0,1.0,,1.0,,,,1.0,,40.0,,,33.0,,,7.0,54.0,,2.0,,5.0,,6.0
fi_pud-ud-test,1000,0,7,,,,,,,,,,,,,,,,1.0,,,,6.0,,,,,,
cs_cltt-ud-dev,316,0,226,,15.0,3.0,,,,,4.0,,,15.0,,,,,51.0,1.0,,,125.0,,,,9.0,,3.0
cs_cltt-ud-train,467,0,354,,31.0,6.0,2.0,1.0,,,4.0,,,25.0,,,,,106.0,,,,156.0,3.0,,,20.0,,
cs_cltt-ud-test,338,0,269,,12.0,5.0,3.0,,,,13.0,,,17.0,,,,,48.0,,,,168.0,1.0,1.0,,1.0,,
hy_armtdp-ud-train,1974,0,490,,10.0,1.0,5.0,,9.0,,7.0,1.0,,,,,,,42.0,1.0,,,370.0,1.0,33.0,,10.0,,
hy_armtdp-ud-dev,249,0,81,,1.0,,1.0,1.0,1.0,,,,,,,,,,6.0,,,,70.0,,1.0,,,,
hy_armtdp-ud-test,277,0,65,,2.0,,1.0,,5.0,,,,,,,,,,5.0,,,,41.0,6.0,5.0,,,,
ota_boun-ud-train,114,0,25,,,,,,,,,,,,,,,,7.0,,,2.0,16.0,,,,,,
ota_boun-ud-test,400,0,89,,,,,,,,,,,,,,,,41.0,,,3.0,44.0,,,,1.0,,
ru_syntagrus-ud-train,69630,0,20660,,87.0,68.0,126.0,44.0,,20.0,,,,328.0,5.0,1025.0,,,4340.0,7.0,16.0,134.0,12580.0,71.0,485.0,,580.0,,744.0
ru_syntagrus-ud-dev,8906,0,2813,,16.0,8.0,30.0,4.0,1.0,4.0,,,,34.0,1.0,141.0,,,576.0,,1.0,16.0,1714.0,11.0,82.0,,99.0,,75.0
ru_syntagrus-ud-test,8800,0,2812,,11.0,10.0,26.0,7.0,,6.0,,,,39.0,1.0,135.0,,,669.0,1.0,3.0,23.0,1669.0,16.0,57.0,,72.0,,67.0
orv_birchbark-ud-train,1045,0,52,,,,1.0,,,,1.0,,,,,21.0,,,14.0,,,1.0,7.0,3.0,,,4.0,,
orv_birchbark-ud-dev,1062,0,78,,,,2.0,,,,1.0,,,,,31.0,,,17.0,,,,14.0,4.0,1.0,1.0,6.0,,1.0
orv_birchbark-ud-test,1007,0,83,,,,1.0,,,,,,,,,23.0,,,25.0,1.0,,,20.0,4.0,,,7.0,,2.0
ru_poetry-ud-test,728,0,248,,2.0,,,,,,,,,,,93.0,,,29.0,,,2.0,107.0,2.0,,,5.0,,8.0
ru_poetry-ud-dev,789,0,203,,,1.0,,1.0,,1.0,,,,,,84.0,,,14.0,,,2.0,85.0,3.0,1.0,,5.0,,6.0
ru_poetry-ud-train,3569,0,1124,,3.0,,11.0,1.0,,2.0,,,,,,430.0,,,76.0,,,4.0,514.0,9.0,6.0,,42.0,1.0,25.0
myu_tudet-ud-test,158,0,3,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,
wbp_ufal-ud-test,55,0,1,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
koi_uh-ud-test,94,0,9,,,,,,,,,,,,,,,,,,,,9.0,,,,,,
cs_fictree-ud-dev,1309,0,230,,5.0,5.0,1.0,2.0,,,,,,,,,,,34.0,,,,169.0,1.0,,,11.0,,2.0
cs_fictree-ud-train,10160,0,1907,,12.0,18.0,14.0,16.0,,5.0,14.0,,,1.0,,,,,268.0,,,,1456.0,8.0,2.0,,79.0,,14.0
cs_fictree-ud-test,1291,0,228,,2.0,,1.0,3.0,,,,,,,,,,,39.0,,,,169.0,1.0,,,11.0,,2.0
hyw_armtdp-ud-test,680,0,163,,2.0,,1.0,,4.0,,,,,,,,,,9.0,,,,137.0,1.0,6.0,1.0,2.0,,
hyw_armtdp-ud-dev,694,0,160,,2.0,,1.0,,2.0,,1.0,,1.0,,,,,,15.0,,,,129.0,,4.0,,5.0,,
hyw_armtdp-ud-train,5282,0,1190,,1.0,1.0,5.0,,6.0,,3.0,,3.0,,,,,,147.0,,,,954.0,4.0,37.0,,28.0,1.0,
sl_sst-ud-train,4558,0,325,,,,13.0,,,,,,,,,,,,74.0,,,,213.0,5.0,7.0,2.0,11.0,,
sl_sst-ud-test,1041,0,61,,,,1.0,,,,,,,,,,,,10.0,,,,43.0,3.0,1.0,,3.0,,
sl_sst-ud-dev,505,0,94,,,1.0,5.0,1.0,,,,,,,,,,,35.0,,,,48.0,1.0,3.0,,,,
ka_glc-ud-test,151,0,26,,,,,,,,,,,,,,,,,,,,26.0,,,,,,
kk_ktb-ud-test,1047,0,65,,,,1.0,,,,,,,,,,,,11.0,,,,52.0,,1.0,,,,
kk_ktb-ud-train,31,0,6,,,,,,,,,,,,,,,,1.0,,,,5.0,,,,,,
cs_pdt-ud-test,10146,0,3139,5.0,74.0,30.0,26.0,54.0,,7.0,41.0,,,14.0,,,,,675.0,,,,1797.0,12.0,5.0,,360.0,,39.0
cs_pdt-ud-dev,9270,0,2706,4.0,68.0,15.0,26.0,39.0,,8.0,41.0,,,5.0,2.0,,,,594.0,,,,1504.0,12.0,4.0,,341.0,,43.0
cs_pdt-ud-train,68491,0,20105,42.0,471.0,145.0,215.0,293.0,,55.0,246.0,,,105.0,4.0,,,,4427.0,5.0,,,11347.0,114.0,29.0,,2330.0,,277.0
ta_mwtt-ud-test,534,0,9,,,,,,,,,,,,,,,,,,,,9.0,,,,,,
ota_dudu-ud-test,85,0,5,,,,,,,,,,,,,,,,,,,,5.0,,,,,,
ta_ttb-ud-train,400,0,7,,,,,,,,,,,,,,,,,,,,7.0,,,,,,
ta_ttb-ud-dev,80,0,1,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
ta_ttb-ud-test,120,0,3,,,,,,,,,,,,,,,,,,,,3.0,,,,,,
ru_pud-ud-test,1000,0,413,,3.0,2.0,3.0,2.0,,,,,,6.0,,50.0,,,76.0,,,21.0,141.0,2.0,6.0,,16.0,,85.0
qtd_sagt-ud-test,805,0,29,,,,,,,,,,,,,,,,6.0,,,,22.0,,,1.0,,,
qtd_sagt-ud-dev,801,0,30,,,,,,,,,,,,,,,,3.0,,,1.0,24.0,,,1.0,,,1.0
qtd_sagt-ud-train,578,0,20,,,1.0,1.0,,,,,,,,,,,,,,,,17.0,1.0,,,,,
krl_kkpp-ud-test,228,0,1,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
pl_pud-ud-test,1000,0,342,,5.0,2.0,1.0,6.0,,,,,,6.0,,69.0,,,57.0,,,,123.0,,5.0,,47.0,,21.0
orv_torot-ud-test,2955,0,431,,2.0,1.0,9.0,,,,,,2.0,,,,,,36.0,1.0,,2.0,353.0,9.0,,,5.0,,11.0
orv_torot-ud-dev,3061,0,508,,,4.0,9.0,,,,,,1.0,,,,,,36.0,,,,432.0,13.0,,,6.0,,7.0
orv_torot-ud-train,20480,0,3221,,13.0,26.0,84.0,2.0,,,,,3.0,,,,,,316.0,3.0,,,2625.0,67.0,3.0,,31.0,1.0,47.0
cs_cac-ud-dev,603,0,219,,6.0,,2.0,1.0,,,1.0,,,3.0,,,,,59.0,,,,133.0,,,,13.0,,1.0
cs_cac-ud-train,23478,0,9715,,211.0,66.0,127.0,77.0,,26.0,60.0,,,93.0,5.0,,,,2154.0,1.0,,,5614.0,95.0,14.0,,1030.0,,142.0
cs_cac-ud-test,628,0,274,,7.0,3.0,4.0,2.0,,1.0,3.0,,,2.0,,,,,41.0,,,,177.0,4.0,,,24.0,,6.0
eu_bdt-ud-train,5396,0,331,,,4.0,,,7.0,,,,,,,,,,16.0,,,,303.0,1.0,,,,,
eu_bdt-ud-test,1799,0,100,,,,,,3.0,,,,,,,,,,9.0,,,,88.0,,,,,,
eu_bdt-ud-dev,1798,0,128,,,,,,3.0,,,,,,,,,,7.0,,,1.0,117.0,,,,,,
fi_ftb-ud-dev,1875,0,11,,,,,,,,,,,1.0,,,,,9.0,,,,,,,,1.0,,
fi_ftb-ud-train,14981,0,112,,,,,,,,,,,6.0,,,,,88.0,,,,,,,,18.0,,
fi_ftb-ud-test,1867,0,15,,,,,,,,,,,1.0,,,,,12.0,,,,,,,,2.0,,
pl_lfg-ud-test,1727,0,188,,,1.0,1.0,1.0,,1.0,,,,,,,,,18.0,,,1.0,142.0,,,,17.0,,6.0
pl_lfg-ud-train,13774,0,1705,,2.0,7.0,8.0,9.0,,2.0,,,,,1.0,,,,183.0,,,7.0,1222.0,,,,181.0,,83.0
pl_lfg-ud-dev,1745,0,207,,,1.0,,5.0,,,,,,,,,,,22.0,,,1.0,153.0,,,,16.0,,9.0
tr_tourism-ud-train,15473,0,295,,,9.0,,2.0,4.0,,1.0,2.0,,1.0,,,,,54.0,96.0,,15.0,107.0,,1.0,,2.0,,1.0
tr_tourism-ud-dev,2166,0,45,,,5.0,1.0,,,,,,,,,,,,1.0,21.0,,2.0,14.0,,,,1.0,,
tr_tourism-ud-test,2191,0,34,,,2.0,,,,,,,,,,,,,2.0,14.0,,,16.0,,,,,,
ab_abnc-ud-test,263,0,6,,,,,,,,,,,,,,,,,,,,6.0,,,,,,
cs_poetry-ud-test,297,0,147,,,1.0,,,,,1.0,,,,1.0,,,,15.0,,1.0,,121.0,3.0,1.0,,3.0,,
ru_gsd-ud-test,601,0,212,,2.0,,3.0,1.0,,,,,,6.0,,22.0,,,42.0,,,12.0,64.0,2.0,1.0,,5.0,,52.0
ru_gsd-ud-dev,579,0,215,,2.0,1.0,3.0,2.0,,,,,,,,24.0,,,49.0,,,31.0,67.0,1.0,1.0,,3.0,,31.0
ru_gsd-ud-train,3850,0,1452,,23.0,3.0,26.0,2.0,,,,,,3.0,,131.0,,,393.0,,1.0,179.0,449.0,6.0,7.0,,46.0,,183.0
tr_imst-ud-train,3435,0,278,,1.0,1.0,1.0,,4.0,,,1.0,,,1.0,,,,62.0,7.0,,15.0,182.0,,,,3.0,,
tr_imst-ud-dev,1100,0,107,,,,,,4.0,,,,,,,,,,28.0,,,7.0,68.0,,,,,,
tr_imst-ud-test,1100,0,81,,,,,,1.0,,,,,,1.0,,,,21.0,4.0,,2.0,52.0,,,,,,
tr_boun-ud-dev,979,0,122,,,,,,1.0,,,1.0,,,,,,,8.0,2.0,,8.0,100.0,1.0,,,1.0,,
tr_boun-ud-test,979,0,101,,,,,,,,,,,,1.0,,,,6.0,1.0,,10.0,79.0,,,,4.0,,
tr_boun-ud-train,7803,0,900,,,1.0,1.0,1.0,5.0,,,1.0,,,2.0,4.0,,,60.0,10.0,,80.0,724.0,,,,11.0,,
tr_penn-ud-dev,622,0,42,,,1.0,,,,,,,,,,,,,15.0,,,1.0,25.0,,,,,,
tr_penn-ud-test,924,0,32,,,4.0,,,,,,,,,,,,,17.0,,,,11.0,,,,,,
tr_penn-ud-train,14850,0,805,,,11.0,4.0,4.0,7.0,,,5.0,,3.0,,,5.0,,219.0,1.0,,56.0,479.0,,,,7.0,,4.0
