Treebank,Number of Sentences,Failures,Total,_,acl,advcl,appos,case,ccomp,clf,compound,conj,csubj,dep,discourse,dislocated,fixed,flat,iobj,list,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,reparandum,root,vocative,xcomp
hy_bsut-ud-train,1226,0,1868,,2.0,1.0,18.0,,,,27.0,,,44.0,,2.0,6.0,12.0,34.0,,,1154.0,10.0,,124.0,398.0,5.0,12.0,,15.0,,4.0
hy_bsut-ud-test,595,0,912,,,4.0,8.0,,,,18.0,,,28.0,,1.0,,1.0,18.0,,,562.0,2.0,,73.0,182.0,1.0,5.0,,7.0,,2.0
hy_bsut-ud-dev,479,0,1084,,,1.0,9.0,,,,14.0,,,43.0,1.0,,3.0,1.0,33.0,,,681.0,8.0,,69.0,208.0,3.0,5.0,,5.0,,
mdf_jr-ud-test,454,0,40,,,,1.0,,,,,,,,,,,,,,,4.0,,,,31.0,,,,1.0,,3.0
mdf_jr-ud-train,20,0,1,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
la_llct-ud-dev,850,0,66,,,,4.0,,,,,,,,,,,,,,,3.0,,,,59.0,,,,,,
la_llct-ud-test,884,0,85,,,,11.0,,,,,,,,,,,,,,,7.0,,,,67.0,,,,,,
la_llct-ud-train,7289,0,697,,1.0,,343.0,,,,,,,,,1.0,,1.0,,,,21.0,4.0,,,326.0,,,,,,
hsb_ufal-ud-test,623,0,56,,,,1.0,,,,,,,,,,,,7.0,,,16.0,,,8.0,24.0,,,,,,
hsb_ufal-ud-train,23,0,2,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,
sr_set-ud-test,520,0,78,,1.0,,3.0,,,,,,,,,,,,,,,15.0,,,1.0,58.0,,,,,,
sr_set-ud-train,3328,0,420,,,,9.0,,,,,,,,,,,4.0,1.0,,,86.0,1.0,,4.0,315.0,,,,,,
sr_set-ud-dev,536,0,54,,,,,,,,,,,,,,,,,,,6.0,,,,48.0,,,,,,
myv_jr-ud-test,921,0,65,,1.0,,,,,,,,,,,,,,,,,,,,,63.0,,,,1.0,,
myv_jr-ud-train,1217,0,45,,,,1.0,,,,,,,,,,,,,,,1.0,,,,39.0,3.0,,,1.0,,
tr_framenet-ud-test,205,0,72,,,,,,1.0,,24.0,,,,,,,,,,,3.0,,,8.0,36.0,,,,,,
tr_framenet-ud-train,2288,0,760,,,19.0,,,31.0,,275.0,,,,,,,,1.0,,,22.0,3.0,,68.0,341.0,,,,,,
tr_framenet-ud-dev,205,0,67,,,3.0,,,7.0,,21.0,,,,,,,,,,,,1.0,,10.0,25.0,,,,,,
ky_ktmu-ud-train,80,0,18,,,,,,,,1.0,,,,,,,,,,,9.0,,,,8.0,,,,,,
ky_ktmu-ud-test,701,0,212,,1.0,,,,,,10.0,,1.0,,,,2.0,,,,,76.0,4.0,,5.0,113.0,,,,,,
la_proiel-ud-test,1260,0,101,,,2.0,3.0,,,,,,,,,,,,,,,2.0,1.0,,,90.0,1.0,,,2.0,,
la_proiel-ud-dev,1233,0,112,,,,1.0,,1.0,,,,,,,1.0,,,,,,5.0,,,,102.0,1.0,,,,,1.0
la_proiel-ud-train,16196,0,1299,,9.0,9.0,39.0,,9.0,,,,,,,1.0,,,,,,20.0,5.0,,1.0,1109.0,49.0,4.0,,29.0,,15.0
kpv_ikdp-ud-test,214,0,5,,,,,,,,,,,,,,,,,,,1.0,,,1.0,3.0,,,,,,
kpv_lattice-ud-test,643,0,24,,,,,,,,,,,,,,,1.0,,,,1.0,,,,20.0,,,,2.0,,
kpv_lattice-ud-train,20,0,2,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
tt_nmctt-ud-test,148,0,54,,,,,,,,,,,1.0,,,,1.0,,,,8.0,1.0,,,43.0,,,,,,
tr_gb-ud-test,2880,0,418,,2.0,1.0,,,,,18.0,,,,,,1.0,,,,,12.0,,,,378.0,,,,6.0,,
grc_proiel-ud-test,1047,0,281,,,6.0,4.0,,,,,,,,,,,,,,,23.0,,,,236.0,2.0,,,3.0,,7.0
grc_proiel-ud-train,15016,0,4200,,12.0,44.0,128.0,,12.0,,,,2.0,,,6.0,,,,,,212.0,14.0,,2.0,3553.0,102.0,3.0,,60.0,,50.0
grc_proiel-ud-dev,1019,0,302,,3.0,6.0,8.0,,,,,,,,,,,,,,,19.0,3.0,,1.0,248.0,5.0,,,6.0,,3.0
nds_lsdc-ud-train,500,0,137,,,1.0,4.0,,,,,,,,,,,,7.0,,,18.0,1.0,,7.0,97.0,,,,2.0,,
nds_lsdc-ud-test,500,0,79,,,,,,,,,,,,,,,,2.0,,,7.0,2.0,,6.0,61.0,,,,1.0,,
fo_oft-ud-test,1208,0,631,,,3.0,1.0,,1.0,,7.0,,,2.0,,,,6.0,1.0,,,193.0,3.0,1.0,15.0,274.0,1.0,,,122.0,,1.0
ru_taiga-ud-train,16045,0,1651,,3.0,,25.0,,1.0,,,,,,,,46.0,,446.0,,,261.0,3.0,,11.0,702.0,19.0,105.0,,28.0,,1.0
ru_taiga-ud-dev,946,0,81,,,,2.0,,,,,,,,,,,,20.0,,,15.0,,,3.0,31.0,2.0,8.0,,,,
ru_taiga-ud-test,881,0,81,,,,1.0,,,,,,,,,,1.0,,20.0,,,14.0,,,3.0,30.0,6.0,6.0,,,,
tpn_tudet-ud-test,581,0,2,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
ga_idt-ud-train,4005,0,185,,,,,,,,,,,,,,59.0,,,,3.0,66.0,,,,55.0,,,,,,2.0
ga_idt-ud-test,454,0,9,,,,,,,,,,,,,,1.0,,,,,5.0,,,,3.0,,,,,,
ga_idt-ud-dev,451,0,25,,,,,,,,,,,,,,6.0,,,,,8.0,,,,10.0,,,,,,1.0
cs_cltt-ud-dev,316,0,85,,,,,,,,,,,,,,,,,,,24.0,,,,60.0,,,,1.0,,
cs_cltt-ud-train,467,0,127,,,,,,,,,,,,,,,,,,,56.0,1.0,,,70.0,,,,,,
cs_cltt-ud-test,338,0,168,,1.0,1.0,1.0,,,,,,,6.0,,,,,,,,41.0,1.0,,,117.0,,,,,,
hy_armtdp-ud-train,1974,0,3539,,5.0,3.0,41.0,,1.0,,60.0,,,13.0,1.0,2.0,4.0,20.0,69.0,,,2172.0,1.0,,305.0,774.0,6.0,27.0,,29.0,,6.0
hy_armtdp-ud-dev,249,0,596,,,,2.0,,,,2.0,,,1.0,,,,4.0,11.0,,,399.0,,,38.0,126.0,1.0,6.0,,5.0,,1.0
hy_armtdp-ud-test,277,0,454,,,,2.0,,,,15.0,,,,,,,2.0,7.0,,,285.0,,,22.0,112.0,2.0,3.0,,4.0,,
is_gc-ud-test,540,0,588,,,2.0,,,1.0,,,,,,,,,7.0,10.0,,,,16.0,,62.0,489.0,,,,1.0,,
is_gc-ud-train,3960,0,4541,,8.0,19.0,,,2.0,,,,,1.0,,,,76.0,92.0,,,2.0,115.0,,454.0,3737.0,,,,22.0,,13.0
is_gc-ud-dev,500,0,636,,1.0,2.0,,,1.0,,,,,,,,,4.0,7.0,,,,22.0,,61.0,532.0,,,,4.0,,2.0
ota_boun-ud-train,114,0,49,,,,,,1.0,,,,,,,,,1.0,5.0,,,4.0,,,10.0,27.0,,,,1.0,,
ota_boun-ud-test,400,0,206,,4.0,2.0,,,8.0,,5.0,,,,,,,,6.0,,,13.0,3.0,,42.0,121.0,,,,1.0,,1.0
ru_syntagrus-ud-train,69630,0,14451,,19.0,15.0,95.0,,3.0,,,,1.0,,,,424.0,8.0,4144.0,,,3068.0,14.0,12.0,,5039.0,50.0,1451.0,,108.0,,
ru_syntagrus-ud-dev,8906,0,1719,,3.0,3.0,17.0,,,,,,,,,,47.0,1.0,466.0,,,399.0,2.0,1.0,,635.0,9.0,128.0,,8.0,,
ru_syntagrus-ud-test,8800,0,1843,,1.0,3.0,13.0,,,,,,1.0,,,,51.0,2.0,518.0,,,323.0,,2.0,,755.0,9.0,159.0,,6.0,,
grc_ptnk-ud-train,727,0,377,,28.0,3.0,16.0,,4.0,,,,,,,3.0,,,81.0,,,32.0,,,5.0,194.0,4.0,3.0,,4.0,,
grc_ptnk-ud-dev,439,0,156,,6.0,1.0,6.0,,3.0,,,,,,,,,,30.0,,,14.0,,,4.0,86.0,1.0,3.0,,2.0,,
grc_ptnk-ud-test,410,0,174,,5.0,,11.0,,3.0,,,,,,,,,,57.0,,,14.0,,,6.0,77.0,,,,,,1.0
sjo_xdt-ud-test,810,0,20,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,
orv_birchbark-ud-train,1045,0,71,,,,6.0,,,,,,,1.0,,,,,28.0,,,13.0,2.0,1.0,1.0,9.0,3.0,,,7.0,,
orv_birchbark-ud-dev,1062,0,105,,,,13.0,,,,,,,1.0,,,,,33.0,,,25.0,8.0,,1.0,12.0,,,,12.0,,
orv_birchbark-ud-test,1007,0,111,,,,13.0,,,,,,,,,1.0,,,33.0,,,31.0,,,2.0,12.0,7.0,,,11.0,1.0,
is_icepahc-ud-dev,4865,0,4471,,37.0,59.0,50.0,,24.0,,,,,9.0,,,,,97.0,,,69.0,131.0,2.0,486.0,3430.0,,5.0,,62.0,,10.0
is_icepahc-ud-train,34007,0,26107,,179.0,309.0,527.0,,191.0,,,,,18.0,,,,,665.0,,,343.0,911.0,1.0,2855.0,19466.0,,32.0,,542.0,26.0,42.0
is_icepahc-ud-test,5157,0,5255,,51.0,81.0,73.0,,32.0,,,,,3.0,,,,,128.0,,,74.0,180.0,,470.0,4028.0,,6.0,,121.0,,8.0
de_lit-ud-test,1920,0,824,,1.0,1.0,2.0,,1.0,,,,,,,,,,,,,264.0,,,,525.0,10.0,8.0,,5.0,,7.0
ltg_cairo-ud-test,20,0,2,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
ru_poetry-ud-test,728,0,92,,,,3.0,,,,,,,,,,2.0,,26.0,,,7.0,,,,45.0,2.0,1.0,,6.0,,
ru_poetry-ud-dev,789,0,101,,1.0,,,,,,,,1.0,,,,,,36.0,,,13.0,,,,38.0,1.0,2.0,,9.0,,
ru_poetry-ud-train,3569,0,388,,,,7.0,,,,,,,,,,,,132.0,,,25.0,,,,200.0,6.0,3.0,,15.0,,
fo_farpahc-ud-test,301,0,294,,4.0,1.0,6.0,,3.0,,,,,1.0,,,,,10.0,,,3.0,2.0,,10.0,253.0,,,,1.0,,
fo_farpahc-ud-train,1020,0,481,,3.0,,5.0,,3.0,,,,,,,,,,9.0,,,7.0,1.0,,17.0,425.0,,,,11.0,,
fo_farpahc-ud-dev,300,0,340,,7.0,1.0,6.0,,,,,,,,,,,,5.0,,,12.0,2.0,,3.0,302.0,,,,2.0,,
is_modern-ud-dev,394,0,380,,4.0,1.0,2.0,,6.0,,,,,1.0,,,,,5.0,,,3.0,12.0,,35.0,298.0,,,,11.0,,2.0
is_modern-ud-train,2703,0,2952,,36.0,24.0,16.0,,44.0,,,,,4.0,,,,,48.0,,,22.0,62.0,,277.0,2299.0,,8.0,,107.0,,5.0
is_modern-ud-test,438,0,470,,5.0,1.0,1.0,,3.0,,,,,,,,,,8.0,,,1.0,7.0,,34.0,394.0,,2.0,,14.0,,
wbp_ufal-ud-test,55,0,11,,,,,,,,,,,,,,,,7.0,,,,3.0,,1.0,,,,,,,
koi_uh-ud-train,34,0,2,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
koi_uh-ud-test,94,0,3,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,
cs_fictree-ud-dev,1309,0,86,,,1.0,,,,,,,,3.0,,,,,,,,6.0,,,,75.0,,,,1.0,,
cs_fictree-ud-train,10160,0,828,,,4.0,10.0,,2.0,,,,,5.0,,,,,,,,60.0,,,,729.0,1.0,,,15.0,,2.0
cs_fictree-ud-test,1291,0,103,,,,,,,,,,,1.0,,,,,,,,5.0,,,,95.0,,,,2.0,,
la_udante-ud-train,926,0,165,,2.0,3.0,1.0,,,,,,3.0,,,,,1.0,,,,9.0,1.0,,1.0,139.0,5.0,,,,,
la_udante-ud-test,419,0,52,,,1.0,,,,,,,,,,,,,,,,2.0,,,,46.0,3.0,,,,,
la_udante-ud-dev,376,0,83,,,4.0,7.0,,,,,,,,,,,5.0,,,,,,,,62.0,4.0,,,,,1.0
hyw_armtdp-ud-test,680,0,1062,,2.0,1.0,8.0,,2.0,,20.0,,,20.0,,1.0,,8.0,27.0,,,501.0,8.0,,86.0,353.0,5.0,10.0,,8.0,,2.0
hyw_armtdp-ud-dev,694,0,1048,,,1.0,8.0,,,,13.0,,1.0,23.0,,,,6.0,27.0,,,525.0,2.0,,69.0,358.0,3.0,2.0,,4.0,,6.0
hyw_armtdp-ud-train,5282,0,7661,,13.0,6.0,71.0,1.0,4.0,,115.0,,1.0,244.0,4.0,5.0,10.0,53.0,204.0,,,3801.0,51.0,,594.0,2346.0,8.0,47.0,,57.0,,26.0
el_gdt-ud-test,456,0,4,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,
el_gdt-ud-train,1662,0,26,,,,,,,,,,,,,,,,,,,15.0,,,,10.0,,,,1.0,,
el_gdt-ud-dev,403,0,4,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,
gd_arcosg-ud-test,545,0,503,,,,,,2.0,,,,,,,,2.0,,,,,120.0,2.0,,5.0,305.0,,1.0,1.0,1.0,,64.0
gd_arcosg-ud-train,3541,0,3497,,3.0,3.0,2.0,,8.0,,,,,2.0,,,6.0,,,,,709.0,10.0,,18.0,2171.0,2.0,4.0,6.0,29.0,,524.0
gd_arcosg-ud-dev,655,0,579,,,,,,,,,,,,,,,1.0,,,,136.0,3.0,,7.0,349.0,,2.0,,6.0,,75.0
got_proiel-ud-dev,985,0,518,,,4.0,15.0,,,,,,,,,1.0,,,,,,42.0,8.0,,,389.0,12.0,,,9.0,,38.0
got_proiel-ud-train,3387,0,1815,,,16.0,70.0,,2.0,,,,,,,3.0,,,,,,130.0,25.0,,6.0,1388.0,62.0,3.0,,21.0,,89.0
got_proiel-ud-test,1029,0,456,,,2.0,7.0,,1.0,,,,,,,1.0,,,,,,26.0,2.0,,3.0,385.0,9.0,,,5.0,,15.0
sl_sst-ud-train,4558,0,116,,,,2.0,,,,,,1.0,,,,3.0,,23.0,,,11.0,,,48.0,19.0,1.0,2.0,1.0,5.0,,
sl_sst-ud-test,1041,0,20,,,,1.0,,,,,,,,,,,,3.0,,,5.0,,,5.0,6.0,,,,,,
sl_sst-ud-dev,505,0,43,,,,,,,,,,,,,,,,11.0,,,12.0,,,11.0,7.0,1.0,1.0,,,,
de_gsd-ud-train,13814,0,14072,,9.0,2.0,209.0,,1.0,,285.0,,1.0,8.0,,,,244.0,,,,4963.0,55.0,,81.0,8039.0,3.0,,,77.0,1.0,94.0
de_gsd-ud-dev,799,0,562,,,,,,1.0,,32.0,,,1.0,,,,2.0,,,,163.0,2.0,,2.0,358.0,,,,1.0,,
de_gsd-ud-test,977,0,853,,,,4.0,,,,24.0,,,8.0,,,,7.0,,,,293.0,,,2.0,509.0,,,,6.0,,
ka_glc-ud-test,151,0,96,,,,,,,,,,,,,,,,16.0,,,3.0,7.0,,66.0,4.0,,,,,,
aln_gps-ud-test,966,0,115,,2.0,1.0,,,,,,,,,,,,,28.0,,,32.0,1.0,,33.0,17.0,,,1.0,,,
kk_ktb-ud-test,1047,0,277,,,,,,,,,,,,,,,,3.0,,,70.0,,,12.0,189.0,3.0,,,,,
kk_ktb-ud-train,31,0,11,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,
cs_pdt-ud-test,10146,0,1435,3.0,1.0,5.0,14.0,,2.0,,,,1.0,8.0,,,,,,,,252.0,,,,1115.0,6.0,1.0,,26.0,,1.0
cs_pdt-ud-dev,9270,0,1411,1.0,2.0,3.0,13.0,,3.0,,,,1.0,20.0,,,,,,,,255.0,,,,1084.0,10.0,,,16.0,,3.0
cs_pdt-ud-train,68491,0,10045,17.0,15.0,26.0,94.0,,10.0,,,,2.0,84.0,,,1.0,4.0,,,,1946.0,,,,7674.0,47.0,,,112.0,,13.0
ta_mwtt-ud-test,534,0,79,,,,,,,,,,,,,,,,15.0,,,,3.0,,,59.0,,,,2.0,,
ota_dudu-ud-test,85,0,38,,,,,,1.0,,,,,,,,,,1.0,,,5.0,,,,31.0,,,,,,
ug_udt-ud-test,900,0,186,,1.0,3.0,,,,,3.0,,,,,,,,,,,25.0,,,,151.0,1.0,,,1.0,,1.0
ug_udt-ud-dev,900,0,183,,,1.0,,,,,11.0,,,,,,,,,,,16.0,1.0,,3.0,150.0,1.0,,,,,
ug_udt-ud-train,1656,0,344,,,,1.0,,,,9.0,,,,,,,,1.0,,,40.0,,,2.0,291.0,,,,,,
lv_lvtb-ud-test,2412,0,846,,4.0,1.0,6.0,,3.0,,,,1.0,4.0,22.0,,,1.0,322.0,,,162.0,30.0,,,265.0,3.0,1.0,,18.0,,3.0
lv_lvtb-ud-train,14358,0,6046,,18.0,3.0,35.0,,5.0,,3.0,,2.0,20.0,194.0,,,1.0,2304.0,,,1179.0,317.0,2.0,,1859.0,22.0,8.0,1.0,39.0,,34.0
lv_lvtb-ud-dev,2080,0,815,,4.0,2.0,4.0,,1.0,,,,,1.0,28.0,,,,297.0,,,150.0,35.0,,,272.0,9.0,1.0,,7.0,,4.0
