Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,compound,csubj,dep,discourse,dislocated,expl,fixed,flat,iobj,list,mark,nmod,nsubj,obj,obl,orphan,parataxis,reparandum,root,xcomp
cu_proiel-ud-test,2096,0,92,7.0,5.0,,,,,,1.0,,,,1.0,,,,,,,,66.0,3.0,,,5.0,4.0
cu_proiel-ud-dev,2205,0,74,8.0,1.0,,,,,,,,,,,,,,,2.0,1.0,1.0,58.0,1.0,,,2.0,
hy_bsut-ud-train,1226,0,16,,,,,,,,,,,,8.0,,,,,,,,8.0,,,,,
hy_bsut-ud-dev,479,0,6,,,,,,,,,,,,,,,,,1.0,,,5.0,,,,,
hsb_ufal-ud-test,623,0,12,,,,,,,,,,,,,,,,,2.0,,2.0,8.0,,,,,
hsb_ufal-ud-train,23,0,2,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,
sr_set-ud-train,3328,0,30,,,,,,,,,,,1.0,,,,,,5.0,1.0,,23.0,,,,,
sr_set-ud-dev,536,0,3,,,,,,,,,,,,,,,,,,,,3.0,,,,,
ky_ktmu-ud-test,701,0,4,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,
tr_gb-ud-test,2880,0,68,,4.0,,,1.0,,,,,,,,,,,,,,,40.0,,2.0,,21.0,
ru_taiga-ud-train,16045,0,327,7.0,1.0,,,7.0,,,,,,,2.0,,,,,18.0,,,244.0,,8.0,1.0,37.0,2.0
ru_taiga-ud-dev,946,0,26,,,,,1.0,,,,,,,,,,,,3.0,,,20.0,,1.0,,1.0,
ru_taiga-ud-test,881,0,27,,1.0,,,,,,,,,,,,,,,2.0,,,21.0,1.0,,,2.0,
cs_cltt-ud-dev,316,0,16,,,,,,,,,,,,,,,,,1.0,,,15.0,,,,,
cs_cltt-ud-train,467,0,8,,,,,,,,,,,,,,,,,1.0,,,7.0,,,,,
cs_cltt-ud-test,338,0,12,,,,,,,,,,,,,,,,,,,,12.0,,,,,
hy_armtdp-ud-train,1974,0,11,,,,,,,,,,,,7.0,,,,,,,,4.0,,,,,
hy_armtdp-ud-dev,249,0,2,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,
ota_boun-ud-train,114,0,1,,,,,,,,,,,,,,,,,,,,1.0,,,,,
ota_boun-ud-test,400,0,6,,,,,,,,,,,,,,,,,,,,6.0,,,,,
ru_syntagrus-ud-train,69630,0,3388,24.0,9.0,,2.0,8.0,,1.0,,,,,4.0,,,,,400.0,4.0,,2584.0,11.0,28.0,,311.0,2.0
ru_syntagrus-ud-dev,8906,0,419,1.0,3.0,,,3.0,,,,,,,,,,,,52.0,,,316.0,2.0,5.0,,37.0,
ru_syntagrus-ud-test,8800,0,468,2.0,,,,2.0,,,,,,,,,,,,53.0,1.0,,374.0,,1.0,,35.0,
orv_birchbark-ud-train,1045,0,2,,,,,,,,,,,,,,,,,,,,2.0,,,,,
orv_birchbark-ud-dev,1062,0,10,,1.0,,,,,,,,,,,,,,,,,1.0,8.0,,,,,
orv_birchbark-ud-test,1007,0,18,,,,,,,,,,,,,,,,,,,,16.0,,1.0,,1.0,
ru_poetry-ud-test,728,0,16,,,,,1.0,,,,,,,,,,,,,,,13.0,,1.0,,1.0,
ru_poetry-ud-dev,789,0,40,,,,,,,,,,,,,,,,,4.0,,,33.0,,,,3.0,
ru_poetry-ud-train,3569,0,69,,,,,1.0,,,,,,,,,,,,7.0,,,52.0,1.0,1.0,,7.0,
cs_fictree-ud-dev,1309,0,24,,,,,1.0,,,,,,,,,,,,1.0,,,21.0,,,,1.0,
cs_fictree-ud-train,10160,0,211,2.0,,,,2.0,,,1.0,,,,,,,,,9.0,,,189.0,,1.0,,6.0,1.0
cs_fictree-ud-test,1291,0,28,,,,,,,,,,,,,,,,,2.0,,,26.0,,,,,
hyw_armtdp-ud-test,680,0,1,,,,,,,,,,,,1.0,,,,,,,,,,,,,
hyw_armtdp-ud-train,5282,0,4,,,,,1.0,,1.0,,2.0,,,,,,,,,,,,,,,,
sme_giella-ud-train,2257,0,129,,,,1.0,,,,,,,,,,,,,7.0,,,121.0,,,,,
sme_giella-ud-test,865,0,61,,,,,,,,,,,,,,,,,1.0,,,60.0,,,,,
ca_ancora-ud-dev,1709,0,130,,1.0,,,,,,,,,,,,,,,,,99.0,29.0,,,,1.0,
ca_ancora-ud-test,1846,0,141,,,,,,,,,,,,,,,,,1.0,,95.0,45.0,,,,,
ca_ancora-ud-train,13123,0,1046,1.0,1.0,,,,,,,,,1.0,,,,,,,,803.0,239.0,,,,1.0,
sl_sst-ud-train,4558,0,47,,,,1.0,,,,,,,,,,,,,3.0,,1.0,38.0,2.0,1.0,,1.0,
sl_sst-ud-test,1041,0,7,,,,,,,,,,,,,,,,,1.0,,,4.0,,,,2.0,
sl_sst-ud-dev,505,0,7,,,,,,,,,,,,,,,,,,,,7.0,,,,,
kk_ktb-ud-test,1047,0,19,,1.0,,,,,,,,,,,,,,,,,,17.0,,,,1.0,
cs_pdt-ud-test,10146,0,195,2.0,,,,2.0,,2.0,1.0,,,,,,,,,11.0,,,168.0,,1.0,,7.0,1.0
cs_pdt-ud-dev,9270,0,152,2.0,,,,,,,2.0,,,,,,,,,9.0,,,132.0,,,,7.0,
cs_pdt-ud-train,68491,0,1066,17.0,2.0,,,9.0,,,2.0,,,,,,,,,78.0,,,940.0,,,,16.0,2.0
gn_oldtudet-ud-test,59,0,1,,,,,,,,,,,,,,,,,,,,1.0,,,,,
ta_mwtt-ud-test,534,0,3,,,,,,,,,,,,,,3.0,,,,,,,,,,,
ug_udt-ud-test,900,0,1,,,,,,,,,,,,,,,,,,,,1.0,,,,,
ug_udt-ud-dev,900,0,3,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,
ug_udt-ud-train,1656,0,4,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,
lv_lvtb-ud-test,2412,0,56,,,,,,2.0,,1.0,,,,,,,,,1.0,,,50.0,,1.0,,1.0,
lv_lvtb-ud-train,14358,0,397,,,,,,22.0,,1.0,1.0,,,,,7.0,,,7.0,,,359.0,,,,,
lv_lvtb-ud-dev,2080,0,56,,,,,,1.0,,1.0,,,,,,1.0,,,,,,52.0,1.0,,,,
ta_ttb-ud-train,400,0,3,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,
ta_ttb-ud-test,120,0,1,,,,,,,,,,,,,,,,,,,,1.0,,,,,
ru_pud-ud-test,1000,0,36,,,,,,,,,,,,,,,,,5.0,,,31.0,,,,,
qtd_sagt-ud-test,805,0,33,,,,,,,,,,,,,,,,,,,,29.0,,1.0,1.0,2.0,
qtd_sagt-ud-dev,801,0,43,,,,,,,,,,,,,,,,,4.0,,,37.0,,,1.0,1.0,
qtd_sagt-ud-train,578,0,39,,,,,,,,,,,,,,,,,1.0,,,37.0,,,1.0,,
pl_pud-ud-test,1000,0,29,,,,,,,,,,,,,,,,,12.0,,,17.0,,,,,
orv_torot-ud-test,2955,0,116,4.0,5.0,,1.0,,,,,,,,4.0,,,,,1.0,,,92.0,4.0,1.0,,4.0,
orv_torot-ud-dev,3061,0,91,1.0,6.0,,1.0,,,,,,,,5.0,,,,,,,,73.0,4.0,,,1.0,
orv_torot-ud-train,20480,0,812,23.0,20.0,,2.0,3.0,,,,,,,39.0,,,,,16.0,1.0,4.0,640.0,32.0,1.0,,22.0,9.0
cs_cac-ud-dev,603,0,10,,,,,,,,,,,,,,,,,3.0,,,7.0,,,,,
cs_cac-ud-train,23478,0,684,9.0,,,,2.0,,1.0,,,,,,2.0,,,,157.0,,,494.0,,1.0,,15.0,3.0
cs_cac-ud-test,628,0,17,,,,,,,,,,,,,1.0,,,,2.0,,,14.0,,,,,
eu_bdt-ud-train,5396,0,1,,,,,,,,,,,,,,,,,1.0,,,,,,,,
eu_bdt-ud-test,1799,0,1,,,,,,,,,,,,,,,,,,,,1.0,,,,,
pl_lfg-ud-test,1727,0,30,,,,,,,,,,,,,,,,,1.0,,,29.0,,,,,
pl_lfg-ud-train,13774,0,205,,,,,,,,,,,,,,,,,4.0,,,194.0,,,,5.0,2.0
pl_lfg-ud-dev,1745,0,32,,,,,,,,,,,,,,,,,3.0,,,27.0,,,,2.0,
cs_poetry-ud-test,297,0,15,,,,,,,,,,,,,,,,,,,,15.0,,,,,
ru_gsd-ud-test,601,0,18,,,,,,,,,,,,,,,,,2.0,,,16.0,,,,,
ru_gsd-ud-dev,579,0,14,,,,,,,,,,,,,,,,,2.0,,,12.0,,,,,
ru_gsd-ud-train,3850,0,127,,,,,,,,,,,,,,,,,23.0,,,101.0,,1.0,,2.0,
tr_imst-ud-train,3435,0,14,,1.0,,,,,,,,,,,,,,,,,,13.0,,,,,
tr_imst-ud-dev,1100,0,6,,,,,,,,,,,,,,,,,1.0,,,3.0,,,,2.0,
tr_imst-ud-test,1100,0,3,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,
tr_boun-ud-dev,979,0,15,,,,,,,,,,,,,,,,,1.0,,,14.0,,,,,
tr_boun-ud-test,979,0,17,,,,,,,,,,,,,,,,,1.0,,,16.0,,,,,
tr_boun-ud-train,7803,0,117,,1.0,,,1.0,,,,,,,,,,,,4.0,1.0,2.0,104.0,,,,4.0,
