appos='à',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Features,acl,advcl,advmod,ccomp,nmod,nsubj,obl,orphan,parataxis,reparandum,root,,,,,,,,,,,,,,,,,,,,
Wasserstein, -0.00000, -0.00000, -0.00000, -0.00000, 0.05000, 0.35000, 0.57720, 0.02280, -0.00000, -0.00000, -0.00000,,,,,,,,,,,,,,,,,,,,
Uniform, 0.00156, 0.00217, 0.00041, 0.01042, 0.22898, 0.00020, 0.72797, 0.00446, 0.00041, 0.02083, 0.00258,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
appos='sur',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Features,acl,advcl,appos,ccomp,discourse,nmod,nsubj,nummod,obj,obl,orphan,parataxis,reparandum,root,xcomp,,,,,,,,,,,,,,,,
Wasserstein, -0.00000, -0.00000, -0.00000, 0.00763, 0.03237, 0.21000, 0.06417, 0.08583, 0.06939, 0.44728, 0.06720, 0.01613, -0.00000, -0.00000, -0.00000,,,,,,,,,,,,,,,,
Uniform, 0.00256, 0.00477, 0.00191, 0.00264, 0.00095, 0.36267, 0.00000, 0.00000, 0.00096, 0.59385, 0.00142, 0.00000, 0.00767, 0.01964, 0.00095,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
appos='sauf',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Features,advcl,nmod,nsubj,obl,parataxis,root,,,,,,,,,,,,,,,,,,,,,,,,,
Wasserstein, -0.00000, -0.00000, 0.28571, 0.71429, -0.00000, -0.00000,,,,,,,,,,,,,,,,,,,,,,,,,
Uniform, 0.10714, 0.22619, 0.00000, 0.38095, 0.00000, 0.28571,,,,,,,,,,,,,,,,,,,,,,,,,
