Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:cmp,advcl:relcl,advmod,amod,appos,aux,aux:pass,case,ccomp,compound,compound:lvc,compound:redup,compound:svc,conj,cop,csubj,csubj:pass,dep,dep:comp,dep:conj,dep:redup,discourse,dislocated,fixed,flat,flat:foreign,iobj,list,nmod,nmod:npmod,nmod:poss,nsubj,nsubj:pass,obj,obl,obl:agent,obl:arg,orphan,parataxis,parataxis:discourse,punct,reparandum,root,vocative,xcomp
orv_ruthenian-ud-test,390,0,53,,2.0,1.0,14.0,,,,,,,,,1.0,,,,,17.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,14,,3.0
orv_ruthenian-ud-train,2789,0,210,,5.0,7.0,35.0,,,,,,,,,10.0,,,,,50.0,,8.0,,,,,,,3.0,,,,,,,,,,,,,,,1.0,3.0,,,,61,,27.0
orv_ruthenian-ud-dev,344,0,23,,,,3.0,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,2.0
hy_bsut-ud-train,1226,0,858,,118.0,41.0,70.0,,7.0,,,5.0,,,,25.0,,,2.0,,159.0,,23.0,1.0,,,,,1.0,,,,,,,,1.0,11.0,1.0,,,19.0,,,2.0,11.0,,,,304,,57.0
hy_bsut-ud-test,595,0,541,,70.0,13.0,45.0,,6.0,,,1.0,,,,26.0,,,1.0,2.0,121.0,,15.0,2.0,,,,,,,,,,,,,1.0,9.0,1.0,,1.0,16.0,,,,7.0,,,,172,,32.0
hy_bsut-ud-dev,479,0,373,,53.0,21.0,39.0,,2.0,,1.0,1.0,,,,14.0,,,1.0,1.0,60.0,,8.0,1.0,,,,,,1.0,,,,,,,1.0,17.0,1.0,,,8.0,,,,3.0,,,,109,,31.0
tt_nmctt-ud-test,148,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,
grc_proiel-ud-test,1047,0,516,,27.0,,124.0,1.0,,,,1.0,,,,23.0,,,,,72.0,9.0,3.0,1.0,,,,,,3.0,,,,,,7.0,,,10.0,1.0,9.0,2.0,,2.0,7.0,4.0,,,,177,,33.0
grc_proiel-ud-train,15016,0,6969,,398.0,,1807.0,10.0,,,,11.0,,,,423.0,,,,,855.0,171.0,21.0,17.0,,,,,,38.0,,,,,,89.0,,,98.0,17.0,81.0,31.0,4.0,24.0,39.0,24.0,,,,2408,1.0,402.0
grc_proiel-ud-dev,1019,0,503,,22.0,,128.0,2.0,,,,1.0,,1.0,,38.0,,,,,73.0,9.0,,2.0,,,,,,1.0,,,,,,3.0,,,3.0,,9.0,1.0,,1.0,2.0,5.0,,,,179,,23.0
ru_taiga-ud-train,16045,0,3824,,106.0,99.0,273.0,,,,7.0,2.0,,,,143.0,,,,,900.0,,173.0,,,,,,,,,1.0,,,1.0,2.0,,,,,2.0,1.0,,,,288.0,,,1.0,1534,1.0,290.0
ru_taiga-ud-dev,946,0,225,,7.0,3.0,17.0,,,,,,,,,6.0,,,,,56.0,,6.0,,,,,,,,,,,,,,,,,,,1.0,,,,38.0,,,,74,,17.0
ru_taiga-ud-test,881,0,143,,4.0,6.0,12.0,,,,1.0,,,,,6.0,,,,,32.0,,4.0,,,,,,,,,,,,,2.0,,,,,,,,,,17.0,,,,50,,9.0
tpn_tudet-ud-test,581,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
hy_armtdp-ud-train,1974,0,2108,,303.0,87.0,214.0,,,,1.0,6.0,,,,119.0,2.0,1.0,,16.0,518.0,,57.0,4.0,,,,,1.0,1.0,,,,,3.0,,4.0,18.0,6.0,1.0,2.0,32.0,,,1.0,63.0,,,,531,,117.0
hy_armtdp-ud-dev,249,0,286,,33.0,7.0,25.0,,,,,1.0,,,,10.0,,,,,90.0,,5.0,,,,,,1.0,,,,,,,,,6.0,1.0,,,6.0,,,,12.0,,,,69,,20.0
hy_armtdp-ud-test,277,0,288,,30.0,6.0,26.0,,,,,2.0,,,,9.0,,,1.0,2.0,96.0,,4.0,,,,,,,2.0,,,,,,,1.0,6.0,,,1.0,7.0,,,,4.0,,,,82,,9.0
is_gc-ud-test,540,0,112,,,3.0,10.0,,,,,,,,,9.0,,,,,17.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,48,,21.0
is_gc-ud-train,3960,0,848,,,93.0,80.0,,,,,,,,,49.0,,,,,131.0,,,,10.0,,,,,,,,,,,,,,13.0,,25.0,44.0,,,,,,,,268,,135.0
is_gc-ud-dev,500,0,112,,,9.0,12.0,,,,,,,,,8.0,,,,,17.0,,,,,,,,,,,,,1.0,,,,,1.0,,8.0,3.0,,,,,,,,38,,15.0
ru_syntagrus-ud-train,69630,0,26333,1.0,1574.0,1388.0,2231.0,,,,394.0,30.0,,,,1144.0,,,,,4102.0,,813.0,12.0,2.0,,,,,1.0,10.0,1.0,6.0,1.0,,18.0,,,14.0,,4.0,152.0,,,17.0,1514.0,,,,10849,,2055.0
ru_syntagrus-ud-dev,8906,0,3405,,177.0,162.0,294.0,,,,56.0,1.0,,,,153.0,,,,,599.0,,92.0,3.0,,,,,,,,,1.0,,,1.0,,,3.0,,1.0,20.0,,,5.0,190.0,,,,1436,,211.0
ru_syntagrus-ud-test,8800,0,3482,,207.0,194.0,331.0,,,,61.0,4.0,,,,148.0,,,,,588.0,,100.0,2.0,,,,,,,2.0,,,,,,,,3.0,,,26.0,,,4.0,199.0,,,,1343,,270.0
grc_ptnk-ud-train,727,0,443,,1.0,36.0,44.0,,,,,2.0,3.0,,,54.0,,,,,127.0,39.0,1.0,,,,,,,,,,,,,2.0,,,,,,7.0,,,,20.0,,,,94,,13.0
grc_ptnk-ud-dev,439,0,253,,,26.0,16.0,,,,,,2.0,,,20.0,,,,,75.0,30.0,1.0,,,,,,,1.0,,,,,,,,,,,1.0,3.0,,,,7.0,,,,63,,8.0
grc_ptnk-ud-test,410,0,218,,,13.0,24.0,,,,,,,,,28.0,,,,,71.0,13.0,,,,,,,,,,,,,,,,,2.0,,,2.0,,,1.0,7.0,,,,52,,5.0
orv_birchbark-ud-train,1045,0,50,,1.0,,3.0,,,,,,,,,,,,,,7.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,31,,4.0
orv_birchbark-ud-dev,1062,0,69,,2.0,,1.0,,,,,,,,,,,,,,14.0,,,,1.0,,,,,2.0,,,,,1.0,,,,,,,,,,1.0,2.0,,,,44,,1.0
orv_birchbark-ud-test,1007,0,74,,,,5.0,,,,,,,,,2.0,,,,,20.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,44,,1.0
is_icepahc-ud-dev,4865,0,1437,,210.0,118.0,142.0,,,6.0,11.0,,,,,165.0,,,,,369.0,,,,33.0,,,,,,,,,,,,,,,,,80.0,,,,4.0,,,,288,,11.0
is_icepahc-ud-train,34007,0,7804,,701.0,586.0,799.0,,,46.0,42.0,,10.0,,1.0,888.0,,,,,1922.0,5.0,,,68.0,,,,,,,,5.0,1.0,,,,1.0,9.0,,10.0,311.0,,,,16.0,,4.0,,2329,,50.0
is_icepahc-ud-test,5157,0,1396,,159.0,168.0,149.0,,,13.0,10.0,,,,,185.0,,,,,281.0,1.0,,,15.0,,,,,,,,,,,,,,,,1.0,48.0,,,,1.0,,,,353,,12.0
ru_poetry-ud-test,728,0,145,,4.0,5.0,11.0,,,,,,,,,1.0,,,,,45.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,6.0,3.0,,,61,,5.0
ru_poetry-ud-dev,789,0,180,,1.0,2.0,10.0,,,,,,,,,3.0,,,,,75.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,11.0,2.0,,,64,,9.0
ru_poetry-ud-train,3569,0,840,,3.0,13.0,86.0,,,,,,,,,16.0,,,,,239.0,,13.0,2.0,,,,,,,,,,,,,,,,,,,,,,46.0,3.0,,,388,,31.0
myu_tudet-ud-test,158,0,10,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,7,,1.0
is_modern-ud-dev,394,0,68,,7.0,8.0,4.0,,,,,,,,,8.0,,,,,13.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,23,,1.0
is_modern-ud-train,2703,0,512,,70.0,59.0,32.0,,,,5.0,,,,,72.0,,,,,67.0,,1.0,,4.0,,,,,,,,,,,,,,,,,27.0,,,,8.0,,,,155,,12.0
is_modern-ud-test,438,0,91,,7.0,12.0,13.0,,,,1.0,,,,,8.0,,,,,15.0,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,28,,1.0
hyw_armtdp-ud-test,680,0,707,,67.0,54.0,65.0,,2.0,,,,,,,27.0,,,,2.0,169.0,,14.0,,,,,,,1.0,,,,,,,,4.0,,,1.0,18.0,,,,9.0,,,,226,,48.0
hyw_armtdp-ud-dev,694,0,822,,87.0,68.0,78.0,,12.0,,,2.0,,,,31.0,,,,,177.0,,14.0,1.0,,,,,1.0,,1.0,,,,,,3.0,8.0,1.0,,1.0,23.0,,,,18.0,,,,246,,50.0
hyw_armtdp-ud-train,5282,0,4931,,549.0,285.0,403.0,,54.0,,6.0,24.0,,,,183.0,,,2.0,24.0,954.0,,113.0,8.0,,,,,2.0,3.0,3.0,,,,,2.0,3.0,78.0,9.0,1.0,16.0,115.0,,,5.0,111.0,,,,1624,,354.0
ka_glc-ud-test,151,0,9,,1.0,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,4,,
he_htb-ud-train,5168,0,1257,,14.0,280.0,87.0,,,,13.0,6.0,,,,64.0,,,,,172.0,,2.0,,22.0,,,,,,11.0,,,,,7.0,,,,,,39.0,,,,18.0,,,,453,,69.0
he_htb-ud-dev,484,0,99,,,21.0,6.0,,,,2.0,1.0,,,,9.0,,,,,9.0,,1.0,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,2.0,,,,39,,6.0
he_htb-ud-test,491,0,114,,2.0,31.0,8.0,,,,1.0,,,,,5.0,,,,,14.0,,,,3.0,,,,,,,,,,,2.0,,,1.0,,,1.0,,,,2.0,,,,40,,4.0
ru_pud-ud-test,1000,0,391,,37.0,26.0,29.0,,,,,,,,,25.0,,,,,39.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,182,,32.0
ru_gsd-ud-test,601,0,209,,2.0,10.0,7.0,,,,,1.0,,,,2.0,,,,,30.0,,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,,10.0,,,,132,,12.0
ru_gsd-ud-dev,579,0,193,,2.0,18.0,9.0,,,,,,,,,4.0,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,113,,14.0
ru_gsd-ud-train,3850,0,1328,,17.0,111.0,39.0,,,,,1.0,,,,38.0,,,,,159.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,73.0,,,,793,,95.0
bej_nsc-ud-test,380,0,36,,,2.0,3.0,,,,,,,,,,,,,1.0,,,,,,3.0,4.0,2.0,,,,,,,,,,,,,,,,,,6.0,,,1.0,14,,
