Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advmod,advmod:eval,amod,appos,aux,aux:neg,aux:pass,aux:q,ccomp,compound,compound:lvc,compound:redup,conj,cop,csubj,csubj:cop,dep,discourse,discourse:q,dislocated,fixed,iobj,mark,nmod,nmod:poss,nsubj,obj,obl,orphan,parataxis,reparandum,root,xcomp
tr_gb-ud-test,2880,0,418,,22.0,,34.0,,,,,3.0,,,1.0,7.0,,,,9.0,61.0,1.0,2.0,,,,,,,,,,,,,,8.0,,270.0,
ota_boun-ud-train,114,0,19,,6.0,,1.0,,,,,,,,,2.0,3.0,,,3.0,,,,,,,,,,,,,,,,,,,4.0,
ota_boun-ud-test,400,0,76,,12.0,,3.0,,,,,,,,,3.0,4.0,16.0,,12.0,2.0,,,,,,,,,,,,,,2.0,,1.0,,18.0,3.0
myu_tudet-ud-test,158,0,8,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,2.0,,,
koi_uh-ud-train,34,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,
koi_uh-ud-test,94,0,5,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,
ka_glc-ud-test,151,0,5,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,
arr_tudet-ud-test,674,0,14,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,9.0,,,,,,,,,1.0,
gn_oldtudet-ud-test,59,0,1,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
ota_dudu-ud-test,85,0,4,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
lv_lvtb-ud-test,2412,0,55,,3.0,,2.0,,,,,14.0,,3.0,,8.0,,,,4.0,4.0,,,1.0,1.0,,,,,,,,,,,,,,15.0,
lv_lvtb-ud-train,14358,0,285,4.0,6.0,,12.0,,,,,61.0,,16.0,,29.0,,,,40.0,54.0,,,13.0,,,,,,,,,,,1.0,,,,49.0,
lv_lvtb-ud-dev,2080,0,28,,2.0,,,,,,,2.0,,2.0,,6.0,,,,5.0,4.0,,,2.0,,,,,,,,,,,,,,,5.0,
qtd_sagt-ud-test,805,0,70,,3.0,,5.0,,,,,,,,,3.0,,1.0,,8.0,7.0,,,,,,,,,,,,,,,,5.0,2.0,32.0,4.0
qtd_sagt-ud-dev,801,0,66,,1.0,,6.0,,,,,,,,,8.0,,1.0,,7.0,5.0,,,,,,1.0,,,,,,,,,,11.0,1.0,23.0,2.0
qtd_sagt-ud-train,578,0,58,,1.0,,10.0,,,,,,,,,5.0,,,,14.0,6.0,1.0,,,,,2.0,,,,,,,,,,3.0,,15.0,1.0
yrl_complin-ud-test,1470,0,168,,,,,167.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
tr_imst-ud-train,3435,0,457,,58.0,,11.0,,,,,,,,2.0,10.0,44.0,18.0,,57.0,19.0,1.0,,,,,,,1.0,,10.0,1.0,2.0,16.0,,1.0,1.0,,205.0,
tr_imst-ud-dev,1100,0,101,,24.0,,1.0,,,,,,,,,1.0,11.0,4.0,,11.0,5.0,,,,,,,,,,4.0,,1.0,4.0,,,1.0,,34.0,
tr_imst-ud-test,1100,0,74,,18.0,,2.0,,,,,,,,,1.0,4.0,5.0,,5.0,10.0,,,,,,,,,,,,1.0,2.0,,,,,26.0,
tr_boun-ud-dev,979,0,73,,8.0,,2.0,,,,1.0,,,,,3.0,4.0,4.0,,12.0,11.0,,,,,,,,,,,1.0,,1.0,,,,,26.0,
tr_boun-ud-test,979,0,110,,19.0,,8.0,,,1.0,,,,,1.0,4.0,6.0,1.0,,21.0,4.0,,,,,,1.0,,,,,,3.0,2.0,,,,,39.0,
tr_boun-ud-train,7803,0,651,,58.0,,18.0,,,4.0,2.0,1.0,,,,18.0,48.0,26.0,2.0,95.0,118.0,2.0,,,1.0,1.0,,,,,2.0,4.0,2.0,4.0,1.0,,4.0,,239.0,1.0
