Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:pred,advmod,advmod:det,amod,appos,aux,aux:pass,case,ccomp,compound,conj,cop,csubj,csubj:pass,dep,dep:agr,det,discourse,dislocated,fixed,flat,flat:abs,flat:foreign,flat:name,flat:repeat,flat:sibl,flat:title,iobj,list,nmod,nmod:poss,nsubj,nsubj:caus,nsubj:cop,nsubj:outer,nsubj:pass,nummod,nummod:gov,obj,obl,obl:agent,obl:arg,obl:depict,orphan,parataxis,parataxis:discourse,parataxis:newsent,reparandum,root,vocative,xcomp,xcomp:pred
hsb_ufal-ud-train,23,0,29,,1.0,,1.0,,,,1.0,,,,,,,4.0,,,,,,1.0,,,,3.0,,,,,,,1.0,,8.0,,8.0,,,,,,,1.0,,,,,,,,,,,,,
sr_set-ud-test,520,0,20,,1.0,,,,,,6.0,1.0,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,7.0,1.0,,,,,,,,,,,,
sr_set-ud-train,3328,0,222,,,,1.0,,,,45.0,10.0,,,,,,18.0,,,,,,10.0,,,,45.0,,,,,,,,,12.0,,,,,,,2.0,1.0,61.0,17.0,,,,,,,,,,,,
sr_set-ud-dev,536,0,35,,,,,,,,8.0,1.0,,,,,,2.0,,,,,,2.0,,,,6.0,,,,,,,,,1.0,,,,,,,,,11.0,4.0,,,,,,,,,,,,
myv_jr-ud-test,921,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,6.0,,,,,,,,,,,,
myv_jr-ud-train,1217,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
quc_iu-ud-test,1435,0,20,,,,,,,,,,,,,,,,,,,1.0,11.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_taiga-ud-train,16045,0,8136,,21.0,7.0,26.0,,,,68.0,408.0,,,,32.0,6.0,695.0,,5.0,,3.0,,75.0,,5.0,11.0,,,,423.0,,,,482.0,7.0,1079.0,,2455.0,,,,44.0,4.0,2.0,550.0,768.0,36.0,,,20.0,176.0,,,2.0,519.0,125.0,82.0,
ru_taiga-ud-dev,946,0,608,,2.0,,2.0,,,,4.0,46.0,,,,3.0,,65.0,,,,,,4.0,,1.0,1.0,,,,6.0,,,,20.0,,60.0,,168.0,,,,1.0,,,34.0,58.0,,,,2.0,18.0,,,1.0,64.0,41.0,7.0,
ru_taiga-ud-test,881,0,645,,3.0,1.0,1.0,,,,3.0,39.0,,,,3.0,1.0,70.0,,1.0,,,,12.0,,3.0,,1.0,,,29.0,,,,33.0,,106.0,,146.0,,,,1.0,1.0,1.0,47.0,38.0,1.0,,,6.0,14.0,,,,59.0,21.0,4.0,
cs_cltt-ud-dev,316,0,89,,,3.0,2.0,,,,30.0,,,,,,,18.0,,,,1.0,,1.0,,,,,,,,,,,,,18.0,,7.0,,,,,,,,1.0,,6.0,,,,,,,,,2.0,
cs_cltt-ud-train,467,0,130,,,2.0,1.0,,,,34.0,1.0,,,,,,37.0,,,,2.0,,,,,,,,,,,,,,,40.0,,1.0,,,,,,,1.0,2.0,,8.0,,1.0,,,,,,,,
cs_cltt-ud-test,338,0,82,,,9.0,,,,,19.0,,,,,,,10.0,,,,,,,,,,,,,,,,,,,24.0,,3.0,,,,,,,1.0,,,15.0,,1.0,,,,,,,,
ru_syntagrus-ud-train,69630,0,63735,,314.0,39.0,241.0,,,,779.0,5341.0,,,,141.0,31.0,4961.0,,18.0,,,,157.0,,2.0,243.0,61.0,,4.0,5708.0,,,,2446.0,1.0,12464.0,,17810.0,,,,520.0,36.0,49.0,3434.0,5563.0,142.0,,,61.0,964.0,,,,1678.0,153.0,374.0,
ru_syntagrus-ud-dev,8906,0,7853,,44.0,7.0,38.0,,,,82.0,589.0,,,,13.0,2.0,691.0,,3.0,,,,20.0,,,25.0,2.0,,,776.0,,,,266.0,,1554.0,,2036.0,,,,59.0,3.0,4.0,389.0,796.0,21.0,,,16.0,145.0,,,,230.0,13.0,29.0,
ru_syntagrus-ud-test,8800,0,8234,,44.0,2.0,43.0,,,,94.0,624.0,,,,27.0,3.0,664.0,,5.0,,,,15.0,,,35.0,2.0,,,905.0,,,,320.0,,1511.0,,2141.0,,,,106.0,2.0,5.0,449.0,804.0,15.0,,,9.0,124.0,,,,223.0,31.0,31.0,
orv_birchbark-ud-train,1045,0,5,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
orv_birchbark-ud-dev,1062,0,2,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
orv_birchbark-ud-test,1007,0,1,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_poetry-ud-test,728,0,372,,,1.0,,,,,8.0,16.0,,,,,,34.0,,,,,,1.0,,1.0,,,,,15.0,,,,16.0,,37.0,,111.0,,,,2.0,,,25.0,34.0,2.0,,1.0,,3.0,,,,31.0,28.0,6.0,
ru_poetry-ud-dev,789,0,403,,1.0,,1.0,,,,4.0,13.0,,,,1.0,,40.0,,1.0,,,,4.0,,1.0,,,,,10.0,,,,22.0,,48.0,,110.0,,,,7.0,2.0,,28.0,33.0,1.0,,,2.0,7.0,,,,39.0,23.0,5.0,
ru_poetry-ud-train,3569,0,1407,,11.0,,11.0,,,,15.0,78.0,,,,3.0,,122.0,,2.0,,,,3.0,1.0,4.0,1.0,,,,38.0,,,,63.0,,166.0,,398.0,,,,5.0,,,82.0,141.0,14.0,,,4.0,23.0,,,,116.0,91.0,15.0,
koi_uh-ud-test,94,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,6.0,2.0,,,,,,,,,1.0,1.0,,
cs_fictree-ud-dev,1309,0,1695,7.0,11.0,46.0,87.0,,,,77.0,8.0,2.0,2.0,,29.0,1.0,241.0,44.0,9.0,,16.0,,55.0,,,,21.0,,,,,,,1.0,,54.0,,299.0,,,,4.0,13.0,,84.0,65.0,,91.0,,7.0,2.0,,,,374.0,16.0,29.0,
cs_fictree-ud-train,10160,0,14745,39.0,89.0,395.0,721.0,,,,700.0,76.0,12.0,24.0,,313.0,2.0,2231.0,294.0,70.0,2.0,143.0,,457.0,3.0,,,209.0,,,,,,,34.0,,427.0,,2479.0,,,,21.0,103.0,2.0,813.0,526.0,,903.0,,28.0,23.0,,,,3122.0,145.0,339.0,
cs_fictree-ud-test,1291,0,1896,3.0,7.0,63.0,90.0,,,,88.0,10.0,1.0,2.0,,39.0,1.0,251.0,47.0,4.0,1.0,16.0,,44.0,1.0,,,13.0,,,,,,,6.0,,58.0,,342.0,,,,2.0,12.0,,99.0,64.0,,125.0,,2.0,3.0,,,,439.0,19.0,44.0,
sl_sst-ud-train,4558,0,62,,,,1.0,,,,,7.0,,,,,,5.0,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,34.0,7.0,,,,1.0,,,,1.0,2.0,,1.0,
sl_sst-ud-test,1041,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,8.0,3.0,,,,,,,,2.0,3.0,,,
sl_sst-ud-dev,505,0,29,,,,,,,,,2.0,,,,,,5.0,,,,,,,,,,,,,3.0,,,,,,5.0,,,,,,,,,13.0,1.0,,,,,,,,,,,,
ka_glc-ud-test,151,0,78,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,4.0,,32.0,,33.0,,,,1.0,,,4.0,2.0,,,,,,,,,,,,
cs_pdt-ud-test,10146,0,11718,34.0,32.0,160.0,134.0,,,,1576.0,161.0,1.0,17.0,,95.0,,888.0,36.0,18.0,2.0,160.0,,96.0,,,2.0,1804.0,,,,,,,16.0,,1703.0,,2522.0,,,,75.0,6.0,,351.0,353.0,,482.0,,20.0,16.0,,,,822.0,9.0,127.0,
cs_pdt-ud-dev,9270,0,11484,34.0,44.0,171.0,142.0,,,,1538.0,176.0,,23.0,,75.0,,912.0,30.0,19.0,,134.0,,108.0,,,1.0,1759.0,,,,,,,8.0,,1636.0,,2462.0,,,,78.0,1.0,,336.0,378.0,,453.0,,28.0,14.0,,,,802.0,11.0,111.0,
cs_pdt-ud-train,68491,0,85851,219.0,327.0,1097.0,920.0,,,,11690.0,1236.0,10.0,126.0,,671.0,,6642.0,245.0,156.0,17.0,979.0,,741.0,1.0,,8.0,13249.0,,,,,,,84.0,,12198.0,,18879.0,,,,542.0,45.0,,2499.0,2635.0,,3506.0,,196.0,92.0,,,,5947.0,47.0,847.0,
ta_mwtt-ud-test,534,0,41,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,28.0,,,,,,,,,,,,,,,,,4.0,,,
ta_ttb-ud-train,400,0,260,,,,,,,,,,27.0,,,1.0,,7.0,,,,,,,,,,,,,,,,,2.0,,70.0,,90.0,,,,,,,19.0,18.0,,14.0,,,1.0,,,,11.0,,,
ta_ttb-ud-dev,80,0,39,,,,,,,,,,5.0,,,,,3.0,,,,,,,,,,,,,,,,,,,10.0,,9.0,,,,,,,3.0,2.0,,4.0,,,,,,,3.0,,,
ta_ttb-ud-test,120,0,83,,,,,,,,,,6.0,,,,,1.0,,,,,,,,,,,,,,,,,,,23.0,,31.0,,,,,,,11.0,6.0,,4.0,,,,,,,1.0,,,
ru_pud-ud-test,1000,0,1234,,8.0,,4.0,,,,9.0,46.0,,,,2.0,,61.0,,,,,,4.0,,,1.0,2.0,,,200.0,,,,55.0,,263.0,,340.0,,,,25.0,2.0,1.0,69.0,91.0,3.0,,,1.0,4.0,,,,12.0,2.0,29.0,
cs_cac-ud-dev,603,0,352,,4.0,5.0,4.0,,,,55.0,6.0,,,,,,26.0,1.0,,,1.0,,5.0,,,,27.0,,,,,,,,,81.0,,70.0,,,,,1.0,,11.0,12.0,,13.0,,,,,,,18.0,1.0,11.0,
cs_cac-ud-train,23478,0,19085,31.0,88.0,328.0,287.0,,,,2677.0,297.0,3.0,28.0,,125.0,,2311.0,89.0,58.0,2.0,181.0,,240.0,,,7.0,1244.0,,7.0,,,,,27.0,,3212.0,,4031.0,,,,89.0,4.0,,527.0,633.0,,879.0,,60.0,50.0,,,,1283.0,39.0,248.0,
cs_cac-ud-test,628,0,437,,3.0,8.0,8.0,,,,69.0,,,2.0,,9.0,,34.0,2.0,1.0,,2.0,,4.0,,,,9.0,,,,,,,1.0,,76.0,,118.0,,,,3.0,1.0,,14.0,14.0,,18.0,,1.0,,,,,27.0,7.0,6.0,
eu_bdt-ud-train,5396,0,778,,3.0,,11.0,,,,,7.0,,,45.0,9.0,,47.0,,2.0,,,,,,,,2.0,,,,,,,39.0,,104.0,,325.0,,,,,,,82.0,49.0,,,,2.0,,,,,41.0,1.0,9.0,
eu_bdt-ud-test,1799,0,236,,,,4.0,,,,,3.0,,,20.0,1.0,,16.0,,,,,,,,,,,,,,,,,16.0,,35.0,,92.0,,,,,,,23.0,11.0,,,,,,,,,13.0,,2.0,
eu_bdt-ud-dev,1798,0,274,,1.0,,4.0,,,,,2.0,,,18.0,4.0,,16.0,,,,,,,,,,,,,,,,,15.0,,41.0,,101.0,,,,,,,26.0,21.0,,,,1.0,,,,,20.0,,4.0,
urb_tudet-ud-test,83,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
cs_poetry-ud-test,297,0,357,,1.0,4.0,12.0,,1.0,,37.0,11.0,,1.0,,5.0,,31.0,2.0,,,1.0,,9.0,,,1.0,8.0,,,,,,,,,30.0,,85.0,,,,,,,22.0,23.0,1.0,28.0,,,7.0,,,,24.0,8.0,5.0,
ru_gsd-ud-test,601,0,944,,18.0,2.0,1.0,,,,4.0,91.0,,,,2.0,,100.0,,,,2.0,,,,1.0,1.0,,,4.0,120.0,,,,19.0,,185.0,,173.0,,,,15.0,2.0,4.0,36.0,52.0,8.0,,,11.0,11.0,,,,49.0,1.0,32.0,
ru_gsd-ud-dev,579,0,975,,22.0,3.0,2.0,,,,7.0,119.0,,,,1.0,,110.0,,,,,,5.0,,,2.0,,,1.0,124.0,,,,21.0,,197.0,,158.0,,,,13.0,4.0,9.0,43.0,45.0,14.0,,,,11.0,,,,53.0,,11.0,
ru_gsd-ud-train,3850,0,5900,,172.0,15.0,1.0,,,,53.0,573.0,,,1.0,10.0,3.0,614.0,2.0,,,6.0,,15.0,,,9.0,,,3.0,728.0,,,,128.0,6.0,1137.0,,1122.0,,,,76.0,39.0,62.0,278.0,301.0,79.0,,,10.0,33.0,,,,325.0,4.0,95.0,
bg_btb-ud-train,8907,0,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,2.0,,4.0,,,,,2.0,,20.0,7.0,,,,,,,,,,,,
bg_btb-ud-test,1116,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,
bg_btb-ud-dev,1115,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,1.0,,,
