Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:cleft,advcl:cmp,advcl:quote,advcl:relcl,advcl:tcl,amod,appos,aux,aux:caus,aux:ex,aux:pass,aux:tense,case,ccomp,ccomp:obj,ccomp:pmod,ccomp:quote,ccomp:speech,compound:redup,compound:svc,conj,cop,csubj,csubj:pass,dep,discourse,dislocated,fixed,flat,iobj,mark,nmod,nsubj,nsubj:pass,obj,obj:ro,obl,obl:agent,obl:pmod,orphan,parataxis,parataxis:insert,parataxis:parenth,reparandum,root,xcomp
pt_cintil-ud-train,30720,0,2307,,,86.0,,,,,,178.0,,,,,,,,72.0,,,,,,,84.0,822.0,9.0,2.0,111.0,,,,,,,,,,24.0,,19.0,,,,28.0,,,,859.0,13.0
abq_atb-ud-test,98,0,11,,,1.0,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,
fr_gsd-ud-test,416,0,47,,6.0,2.0,,,,,,,,,1.0,,,8.0,,2.0,,,,,,,6.0,12.0,,,,,,,,,,,,,,,,,,,1.0,,,,9.0,
fr_gsd-ud-train,14450,0,1806,17.0,213.0,63.0,5.0,,,,,,,,4.0,,149.0,281.0,,81.0,,,,,,,129.0,420.0,4.0,,,,,1.0,,,,,,,,,,,,,25.0,10.0,,,404.0,
fr_gsd-ud-dev,1476,0,184,1.0,27.0,5.0,,,,,,,,,,,8.0,36.0,,4.0,,,,,,,10.0,42.0,1.0,,,,,,,,,,,,,,,1.0,,,3.0,,,,46.0,
fo_oft-ud-test,1208,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,
it_isdt-ud-test,482,0,62,,5.0,6.0,,,,,,,,20.0,,,2.0,,,,,,,,,,3.0,14.0,,,,,,,,,,,,,,,,,,,1.0,,,,11.0,
it_isdt-ud-train,13121,0,1659,1.0,196.0,118.0,,,,,,,,447.0,,,76.0,,,54.0,,,,,,,103.0,286.0,6.0,,,,,,,,,,,,,,,,,,12.0,,,,360.0,
it_isdt-ud-dev,564,0,84,,12.0,5.0,,,,,,,,23.0,,,2.0,,,1.0,,,,,,,6.0,16.0,,,,,,,,,,,,,,,,,,,,,,,19.0,
fr_rhapsodie-ud-train,1288,0,147,4.0,19.0,7.0,1.0,,,,,,,,,,3.0,9.0,,4.0,,,,,,,7.0,25.0,,,,,,,,,,,,,,,,,,,,,,5.0,63.0,
fr_rhapsodie-ud-dev,1081,0,176,,13.0,14.0,3.0,,,,,,1.0,,,,6.0,12.0,,7.0,,,,,,,3.0,48.0,,,,,,,,,,,,,1.0,,,,,,,,,12.0,56.0,
fr_rhapsodie-ud-test,840,0,126,,11.0,5.0,1.0,,,,,,1.0,,,,4.0,13.0,,12.0,,,,,,,4.0,28.0,,,,,,,,,,,,,,,,,,,,,,2.0,45.0,
fr_parisstories-ud-dev,692,0,313,3.0,13.0,16.0,2.0,,,,,,,,,,5.0,33.0,,19.0,,,,,,,17.0,83.0,1.0,,,3.0,,,,,,,,,,,,,,,,,3.0,13.0,102.0,
fr_parisstories-ud-train,1387,0,775,7.0,45.0,29.0,6.0,,,,,,1.0,,,,25.0,86.0,,44.0,,,,,,,43.0,194.0,,,2.0,1.0,3.0,4.0,,,,,,,,,,,,,1.0,,1.0,39.0,244.0,
fr_parisstories-ud-test,697,0,372,4.0,28.0,16.0,1.0,,,,,,,,,,7.0,33.0,,12.0,,,,,,,26.0,92.0,,,,,,5.0,,,,,,,,,,,,,1.0,,3.0,24.0,120.0,
ro_art-ud-test,50,0,31,2.0,,6.0,,,,,,,,3.0,,,,,,1.0,,1.0,,,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,12.0,
hy_armtdp-ud-train,1974,0,975,1.0,11.0,30.0,,,,,,,,592.0,,,,,,4.0,,,,,,,44.0,231.0,3.0,,,,,,,,,,,,1.0,,,,,,7.0,,,,49.0,2.0
hy_armtdp-ud-dev,249,0,77,,1.0,1.0,,,,,,,,54.0,,1.0,,,,,,,,,,,3.0,13.0,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,
hy_armtdp-ud-test,277,0,129,,2.0,3.0,,,,,,,,78.0,,,,,,2.0,,,,,,,10.0,24.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,8.0,
mk_mtb-ud-test,155,0,21,,1.0,2.0,,,,,,,,1.0,,,1.0,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,12.0,
pt_bosque-ud-dev,1172,0,139,1.0,27.0,8.0,,,,,,,,10.0,,,2.0,,,16.0,,,,,,,8.0,28.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,,36.0,
pt_bosque-ud-test,1167,0,157,1.0,26.0,9.0,,,,,,,1.0,16.0,,,2.0,,,22.0,,,,,,,9.0,34.0,3.0,,,,,,,,,,,,,,,,,,3.0,,,,31.0,
pt_bosque-ud-train,7018,0,1002,13.0,170.0,79.0,,,,,,,,92.0,,,16.0,,,81.0,,,,,,,79.0,222.0,9.0,,,,,,,,,,,,,,,,,,19.0,,,,219.0,3.0
orv_birchbark-ud-train,1045,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
orv_birchbark-ud-dev,1062,0,6,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,
orv_birchbark-ud-test,1007,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
lij_glt-ud-test,296,0,130,2.0,22.0,15.0,,,,,,,,19.0,,,,,,5.0,,,,,,,21.0,23.0,,,,,,,,,,,,,,,,,,,7.0,,,,15.0,1.0
lij_glt-ud-train,20,0,1,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it_partut-ud-dev,156,0,20,,1.0,1.0,,,,,,,,3.0,,,1.0,,,1.0,,,,,,,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,5.0,
it_partut-ud-test,153,0,13,,3.0,,,,,,,,,2.0,,,2.0,,,,,,,,,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,
it_partut-ud-train,1781,0,280,2.0,36.0,16.0,,,,,,,,56.0,,,30.0,,,16.0,,,,,,,5.0,59.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,,57.0,
hyw_armtdp-ud-test,680,0,585,4.0,36.0,20.0,,,,2.0,,,1.0,150.0,1.0,1.0,,,,10.0,,,,,,,116.0,84.0,7.0,,,,1.0,,,,,,,,,,,,,,12.0,,,,140.0,
hyw_armtdp-ud-dev,694,0,462,1.0,43.0,24.0,,,,4.0,,,2.0,130.0,,,,,,12.0,,,,,,1.0,71.0,77.0,3.0,,,,,,,,,,,,,,,,,,7.0,,,,82.0,5.0
hyw_armtdp-ud-train,5282,0,1849,25.0,131.0,73.0,,,,15.0,,,1.0,462.0,,2.0,,,,40.0,,,,,1.0,1.0,255.0,406.0,23.0,1.0,,,1.0,,,,,,,,,,,,,,35.0,,,,372.0,5.0
ro_rrt-ud-test,729,0,157,27.0,,14.0,,,,,2.0,,,2.0,,,5.0,,,6.0,,,,,,,24.0,18.0,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,54.0,2.0
ro_rrt-ud-train,8043,0,2155,324.0,,199.0,,,,,14.0,,4.0,27.0,,,47.0,,,50.0,,8.0,,,,,338.0,315.0,35.0,,,,,,6.0,,,1.0,1.0,1.0,1.0,,1.0,,,,46.0,,,,730.0,7.0
ro_rrt-ud-dev,752,0,201,37.0,,14.0,,,,,1.0,1.0,1.0,2.0,,,7.0,,,2.0,,1.0,,,,,31.0,28.0,1.0,,,,,,,,,,,,,,,,,1.0,3.0,,,,71.0,
ca_ancora-ud-dev,1709,0,429,81.0,6.0,54.0,,,,,,,,100.0,,,,,,47.0,,,,,,,33.0,54.0,2.0,,,,,,,,,,,,,,,,,,6.0,,,,41.0,5.0
ca_ancora-ud-test,1846,0,279,66.0,4.0,34.0,,,,,,,,58.0,,,,,,31.0,,,,,,,13.0,29.0,8.0,,,,,,,,,,,,,,,,,,1.0,,,,31.0,4.0
ca_ancora-ud-train,13123,0,2430,467.0,32.0,323.0,,,,,,,,497.0,,,,,1.0,279.0,,,,,,,144.0,307.0,30.0,,,,,,,,,,,,,,,,,,15.0,,,,310.0,25.0
cy_ccg-ud-test,953,0,181,5.0,19.0,3.0,,,,,,,1.0,,,,,,,12.0,,,,,,,7.0,51.0,1.0,,,,,,,,,,,,,,,,,,3.0,,,,79.0,
cy_ccg-ud-dev,409,0,92,8.0,5.0,2.0,,,,,,,1.0,,,,,,,7.0,,,,,,,7.0,30.0,,,,,,,,,,,,,,,,,,,2.0,,,,30.0,
cy_ccg-ud-train,1189,0,264,17.0,21.0,7.0,,,,,,,1.0,,,,,,,21.0,,,,,,,17.0,72.0,,,,,,,,,,1.0,,,,,2.0,,,,3.0,,,,102.0,
ka_glc-ud-test,151,0,30,2.0,,,,,,,,,,1.0,,,,,,6.0,,,,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,14.0,
aln_gps-ud-test,966,0,203,18.0,,3.0,,,,,,,,65.0,,,,,,15.0,,,,,,,22.0,45.0,,,,2.0,,,,,,,,,,,,,,,1.0,,,6.0,23.0,3.0
it_twittiro-ud-test,142,0,14,,2.0,,,,,,,,,4.0,,,,,,,,,,,,,1.0,4.0,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,
it_twittiro-ud-train,1138,0,141,2.0,7.0,12.0,,,,,,,,42.0,,,1.0,,,13.0,,,,,,,3.0,34.0,,,,,,,,,,,,,,,,,,,15.0,,,,12.0,
it_twittiro-ud-dev,144,0,22,,2.0,,,,,,,,,3.0,,,,,,,,,,,,,1.0,10.0,,,,,,,,,,,,,,,,,,,5.0,,,,1.0,
it_markit-ud-test,340,0,41,,5.0,5.0,,,,,,,,10.0,,,,,,1.0,,,,,,,3.0,8.0,,,,,,,,,,,,,,,,,,,1.0,,,,8.0,
it_markit-ud-train,611,0,104,,26.0,10.0,,,,,,,,16.0,,,,,,5.0,,,,,,,10.0,24.0,,,,,,,,,,,,,,,,,,,1.0,,,,11.0,1.0
it_markit-ud-dev,341,0,45,1.0,10.0,4.0,,,,,,,,11.0,,,1.0,,,1.0,,,,,,,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,8.0,
gl_pud-ud-test,1000,0,261,40.0,,28.0,,,,,,,,17.0,,,1.0,,,42.0,,,,,,,25.0,46.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,,59.0,
it_postwita-ud-train,5368,0,364,2.0,16.0,36.0,,,,,,,,93.0,,,2.0,,,17.0,,,,,,,20.0,93.0,1.0,,,,,,,,,,,,,,,,,,41.0,1.0,,,41.0,1.0
it_postwita-ud-dev,670,0,47,1.0,2.0,4.0,,,,,,,,11.0,,,,,,4.0,,,,,,,2.0,14.0,,,,,,,,,,,,,,,,,,,4.0,,,,5.0,
it_postwita-ud-test,674,0,45,1.0,2.0,7.0,,,,,,,,11.0,,,,,,1.0,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,3.0,,,,9.0,
it_vit-ud-train,8277,0,1118,6.0,128.0,38.0,,,,,,,2.0,373.0,,,45.0,,,85.0,,,,,,,73.0,146.0,1.0,,,,,,,1.0,,,,,,,,,,,31.0,,,,189.0,
it_vit-ud-test,1067,0,241,1.0,17.0,3.0,,,,,,,,76.0,,,4.0,,,25.0,,,,,,,21.0,46.0,,,,,,,,,,,,,,,,,,,12.0,,,,36.0,
it_vit-ud-dev,743,0,39,,8.0,,,,,,,,,8.0,,,2.0,,,4.0,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,
it_parlamint-ud-test,375,0,33,6.0,,7.0,,,,,,,,10.0,,,,,,1.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,1.0,,,,5.0,
it_parlamint-ud-train,326,0,54,7.0,,7.0,,,,,,,,24.0,,,,,,2.0,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,8.0,
fr_partut-ud-dev,107,0,6,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,
fr_partut-ud-train,803,0,59,,9.0,4.0,,,,,,,,11.0,1.0,,1.0,,,7.0,,,,,,,4.0,13.0,,,,,,,,,,,,,,,,,,,,,,,9.0,
ab_abnc-ud-test,263,0,108,,19.0,26.0,,,2.0,,,,,,,,,,,,2.0,,1.0,,,,12.0,5.0,3.0,,,,,,,,,,1.0,,,1.0,,,,,3.0,,,,33.0,
fr_sequoia-ud-test,456,0,54,,5.0,1.0,1.0,,,,,,,,,,4.0,11.0,,,,,,,,,2.0,16.0,,,,,1.0,,,,,,,,,,,,,,,2.0,,,11.0,
fr_sequoia-ud-train,2231,0,289,,33.0,13.0,1.0,,,,,,,,,,24.0,63.0,,17.0,,,,,,,17.0,46.0,1.0,,,,,,,,,,,,,,,,,,2.0,4.0,,,68.0,
fr_sequoia-ud-dev,412,0,75,3.0,11.0,2.0,,,,,,,,,,,5.0,15.0,,4.0,,,,,,,4.0,9.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,,20.0,
bg_btb-ud-train,8907,0,832,7.0,72.0,93.0,,,,,,,,,,,,,,12.0,,,,,,,144.0,,2.0,1.0,,,,,,,,,,,,,,,,,13.0,,,,488.0,
bg_btb-ud-test,1116,0,100,1.0,9.0,8.0,,,,,,,,,,,,,,3.0,,,,,,,13.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,64.0,
bg_btb-ud-dev,1115,0,89,,8.0,6.0,,,,,,,,,,,,,,4.0,,,,,,,15.0,,1.0,,,,,,,,,,,,,,,,,,,,,,55.0,
es_coser-ud-test,539,0,340,3.0,9.0,63.0,,,,,,,,7.0,,,4.0,,,20.0,,,,,,,67.0,45.0,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,10.0,108.0,1.0
