Treebank,Number of Sentences,Failures,Total,_,acl,acl:adv,acl:relcl,advcl,advcl:cmpr,advcl:pred,advcl:relcl,advmod,advmod:det,advmod:emph,amod,amod:flat,appos,aux,aux:pass,case,cc,ccomp,ccomp:cleft,ccomp:obj,compound,conj,cop,csubj,csubj:pass,dep,det,det:numgov,det:nummod,det:poss,discourse,dislocated,expl,fixed,flat,flat:abs,flat:foreign,flat:name,flat:range,flat:repeat,flat:sibl,flat:title,iobj,list,mark,nmod,nmod:arg,nmod:flat,nmod:poss,nmod:pred,nsubj,nsubj:cop,nsubj:outer,nsubj:pass,nummod,nummod:entity,nummod:flat,nummod:gov,obj,obl,obl:agent,obl:arg,obl:cmpr,obl:depict,obl:float,obl:lmod,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:insert,parataxis:obj,parataxis:rel,reparandum,root,vocative,vocative:cl,xcomp,xcomp:pred
uk_iu-ud-test,898,0,4678,,4.0,1.0,5.0,12.0,,2.0,,,1.0,,142.0,,82.0,,,1.0,,6.0,,,11.0,408.0,,1.0,,,73.0,,,,,,12.0,4.0,,1.0,,,6.0,2.0,8.0,89.0,12.0,7.0,,1623.0,,,,,482.0,,,,1.0,,,,549.0,981.0,,,,,,,,18.0,27.0,18.0,,,,,71.0,,,2.0,16.0
hr_set-ud-dev,960,0,543,,2.0,,,,,,,,,,127.0,,3.0,,,,,,,,,28.0,,,,,29.0,,,,,,,,5.0,,,,,,,,,,,51.0,,,,,5.0,,,,6.0,,,,153.0,132.0,,,,,,,,,2.0,,,,,,,,,,
hr_set-ud-train,6914,0,3706,,11.0,,,,,,,,,,807.0,,17.0,,,,,2.0,,,,208.0,,,,,190.0,,,,2.0,,,5.0,55.0,,,,,,,,,,,362.0,,,,,30.0,,,,19.0,,,3.0,1176.0,794.0,,,,,,,,10.0,9.0,,,,,,4.0,,,2.0,
hr_set-ud-test,1136,0,518,,1.0,,,,,,,,,,91.0,,2.0,,,,,1.0,,,,36.0,,,,,28.0,,,,1.0,,,,1.0,,,,,,,,,,,45.0,,,,,5.0,,,,6.0,,,1.0,161.0,137.0,,,,,,,,1.0,,,,,,,,,,1.0,
orv_rnc-ud-test,717,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
sk_snk-ud-dev,1060,0,1969,1.0,4.0,,12.0,8.0,,,,,,,425.0,,16.0,1.0,5.0,1.0,,8.0,,,,81.0,16.0,2.0,,4.0,91.0,,,,,,,8.0,3.0,,,,,,,,2.0,,,357.0,,,,,192.0,,,10.0,15.0,,,,170.0,320.0,,58.0,,,,,,3.0,1.0,,,,,,149.0,,,6.0,
sk_snk-ud-test,1061,0,1851,1.0,2.0,,21.0,2.0,,,,,,,386.0,,13.0,,4.0,,,3.0,,,,92.0,10.0,,1.0,6.0,83.0,,,,,,,5.0,1.0,,,,,,,,,,,319.0,,,,,141.0,,,11.0,17.0,,,,154.0,379.0,,51.0,,,,,,3.0,2.0,,,,,,136.0,,,8.0,
sk_snk-ud-train,8483,0,8362,4.0,8.0,,51.0,41.0,,,,1.0,,,1710.0,,42.0,,10.0,5.0,,24.0,,,,391.0,83.0,6.0,,61.0,573.0,,,,,,,23.0,,,,,,,,,1.0,,,1082.0,,,,,745.0,,,42.0,94.0,,,,1011.0,1424.0,,208.0,,,,,,11.0,4.0,,,,,,685.0,,,22.0,
be_hse-ud-train,22853,0,65538,30.0,87.0,,39.0,63.0,,,,8.0,,,2310.0,,1594.0,2.0,,2.0,,97.0,,,238.0,4311.0,,11.0,,4.0,1050.0,,,,2.0,3.0,1.0,135.0,1113.0,,2.0,2.0,,,,,812.0,266.0,5.0,17512.0,,,,,7649.0,,6.0,586.0,354.0,,,184.0,7776.0,13449.0,105.0,,,,,,,129.0,809.0,,,,,2.0,4505.0,18.0,,267.0,
be_hse-ud-dev,1301,0,4236,13.0,2.0,,3.0,1.0,,,,,,,145.0,,112.0,,,,,4.0,,,8.0,353.0,,,,,46.0,,,,,,,22.0,86.0,,,,,,,,49.0,18.0,,1195.0,,,,,480.0,,,44.0,19.0,,,5.0,433.0,800.0,5.0,,,,,,,12.0,60.0,,,,,,307.0,1.0,,13.0,
be_hse-ud-test,1077,0,4748,1.0,9.0,,3.0,1.0,,,,,,,146.0,,180.0,,,,1.0,3.0,,,2.0,519.0,,2.0,,,50.0,,,,,,,72.0,83.0,,,,,,,,34.0,17.0,,1574.0,,,,,425.0,,,60.0,7.0,,,6.0,393.0,744.0,60.0,,,,,,,4.0,72.0,,,,,,252.0,2.0,,26.0,
cs_pud-ud-test,1000,0,2471,,10.0,,31.0,17.0,,,,,,,556.0,,18.0,,23.0,3.0,,16.0,,,4.0,127.0,15.0,3.0,2.0,,37.0,,,,1.0,,,24.0,18.0,,,,,,,,,,,505.0,,,,,216.0,,,44.0,,,,,215.0,380.0,5.0,76.0,,,,,,5.0,4.0,,,,,,105.0,,,11.0,
ml_ufal-ud-test,218,0,616,,1.0,,3.0,,,,,,,,3.0,,6.0,,,,,,,,38.0,15.0,,,,,3.0,,,,,,,,33.0,,,,,,,,4.0,,,123.0,,,35.0,,94.0,,,,,,,,81.0,114.0,,,,,,,,,7.0,,,,,,54.0,,,2.0,
si_stb-ud-test,100,0,45,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,4.0,,,4.0,,12.0,,,,,,,,3.0,3.0,,,,,,6.0,,,,,,,,,9.0,,,,
hsb_ufal-ud-test,623,0,1285,,18.0,,,6.0,,,,,,,104.0,,45.0,,,,,,,,3.0,114.0,,,,,42.0,,,,,,,29.0,10.0,,,,,,,,2.0,2.0,,329.0,,,,,208.0,,,1.0,10.0,,,3.0,115.0,185.0,,,,,,,,9.0,5.0,,,,,,36.0,,,9.0,
hsb_ufal-ud-train,23,0,65,,,,,,,,,,,,11.0,,1.0,,,,,,,,,6.0,,,,,5.0,,,,,,,1.0,,,,,,,,,,,,9.0,,,,,11.0,,,,,,,,5.0,12.0,,,,,,,,,,,,,,,4.0,,,,
sr_set-ud-test,520,0,236,,,,,,,,,,,,43.0,,,,,,,,,,,11.0,,,,,15.0,,,,1.0,,,,,,,,,,,,,,,17.0,,,,,4.0,,,,3.0,,,,72.0,70.0,,,,,,,,,,,,,,,,,,,
sr_set-ud-train,3328,0,1627,,4.0,,,,,,,1.0,,,315.0,,6.0,,,,,2.0,,,,71.0,,,,,88.0,,,,10.0,,,,13.0,,,,,,,,,,,162.0,,,,,16.0,,,,7.0,,,1.0,549.0,372.0,,,,,,,,2.0,4.0,,,,,,2.0,,,2.0,
sr_set-ud-dev,536,0,259,,,,,,,,,,,,54.0,,1.0,,,,,,,,,14.0,,,,,19.0,,,,,,,,2.0,,,,,,,,,,,18.0,,,,,2.0,,,,3.0,,,,79.0,66.0,,,,,,,,,,,,,,,,,,1.0,
ru_taiga-ud-train,16045,0,39957,,96.0,,25.0,81.0,,,,36.0,,,917.0,,494.0,,,6.0,2.0,121.0,,,55.0,3743.0,8.0,15.0,,3.0,703.0,,,,1.0,23.0,,343.0,67.0,,1.0,14.0,,,,,616.0,92.0,29.0,6861.0,,,,,6873.0,,1.0,444.0,53.0,,,103.0,4807.0,8295.0,29.0,,,,,,1.0,82.0,924.0,,,,,3.0,3854.0,20.0,,116.0,
ru_taiga-ud-dev,946,0,2295,,5.0,,2.0,6.0,,,,3.0,,,58.0,,39.0,,,,,13.0,,,1.0,227.0,,2.0,,,38.0,,,,,2.0,,16.0,7.0,,2.0,,,,,,52.0,,,305.0,,,,,420.0,,,12.0,1.0,,,4.0,273.0,537.0,,,,,,,,14.0,73.0,,,,,,170.0,8.0,,5.0,
ru_taiga-ud-test,881,0,2206,,7.0,,4.0,6.0,,,,1.0,,,61.0,,30.0,,,2.0,,2.0,,,1.0,234.0,,1.0,,,38.0,,,,,2.0,2.0,18.0,8.0,,,,,,,,47.0,5.0,2.0,413.0,,,,,275.0,,1.0,17.0,4.0,,,5.0,301.0,428.0,4.0,,,,,,,19.0,75.0,,,,,,183.0,4.0,,6.0,
cs_cltt-ud-dev,316,0,2033,,2.0,,25.0,12.0,,,,,,,639.0,,1.0,,5.0,,,5.0,,,,273.0,1.0,,,11.0,11.0,,,,,,,49.0,,,,,,,,,,,,481.0,,,,,75.0,,,33.0,,,,,72.0,232.0,,46.0,,,,,,1.0,1.0,,,,,,44.0,,,14.0,
cs_cltt-ud-train,467,0,2483,,2.0,,14.0,26.0,,,,,,,782.0,,13.0,1.0,10.0,,,5.0,,,,379.0,,,,13.0,4.0,,,,,,,78.0,,,,,,,,,,,,572.0,,,,,79.0,,,37.0,12.0,,,,110.0,222.0,,62.0,,,,,,2.0,,,,,,,48.0,,,12.0,
cs_cltt-ud-test,338,0,2478,,3.0,,21.0,14.0,,,,,,,902.0,,3.0,1.0,8.0,3.0,,10.0,,,,253.0,,,,17.0,21.0,,,,,,,65.0,,,,,,,,,,,,484.0,,,,,125.0,,,55.0,,,,,99.0,266.0,,90.0,,,,,,1.0,2.0,,,,,,28.0,,,7.0,
ru_syntagrus-ud-train,69630,0,293720,,1147.0,,128.0,805.0,,,,167.0,,,9311.0,,2931.0,,,,410.0,425.0,,,416.0,22029.0,,30.0,,1.0,1106.0,,,,108.0,5.0,32.0,4333.0,909.0,,31.0,16.0,,,,,3968.0,2.0,110.0,80981.0,,,,,40646.0,,6.0,5686.0,1782.0,16.0,,466.0,30146.0,69658.0,273.0,,,,,,695.0,463.0,6468.0,,,,,,7518.0,4.0,,492.0,
ru_syntagrus-ud-dev,8906,0,36865,,185.0,,23.0,106.0,,,,14.0,,,1133.0,,370.0,,,1.0,50.0,53.0,,,67.0,3144.0,,5.0,,,118.0,,,,18.0,,5.0,502.0,60.0,,7.0,5.0,,,,,493.0,,5.0,10135.0,,,,,4995.0,,,743.0,186.0,1.0,,37.0,3761.0,8570.0,51.0,,,,,,54.0,69.0,869.0,,,,,,974.0,2.0,,54.0,
ru_syntagrus-ud-test,8800,0,37378,,134.0,,16.0,81.0,,,,28.0,,,1094.0,,410.0,,,,52.0,52.0,,,41.0,2792.0,,4.0,,,145.0,,,,15.0,,1.0,507.0,159.0,,2.0,1.0,,,,,475.0,,24.0,9853.0,,,,,4903.0,,1.0,872.0,239.0,1.0,,47.0,3908.0,9533.0,33.0,,,,,,75.0,94.0,856.0,,,,,,878.0,,,52.0,
ru_poetry-ud-test,728,0,2318,,7.0,,3.0,,,,,,,,80.0,,22.0,,,,,2.0,,,,297.0,,,,,40.0,,,,,1.0,1.0,7.0,1.0,,,,,,,,107.0,,,337.0,,,,,381.0,,,20.0,1.0,,,3.0,294.0,504.0,11.0,,,,,,23.0,5.0,13.0,3.0,,,,,143.0,9.0,,3.0,
ru_poetry-ud-dev,789,0,2299,,6.0,,1.0,5.0,,,,2.0,,,65.0,,24.0,,,,,3.0,,,,252.0,,1.0,,,28.0,,,,,4.0,,4.0,1.0,,,,,,,,110.0,,,292.0,,,,,459.0,,,15.0,,,,3.0,295.0,508.0,9.0,,,,,,12.0,9.0,19.0,2.0,,,,,138.0,29.0,,3.0,
ru_poetry-ud-train,3569,0,10959,,40.0,,7.0,18.0,,,,4.0,,,375.0,,117.0,,,,,5.0,,,,1076.0,,2.0,,,158.0,,,,,6.0,8.0,8.0,4.0,,,,,,,,535.0,,,1489.0,,,,,2237.0,,,92.0,,,,5.0,1275.0,2519.0,80.0,,,2.0,1.0,,83.0,31.0,87.0,7.0,,,,,606.0,67.0,,15.0,
koi_uh-ud-test,94,0,18,,,,,,,,,,,,1.0,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,3.0,1.0,,,,,,,5.0,1.0,,,,,,2.0,,,,,,,,,,,,1.0,
cs_fictree-ud-dev,1309,0,1476,3.0,5.0,,9.0,9.0,,,,,,,223.0,,16.0,,3.0,4.0,,14.0,,,,103.0,11.0,,1.0,15.0,124.0,,,,,,,1.0,,,,,,,,,,,,113.0,,,,,161.0,,,8.0,19.0,,,,210.0,264.0,,53.0,,,,,,2.0,,,,,,,99.0,,,6.0,
cs_fictree-ud-train,10160,0,11953,3.0,11.0,,99.0,117.0,,,,2.0,,,2024.0,,72.0,2.0,17.0,22.0,,81.0,,,9.0,756.0,128.0,11.0,1.0,147.0,948.0,,,,,,,10.0,,,,,,,,,4.0,,,990.0,,,,,1160.0,,,56.0,157.0,,,6.0,1765.0,2051.0,,481.0,,,,,,21.0,7.0,,,,,,725.0,8.0,,62.0,
cs_fictree-ud-test,1291,0,1529,,2.0,,10.0,16.0,,,,,,,246.0,,11.0,,2.0,3.0,,11.0,,,,88.0,12.0,3.0,,19.0,130.0,,,,,,,1.0,,,,,,,,,,,,117.0,,,,,153.0,,,13.0,19.0,,,3.0,232.0,269.0,,55.0,,,,,,6.0,,,,,,,99.0,1.0,,8.0,
sl_sst-ud-train,4558,0,715,,,,,,,,,,,,,,14.0,,,,,,,,,36.0,,,,,,,,,,1.0,,24.0,2.0,,3.0,,,,,,,,,34.0,,,,,9.0,,,,,,,,246.0,283.0,,,,,,,,8.0,9.0,,,,,7.0,37.0,,,2.0,
sl_sst-ud-test,1041,0,112,,,,,,,,,,,,,,2.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,1.0,,,,,,,,55.0,40.0,,,,,,,,,1.0,,,,,,4.0,,,,
sl_sst-ud-dev,505,0,132,,,,,,,,,,,,,,3.0,,,,,,,,,7.0,,,,,,,,,,,,6.0,1.0,,,,,,,,,,,5.0,,,,,2.0,,,,,,,,44.0,53.0,,,,,,,,4.0,2.0,,,,,1.0,4.0,,,,
ka_glc-ud-test,151,0,462,,1.0,,,1.0,,,,,,,2.0,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,12.0,,,167.0,,,,,93.0,,,5.0,,,,,103.0,38.0,,,,,,,,,,,,,,,,,,,
cs_pdt-ud-test,10146,0,22546,37.0,37.0,,141.0,150.0,,,,1.0,,,5686.0,,139.0,5.0,71.0,58.0,,125.0,,,,1295.0,53.0,21.0,2.0,241.0,486.0,,,,,,,189.0,4.0,,,,,,,,8.0,,,4491.0,,,,,2056.0,,,267.0,8.0,,,,1873.0,2982.0,,841.0,,,,,,68.0,13.0,,,,,,1081.0,,,117.0,
cs_pdt-ud-dev,9270,0,21014,45.0,45.0,,142.0,120.0,,,,1.0,,,5403.0,,160.0,2.0,51.0,27.0,,125.0,,,,1277.0,40.0,17.0,4.0,188.0,436.0,,,,,,,148.0,4.0,,,,,,,,8.0,,,4274.0,,,,,1846.0,,,253.0,18.0,,,1.0,1718.0,2717.0,,806.0,,,,,,50.0,5.0,,,,,,985.0,1.0,,97.0,
cs_pdt-ud-train,68491,0,154914,287.0,266.0,,872.0,745.0,,,,1.0,,,39558.0,,1162.0,13.0,393.0,302.0,,781.0,,,,9363.0,344.0,138.0,22.0,1641.0,3175.0,,,,,,,1143.0,11.0,,1.0,,,,,,33.0,,,32015.0,,,,,13691.0,,,1872.0,121.0,,,2.0,12458.0,20283.0,,5815.0,,,,,,404.0,69.0,,,,,,7192.0,3.0,,738.0,
ru_pud-ud-test,1000,0,5041,,22.0,,2.0,3.0,,,,2.0,,,127.0,,52.0,,,,,6.0,,,6.0,285.0,,,,,40.0,,,,,,,109.0,9.0,,1.0,,,,,,77.0,,,1594.0,,,,,574.0,,,119.0,22.0,,,30.0,591.0,1205.0,8.0,,,,,,,11.0,43.0,,,,,,45.0,,,58.0,
pl_pud-ud-test,1000,0,3181,,90.0,,21.0,8.0,,,,,,,513.0,168.0,17.0,1.0,23.0,,,12.0,,10.0,,160.0,20.0,1.0,,,92.0,14.0,4.0,23.0,,,,69.0,77.0,,9.0,,,,,,73.0,,,256.0,193.0,38.0,1.0,1.0,227.0,,,29.0,57.0,,,42.0,226.0,402.0,12.0,123.0,20.0,,,,,,,,4.0,7.0,,,124.0,,,5.0,9.0
cs_cac-ud-dev,603,0,1777,,3.0,,7.0,9.0,,,,,,,521.0,,15.0,,8.0,5.0,,2.0,,,,223.0,3.0,,,9.0,13.0,,,,,,,18.0,,,,,,,,,1.0,,,406.0,,,,,98.0,,,42.0,,,,,111.0,151.0,,46.0,,,,,,2.0,,,,,,,78.0,,,6.0,
cs_cac-ud-train,23478,0,74983,35.0,121.0,,449.0,390.0,,,,2.0,,,20893.0,,599.0,19.0,275.0,109.0,,259.0,,,,6507.0,188.0,67.0,13.0,505.0,846.0,,,,4.0,,,720.0,3.0,,21.0,,,,,,24.0,,,16522.0,,,,,6050.0,,,1223.0,60.0,,,,5001.0,8031.0,,2649.0,,,,,,309.0,36.0,,,,,,2534.0,,,519.0,
cs_cac-ud-test,628,0,1687,,4.0,,4.0,13.0,,,,,,1.0,479.0,,11.0,1.0,3.0,2.0,,12.0,,,,179.0,2.0,,1.0,13.0,25.0,,,,,,,14.0,,,,,,,,,,,,313.0,,,,,99.0,,,32.0,1.0,,,,139.0,200.0,,56.0,,,,,,7.0,1.0,,,,,,66.0,,,9.0,
eu_bdt-ud-train,5396,0,7269,,7.0,,,73.0,,,,,,,4.0,,61.0,,,367.0,,24.0,,,,310.0,,4.0,,,4.0,,,,,,,,16.0,,,,,,,,148.0,,,1108.0,,,,,1052.0,,,,,,,,1922.0,1959.0,,,,,,,,16.0,4.0,,,,,,158.0,1.0,,31.0,
eu_bdt-ud-test,1799,0,2521,,2.0,,,43.0,,,,,,,1.0,,19.0,1.0,,151.0,,14.0,,,,113.0,,1.0,,,1.0,,,,,,,,5.0,,,,,,,,42.0,,,400.0,,,,,348.0,,2.0,,,,,,638.0,674.0,,,,,,,,1.0,,,,,,,61.0,,,4.0,
eu_bdt-ud-dev,1798,0,2375,,3.0,,,17.0,,,,,,,,,11.0,,,112.0,,8.0,,,,109.0,,1.0,,,1.0,,,,,1.0,,,7.0,,,,,,,,50.0,,,358.0,,,,,353.0,,1.0,,,,,,632.0,652.0,,,,,,,,1.0,,,,,,,49.0,2.0,,7.0,
cs_poetry-ud-test,297,0,736,,1.0,,4.0,16.0,,,,,,,137.0,,12.0,,,,,,,,,81.0,,,,4.0,23.0,,,,,,,3.0,,,,,,,,,,,,71.0,,,,,116.0,,,4.0,,,,,72.0,147.0,,20.0,,,,,,10.0,2.0,,,,,,12.0,,,1.0,
ru_gsd-ud-test,601,0,3480,,79.0,,12.0,4.0,,,,1.0,,,111.0,,143.0,,,,,4.0,,,5.0,238.0,,,,1.0,18.0,,,,,,,28.0,48.0,,17.0,6.0,,,,,39.0,12.0,3.0,982.0,,,,,347.0,,,72.0,33.0,3.0,,35.0,267.0,793.0,3.0,,,,,,,9.0,26.0,,,,,,113.0,,,28.0,
ru_gsd-ud-dev,579,0,3650,,85.0,,9.0,3.0,,,,3.0,,,98.0,,164.0,,,,,3.0,,,2.0,304.0,,,,,20.0,,,,,,,12.0,47.0,,5.0,,,,,,42.0,27.0,,1130.0,,,,,355.0,,,66.0,26.0,2.0,,47.0,291.0,701.0,22.0,,,,,,,9.0,31.0,,,,,,119.0,,,27.0,
ru_gsd-ud-train,3850,0,23414,,616.0,,37.0,25.0,,,,16.0,,,597.0,,1125.0,,,3.0,1.0,24.0,,,28.0,1751.0,1.0,,,3.0,99.0,,,,,,,63.0,279.0,,75.0,10.0,,,,,289.0,104.0,14.0,7317.0,,,,,2208.0,,,393.0,200.0,32.0,,306.0,1775.0,4734.0,106.0,,,,,,,55.0,170.0,,,,,,814.0,,,144.0,
