Treebank,Number of Sentences,Failures,Total,acl:relcl,advcl,advmod,advmod:lmod,amod,aux,case,conj,csubj:relcl,dep,dep:agr,det,det:poss,dislocated,expl,expl:impers,expl:pass,expl:pv,fixed,flat:foreign,iobj,nmod,nsubj,nsubj:pass,obj,obl,obl:agent,obl:arg,obl:lmod,orphan,parataxis,punct,root,vocative,xcomp
it_isdt-ud-train,13121,0,4318,2.0,1.0,,,,,,5.0,,,,,,,2010.0,396.0,350.0,,,,617.0,5.0,2.0,3.0,908.0,12.0,2.0,,,,,,3.0,,2.0
it_isdt-ud-dev,564,0,187,,,,,,,,,,,,,,,96.0,9.0,13.0,,,,25.0,,,1.0,43.0,,,,,,,,,,
orv_birchbark-ud-train,1045,0,63,,,,,,,,,,4.0,,,,,15.0,,,,,,32.0,,,,7.0,3.0,,,,2.0,,,,,
orv_birchbark-ud-dev,1062,0,107,,,,,,,,,,1.0,,,,,29.0,,,,1.0,,50.0,,,,20.0,5.0,,,,1.0,,,,,
orv_birchbark-ud-test,1007,0,124,,,,,,,,1.0,,,,1.0,,,35.0,,,,,,55.0,,,,24.0,6.0,,,,2.0,,,,,
wbp_ufal-ud-test,55,0,3,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it_partut-ud-dev,156,0,47,1.0,,,,,,,,,,,,,,22.0,2.0,,,,,9.0,,,,13.0,,,,,,,,,,
it_partut-ud-test,153,0,31,,,,,,,,,,,,,,,17.0,4.0,,,,,2.0,2.0,,,6.0,,,,,,,,,,
it_partut-ud-train,1781,0,563,1.0,,,,,,,1.0,,,,,,,249.0,56.0,2.0,,,,63.0,42.0,,,135.0,9.0,3.0,,,,,,2.0,,
it_twittiro-ud-test,142,0,64,,,,,,,,,,,,,,1.0,18.0,5.0,2.0,,,,19.0,,1.0,,18.0,,,,,,,,,,
it_twittiro-ud-train,1138,0,608,1.0,1.0,,,,,,1.0,,,,1.0,,3.0,234.0,46.0,13.0,,,,135.0,1.0,3.0,,169.0,,,,,,,,,,
it_twittiro-ud-dev,144,0,95,,,,,,,,,,,,,,1.0,24.0,7.0,2.0,,,,32.0,,,,28.0,1.0,,,,,,,,,
it_markit-ud-test,340,0,307,,,,,,,,,,,,3.0,,,95.0,40.0,2.0,,,,53.0,3.0,1.0,,104.0,6.0,,,,,,,,,
it_markit-ud-train,611,0,558,,1.0,,,,,,,,,,3.0,,,269.0,30.0,1.0,,,,76.0,5.0,2.0,,163.0,8.0,,,,,,,,,
it_markit-ud-dev,341,0,266,,,,,,,,1.0,,,,1.0,,,121.0,14.0,,,,,42.0,1.0,1.0,,79.0,6.0,,,,,,,,,
it_postwita-ud-train,5368,0,2605,1.0,1.0,,,1.0,,,6.0,,1.0,,2.0,,3.0,837.0,158.0,47.0,,,,726.0,,12.0,4.0,785.0,6.0,,,,,8.0,,4.0,1.0,2.0
it_postwita-ud-dev,670,0,311,,1.0,,,,,,,,,,,,,107.0,14.0,3.0,,,,88.0,,,,96.0,2.0,,,,,,,,,
it_postwita-ud-test,674,0,327,,,,,,,,,,,,,,,113.0,19.0,6.0,,,1.0,100.0,,1.0,,87.0,,,,,,,,,,
it_vit-ud-train,8277,0,2844,,,,,,,,,,,,,,,1989.0,45.0,1.0,,,,308.0,,2.0,,495.0,2.0,,,,,,1.0,1.0,,
it_vit-ud-test,1067,0,540,,,,,,,,,,,,,,,319.0,7.0,,,,,86.0,,,,127.0,1.0,,,,,,,,,
it_vit-ud-dev,743,0,282,,,,,,,,,,,,,,,213.0,,,,,,27.0,,,,42.0,,,,,,,,,,
yrl_complin-ud-test,1470,0,89,,,30.0,,,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it_parlamint-ud-test,375,0,184,,,,,,,,,,,,,,,118.0,,,,,,21.0,,,,45.0,,,,,,,,,,
it_parlamint-ud-train,326,0,209,,,,,,,,,,,,,,,145.0,,,,,,27.0,1.0,,,36.0,,,,,,,,,,
