Treebank,Number of Sentences,Failures,Total,_,acl,acl:cleft,acl:relcl,advcl,advcl:abs,advcl:cleft,advcl:cmp,advcl:cmpr,advcl:pred,advcl:relcl,advmod,advmod:emph,amod,amod:att,amod:flat,appos,aux,aux:caus,aux:pass,case,cc,ccomp,ccomp:cleft,ccomp:obj,ccomp:obl,ccomp:pred,ccomp:relcl,ccomp:reported,compound,compound:lvc,compound:nn,compound:prt,compound:redup,compound:smixut,compound:svc,conj,conj:expl,cop,cop:locat,cop:own,csubj,csubj:caus,csubj:cleft,csubj:cop,csubj:outer,csubj:pass,csubj:relcl,csubj:reported,dep,det,discourse,dislocated,dislocated:ccomp,dislocated:csubj,dislocated:nsubj,dislocated:obj,dislocated:obl,fixed,flat,flat:foreign,flat:name,flat:redup,flat:sibl,iobj,list,mark,nmod,nmod:arg,nmod:att,nmod:gobj,nmod:gsubj,nmod:npmod,nmod:poss,nsubj,nsubj:cop,nsubj:outer,nsubj:pass,nummod,obj,obl,obl:agent,obl:arg,obl:cmpr,obl:depict,obl:lmod,obl:mod,obl:pronmod,obl:tmod,orphan,orphan:missing,parataxis,parataxis:discourse,parataxis:insert,parataxis:obj,parataxis:reporting,punct,reparandum,root,vocative,xcomp,xcomp:cleft,xcomp:ds,xcomp:obj,xcomp:pred,xcomp:subj
hi_hdtb-ud-train,13306,0,18880,,652.0,,735.0,465.0,,,,,,,,,18.0,,,,,,,,,599.0,,,,,,,1.0,,,,,,,1129.0,,2731.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,13.0,,,,,,,156.0,,,9.0,,1851.0,4.0,,,,,,,,,,,,,,,,,,10259.0,1.0,253.0,,,,,
hi_hdtb-ud-dev,1659,0,2420,,74.0,,87.0,52.0,,,,,,,,,3.0,,,,,,,,,64.0,,,,,,,1.0,,,,,,,152.0,,396.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,22.0,,,,,257.0,,,,,,,,,,,,,,,,,,,1277.0,1.0,30.0,,,,,
hi_hdtb-ud-test,1684,0,2355,,59.0,,92.0,47.0,,,,,,,,,4.0,,,,,,,,,94.0,,,,,,,,,,,,,,139.0,,379.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,14.0,,,,,245.0,1.0,,,,,,,,,,,,,,,,,,1247.0,,32.0,,,,,
hr_set-ud-dev,960,0,804,,118.0,,,70.0,,,,,,,,,1.0,,,,8.0,,,,,30.0,,,,,,,,,,,,,,84.0,,52.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,97.0,,,,,,,331.0,,,,,,,
hr_set-ud-train,6914,0,5066,,706.0,,,460.0,,,,,,,,,4.0,,,2.0,48.0,,,,,241.0,,,,,,,,,,,,,,582.0,,344.0,,,45.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,497.0,,,,,,,2130.0,,2.0,,,,,
hr_set-ud-test,1136,0,835,,111.0,,,77.0,,,,,,,,,2.0,,,,9.0,,,,,42.0,,,,,,,,,,,,,,87.0,,57.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,94.0,,,,,,,348.0,,1.0,,,,,
orv_rnc-ud-dev,943,0,1118,,38.0,,48.0,118.0,,,,,,,,,3.0,,,,26.0,,12.0,,,29.0,,,,,,,,,,,,,,329.0,,66.0,,,11.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,2.0,,40.0,1.0,,,,,,269.0,,119.0,,,,,
orv_rnc-ud-train,1868,0,3836,,149.0,,110.0,403.0,,,,,,,,,12.0,,,,76.0,,48.0,,,116.0,,,,,,,,,,,,,,1198.0,,235.0,,,45.0,,,,,,,,2.0,,,5.0,,,,,,4.0,,,,,,4.0,2.0,,9.0,,,,,,,6.0,,,2.0,,8.0,7.0,,,,2.0,,,4.0,,2.0,,183.0,17.0,,,,,,861.0,,326.0,,,,,
orv_rnc-ud-test,717,0,1810,,41.0,,57.0,187.0,,,,,,,,,4.0,,,,77.0,,7.0,,,45.0,,,,,,,,,,,,,,536.0,,68.0,,,23.0,,,,,,,,,,25.0,1.0,,,,,,1.0,2.0,,,,,,,,4.0,,,,,,,2.0,,,,,2.0,1.0,,,,,,,,,1.0,,76.0,,,,,,,475.0,,175.0,,,,,
cpg_tuecl-ud-test,350,0,546,,4.0,,4.0,32.0,,,,,,,,,,,,,2.0,,,,,22.0,,,,,,,,,,,,,,138.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,278.0,,17.0,,,,,
la_circse-ud-test,1263,0,2745,,115.0,,130.0,207.0,18.0,,22.0,,58.0,15.0,,,3.0,,,,,,,,,44.0,,,,,17.0,3.0,,,,,,,,1020.0,12.0,,,,51.0,,,,,10.0,17.0,,,,,,,2.0,,,,,,,,4.0,,,,,4.0,,,,,,,2.0,,,,,6.0,1.0,,6.0,,,,,,,1.0,,19.0,,,,1.0,,,852.0,,105.0,,,,,
he_iahltwiki-ud-train,4298,0,5846,,196.0,,1227.0,324.0,,,,,,,,,15.0,,,52.0,,,,20.0,,130.0,,,,,,,9.0,,,,,,,1014.0,,,,,141.0,,,,,47.0,,,4.0,,1.0,,,,,,,3.0,,,,,,,,1.0,4.0,,,,,,1.0,7.0,,,1.0,,6.0,22.0,,,,,,,,,2.0,,112.0,,,,,,,2061.0,,446.0,,,,,
he_iahltwiki-ud-dev,348,0,449,,23.0,,87.0,24.0,,,,,,,,,,,,,,,,7.0,,12.0,,,,,,,,,,,,,,67.0,,,,,11.0,,,,,8.0,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,3.0,,,,,,,,,,,13.0,,,,,,,158.0,,32.0,,,,,
he_iahltwiki-ud-test,393,0,522,,13.0,,133.0,31.0,,,,,,,,,1.0,,,4.0,,,,4.0,,13.0,,,,,,,,,,,,,,79.0,,,,,11.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,2.0,,,,,,,,,,,10.0,,,,,,,169.0,,44.0,,,,,
is_pud-ud-test,1000,0,2737,,123.0,,193.0,191.0,,,,,,,,,2.0,,,,499.0,,,1.0,,67.0,,,,,,,,,,,,,,239.0,,469.0,,,35.0,,,,,,,,,,,1.0,,,,,,11.0,1.0,,,,,,,,2.0,,,,,,2.0,5.0,,,,,,6.0,,,,,,,,,,,63.0,,,,,,,648.0,,179.0,,,,,
grc_perseus-ud-dev,1137,0,2801,,106.0,,,699.0,,,,,,,,,,,,6.0,,,,,,121.0,,,,,,,,,,,,,,388.0,,276.0,,,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,113.0,,,,,,,21.0,,,,,,27.0,,,,,,,,,,,1.0,,,,,,,722.0,2.0,247.0,,,,,
grc_perseus-ud-train,11476,0,20802,,817.0,,,5074.0,,,,,,,,,,,,60.0,11.0,,,1.0,,590.0,,,,,,,,,,,,,,3010.0,,1221.0,,,236.0,,,,,,,,,,,,,,,,,,,,,,,,,,505.0,,,,,,,65.0,,,,,,29.0,,,,,,,,,,,69.0,,,,,,,7578.0,6.0,1530.0,,,,,
grc_perseus-ud-test,1306,0,2684,,82.0,,,665.0,,,,,,,,,,,,4.0,,,,,,173.0,,,,,,,,,,,,,,228.0,,277.0,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,108.0,,,,,,,15.0,,,,,,11.0,,,,,,,,,,,6.0,,,,,,,921.0,1.0,165.0,,,,,
qpm_philotis-ud-train,980,0,3900,,11.0,,43.0,367.0,,,,,,,,,,,,3.0,1139.0,,9.0,,,309.0,,,,,,,,,,,,,,801.0,,,,,83.0,,,,,3.0,,,,,6.0,,,,,,,8.0,,,,,,,,,,,,,,,,2.0,,,,,1.0,2.0,,,,,,,,,1.0,,28.0,,,,,,,892.0,1.0,191.0,,,,,
qpm_philotis-ud-dev,635,0,2119,,35.0,,,152.0,,,,,,,,,3.0,,,,643.0,,,,,195.0,,,,,,,,,,,,,,424.0,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,,,4.0,1.0,,,,,,,,,,,8.0,,,,,,,558.0,,84.0,,,,,
qpm_philotis-ud-test,635,0,2170,,4.0,,17.0,174.0,,,,,,,,,,,,1.0,684.0,,3.0,,,143.0,,,,,,,,,,,,,,428.0,,,,,28.0,,,,,1.0,,,,,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,8.0,,,,,,,559.0,,114.0,,,,,
la_perseus-ud-test,939,0,1800,,27.0,,96.0,242.0,11.0,,11.0,,,,,,24.0,,,1.0,,,,,,87.0,,,,,,1.0,,,,,,,,297.0,1.0,,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,3.0,,,,,,7.0,,,,,,,,,,,19.0,,,,,,,775.0,,122.0,,,,,
la_perseus-ud-train,1334,0,2625,,24.0,,154.0,402.0,13.0,,13.0,,,,,,59.0,,,,,,,,,164.0,,,,,,,,,,,,,,378.0,,,,,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,,,,,,,5.0,,,2.0,,1.0,15.0,,,,,,,,,,,25.0,,,,,,,1090.0,,175.0,,,,,
sk_snk-ud-dev,1060,0,50,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
sk_snk-ud-test,1061,0,36,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sk_snk-ud-train,8483,0,134,,,,,,,,,,,,,,121.0,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,
lt_hse-ud-train,153,0,405,,12.0,,22.0,30.0,,,,,,,,,4.0,,,2.0,22.0,,1.0,,,19.0,,,,,,,,,,,,,,67.0,,45.0,,,5.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,38.0,,,,,,,88.0,,45.0,,,,,
lt_hse-ud-test,55,0,171,,11.0,,8.0,15.0,,,,,,,,,15.0,,,,6.0,,,,,9.0,,,,,,,,,,,,,,21.0,,12.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,33.0,,31.0,,,,,
lt_hse-ud-dev,55,0,158,,6.0,,10.0,12.0,,,,,,,,,,,,,5.0,,1.0,,,7.0,,,,,,,,,,,,,,21.0,,18.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,11.0,,,,,,,34.0,,30.0,,,,,
hit_hittb-ud-test,136,0,179,,,,2.0,22.0,,,,,,,,,,,,,4.0,,,,,2.0,,,,,,,,,,,,,,20.0,,5.0,,,1.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,107.0,,,,,,,
sa_ufal-ud-test,230,0,138,,1.0,,3.0,10.0,,,,,,,,,,,,,2.0,,,,,3.0,,,,,,,,,,,,,,5.0,,14.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,97.0,,,,,,,
be_hse-ud-train,22853,0,22797,161.0,298.0,,1409.0,897.0,,,,,,,,,25.0,,,148.0,382.0,,444.0,,,731.0,,,,,,,1.0,,,,,,,2991.0,,820.0,,,653.0,,,,1.0,2.0,,,1.0,,1.0,3.0,,,,,,6.0,12.0,1.0,,,,2.0,11.0,,134.0,,,,,,,16.0,,,,,12.0,11.0,,,,,,,,,3.0,,1031.0,,,,,,,10731.0,1.0,1858.0,,,,,
be_hse-ud-dev,1301,0,1199,21.0,25.0,,80.0,47.0,,,,,,,,,,,,5.0,17.0,,39.0,,,30.0,,,,,,,,,,,,,,131.0,,38.0,,,41.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,10.0,,,,,,,2.0,,,,,,,,,,,,,,,,,54.0,,,,,,,556.0,,102.0,,,,,
be_hse-ud-test,1077,0,994,7.0,11.0,,67.0,40.0,,,,,,,,,,,,4.0,14.0,,33.0,,,18.0,,,,,,,,,,,,,,153.0,,35.0,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,3.0,,,,,,,,,,,,,,,,,57.0,,,,,,,437.0,,79.0,,,,,
et_ewt-ud-train,5444,0,9950,56.0,480.0,,331.0,650.0,,,,,,,,,7.0,,,1.0,1343.0,,,,,342.0,,,,,,,,,,,,,,1388.0,,2121.0,,,29.0,,,35.0,,,,,6.0,,15.0,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,16.0,,,,6.0,13.0,,,,,,,,,5.0,,172.0,,,,,,1.0,2587.0,,342.0,,,,,
et_ewt-ud-test,913,0,1857,20.0,108.0,,82.0,112.0,,,,,,,,,4.0,,,,258.0,,,,,65.0,,,,,,,,,,,,,,249.0,,351.0,,,18.0,,,5.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,1.0,,,,,1.0,,,,,,,,,,,56.0,,,,,,1.0,474.0,,48.0,,,,,
et_ewt-ud-dev,833,0,1422,7.0,52.0,,49.0,85.0,,,,,,,,,1.0,,,,194.0,,,,,39.0,,,,,,,,,,,,,,215.0,,308.0,,,7.0,,,6.0,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,24.0,,,,,,,386.0,,44.0,,,,,
cs_pud-ud-test,1000,0,2052,,43.0,,177.0,136.0,,,,,,,,,60.0,,,7.0,50.0,,154.0,,,119.0,,,,,,,,,,,,,,220.0,,324.0,,,19.0,,,,,10.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,10.0,,,,,,,721.0,,,,,,,
orv_ruthenian-ud-test,390,0,996,,21.0,,62.0,91.0,,,,,,,,,,,,,63.0,,27.0,,,34.0,,,,,,,,,,,,,,240.0,,66.0,,,12.0,,,,,,,,,,,9.0,,,,,,1.0,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,265.0,,91.0,,,,,
orv_ruthenian-ud-train,2789,0,6785,,157.0,,275.0,834.0,,,,,,,,,1.0,,,,612.0,,73.0,,,166.0,,,,,,,,,,,,,,1606.0,,355.0,,,71.0,,,,,,,,2.0,,,50.0,,,,,,10.0,,,,,,18.0,,,2.0,,,,,,,,,,,,1.0,7.0,,,,,,,,,7.0,,81.0,,,,,,8.0,1800.0,,649.0,,,,,
orv_ruthenian-ud-dev,344,0,713,,15.0,,8.0,91.0,,,,,,,,,,,,,78.0,,3.0,,,37.0,,,,,,,,,,,,,,143.0,,23.0,,,1.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,1.0,235.0,,59.0,,,,,
ml_ufal-ud-test,218,0,169,,6.0,,2.0,16.0,,,,,,,,,,,,,,,,,,6.0,,,,,,,,7.0,,,,,2.0,2.0,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,7.0,,,,,,,107.0,,5.0,,,,,
egy_ujaen-ud-test,721,0,259,,,,,15.0,,,,,,,,,21.0,,,,,,,,,17.0,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,144.0,,,,,,,
sq_tsa-ud-test,60,0,78,,,,4.0,8.0,,,,,,,,,,,,,10.0,,,,,1.0,,,,,,,,,,,,,,7.0,,18.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,5.0,,,,,
si_stb-ud-test,100,0,38,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,13.0,,1.0,,,3.0,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,
ar_padt-ud-dev,909,0,2056,1.0,237.0,,166.0,158.0,,,,,,,,,,,,,5.0,,,,,310.0,,,,,,,,,,,,,,275.0,,44.0,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594.0,,,,,,,146.0,,79.0,,,,,
ar_padt-ud-train,6075,0,15301,17.0,1886.0,,1192.0,1152.0,,,,,,,,,,,,9.0,36.0,,,,,2240.0,,,,,,,,,,,,,,2274.0,,364.0,,,384.0,,,,,1.0,,,14.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,3821.0,,,,,,,1439.0,,465.0,,,,,
ar_padt-ud-test,680,0,1971,1.0,243.0,,158.0,178.0,,,,,,,,,,,,3.0,4.0,,,,,288.0,,,,,,,,,,,,,,329.0,,50.0,,,35.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455.0,,,,,,,159.0,,66.0,,,,,
lt_alksnis-ud-test,684,0,200,,103.0,,,32.0,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,26.0,,5.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,16.0,,,,,,,
lt_alksnis-ud-dev,617,0,167,,112.0,,4.0,10.0,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,13.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,11.0,,,,,,,
lt_alksnis-ud-train,2341,0,646,,448.0,,6.0,53.0,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,61.0,,2.0,,,18.0,,,,,1.0,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,34.0,,3.0,,,,,
