Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:ccomp,advcl:cmp,advcl:cond,advmod,amod,appos,aux,case,ccomp,clf,compound,compound:lvc,compound:prt,compound:redup,conj,conj:expl,csubj,csubj:pass,dep,det,det:poss,discourse,dislocated,expl,expl:impers,expl:pass,expl:poss,expl:pv,fixed,flat,flat:abs,flat:name,iobj,iobj:agent,list,mark,nmod,nmod:appos,nmod:arg,nmod:att,nmod:cau,nmod:npmod,nmod:obl,nmod:poss,nmod:tmod,nsubj,nsubj:nc,nsubj:pass,nummod,obj,obl,obl:agent,obl:arg,obl:benef,obl:cmpr,obl:goal,obl:pmod,obl:smod,obl:soc,obl:source,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:obj,reparandum,root,vocative,xcomp,xcomp:pred
pt_porttinari-ud-dev,842,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,1.0,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,
pl_pdb-ud-test,2215,0,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,139.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,
pl_pdb-ud-train,17722,0,1294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.0,3.0,,,,982.0,,,,1.0,,1.0,,,,,1.0,,,,,,,57.0,,11.0,,2.0,,,,,,,1.0,,,1.0,,2.0,,,
pl_pdb-ud-dev,2215,0,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,1.0,,,,126.0,,,,,,1.0,,,,,,,,,,,2.0,7.0,,2.0,,,,,,,,,,,,,,,,,
sah_yktdt-ud-test,299,0,13,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,9.0,,,,,,,,,,,,,,,,,,,
uk_iu-ud-dev,673,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,20.0,1.0,,,,,,,,,,,,1.0,,,,1.0,,,
uk_iu-ud-train,5521,0,461,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,2.0,,169.0,,,,9.0,,,,,,,,,,,,,256.0,5.0,,,,,,,,,,,2.0,,,,,4.0,,,
uk_iu-ud-test,898,0,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,3.0,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,
sa_vedic-ud-test,2709,0,169,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,33.0,,,77.0,,,,8.0,,,,,,,,,,,,,1.0,12.0,,,12.0,,1.0,,,,,,2.0,,,,,20.0,,,
sa_vedic-ud-train,21477,0,1201,,,1.0,,7.0,,1.0,,2.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,226.0,,,716.0,,,,24.0,2.0,,,,,,,,1.0,,,,9.0,55.0,,,82.0,,3.0,,,1.0,4.0,,24.0,5.0,,,,33.0,,,
sa_vedic-ud-dev,2996,0,212,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,152.0,,,,2.0,,,,,,,,,1.0,,,,,11.0,,,9.0,,,,,,,,5.0,4.0,,,,4.0,,,
es_ancora-ud-train,14287,0,1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.0,,,,74.0,,,,,,,,,,,,,,,,,,,,,,,,,1480.0,,,,,,,,,,,,,,,,,
es_ancora-ud-test,1721,0,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,144.0,,,,,,,,,,,,,,,,,
es_ancora-ud-dev,1654,0,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,189.0,,,,,,,,,,,,,,,,,
hr_set-ud-dev,960,0,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,20.0,,,,,,,,,,,,,,,,,22.0,2.0,,,,,,,,,,,,,,,,,,,
hr_set-ud-train,6914,0,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,204.0,,1.0,,2.0,,,,,,,,,1.0,,,,192.0,8.0,,,,,,,,,,,,,,,,2.0,,,
hr_set-ud-test,1136,0,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,31.0,2.0,,,,,,,,,,,,,,,,,,,
orv_rnc-ud-dev,943,0,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,139.0,,,,3.0,,,,,,,,,,,,,,29.0,,,,,,,,,,,2.0,,,,,1.0,,,
orv_rnc-ud-train,1868,0,420,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,307.0,,,,18.0,,,,,,,,,,,,,,87.0,,,,,,,,,,,4.0,,,,,,,1.0,
orv_rnc-ud-test,717,0,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.0,,,,9.0,,,,,,,,,1.0,,,,,80.0,,,,,,,,,,,,,,,,3.0,,,
la_circse-ud-test,1263,0,97,,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,2.0,47.0,,,,,,,,,2.0,,,,,5.0,,,
is_pud-ud-test,1000,0,238,,,,,,,,2.0,1.0,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,16.0,,,,12.0,,,,24.0,,,,,,,37.0,,16.0,,,,48.0,40.0,,37.0,,,,,,,,,,,,,,2.0,,,
grc_perseus-ud-dev,1137,0,262,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,,,,22.0,,,,,,,,,2.0,,,,78.0,90.0,,,,,,,,,,,,,,,,,,4.0,
grc_perseus-ud-train,11476,0,2213,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575.0,,,,325.0,,,,,,,,,8.0,,,,583.0,693.0,,,,,,,,,,,,2.0,,,,10.0,2.0,12.0,
grc_perseus-ud-test,1306,0,209,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,,,,23.0,,,,,,,,,,,,,62.0,68.0,,,,,,,,,,,,,,,,1.0,,1.0,
tr_atis-ud-dev,572,0,466,,,,,,,,,1.0,,,,3.0,,6.0,,,,7.0,,,,,,,,,,,,,,,126.0,,,,,,,151.0,,,,,,,,,,,,,,160.0,,,,,,,,,,,,,,,,12.0,,,
tr_atis-ud-train,4274,0,3603,,2.0,,,,,,,2.0,,,,3.0,,82.0,,,,45.0,,,,,,,,,,,,,,,944.0,,,,,1.0,,1184.0,,,,,,,,1.0,2.0,,,,6.0,1277.0,,,,,,,,,,6.0,,,,,,48.0,,,
tr_atis-ud-test,586,0,455,,2.0,,,,,,,,,,,,,8.0,,,,2.0,,,,,,,,,,,,,,,108.0,,,,,,,196.0,,,,,,,,2.0,,,,,,123.0,,,,,,,,,,,,,,,,13.0,,1.0,
pt_pud-ud-test,1000,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hi_pud-ud-test,1000,0,2,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_perseus-ud-test,939,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,40.0,,54.0,,,,,,,,,,,,,,,,,
la_perseus-ud-train,1334,0,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,59.0,,83.0,,,,,,,,,,,,,,1.0,,,
tr_kenet-ud-dev,1646,0,969,,1.0,,16.0,,,,,2.0,,,1.0,64.0,,87.0,,,,33.0,,,,,,,2.0,,,,,,,,4.0,,,117.0,,,,12.0,,,,,,,,,1.0,,,,31.0,597.0,,,,,,,,,,,,,,,,1.0,,,
tr_kenet-ud-test,1643,0,963,,1.0,,15.0,,,,,2.0,,,1.0,90.0,,206.0,,,,10.0,,,,,,,1.0,,,,,,,,3.0,,,1.0,,7.0,,18.0,,,,,,,,,4.0,,,,102.0,498.0,,,,,,,,,,,,,,,,1.0,,3.0,
tr_kenet-ud-train,15398,0,6213,,11.0,,89.0,,,,,53.0,5.0,,14.0,363.0,1.0,527.0,,,,226.0,,2.0,,,,,5.0,,,,,,,4.0,15.0,,,302.0,,1.0,,191.0,,,,,,,,,12.0,,,3.0,362.0,3975.0,,,,,,,,,,,2.0,3.0,,,2.0,23.0,,22.0,
sk_snk-ud-dev,1060,0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,22.0,,,,,,,,,,,,,,,,,
sk_snk-ud-test,1061,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,
sk_snk-ud-train,8483,0,886,,,,,,,,,,,,,,,,,,,,,,,1.0,,,3.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,60.0,,814.0,,,,,,,,,,,,,,3.0,,,
lt_hse-ud-train,153,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,1.0,,,,,,,,,,,,,5.0,2.0,,,,,,,,,,,,,,,,,,,
lt_hse-ud-test,55,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
lt_hse-ud-dev,55,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
hit_hittb-ud-test,136,0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,12.0,,,,4.0,,,,,,,,,,,,,3.0,7.0,,,,,,,,,,,,,,,,,,,
sa_ufal-ud-test,230,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be_hse-ud-train,22853,0,759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,724.0,,1.0,,8.0,,,,,,,,,,,,,5.0,10.0,,,,,,,,,,,1.0,,,,,7.0,,,
be_hse-ud-dev,1301,0,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
be_hse-ud-test,1077,0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
gub_tudet-ud-test,1182,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,
cs_pud-ud-test,1000,0,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,3.0,,,,,,,,,,,,,,19.0,,35.0,,,,,,,,,,,,,,,,,
orv_ruthenian-ud-test,390,0,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,140.0,,,,2.0,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,
orv_ruthenian-ud-train,2789,0,1350,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1143.0,,,,19.0,,,,,,,,,,,,,,146.0,,,,,,,,,,,26.0,,,,5.0,,,,
orv_ruthenian-ud-dev,344,0,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.0,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,
ml_ufal-ud-test,218,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,3.0,,,,,,,,,,,,,,,,,,,
apu_ufpa-ud-test,161,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,
egy_ujaen-ud-test,721,0,87,,,,,,,,,,,,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de_pud-ud-test,1000,0,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,37.0,1.0,32.0,,,,,,,,,,,,,,,,,
gl_treegal-ud-train,600,0,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,1.0,,,,45.0,,,,,,,,,,,,,3.0,,,,5.0,,,,,,,,,,,,,,,,,,,,
gl_treegal-ud-test,400,0,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,17.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
ro_nonstandard-ud-test,1052,0,484,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,21.0,9.0,,,,,345.0,,,,58.0,,,,,,,,,,,,,2.0,6.0,,,,,,,,,,,,,,,,1.0,,,
ro_nonstandard-ud-dev,1052,0,526,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,44.0,,,19.0,9.0,,,,,395.0,,,,40.0,,,,,,,,,1.0,,,,7.0,5.0,,,,,,,,,,,,2.0,,,,1.0,,1.0,
ro_nonstandard-ud-train,24121,0,12236,,10.0,,6.0,,,,,,18.0,,,2.0,,,,,,,,2.0,,,,,,,644.0,1.0,,69.0,1143.0,,,,,8642.0,,,,1119.0,,,,,,,,4.0,75.0,,,,327.0,117.0,,,,,,33.0,,,,,3.0,1.0,,,,16.0,,4.0,
ro_simonero-ud-test,491,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ro_simonero-ud-train,3747,0,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,3.0,33.0,2.0,,,,,20.0,,,,2.0,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,
ro_simonero-ud-dev,443,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq_tsa-ud-test,60,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pt_petrogold-ud-train,7170,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pt_petrogold-ud-test,1039,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pt_petrogold-ud-dev,737,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mr_ufal-ud-dev,46,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
mr_ufal-ud-test,47,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
mr_ufal-ud-train,373,0,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,25.0,,,,14.0,3.0,,,,,,,,,,,,,,,,1.0,,,
pt_gsd-ud-dev,1204,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
pt_gsd-ud-test,1200,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pt_gsd-ud-train,9616,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
si_stb-ud-test,100,0,7,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
ro_tuecl-ud-test,210,0,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,13.0,,,,,,42.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
lt_alksnis-ud-test,684,0,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,51.0,,,,,,,,,,,,,,,,,
lt_alksnis-ud-dev,617,0,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,
lt_alksnis-ud-train,2341,0,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,2.0,,,,,1.0,,124.0,,,,,,,,,,,,,,1.0,,,
cu_proiel-ud-train,18327,0,3978,,19.0,,9.0,,5.0,,,,3.0,,,1.0,,,,,,,,,,,,,,4.0,,,,,17.0,3.0,,,,,,,,97.0,,,,,,,,,302.0,,24.0,,2.0,817.0,,2599.0,,,,,,,,,72.0,1.0,,,,2.0,,1.0,
cu_proiel-ud-test,2096,0,496,,4.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,2.0,1.0,,,,,,,,15.0,,,,,,,,,50.0,,4.0,,1.0,105.0,,303.0,,,,,,,,,7.0,1.0,,,,,,,
cu_proiel-ud-dev,2205,0,532,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,60.0,,3.0,,,102.0,1.0,353.0,,,,,,,,,4.0,,,,,,,,
hy_bsut-ud-train,1226,0,142,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,3.0,1.0,,,17.0,,,,,,,,,3.0,,23.0,,1.0,,,,54.0,37.0,,,,,,,,,,,1.0,1.0,,,,,,,
hy_bsut-ud-test,595,0,70,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,4.0,,,,5.0,,,,,,,,,1.0,,11.0,,2.0,,,,28.0,17.0,,,,,,,,,,,,1.0,,,,,,,
hy_bsut-ud-dev,479,0,67,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,1.0,,,,10.0,,,,,,,,,4.0,,14.0,,,,,,18.0,17.0,,,,,,,,,,,,,,,,,,,
mdf_jr-ud-test,454,0,24,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,8.0,,,,,,,,,,,,,,,2.0,,,
mdf_jr-ud-train,20,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
la_llct-ud-dev,850,0,351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,349.0,,,,,,,,,,,,,,,,,
la_llct-ud-test,884,0,349,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,347.0,,,,,,,,,,,,,,,,,
la_llct-ud-train,7289,0,2098,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,21.0,,,,,,,,,1.0,,,,,1.0,,2071.0,,,,,,,,,,,,,,,,1.0,
es_pud-ud-test,1000,0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,,,,,,,,,,,,,,,,,
hsb_ufal-ud-test,623,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,3.0,,,,2.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,
hsb_ufal-ud-train,23,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sr_set-ud-test,520,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,
sr_set-ud-train,3328,0,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,76.0,,,,,,,,,,,,,,,,,,,
sr_set-ud-dev,536,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,
myv_jr-ud-test,921,0,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,46.0,11.0,,,,,,,,,,1.0,,,,,4.0,,,
myv_jr-ud-train,1217,0,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,14.0,,,,,,,,,,1.0,,,,,2.0,,,
tr_framenet-ud-test,205,0,73,,,,,,,,,,,,,1.0,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,8.0,37.0,,,,,,,,,,,,,,,,,,,
tr_framenet-ud-train,2288,0,780,,,,19.0,,,,,1.0,,,,31.0,,275.0,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,22.0,,,,,,,,,3.0,,,,69.0,357.0,,,,,,,,,,,,,,,,,,,
tr_framenet-ud-dev,205,0,69,,,,3.0,,,,,,,,,7.0,,21.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,11.0,25.0,,,,,,,,,,,,,,,,,,,
