Treebank,Number of Sentences,Failures,Total,acl,advcl,advcl:quote,advcl:tcl,advmod,advmod:mmod,amod,appos,aux,case,cc,ccomp,compound,compound:lvc,compound:nn,compound:prt,compound:redup,conj,cop,csubj,csubj:cop,dep:infl,det,det:poss,discourse,dislocated,fixed,flat,iobj,list,mark,nmod,nmod:cau,nmod:npmod,nmod:obj,nmod:part,nmod:poss,nsubj,nsubj:cop,nsubj:pass,nummod,obj,obj:lo,obl,obl:agent,obl:arg,obl:cmp,obl:lmod,obl:tmod,orphan,parataxis,parataxis:discourse,reparandum,root,vocative,xcomp,xcomp:ds
tr_kenet-ud-test,1643,0,195,3.0,6.0,,,,,,,,,,20.0,21.0,,,,,6.0,,,,,,,1.0,,,,,4.0,,23.0,,,,,,13.0,,,,35.0,,54.0,,,,,,,3.0,,,6.0,,,
tr_kenet-ud-train,15398,0,1278,25.0,24.0,,,,,27.0,,,1.0,,38.0,40.0,,,,,57.0,,7.0,,,,,,,,3.0,12.0,1.0,,273.0,,,,,,105.0,,,1.0,243.0,,354.0,,,,,,,9.0,,,54.0,1.0,3.0,
sms_giellagas-ud-test,230,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,3.0,,,,,,,,,,,,,,,
sms_giellagas-ud-train,20,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
ess_sli-ud-test,309,0,35,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jaa_jarawara-ud-test,20,0,2,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
gub_tudet-ud-test,1182,0,25,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,3.0,,12.0,,,,,,,,,,3.0,,,
apu_ufpa-ud-test,161,0,10,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,,,1.0,,,,,,,,,,,,1.0,,,
hy_bsut-ud-train,1226,0,4,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,
hy_bsut-ud-test,595,0,8,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,1.0,,1.0,,,,,,,,,,1.0,,,
hy_bsut-ud-dev,479,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
mdf_jr-ud-test,454,0,22,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,5.0,,4.0,1.0,,2.0,1.0,,,,,,1.0,,1.0,
mdf_jr-ud-train,20,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
la_llct-ud-dev,850,0,247,,,,,,,,,,,,,,,,,,,,,,,246.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
la_llct-ud-test,884,0,218,,,,,,,,,,,,,,,,,,,,,,,218.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_llct-ud-train,7289,0,1332,,,,,,,,,,,,2.0,,,,,,7.0,,,,,1312.0,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,
fi_tdt-ud-train,12217,0,106,5.0,7.0,,,5.0,,,,1.0,4.0,,,,,,,,2.0,2.0,,,,,,,,,,,,,6.0,,,,,6.0,8.0,5.0,,,27.0,,22.0,,,,,,,,,,3.0,,2.0,1.0
fi_tdt-ud-test,1555,0,43,1.0,1.0,,,3.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,3.0,,,,,4.0,4.0,1.0,,,11.0,,10.0,,,,,,,,,,,,1.0,
fi_tdt-ud-dev,1364,0,18,1.0,,,,,,,,,1.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,2.0,,5.0,,,,,,1.0,,,,1.0,,,
myv_jr-ud-test,921,0,25,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,5.0,,,,7.0,,4.0,,,,2.0,2.0,,,,,1.0,,,
myv_jr-ud-train,1217,0,64,,,,,,,,1.0,,,,,,,,,,4.0,,,,,,,,,,,,,,2.0,,,,,1.0,17.0,1.0,,,20.0,,10.0,,,,,,1.0,,,,5.0,1.0,1.0,
quc_iu-ud-test,1435,0,96,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,15.0,,,,,,21.0,,,,11.0,,45.0,,,,,,,,,,1.0,1.0,,
tr_framenet-ud-test,205,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,3.0,,,,,,,,,,1.0,,,
tr_framenet-ud-train,2288,0,90,1.0,5.0,,,,,,,,,,4.0,27.0,,,,,,,2.0,,,,,,,,,,,,14.0,,,,,,3.0,,,,22.0,,10.0,,,,,,,2.0,,,,,,
tr_framenet-ud-dev,205,0,9,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,,2.0,,,,,,,,,,,,,
fr_pud-ud-test,1000,0,4,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ky_ktmu-ud-train,80,0,21,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,9.0,,,,,3.0,2.0,,,,2.0,,2.0,,,,,,,,,,,,,
ky_ktmu-ud-test,701,0,169,3.0,,,,,,1.0,,,,,2.0,2.0,,,,,3.0,,,,,,,,,1.0,,,,,77.0,,,,,10.0,27.0,,,1.0,12.0,,27.0,,,,,,,,,,3.0,,,
kpv_ikdp-ud-test,214,0,3,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,
kpv_lattice-ud-test,643,0,90,,1.0,,2.0,,1.0,1.0,,,9.0,,,,,,,,10.0,,,1.0,,,,,1.0,,,,,,1.0,,,3.0,,1.0,14.0,8.0,,,13.0,,15.0,,,,3.0,,,,,,6.0,,,
kpv_lattice-ud-train,20,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
tt_nmctt-ud-test,148,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,1.0,,,,,,
abq_atb-ud-test,98,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,3.0,,2.0,,,,,,,,,,,,,
tr_gb-ud-test,2880,0,152,20.0,10.0,,,,,,,2.0,1.0,,11.0,,,,,,,5.0,7.0,2.0,,,,,,,,,,,4.0,,,,3.0,,16.0,1.0,,,15.0,,42.0,,,,,6.0,,,,,5.0,,2.0,
fr_gsd-ud-test,416,0,9,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fr_gsd-ud-train,14450,0,81,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
fr_gsd-ud-dev,1476,0,7,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nds_lsdc-ud-test,500,0,4,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpn_tudet-ud-test,581,0,35,,3.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,12.0,,10.0,,,,,,,1.0,,,2.0,,2.0,
fi_pud-ud-test,1000,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
fr_rhapsodie-ud-train,1288,0,29,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,
fr_rhapsodie-ud-dev,1081,0,16,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
fr_rhapsodie-ud-test,840,0,29,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fr_parisstories-ud-dev,692,0,4,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fr_parisstories-ud-train,1387,0,12,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
fr_parisstories-ud-test,697,0,8,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hy_armtdp-ud-train,1974,0,28,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,8.0,,,,13.0,,3.0,,,,,,,,,,,,,
hy_armtdp-ud-dev,249,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,4.0,,3.0,,,,,,,1.0,,,,,,
hy_armtdp-ud-test,277,0,14,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,6.0,,2.0,,,,,,,,,,,,,
ota_boun-ud-test,400,0,7,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,2.0,,,,,,,,,,,,,
koi_uh-ud-train,34,0,2,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
koi_uh-ud-test,94,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
la_udante-ud-train,926,0,23,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_udante-ud-test,419,0,4,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_udante-ud-dev,376,0,63,,,,,,,,,,,,,,,,,,,,,,,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
hyw_armtdp-ud-test,680,0,7,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,3.0,,,,,,,,,,,,,
hyw_armtdp-ud-dev,694,0,44,,,,,,,,,,3.0,,,,,,,,5.0,,,,,,,,,,,,,,,,2.0,,,2.0,13.0,,,,10.0,,8.0,,,,,,,,,,1.0,,,
hyw_armtdp-ud-train,5282,0,87,1.0,,,,,,,1.0,,,,,,4.0,,,,4.0,,1.0,,,,,,,,,,,,,,2.0,,,3.0,20.0,,2.0,,24.0,,22.0,,,,,,,,,,3.0,,,
sme_giella-ud-train,2257,0,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,12.0,4.0,,,,21.0,,25.0,,,,,,,,,,,,,
sme_giella-ud-test,865,0,6,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,2.0,,,,,,,,,,,,,,,
nhi_itml-ud-test,909,0,25,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,4.0,,,3.0,,,,,,5.0,,,,4.0,,4.0,,,,,,,,,,3.0,,,
kk_ktb-ud-test,1047,0,29,,2.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,3.0,9.0,,,,4.0,,5.0,,,,,,,1.0,,,1.0,,,
gn_oldtudet-ud-test,59,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,
ug_udt-ud-test,900,0,28,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,8.0,,,,6.0,,4.0,,,,,,,,,,2.0,,,
ug_udt-ud-dev,900,0,39,,1.0,,,,,1.0,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,2.0,1.0,,,,4.0,14.0,,,,9.0,,4.0,,,,,,,,,,,,,
ug_udt-ud-train,1656,0,21,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,4.0,,,,7.0,,4.0,,,,,,,,,,2.0,,,
azz_itml-ud-test,1260,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,,,,,,,,,,,,,,,
la_ittb-ud-dev,2101,0,10,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_ittb-ud-test,2101,0,7,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_ittb-ud-train,22775,0,126,,,,,,,,,,,,,,,,,,,,,,,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
qtd_sagt-ud-test,805,0,79,4.0,2.0,,,,,,,,3.0,,1.0,,,,,,2.0,,2.0,,,,,,,,,,,1.0,15.0,,,,,,6.0,,,,9.0,,21.0,,,,,,,,2.0,2.0,7.0,,2.0,
qtd_sagt-ud-dev,801,0,68,5.0,4.0,,,,,,,,1.0,,2.0,5.0,,,,,4.0,,1.0,,,,,,1.0,,,,,3.0,6.0,,,,,,8.0,,,,11.0,,10.0,,,,,,,,,2.0,3.0,,2.0,
qtd_sagt-ud-train,578,0,36,7.0,1.0,,,,,,,,,,2.0,1.0,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,11.0,,,,1.0,,3.0,,,,,,,1.0,1.0,2.0,1.0,,2.0,
krl_kkpp-ud-test,228,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
fi_ftb-ud-dev,1875,0,25,1.0,1.0,,,1.0,,,,,3.0,,,,,,2.0,,,,,,,,,,,,,,,,8.0,,,,,,5.0,,,,4.0,,,,,,,,,,,,,,,
fi_ftb-ud-train,14981,0,188,3.0,11.0,,,18.0,,1.0,,,5.0,,1.0,,,,1.0,,5.0,2.0,,,,,,,,,,,,,49.0,,,,,,20.0,2.0,,,56.0,,,,,,,,,,,,6.0,,8.0,
fi_ftb-ud-test,1867,0,38,1.0,,,,1.0,,1.0,,,,,,,,,1.0,,4.0,,,,,,,,,,,,,,7.0,,,,,,2.0,1.0,,,16.0,,,,,,,,,,,,2.0,,2.0,
tr_tourism-ud-train,15473,0,137,2.0,5.0,,,,,4.0,,,14.0,,4.0,,,,,,3.0,,1.0,,,,,1.0,,,,,,,33.0,,,,,,15.0,,,,16.0,,27.0,,,,,,,,,,12.0,,,
tr_tourism-ud-dev,2166,0,19,1.0,1.0,,,,,1.0,,,4.0,,1.0,2.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,5.0,,,,,,,,,,1.0,,,
tr_tourism-ud-test,2191,0,13,,1.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,1.0,,2.0,,,,,,,,,,2.0,,,
ab_abnc-ud-test,263,0,39,,,1.0,,1.0,,,,,9.0,,,,,,,,2.0,,1.0,,,,,,,,,1.0,,,,,,,,2.0,7.0,,,,7.0,4.0,2.0,,,,,,,,,,1.0,1.0,,
aqz_tudet-ud-test,343,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
tr_imst-ud-train,3435,0,228,26.0,4.0,,,1.0,,4.0,,,1.0,,4.0,9.0,3.0,,,3.0,18.0,,1.0,,,,,4.0,,,4.0,3.0,,,10.0,,,,,13.0,48.0,,,,50.0,,18.0,,,,,,,,,,4.0,,,
tr_imst-ud-dev,1100,0,44,2.0,,,,,,,,,,1.0,,4.0,,,,,3.0,,,,,,,,,,,1.0,,,3.0,,,,,5.0,11.0,,,,7.0,,4.0,,,,,,,,,,3.0,,,
tr_imst-ud-test,1100,0,38,1.0,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,1.0,2.0,,,2.0,,,,,3.0,5.0,,,,9.0,,4.0,,,,,,,,,,7.0,,,
tr_boun-ud-dev,979,0,60,8.0,3.0,,,,,1.0,,,,,2.0,1.0,2.0,,,,2.0,,1.0,,,,,,,,1.0,1.0,,,1.0,,,,,4.0,8.0,,,,8.0,,16.0,,,,,,,,,,1.0,,,
tr_boun-ud-test,979,0,84,12.0,4.0,,,,,2.0,,,,,3.0,3.0,1.0,,,1.0,6.0,,4.0,,,,,,,,,1.0,,,2.0,,,,,9.0,9.0,,,,11.0,,13.0,,,,,,,,,,3.0,,,
tr_boun-ud-train,7803,0,428,54.0,20.0,,,,,12.0,1.0,,,,16.0,12.0,6.0,,,1.0,21.0,4.0,5.0,,,,,1.0,,,1.0,3.0,,,13.0,,,,1.0,23.0,50.0,,,,54.0,,110.0,,,,,,,1.0,,,19.0,,,
tr_penn-ud-dev,622,0,64,,1.0,,,,,,,,7.0,,3.0,3.0,,,,,2.0,,1.0,,,,,,,,,,,,10.0,,,,,,3.0,,,,18.0,,14.0,,,,,,,,,,2.0,,,
tr_penn-ud-test,924,0,81,,1.0,,,,,2.0,,,7.0,,3.0,7.0,,,,,1.0,,,,,,,,,,,,,,19.0,,,,,,10.0,,,,12.0,,15.0,,,,,,,,,,4.0,,,
tr_penn-ud-train,14850,0,643,14.0,5.0,,,,,9.0,,1.0,24.0,,37.0,27.0,,,,,19.0,,5.0,,,,,3.0,,2.0,3.0,,1.0,,139.0,,,,,,68.0,,,,116.0,,144.0,,,,,,,2.0,,,23.0,,1.0,
