Treebank,Number of Sentences,Failures,Total,_,acl,acl:adv,acl:relcl,advcl,advcl:ccomp,advcl:concess,advcl:cond,advcl:manner,advcl:pred,advcl:tcl,advmod,advmod:mode,amod,appos,aux,aux:neg,aux:pass,case,ccomp,compound,compound:lvc,compound:redup,compound:svc,conj,cop,csubj,csubj:pass,dep,dep:repeat,discourse,dislocated,fixed,flat,mark,nmod,nmod:poss,nsubj,obj,obl,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:insert,parataxis:obj,reparandum,root,xcomp
lt_alksnis-ud-test,684,0,38,,,,,23.0,,,,,,,1.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,9.0,
lt_alksnis-ud-dev,617,0,37,,,,,34.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,
lt_alksnis-ud-train,2341,0,132,,,,,110.0,,,,,,,,,,,,,,,,,,,,19.0,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,
it_old-ud-train,1748,0,284,,2.0,,,259.0,,,,,2.0,,,,,,2.0,,,,,,,,,17.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,
it_old-ud-dev,316,0,100,,1.0,,,91.0,,,,,1.0,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,
it_old-ud-test,338,0,66,,,,,62.0,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,
hy_bsut-ud-train,1226,0,11,,,,,10.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
hy_bsut-ud-test,595,0,3,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hy_bsut-ud-dev,479,0,1,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mdf_jr-ud-test,454,0,18,,,,,6.0,,,,,,4.0,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,
vep_vwt-ud-test,103,0,3,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hsb_ufal-ud-test,623,0,4,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hsb_ufal-ud-train,23,0,2,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
sr_set-ud-test,520,0,49,,5.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,40.0
sr_set-ud-train,3328,0,206,,15.0,,,3.0,,,,,,,1.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,1.0,,,,,5.0,,,,,2.0,174.0
sr_set-ud-dev,536,0,26,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,24.0
myv_jr-ud-test,921,0,204,,52.0,,6.0,72.0,,,,,,1.0,,,,2.0,,30.0,,,2.0,1.0,,,,8.0,,,,,,,,1.0,,,,,2.0,1.0,2.0,,1.0,4.0,,,,,17.0,2.0
myv_jr-ud-train,1217,0,135,,16.0,,1.0,67.0,,,,,,5.0,,,,2.0,,11.0,,,3.0,1.0,,,,9.0,,,,,,,,,,,,,,,2.0,1.0,,,,,,,16.0,1.0
bho_bhtb-ud-test,357,0,4,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ky_ktmu-ud-train,80,0,29,,,,,11.0,,,,,,,,,,,,,,,11.0,3.0,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,1.0,
ky_ktmu-ud-test,701,0,311,,16.0,,,110.0,,,,,,,,,,,,,,,123.0,30.0,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,9.0,,,,,20.0,
kpv_ikdp-ud-test,214,0,4,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kpv_lattice-ud-test,643,0,49,,,,,28.0,,,,,,17.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,1.0,,,,,,,
tt_nmctt-ud-test,148,0,49,,2.0,,,20.0,,,,,,,,,1.0,,,,,,1.0,,,,,3.0,,,,,,,,,,2.0,1.0,,1.0,,2.0,,,3.0,,,,,13.0,
abq_atb-ud-test,98,0,16,,,,,11.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,3.0
tr_gb-ud-test,2880,0,116,,,,,85.0,,,,,,,,,,,,,,,1.0,2.0,,1.0,,3.0,20.0,,,,,,,,,,,,,,,1.0,,,,,,,2.0,1.0
ru_taiga-ud-train,16045,0,437,,3.0,,,375.0,,,,,,,,,,,,,,4.0,,,,,,29.0,6.0,1.0,,,,,,,,,,,,,,,1.0,12.0,,,,,6.0,
ru_taiga-ud-dev,946,0,53,,,,,41.0,,,,,,,,,,,,,,2.0,,,,,,6.0,1.0,,,,,,,,,,,,,,,,,3.0,,,,,,
ru_taiga-ud-test,881,0,23,,,,,18.0,,,,,,,,,,,,,,1.0,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
cs_cltt-ud-test,338,0,1,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hy_armtdp-ud-train,1974,0,5,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
hy_armtdp-ud-dev,249,0,1,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hy_armtdp-ud-test,277,0,3,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ota_boun-ud-train,114,0,31,,,,,21.0,,,,,,,,,,,3.0,,,,,2.0,2.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
ota_boun-ud-test,400,0,68,,1.0,,,42.0,,,,,,,,,,,2.0,,,,,3.0,10.0,,,5.0,4.0,,,,,,,,,,,,,,1.0,,,,,,,,,
et_edt-ud-dev,3128,0,160,,,,,139.0,,,,,,,,,,,2.0,,,,1.0,,,,,9.0,5.0,,,,,,,,,,,,,,1.0,,,,,,,,3.0,
et_edt-ud-train,24615,0,1053,2.0,3.0,,,967.0,,,,,,,,,,,10.0,,,,,,,,,38.0,14.0,,,,,,,,,,,,,,,,4.0,5.0,,,,,10.0,
et_edt-ud-test,3214,0,136,,,,,124.0,,,,,,,,,,,,,,,,,,,,9.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,1.0,
ru_syntagrus-ud-train,69630,0,4521,,23.0,,,3896.0,,,,,,,,,,,,,6.0,,1.0,,,,,294.0,48.0,,,,,,,,,,,,,,1.0,,3.0,212.0,,,,,37.0,
ru_syntagrus-ud-dev,8906,0,653,,2.0,,,543.0,,,,,,,,,,,,,2.0,,,,,,,55.0,10.0,1.0,,,,,,,,,,,,,,,3.0,29.0,,,,,8.0,
ru_syntagrus-ud-test,8800,0,778,,4.0,,,649.0,,,,,,,,,,,,,2.0,,,,,,,72.0,8.0,,,,,,,,,,,,,,,,2.0,35.0,,,,,6.0,
sjo_xdt-ud-test,810,0,1259,,3.0,,1.0,1209.0,,,,,,,,,,,9.0,,,,1.0,2.0,,,,15.0,1.0,,,,,,,,,,,,,1.0,2.0,,,4.0,,,,,10.0,1.0
ru_poetry-ud-test,728,0,81,,2.0,,,66.0,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,
ru_poetry-ud-dev,789,0,59,,1.0,,,48.0,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,3.0,
ru_poetry-ud-train,3569,0,391,,3.0,,,344.0,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,1.0,,,,,11.0,
koi_uh-ud-train,34,0,2,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0
koi_uh-ud-test,94,0,4,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_fictree-ud-dev,1309,0,5,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
cs_fictree-ud-train,10160,0,41,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,37.0
cs_fictree-ud-test,1291,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
hyw_armtdp-ud-test,680,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
el_gdt-ud-test,456,0,17,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el_gdt-ud-train,1662,0,71,,,,,64.0,,,,,,,,,,2.0,1.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
el_gdt-ud-dev,403,0,15,,,,,14.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
sl_sst-ud-train,4558,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
xnr_kdtb-ud-test,288,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
kk_ktb-ud-test,1047,0,251,,,,,206.0,,,,,,,,,,,6.0,,,,2.0,,,,,7.0,26.0,2.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,
kk_ktb-ud-train,31,0,21,,,,,14.0,,,,,,,,,,,,,,,,,,,,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,1.0,
cs_pdt-ud-test,10146,0,10,,,,,1.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,1.0
cs_pdt-ud-dev,9270,0,11,,,,,2.0,,,,,,,,,,,,,1.0,3.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,2.0,1.0
cs_pdt-ud-train,68491,0,121,1.0,1.0,,,18.0,,,,,,,,,,,,,,20.0,2.0,,,,,8.0,6.0,,,12.0,,,,1.0,,,,,,,,,,,,,,,11.0,41.0
ta_mwtt-ud-test,534,0,39,,,,,17.0,,,,,,,5.0,,,,6.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,
ota_dudu-ud-test,85,0,11,,1.0,,,9.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ug_udt-ud-test,900,0,361,,2.0,,,229.0,,,11.0,,,,,,,,22.0,,,,3.0,10.0,12.0,3.0,,1.0,28.0,,,,,3.0,,6.0,,7.0,,,1.0,,,,,7.0,,,,,3.0,13.0
ug_udt-ud-dev,900,0,382,,1.0,,,257.0,,,,,,,,,,,24.0,,,5.0,,12.0,28.0,1.0,,,30.0,1.0,,2.0,,,,3.0,,,4.0,,,2.0,,,,5.0,,,,,,7.0
ug_udt-ud-train,1656,0,713,,,,,477.0,,,,,,,,,,,28.0,,,2.0,4.0,17.0,88.0,1.0,,,64.0,4.0,,,,2.0,,2.0,1.0,,1.0,,1.0,,2.0,,,9.0,,,,,3.0,7.0
ur_udtb-ud-train,4043,0,26,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,
lzh_kyoto-ud-dev,6102,0,1036,,,,,,,,,,,,1036.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lzh_kyoto-ud-train,74609,0,11574,,,,,,,,,,,,11574.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lzh_kyoto-ud-test,5528,0,865,,,,,,,,,,,,865.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lv_lvtb-ud-test,2412,0,250,1.0,,,,193.0,,,,,,,,,,,,,1.0,,1.0,,,,,21.0,2.0,,,5.0,,2.0,,,,,,,,,,,,,,,,,,24.0
lv_lvtb-ud-train,14358,0,1783,7.0,1.0,,,1447.0,,,,,,,,,,,,,2.0,,3.0,1.0,,,,150.0,5.0,,1.0,24.0,,11.0,,,,,,,,,4.0,,6.0,6.0,,,,,11.0,104.0
lv_lvtb-ud-dev,2080,0,265,1.0,,,,212.0,,,,,,,,,,,,,,,,,,,,22.0,4.0,,,2.0,,,,,,,,,,,1.0,,1.0,,,,,,2.0,20.0
ru_pud-ud-test,1000,0,71,,2.0,,,56.0,,,,,,,,,,,,,,,,,,,,6.0,4.0,,,,,,,,,,,,,,,,1.0,2.0,,,,,,
qtd_sagt-ud-test,805,0,60,,1.0,,,45.0,,,,,,,,,,,,,,,,,,2.0,,4.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,,4.0,1.0
qtd_sagt-ud-dev,801,0,31,,1.0,,,19.0,,,,,,,,,,,,,,,,,,2.0,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0
qtd_sagt-ud-train,578,0,30,,,,,24.0,,,,,,,,,,,,,,,,1.0,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,1.0,,
pl_pud-ud-test,1000,0,69,,,,,63.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,2.0,,,,
cs_cac-ud-train,23478,0,40,1.0,,,,4.0,,,,,,,,,,,,,1.0,10.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,22.0
cs_cac-ud-test,628,0,6,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,3.0
am_att-ud-test,1074,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
pl_lfg-ud-test,1727,0,29,,,,,27.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
pl_lfg-ud-train,13774,0,211,,,,,207.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
pl_lfg-ud-dev,1745,0,33,,,,,30.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,
tr_tourism-ud-train,15473,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
cs_poetry-ud-test,297,0,8,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
ru_gsd-ud-test,601,0,28,,,,,24.0,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,
ru_gsd-ud-dev,579,0,42,,,,,36.0,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,
ru_gsd-ud-train,3850,0,236,,,,,212.0,,,,,,,,,,1.0,,,,,,,,,,10.0,10.0,,,,,,,,,,,,,,,,1.0,2.0,,,,,,
tr_imst-ud-train,3435,0,516,,,,,390.0,,,,,,,,,,,,,,,,42.0,22.0,3.0,,18.0,13.0,,,,,,,,,,11.0,,1.0,4.0,,,,1.0,,,,,10.0,1.0
tr_imst-ud-dev,1100,0,119,,,,,93.0,,,,,,,,,1.0,,,,,,,12.0,4.0,,,2.0,3.0,,,,,,,,,,2.0,,,,,,,,,,,,2.0,
tr_imst-ud-test,1100,0,154,,2.0,,,119.0,,,,,,,,,,,,,,,,8.0,5.0,,,5.0,5.0,,,,,,,,,,2.0,,,2.0,1.0,,,,,,,,5.0,
bxr_bdt-ud-test,908,0,9,,,,,3.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,2.0,
tr_boun-ud-dev,979,0,189,,1.0,,,126.0,,,,,,,,,,,21.0,,,,,6.0,5.0,,,7.0,3.0,,,,,,,,,,13.0,,1.0,1.0,1.0,,,,,,,,4.0,
tr_boun-ud-test,979,0,168,,,,,124.0,,,,,,,,,,,,,,,1.0,8.0,8.0,,,5.0,1.0,,,,,,,,,,16.0,2.0,1.0,1.0,,,,,,,,,1.0,
tr_boun-ud-train,7803,0,1404,,6.0,,,679.0,,,,,,,,,4.0,,247.0,,,,11.0,47.0,54.0,7.0,,31.0,191.0,6.0,,,,1.0,,,1.0,,86.0,,1.0,2.0,2.0,,1.0,1.0,,,,,25.0,1.0
tr_penn-ud-train,14850,0,8,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,7.0,
