Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:abs,advcl:cmp,advcl:pred,advcl:relcl,advmod,amod,appos,aux,aux:pass,case,ccomp,compound,compound:lvc,compound:smixut,conj,cop,csubj,csubj:pass,csubj:relcl,dep,det,dislocated,expl:pv,fixed,flat,flat:name,iobj,nmod,nmod:poss,nsubj,nsubj:cop,nsubj:outer,nsubj:pass,nummod,obj,obl,obl:agent,obl:arg,obl:cmp,obl:dat,obl:lmod,obl:tmod,orphan,parataxis,root,vocative,xcomp
cs_cltt-ud-test,338,0,79,,,12.0,7.0,,,,,,11.0,,1.0,8.0,,9.0,,,,11.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,17.0,,
grc_ptnk-ud-train,727,0,474,,,9.0,2.0,,,,,,17.0,4.0,,,,9.0,,,,40.0,,,,,,118.0,,,,,,4.0,112.0,,52.0,,,,26.0,12.0,53.0,,,,,,,1.0,4.0,5.0,,6.0
grc_ptnk-ud-dev,439,0,311,,,3.0,1.0,,,,,,38.0,9.0,,,,3.0,,,,25.0,,1.0,,,,101.0,1.0,,,,,2.0,49.0,,22.0,,,3.0,15.0,8.0,24.0,,,,,,,,1.0,2.0,,3.0
grc_ptnk-ud-test,410,0,229,,,2.0,1.0,,,,,1.0,12.0,7.0,,,,5.0,,,,20.0,,,,,,63.0,,,,,,7.0,31.0,,25.0,,1.0,2.0,17.0,11.0,19.0,,,,,,,,2.0,3.0,,
ca_ancora-ud-dev,1709,0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,
ca_ancora-ud-test,1846,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,
ca_ancora-ud-train,13123,0,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.0,,,,,,,,,,,,
got_proiel-ud-dev,985,0,67,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,2.0,,,,,,,,,11.0,,,,,10.0,8.0,,30.0,,,,,2.0,,1.0,,
got_proiel-ud-train,3387,0,223,,,,,,4.0,,,,,,,,,,,,,4.0,,,,,,2.0,,3.0,,,,,10.0,,26.0,,,,8.0,38.0,33.0,,81.0,,,,,1.0,,2.0,,11.0
got_proiel-ud-test,1029,0,74,,,,,,1.0,,,,,2.0,,,,,,,,2.0,,,,,,,,1.0,,,,,1.0,,9.0,,,1.0,4.0,9.0,13.0,,29.0,,,,,,,,,2.0
he_htb-ud-train,5168,0,2704,,21.0,403.0,175.0,,,,,,,6.0,,,,112.0,,,33.0,340.0,137.0,1.0,,,48.0,22.0,,,6.0,,,,42.0,113.0,165.0,3.0,,,9.0,49.0,196.0,,,,,,,,26.0,797.0,,
he_htb-ud-dev,484,0,214,,,19.0,8.0,,,,,,,4.0,,,,10.0,,,3.0,23.0,12.0,,,,3.0,1.0,,,1.0,,,,3.0,11.0,15.0,1.0,,,,6.0,15.0,,,,,,,,3.0,75.0,,1.0
he_htb-ud-test,491,0,222,,1.0,40.0,14.0,,,,,,,,,,,10.0,,,2.0,23.0,22.0,,,,7.0,,,,1.0,,,,2.0,4.0,3.0,,,,1.0,,8.0,,,,,,,,6.0,78.0,,
cs_pdt-ud-test,10146,0,919,49.0,15.0,85.0,52.0,,,,,,24.0,5.0,5.0,71.0,,58.0,,,,108.0,53.0,12.0,1.0,,7.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,4.0,360.0,,8.0
cs_pdt-ud-dev,9270,0,856,53.0,18.0,105.0,46.0,,,,,,22.0,4.0,2.0,51.0,,65.0,,,,88.0,40.0,14.0,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,3.0,331.0,,11.0
cs_pdt-ud-train,68491,0,5601,312.0,118.0,633.0,297.0,,,,,,187.0,21.0,13.0,393.0,,385.0,,,,606.0,344.0,80.0,7.0,,14.0,,,,,,,,,,,,,,,19.0,1.0,,,,,,,3.0,27.0,2102.0,,39.0
azz_itml-ud-test,1260,0,9,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
orv_torot-ud-test,2955,0,37,,3.0,,1.0,,,,,,1.0,,,,,,,,,4.0,,,,,,3.0,,,,,,,,,7.0,,,,,2.0,6.0,,5.0,,,,,4.0,,,,1.0
orv_torot-ud-dev,3061,0,9,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,2.0,,
orv_torot-ud-train,20480,0,262,,5.0,,6.0,,1.0,,,1.0,10.0,4.0,,,,1.0,,,,15.0,1.0,,,,1.0,18.0,1.0,,1.0,,,,10.0,,36.0,,,,,55.0,54.0,1.0,33.0,,,,,1.0,,4.0,,3.0
cs_cac-ud-dev,603,0,56,,2.0,3.0,4.0,,,,,,1.0,,,8.0,,1.0,,,,7.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,
cs_cac-ud-train,23478,0,2703,30.0,60.0,287.0,143.0,,,,,,138.0,2.0,19.0,273.0,,159.0,,,,351.0,188.0,25.0,6.0,,6.0,,,,,,,1.0,,,2.0,,,1.0,,13.0,2.0,,,,,,,9.0,19.0,926.0,,43.0
cs_cac-ud-test,628,0,48,,3.0,2.0,5.0,,,,,,1.0,,1.0,3.0,,9.0,,,,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,15.0,,
