Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:tcl,advmod,advmod:tmod,amod,appos,appos:trans,aux,case,case:loc,ccomp,ccomp:obj,ccomp:obl,ccomp:relcl,clf,compound,compound:lvc,compound:nn,compound:prt,compound:redup,conj,cop,csubj,csubj:cop,csubj:outer,csubj:relcl,dep,dep:comp,dep:der,dep:infl,dep:repeat,det,det:poss,discourse,dislocated,expl,fixed,flat,flat:name,iobj,list,mark,nmod,nmod:att,nmod:cau,nmod:comp,nmod:gobj,nmod:gsubj,nmod:npmod,nmod:obj,nmod:obl,nmod:part,nmod:poss,nmod:tmod,nsubj,nsubj:cop,nsubj:outer,nsubj:pass,nummod,obj,obj:lo,obl,obl:agent,obl:arg,obl:cau,obl:cmp,obl:inst,obl:lmod,obl:subj,obl:tmod,orphan,parataxis,reparandum,root,vocative,xcomp,xcomp:ds,xcomp:lo
la_perseus-ud-test,939,0,47,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,4.0,,1.0,,1.0,,,,,,,,,,,,,,
la_perseus-ud-train,1334,0,80,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,
tr_kenet-ud-dev,1646,0,1956,31.0,,33.0,,,,15.0,,,,,,92.0,,,,,110.0,,,,,81.0,,10.0,,,,,,,,,,,,,,1.0,6.0,,36.0,,,161.0,,,,,,,,,,,,262.0,,,,3.0,542.0,,526.0,,,,,,,,,,9.0,,36.0,,2.0,,
tr_kenet-ud-test,1643,0,1944,25.0,,34.0,,,,7.0,,,,1.0,,119.0,,,,,214.0,,,,,67.0,,2.0,,,,,,,,,,,,,,,5.0,,,20.0,,153.0,,,,,,,,,,,,236.0,,,,,534.0,,490.0,,,,,,,,,,8.0,,28.0,,1.0,,
tr_kenet-ud-train,15398,0,15356,150.0,,185.0,,,,187.0,15.0,,,19.0,,563.0,,,,,480.0,,,,,789.0,,74.0,,,,1.0,,,,,,,8.0,2.0,,,62.0,,130.0,28.0,,1579.0,,,,,,,,,,,,2361.0,,,,27.0,3678.0,,3958.0,,,,,,,,,5.0,55.0,1.0,949.0,7.0,43.0,,
sms_giellagas-ud-test,230,0,25,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,10.0,,3.0,,,,,,3.0,,,,,,1.0,,,,
sms_giellagas-ud-train,20,0,5,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,
ess_sli-ud-test,309,0,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,
ky_tuecl-ud-test,145,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
gub_tudet-ud-test,1182,0,113,,,,,,,,,,,16.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,19.0,1.0,,18.0,,,,,,,,,,,,,,,,,11.0,,26.0,,,,,,,4.0,,,,,17.0,,,,
apu_ufpa-ud-test,161,0,16,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,7.0,,1.0,,,,,,2.0,,,,,,,,,,
olo_kkpp-ud-test,106,0,1,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olo_kkpp-ud-train,19,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
hy_bsut-ud-train,1226,0,7,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,
hy_bsut-ud-test,595,0,3,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
mdf_jr-ud-test,454,0,131,,,1.0,3.0,,,,,,,4.0,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,3.0,,29.0,11.0,,,,34.0,,5.0,1.0,,1.0,2.0,,22.0,,2.0,,,,4.0,,3.0,,
mdf_jr-ud-train,20,0,10,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,3.0,,1.0,,,,,,1.0,,,,1.0,,,,,,
la_llct-ud-dev,850,0,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_llct-ud-test,884,0,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_llct-ud-train,7289,0,553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523.0,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
bor_bdt-ud-test,881,0,2,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
fi_tdt-ud-train,12217,0,1949,46.0,1.0,165.0,,50.0,,,4.0,,6.0,32.0,,7.0,,,,,,,12.0,,,78.0,13.0,,,,,,,,,,6.0,,,,,1.0,,,,,,140.0,,,,15.0,4.0,,,,,83.0,,49.0,43.0,,,,532.0,,568.0,,,,,,,,,2.0,1.0,,15.0,,66.0,10.0,
fi_tdt-ud-test,1555,0,211,5.0,,22.0,,8.0,,,,,,2.0,,,,,,,,,,,,7.0,2.0,,,,,,,,,,,,,,,,,,,,,11.0,,,,4.0,,,,,,9.0,,4.0,7.0,,,,76.0,,45.0,,,,,,,,,,,,1.0,,8.0,,
fi_tdt-ud-dev,1364,0,218,12.0,,18.0,,7.0,,,,,,5.0,,,,,,,,,,,,10.0,1.0,,,,,,,,,,2.0,,,,,,,,,,,8.0,,,,,,,,,,8.0,,3.0,5.0,,,,67.0,,62.0,,,,,,,,,,,,2.0,,6.0,2.0,
myv_jr-ud-test,921,0,401,,,2.0,,,,1.0,4.0,,,,,,,,,,6.0,,,,1.0,19.0,,,,,,,,,,,,,,,,,1.0,,,,,23.0,,,,1.0,1.0,,,,,,,103.0,4.0,,,,97.0,,96.0,,,,2.0,12.0,14.0,,,3.0,,,7.0,,3.0,1.0,
myv_jr-ud-train,1217,0,342,,1.0,3.0,,,,,2.0,,,1.0,,,,,,,1.0,,,,,14.0,,,,,,,,,,,1.0,,,,,1.0,,1.0,,,,22.0,,,,1.0,,,,,,,,80.0,7.0,,,,78.0,,86.0,,,,2.0,5.0,23.0,,3.0,1.0,,,8.0,,,1.0,
quc_iu-ud-test,1435,0,644,,,,,,,,2.0,,,,,,,,,,,,,,,11.0,,,,,,5.0,,,,,,,,1.0,,1.0,,,,,,91.0,,,,,,,,,,,,123.0,,,,,77.0,,310.0,,,,,,,,,,,,23.0,,,,
tr_framenet-ud-test,205,0,129,,,2.0,,,,,,,,,,3.0,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,11.0,,,,,39.0,,32.0,,,,,,,,,,,,,,,,
tr_framenet-ud-train,2288,0,1611,11.0,,36.0,,,,,,,,,,55.0,,,,,333.0,,,,,10.0,,9.0,,,,,,,,,,,1.0,,,,,,,,,116.0,,,,,,,,,,,,167.0,,,,2.0,568.0,,290.0,,,,,,,,,,7.0,,6.0,,,,
tr_framenet-ud-dev,205,0,129,3.0,,6.0,,,,,,,,,,6.0,,,,,25.0,,,,,3.0,,2.0,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,8.0,,,,,44.0,,20.0,,,,,,,,,,,,,,,,
fr_pud-ud-test,1000,0,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
ky_ktmu-ud-train,80,0,42,,,,,,,,,,,,,1.0,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,3.0,,8.0,,,,,12.0,,8.0,,,,,,,,,,,,1.0,,,,
ky_ktmu-ud-test,701,0,454,1.0,,4.0,,,,5.0,,,,,,4.0,,,,,17.0,,,,,6.0,,12.0,,,,,,,,,1.0,,,,,2.0,,,,,,148.0,,,,,,,,,,53.0,,55.0,,,,,33.0,,105.0,,,,,,,,,,,,8.0,,,,
kpv_ikdp-ud-test,214,0,122,2.0,,4.0,,,,,2.0,,,7.0,,,,,,,,,,,,9.0,,2.0,,,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,31.0,,,,,30.0,,18.0,,,,,,8.0,,,,,,5.0,,,,
kpv_lattice-ud-test,643,0,461,,1.0,6.0,5.0,1.0,1.0,,7.0,,,39.0,,1.0,,,,,,,,,,17.0,,4.0,,,,,,,,,1.0,,,3.0,,,,1.0,,,,12.0,,,,,,,11.0,,,4.0,,112.0,29.0,,,,85.0,,69.0,,,,,,33.0,,9.0,,1.0,,7.0,,2.0,,
kpv_lattice-ud-train,20,0,8,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,4.0,,2.0,,,,,,,,,,,,,,,,
tt_nmctt-ud-test,148,0,341,,,1.0,,,,4.0,3.0,,2.0,1.0,,1.0,,,,,1.0,,,,,26.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,106.0,,,,,,,,,,,,59.0,,,,,46.0,,82.0,,,,,,,,,,4.0,,2.0,,1.0,,
abq_atb-ud-test,98,0,20,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,5.0,,6.0,,,,,,,,,,,1.0,,,,,
tr_gb-ud-test,2880,0,1059,56.0,,43.0,,,,,2.0,,15.0,11.0,,69.0,,,,,10.0,,,,1.0,23.0,16.0,24.0,16.0,,,,,,,,,,,,,2.0,,,,,4.0,80.0,,,,,,,,,8.0,,,164.0,3.0,,,,169.0,,166.0,11.0,,,,,,,35.0,,,,121.0,,10.0,,
fr_gsd-ud-test,416,0,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fr_gsd-ud-train,14450,0,3523,,4.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,3512.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,
fr_gsd-ud-dev,1476,0,334,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nds_lsdc-ud-test,500,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpn_tudet-ud-test,581,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
fi_pud-ud-test,1000,0,275,2.0,1.0,30.0,,14.0,,1.0,1.0,,1.0,5.0,,1.0,,,,,,,2.0,,,11.0,2.0,,,,,,,,,,,,,,,,,,,,,17.0,,,,5.0,1.0,,,,,22.0,,16.0,13.0,,,,62.0,,58.0,,,,,,,,,,,,2.0,,7.0,1.0,
fr_rhapsodie-ud-train,1288,0,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fr_rhapsodie-ud-dev,1081,0,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
fr_rhapsodie-ud-test,840,0,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
fr_parisstories-ud-dev,692,0,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
fr_parisstories-ud-train,1387,0,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,5.0,,,,,
fr_parisstories-ud-test,697,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hy_armtdp-ud-train,1974,0,17,,,1.0,,,,,,,,,,,,,,,,1.0,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,2.0,,8.0,,,,,,,,,,,,,,,,
hy_armtdp-ud-dev,249,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
hy_armtdp-ud-test,277,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
ota_boun-ud-train,114,0,239,11.0,,3.0,,,,5.0,,,,3.0,,6.0,,,,,,9.0,,,,24.0,,2.0,,,,,,,,,,,,,,,1.0,,4.0,,,3.0,,,,,,,,,,21.0,,28.0,,,5.0,,42.0,,66.0,,,,,,,,,,,,6.0,,,,
ota_boun-ud-test,400,0,911,33.0,,6.0,,,,36.0,,,3.0,2.0,,25.0,,,,,6.0,41.0,,,2.0,82.0,,6.0,,,,,,,,,,,,1.0,,,5.0,,3.0,,,23.0,,,,,,,,,,108.0,,102.0,,,3.0,,157.0,,249.0,2.0,,,,,,,,,1.0,,15.0,,,,
koi_uh-ud-train,34,0,14,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,6.0,,2.0,,,,,,,,,,,,,,,,
koi_uh-ud-test,94,0,53,,,,,,,,1.0,,,5.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,9.0,3.0,,,,14.0,,4.0,,,,,,9.0,,5.0,,,,,,,,
la_udante-ud-train,926,0,129,,1.0,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,
la_udante-ud-test,419,0,49,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,46.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
la_udante-ud-dev,376,0,76,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
hyw_armtdp-ud-test,680,0,33,,,,,,,,2.0,,,4.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,4.0,,,,,14.0,,5.0,,,,,,,,,,,,,,,,
hyw_armtdp-ud-dev,694,0,28,,,,,,,,,,,8.0,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,10.0,,4.0,,,,,,,,,,1.0,,,,,,
hyw_armtdp-ud-train,5282,0,146,,,1.0,,,,,3.0,,,45.0,1.0,,,,,,1.0,4.0,,,,4.0,,,,,,,,,,,,2.0,,,1.0,,,,4.0,,,,,,,,,6.0,,,,1.0,,20.0,,,,,24.0,,28.0,,,,,,,,,1.0,,,,,,,
sme_giella-ud-train,2257,0,204,,,,,1.0,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,5.0,,,,,,,,,,25.0,,12.0,,,,,73.0,,83.0,,,,,,,,,,,,,,,,
sme_giella-ud-test,865,0,51,,,,,3.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,23.0,,2.0,,,,,13.0,,6.0,,,,,,,,,,,,,,,,
nhi_itml-ud-test,909,0,340,2.0,,2.0,,,,,10.0,,,2.0,,2.0,,,,,,,,,,7.0,,2.0,,,,,,,,,,,,,,1.0,,,3.0,,,31.0,,,,,,,,,,,,46.0,,,,,46.0,,179.0,,,,,,,,,,2.0,1.0,4.0,,,,
kk_ktb-ud-test,1047,0,1135,3.0,,22.0,,,,17.0,19.0,,5.0,,,17.0,,,,,1.0,,,,,54.0,15.0,27.0,,,,,,,,,,,,,,,,2.0,2.0,,,51.0,,,,,,,,,,107.0,,335.0,,,,,148.0,,255.0,,,,,,,,,7.0,6.0,,41.0,,1.0,,
kk_ktb-ud-train,31,0,76,1.0,,,,,,,3.0,,,,,1.0,,,,,,,,,,3.0,,2.0,,,,,,,,,,,,,,,,4.0,,,,5.0,,,,,,,,,,8.0,,17.0,,,,,4.0,,25.0,,,,,,,,,,,,1.0,,2.0,,
ota_dudu-ud-test,85,0,95,1.0,,,,,,2.0,,,,,,1.0,,,,,,1.0,,,,3.0,,1.0,,,,,,,,,,,,,,,2.0,,,,,7.0,,,,,,,,,,18.0,,14.0,,,,,11.0,,31.0,,,,,,,,,,,,3.0,,,,
ug_udt-ud-test,900,0,646,,,2.0,,3.0,,29.0,3.0,,1.0,3.0,,1.0,,,,,4.0,1.0,,,,20.0,3.0,14.0,,,,1.0,,,,,,,,,,6.0,1.0,,,,,33.0,,5.0,2.0,,,,,,2.0,58.0,10.0,134.0,,,,,135.0,,160.0,,,,,,,,,,2.0,,11.0,1.0,1.0,,
ug_udt-ud-dev,900,0,587,,,5.0,,,,30.0,4.0,,5.0,3.0,,6.0,,,,,13.0,2.0,,,,36.0,,6.0,,,,2.0,,,,,2.0,,,,,1.0,,,,,,30.0,,1.0,,,,,,,,27.0,6.0,133.0,,,,,107.0,,151.0,,,,,,,,,1.0,4.0,,12.0,,,,
ug_udt-ud-train,1656,0,1164,1.0,,4.0,,5.0,,59.0,3.0,,1.0,2.0,,8.0,,,,,13.0,,,,1.0,56.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,67.0,,4.0,,,,,,,,81.0,2.0,283.0,,,,,220.0,,303.0,,,,,,,,4.0,,7.0,,31.0,1.0,4.0,,
azz_itml-ud-test,1260,0,429,,,2.0,,,,,1.0,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,8.0,,,,,,,,20.0,,,,,,,,,,,,113.0,,,,,84.0,,174.0,,,,,,,,,,1.0,3.0,17.0,,,,
xum_ikuvina-ud-test,133,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_ittb-ud-dev,2101,0,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_ittb-ud-test,2101,0,339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_ittb-ud-train,22775,0,1643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1641.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,
qtd_sagt-ud-test,805,0,201,4.0,,8.0,,,,,2.0,1.0,,1.0,,4.0,,,,,2.0,,,,,18.0,,2.0,,,,,,,,,,,,7.0,,1.0,,,,,,6.0,,,,,,,,,,,,29.0,,,,1.0,38.0,,62.0,,,,,,,,,,2.0,1.0,10.0,,2.0,,
qtd_sagt-ud-dev,801,0,176,3.0,,6.0,,,,,2.0,,,4.0,,7.0,,,,,1.0,,,,,14.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,16.0,,,,,,,,,,,,32.0,,,1.0,1.0,33.0,,41.0,,,,,,,,,,,1.0,7.0,,5.0,,
qtd_sagt-ud-train,578,0,121,2.0,,4.0,,,,,1.0,,,2.0,,4.0,,,,,1.0,,,,,9.0,,,,,,,,,,,,,,4.0,,,,,,,1.0,7.0,,,,,,,,,,,,23.0,,,,,21.0,,35.0,,,,,,,,,,2.0,,3.0,,2.0,,
krl_kkpp-ud-test,228,0,7,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
yrl_complin-ud-test,1470,0,137,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,6.0,,,2.0,,,,,,,,,,5.0,,40.0,,,,,46.0,,33.0,,,,,,,,,,1.0,,2.0,,,,
fi_ftb-ud-dev,1875,0,242,4.0,,17.0,,34.0,,1.0,,,,2.0,,4.0,,,,,,,,1.0,,8.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,96.0,,,,1.0,,,,,,,,1.0,3.0,,,,57.0,,,,,,,,,,,,,,6.0,,5.0,,
fi_ftb-ud-train,14981,0,1917,25.0,,166.0,,247.0,,7.0,,,3.0,21.0,,19.0,,,,,,,,23.0,,68.0,6.0,,,,,2.0,,,,,12.0,,,,,15.0,1.0,,,,,616.0,,,,19.0,1.0,,,,,,,68.0,17.0,,,,480.0,,,,,,,,,,,,,,37.0,,64.0,,
fi_ftb-ud-test,1867,0,271,4.0,,19.0,,28.0,,,,,,2.0,,1.0,,,,,,,,4.0,,13.0,,,,,,,,,,,1.0,,,,,2.0,,,,,,83.0,,,,1.0,,,,,,,,5.0,2.0,,,,89.0,,,,,,,,,,,,,,7.0,,10.0,,
fr_partut-ud-dev,107,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fr_partut-ud-test,110,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fr_partut-ud-train,803,0,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_tourism-ud-train,15473,0,4482,6.0,,70.0,,,,60.0,1.0,,,36.0,,85.0,,,,,48.0,,,,,213.0,,23.0,,,,14.0,,,,,,,3.0,,,2.0,3.0,,,7.0,,344.0,,,,,,,,,,,,2207.0,,,,,660.0,,277.0,,,,,,,,,1.0,28.0,,385.0,4.0,5.0,,
