Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:cmp,advcl:tcl,advmod,advmod:emph,amod,appos,aux,aux:clitic,aux:pass,case,cc,ccomp,ccomp:obj,ccomp:pmod,compound,compound:prt,conj,cop,csubj,csubj:pass,dep,det,discourse,dislocated,expl,expl:impers,expl:pass,expl:poss,expl:pv,fixed,flat,flat:foreign,flat:name,iobj,list,mark,nmod,nmod:arg,nmod:poss,nsubj,nsubj:outer,nsubj:pass,obj,obl,obl:agent,obl:arg,obl:depict,obl:lmod,obl:orphan,obl:pronmod,orphan,parataxis,parataxis:discourse,parataxis:obj,reparandum,root,vocative,xcomp
lt_hse-ud-test,55,0,2,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt_hse-ud-dev,55,0,5,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,
be_hse-ud-train,22853,0,957,6.0,20.0,50.0,27.0,,,10.0,,2.0,12.0,,,,,,31.0,,,,,110.0,,2.0,,,,,,,,,,,4.0,,,,,3.0,,7.0,,,5.0,,,1.0,12.0,,,,,,,,104.0,,,,511.0,,40.0
be_hse-ud-dev,1301,0,63,1.0,4.0,2.0,1.0,,,,,,,,,,,,3.0,,,,,5.0,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,41.0,,2.0
be_hse-ud-test,1077,0,64,2.0,2.0,8.0,,,,,,1.0,1.0,,,,,,1.0,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,38.0,,1.0
cs_pud-ud-test,1000,0,606,,11.0,24.0,23.0,,,,,6.0,,,,,,,12.0,,,,,32.0,,,,,1.0,1.0,,,,45.0,,240.0,,,,,2.0,,,9.0,,,1.0,,,50.0,17.0,,17.0,,,,,,5.0,,,,99.0,,11.0
orv_ruthenian-ud-test,390,0,132,,7.0,5.0,23.0,,,,,33.0,,,,,,,5.0,,,,,25.0,,,,,2.0,,1.0,,,,,,,,,,,,,3.0,,,,,,2.0,1.0,,,,,,,,2.0,,,,18.0,,5.0
orv_ruthenian-ud-train,2789,0,948,,14.0,30.0,77.0,,,,,262.0,4.0,,,,,,26.0,,,,,105.0,,1.0,,,3.0,,6.0,,,,,,,,,7.0,,,,13.0,,,5.0,,,45.0,20.0,,,,,,,,13.0,,,1.0,279.0,1.0,36.0
orv_ruthenian-ud-dev,344,0,77,,3.0,3.0,9.0,,,,,28.0,,,,,,,2.0,,,,,9.0,,,,1.0,,,,,,,,,,,,1.0,,,,6.0,,,,,,,3.0,,,,,,,,,,,,10.0,,2.0
ro_simonero-ud-test,491,0,44,,,,1.0,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,12.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
ro_simonero-ud-train,3747,0,537,,1.0,,33.0,,,2.0,,2.0,,,,,118.0,,,,,,,1.0,,,,,11.0,,,16.0,,168.0,14.0,123.0,,,,,10.0,,2.0,6.0,,,,,1.0,16.0,1.0,,,,,,,,11.0,,,,,,1.0
ro_simonero-ud-dev,443,0,61,,,,3.0,,,,,1.0,,2.0,,,17.0,,,,,,,,,,,,,,,,,14.0,1.0,19.0,1.0,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,
ro_tuecl-ud-test,210,0,68,,,,,,,8.0,,,,,,1.0,7.0,,,,,,,,2.0,,,,,,,5.0,,,4.0,4.0,,,,,16.0,,2.0,,,,,,,19.0,,,,,,,,,,,,,,,
cu_proiel-ud-train,18327,0,12970,,514.0,,4250.0,25.0,,202.0,,2938.0,26.0,1.0,,,,,147.0,,,,,1463.0,414.0,4.0,2.0,3.0,,,48.0,,,,,,21.0,,,,,,,45.0,,,241.0,7.0,4.0,261.0,57.0,1.0,28.0,,,,,82.0,45.0,,,,1614.0,30.0,497.0
cu_proiel-ud-test,2096,0,1797,,75.0,,649.0,4.0,,24.0,,318.0,5.0,,,,,,18.0,,,,,276.0,65.0,,,,,,2.0,,,,,,6.0,,,,,,,6.0,,,22.0,,2.0,25.0,7.0,1.0,7.0,,,,,8.0,3.0,,,,198.0,3.0,73.0
cu_proiel-ud-dev,2205,0,1462,,64.0,,593.0,4.0,,23.0,,345.0,1.0,,,,,,18.0,,,,,119.0,51.0,1.0,,,,,3.0,,,,,,5.0,,,,,,,2.0,,,18.0,,1.0,15.0,1.0,,3.0,,,,,6.0,,,,,138.0,4.0,47.0
mdf_jr-ud-test,454,0,20,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,6.0,,,1.0,,,,,,,,1.0,,
myv_jr-ud-test,921,0,50,,,,,,,,,,,,,,,,,,,,,1.0,,,,,9.0,,,,,,,,,,,,,,,3.0,,,1.0,,,1.0,27.0,4.0,,,,,,1.0,,,,,3.0,,
myv_jr-ud-train,1217,0,48,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,1.0,,,,29.0,9.0,,,,,,1.0,,,,,2.0,,
ru_taiga-ud-train,16045,0,2760,,58.0,80.0,76.0,,,1.0,,12.0,4.0,,,,,,107.0,,,,,685.0,,1.0,,,1.0,,,,,,,,28.0,,,,1.0,,1.0,,,,1.0,,,2.0,39.0,,,,,,,1.0,203.0,,,,1424.0,,35.0
ru_taiga-ud-dev,946,0,147,,6.0,2.0,4.0,,,,,4.0,1.0,,,,,,4.0,,,,,30.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,21.0,,,,69.0,,3.0
ru_taiga-ud-test,881,0,106,,1.0,9.0,3.0,,,,,,1.0,,,,,,4.0,,,,,9.0,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,18.0,,,,56.0,,2.0
ro_art-ud-test,50,0,41,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,5.0,1.0,,1.0,15.0,,,,,1.0,,13.0,,,,,,,3.0,,,,,,,,,,,,,,,
cs_cltt-ud-dev,316,0,270,,2.0,14.0,27.0,,,,,15.0,,,,,,,7.0,,,,,12.0,,,,10.0,,,,,,107.0,,35.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,36.0,,3.0
cs_cltt-ud-train,467,0,247,,4.0,14.0,11.0,,,,,20.0,,,,,,,9.0,,,,,16.0,,,,3.0,,,,,,122.0,,32.0,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,11.0,,2.0
cs_cltt-ud-test,338,0,308,,2.0,9.0,21.0,,,,,25.0,,,,,,,22.0,,,,,14.0,,,,2.0,,,,,,119.0,,46.0,,,,,,,,,,,1.0,,,2.0,1.0,,1.0,,,,,,6.0,,,,31.0,,6.0
ru_syntagrus-ud-train,69630,0,15180,1.0,434.0,919.0,573.0,,,4.0,,9.0,12.0,,,,,,946.0,,,14.0,,2213.0,,8.0,3.0,,,,,,,,,,157.0,3.0,3.0,,,,,,,,34.0,,2.0,1.0,575.0,,,,,,,5.0,1027.0,,,,7945.0,,292.0
ru_syntagrus-ud-dev,8906,0,1972,,55.0,104.0,73.0,,,1.0,,1.0,1.0,,,,,,89.0,,,,,314.0,,1.0,,,,,,,,,,,14.0,,,1.0,,,,,,,7.0,,1.0,,88.0,,,,,,,,156.0,,,,1026.0,,40.0
ru_syntagrus-ud-test,8800,0,2119,,45.0,113.0,85.0,,,2.0,,1.0,7.0,,,,,,120.0,,,1.0,,347.0,,1.0,,,,,,,,,,,24.0,,1.0,,,,,,,,5.0,,,,66.0,,,,,,,,145.0,,,,1120.0,,36.0
orv_birchbark-ud-train,1045,0,48,,1.0,,,,,,,11.0,,,,,,,,,,,,5.0,,,,1.0,1.0,,,,,,,,,1.0,,,,,,13.0,,,1.0,,,,3.0,,,,,,,2.0,1.0,,,,7.0,,1.0
orv_birchbark-ud-dev,1062,0,132,,4.0,,7.0,,,1.0,,37.0,,,,,,,1.0,,,,,24.0,,,,3.0,1.0,,,,,,,,,,,,,,,21.0,,,,,,2.0,7.0,,,,,,,1.0,1.0,,,,20.0,,2.0
orv_birchbark-ud-test,1007,0,106,,1.0,,8.0,,,,,27.0,,,,,,,2.0,,,1.0,,6.0,,,,,,,,,,,,,,,,,,,,14.0,,,1.0,,,,16.0,,,,,,,,6.0,,,,24.0,,
ru_poetry-ud-test,728,0,154,,6.0,3.0,6.0,,,,,1.0,,,,,,,4.0,,,,,71.0,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,1.0,,12.0,,,,44.0,,1.0
ru_poetry-ud-dev,789,0,196,,11.0,4.0,7.0,,,,,4.0,,,,,,,5.0,,,,,67.0,,1.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,1.0,,,,,,,,14.0,1.0,,,73.0,,5.0
ru_poetry-ud-train,3569,0,689,,5.0,15.0,33.0,,,,,11.0,1.0,,,,,,14.0,,,,,241.0,,2.0,,,,,,,,,,,10.0,,,,,,,,,,,,,1.0,1.0,,,7.0,,,,,42.0,,,,290.0,,16.0
cs_fictree-ud-dev,1309,0,891,1.0,,1.0,2.0,,,,,3.0,1.0,,,,,,3.0,,,,,12.0,,1.0,,1.0,,12.0,,,,51.0,,445.0,,,,,3.0,,,1.0,,,,,,124.0,66.0,,118.0,,,,,1.0,,,,,17.0,,28.0
cs_fictree-ud-train,10160,0,7285,6.0,4.0,13.0,30.0,,,,,25.0,2.0,,,,,,26.0,,,,,79.0,,5.0,,7.0,,88.0,,,,270.0,,3655.0,,,,,32.0,,,13.0,,,3.0,,,984.0,589.0,,1011.0,,,,,,2.0,,,,121.0,,320.0
cs_fictree-ud-test,1291,0,967,1.0,,2.0,3.0,,,,,3.0,1.0,,,,,,7.0,,,,,8.0,,1.0,,3.0,,9.0,,,,29.0,,477.0,,,,,10.0,,,1.0,,,,,,131.0,75.0,,144.0,,,,,1.0,,,,,18.0,,43.0
ro_rrt-ud-test,729,0,238,,1.0,,17.0,,,8.0,,,,3.0,,1.0,42.0,,,,,,,3.0,1.0,,,1.0,7.0,,,13.0,1.0,20.0,22.0,42.0,2.0,,,,21.0,,6.0,1.0,,,,,,26.0,,,,,,,,,,,,,,,
ro_rrt-ud-train,8043,0,2759,,8.0,,152.0,,1.0,96.0,,6.0,,39.0,,1.0,473.0,3.0,5.0,,,,,23.0,19.0,2.0,,,95.0,,,185.0,12.0,142.0,333.0,515.0,8.0,,,,216.0,,43.0,16.0,,,7.0,,,314.0,13.0,,,,,,,,12.0,,,,18.0,,2.0
ro_rrt-ud-dev,752,0,274,,1.0,,13.0,,,11.0,,4.0,2.0,4.0,,,43.0,,,,1.0,,,2.0,1.0,,,,12.0,,,22.0,,17.0,21.0,46.0,,,,,26.0,,7.0,3.0,,,,,,31.0,2.0,,,,,,,,4.0,,,,1.0,,
sl_sst-ud-train,4558,0,1790,,6.0,,2.0,,,,,,,,,,,43.0,1.0,,,,,4.0,,1.0,,1.0,1.0,9.0,,956.0,,,,,6.0,,,,120.0,,,,,,28.0,,,551.0,,,,,,,,30.0,1.0,,,20.0,10.0,,
sl_sst-ud-test,1041,0,295,,,,,,,,,,,,,,,3.0,,,,,,1.0,,,,,,1.0,,145.0,,,,,1.0,,,,18.0,,,,,,3.0,,,112.0,,,,,,,,3.0,,,,4.0,4.0,,
sl_sst-ud-dev,505,0,338,,,,1.0,,,1.0,,,,,,,,8.0,,,,,,1.0,,,,,,8.0,,196.0,,,,,1.0,,,,14.0,,,,,,,,,98.0,,,,,,,,4.0,,,,5.0,1.0,,
cs_pdt-ud-test,10146,0,4474,15.0,12.0,45.0,74.0,,,,,102.0,8.0,,,,,,158.0,,,,,151.0,,18.0,5.0,22.0,,14.0,,,,559.0,,1946.0,,,,,3.0,,,5.0,,,2.0,,,247.0,196.0,,200.0,,,,,4.0,8.0,,,,535.0,,145.0
cs_pdt-ud-dev,9270,0,4253,13.0,13.0,47.0,62.0,,,,,119.0,5.0,,,,,,166.0,,,,,162.0,,13.0,3.0,11.0,,13.0,,,,525.0,,1834.0,,,,,4.0,,,5.0,,,3.0,,,229.0,169.0,,208.0,,,,,,6.0,,,,482.0,,161.0
cs_pdt-ud-train,68491,0,30279,108.0,100.0,309.0,457.0,,,,,869.0,44.0,,,,,,1084.0,,,,,1107.0,,116.0,25.0,154.0,16.0,108.0,,,,3822.0,,13400.0,2.0,,,,32.0,,,67.0,,,5.0,,,1478.0,1052.0,,1291.0,,,,,18.0,67.0,,,,3560.0,,988.0
ru_pud-ud-test,1000,0,260,,4.0,19.0,19.0,,,,,,,,,,,,21.0,,,,,39.0,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,15.0,,,,129.0,,11.0
pl_pud-ud-test,1000,0,1183,,,,,,,14.0,4.0,1.0,,,12.0,,1113.0,,,,,,,1.0,,,,,,,,,,,,,12.0,,,,11.0,,3.0,,,,,,,11.0,,,1.0,,,,,,,,,,,,
orv_torot-ud-test,2955,0,2030,,90.0,,551.0,5.0,,53.0,,356.0,7.0,5.0,,,,,25.0,,,,,222.0,46.0,,,,,,25.0,,,,,,3.0,,,,,,,2.0,,,15.0,,1.0,22.0,3.0,,3.0,,,,,19.0,7.0,,,,541.0,1.0,28.0
orv_torot-ud-dev,3061,0,2227,,53.0,,582.0,2.0,,62.0,,368.0,7.0,9.0,,,,,17.0,,,,,289.0,63.0,,,,,,29.0,,,,,,1.0,,,,,,,7.0,,,15.0,,,30.0,,,2.0,,,,,20.0,3.0,,,,631.0,1.0,36.0
orv_torot-ud-train,20480,0,14276,,459.0,,3893.0,33.0,,348.0,,2432.0,67.0,22.0,,,,,145.0,,,,,1742.0,477.0,4.0,2.0,,,,119.0,,,,,,22.0,,,,,,,34.0,,,174.0,,12.0,176.0,37.0,1.0,14.0,,,,,119.0,41.0,,,,3629.0,10.0,264.0
cs_cac-ud-dev,603,0,291,,1.0,2.0,3.0,,,,,5.0,,,,,,,2.0,,,,,17.0,,,,2.0,,,,,,45.0,,124.0,,,,,,,,,,,,,,1.0,11.0,,2.0,,,,,,1.0,,,,67.0,,8.0
cs_cac-ud-train,23478,0,14020,79.0,55.0,214.0,270.0,,,,,462.0,10.0,,,,,,338.0,,,,,717.0,,54.0,16.0,42.0,11.0,6.0,,,,1998.0,,5811.0,,,1.0,,5.0,,,4.0,,,9.0,,1.0,339.0,485.0,,277.0,,,,,28.0,96.0,,,,2234.0,,458.0
cs_cac-ud-test,628,0,312,1.0,4.0,5.0,4.0,,,,,11.0,,,,,,,15.0,,,,,10.0,,,,1.0,,,,,,48.0,,125.0,,,,,,,,,,,,,,13.0,6.0,,4.0,,,,,1.0,,,,,54.0,,10.0
pl_lfg-ud-test,1727,0,742,,,,,,,1.0,,,,,102.0,,537.0,,,,,,,,,,,,,,,,,,,,,,,,62.0,,,,,,,,,30.0,10.0,,,,,,,,,,,,,,
pl_lfg-ud-train,13774,0,5627,,,,,,,2.0,,,,,679.0,,4289.0,,,,,,,1.0,,,,,,,,,,,,,,,,,368.0,,,3.0,,,1.0,,,237.0,47.0,,,,,,,,,,,,,,
pl_lfg-ud-dev,1745,0,695,,,,,,,,,,,,85.0,,511.0,,,,,,,,,,,,,,,,,,,,,,,,66.0,,,,,,,,,23.0,10.0,,,,,,,,,,,,,,
cs_poetry-ud-test,297,0,215,,3.0,1.0,14.0,,,,,1.0,,,,,,,,,,,,9.0,,,,,,,,,,7.0,,97.0,,,,,1.0,,,,,,,,,16.0,9.0,,29.0,,,,,,3.0,,,,13.0,,12.0
ru_gsd-ud-test,601,0,153,,1.0,13.0,6.0,,,,,,,,,,,,5.0,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,95.0,,3.0
ru_gsd-ud-dev,579,0,155,,2.0,11.0,3.0,,,,,1.0,,,,,,,3.0,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,99.0,,6.0
ru_gsd-ud-train,3850,0,915,,6.0,56.0,30.0,,,,,1.0,2.0,,,,,,27.0,,,,,134.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,48.0,,,,581.0,,28.0
