Treebank,Number of Sentences,Failures,Total,advcl,amod,amod:flat,appos,compound,conj,dep,discourse,fixed,flat,flat:name,iobj,list,mark,nmod,nmod:tmod,nsubj,nsubj:cop,nummod,nummod:gov,obj,obl,obl:arg,orphan,parataxis,root
hy_bsut-ud-dev,479,0,3,,,,,,,,,,,,,,,,,,,3.0,,,,,,,
la_llct-ud-train,7289,0,2,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
es_pud-ud-test,1000,0,11,,,,11.0,,,,,,,,,,,,,,,,,,,,,,
en_gum-ud-train,9521,0,12,,,,,,,10.0,,,1.0,,,,,,,,,,,,,,,,1.0
en_gum-ud-test,1285,0,1,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
en_gum-ud-dev,1341,0,13,,,,,,,13.0,,,,,,,,,,,,,,,,,,,
ru_taiga-ud-train,16045,0,9,,7.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,
en_ewt-ud-test,2077,0,20,,,,,6.0,7.0,,,,,,,,,3.0,,,,4.0,,,,,,,
en_ewt-ud-dev,2001,0,2,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,
en_ewt-ud-train,12544,0,29,,,,,,,,3.0,,,,,,,,,,,26.0,,,,,,,
cs_cltt-ud-dev,316,0,156,4.0,,,,,14.0,,,,,,,,,27.0,,,,102.0,5.0,2.0,1.0,,1.0,,
cs_cltt-ud-train,467,0,75,4.0,,,,,10.0,,,,,,,,,11.0,,,,41.0,8.0,,1.0,,,,
cs_cltt-ud-test,338,0,135,7.0,,,,1.0,20.0,,,,,,,,,9.0,,,,94.0,3.0,1.0,,,,,
hy_armtdp-ud-train,1974,0,1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
et_edt-ud-dev,3128,0,26,,14.0,,,,5.0,,,,,,,,,,,,,,,,,,,,7.0
et_edt-ud-train,24615,0,86,,46.0,,1.0,,3.0,,,,13.0,,,,,4.0,,,1.0,2.0,,,,,,16.0,
et_edt-ud-test,3214,0,5,,4.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
ru_poetry-ud-test,728,0,5,,1.0,,,,,,,,,,,,,,,,,,,,,,,,4.0
ru_poetry-ud-dev,789,0,3,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0
ru_poetry-ud-train,3569,0,21,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,19.0
la_udante-ud-train,926,0,5,,,,,,,,,,,,,,,,,,,5.0,,,,,,,
la_udante-ud-test,419,0,1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
la_udante-ud-dev,376,0,2,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
ro_rrt-ud-test,729,0,21,,,,,,2.0,,,,,,,,,,,,,18.0,,,,,,1.0,
ro_rrt-ud-train,8043,0,211,,,,,,26.0,,,,1.0,,,,,,,,,176.0,,,,,,8.0,
ro_rrt-ud-dev,752,0,17,,,,,,2.0,,,,,,,,,,,,,15.0,,,,,,,
ca_ancora-ud-dev,1709,0,26,,,,,11.0,2.0,,,,10.0,,,,,3.0,,,,,,,,,,,
ca_ancora-ud-test,1846,0,18,,,,1.0,5.0,3.0,,,,4.0,,,,,2.0,,1.0,,,,2.0,,,,,
ca_ancora-ud-train,13123,0,86,,,,2.0,30.0,4.0,,,,33.0,,,,,4.0,,7.0,,,,4.0,2.0,,,,
gd_arcosg-ud-dev,655,0,1,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
cy_ccg-ud-test,953,0,3,,,,,,,,,,,3.0,,,,,,,,,,,,,,,
cy_ccg-ud-train,1189,0,1,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
cs_pdt-ud-test,10146,0,26,,,,,,2.0,4.0,,,,,,,1.0,,,,,19.0,,,,,,,
cs_pdt-ud-dev,9270,0,44,,,,,,1.0,18.0,,,,,,,,,,,,25.0,,,,,,,
cs_pdt-ud-train,68491,0,290,,,,,8.0,17.0,15.0,,,,,,,1.0,,,,,245.0,,,1.0,,,,3.0
la_ittb-ud-train,22775,0,100,1.0,,,,,1.0,,,,,,,,,,,,,13.0,,,78.0,,1.0,,6.0
pl_pud-ud-test,1000,0,45,,10.0,35.0,,,,,,,,,,,,,,,,,,,,,,,
en_gentle-ud-test,1334,0,14,,,,,,,14.0,,,,,,,,,,,,,,,,,,,
en_pud-ud-test,1000,0,17,,,,,1.0,,,,,14.0,,,,,,,,,2.0,,,,,,,
