Treebank,Number of Sentences,Failures,Total,acl,acl:attr,acl:dpct,acl:ptcp,acl:relcl,advcl,advcl:caus,advcl:ccomp,advcl:cmp,advcl:concess,advcl:cond,advcl:consec,advcl:dpct,advcl:fin,advcl:lcl,advcl:manner,advcl:tcl,advmod,amod,appos,aux,aux:neg,case,ccomp,ccomp:rel,compound,compound:smixut,conj,cop,csubj,csubj:pass,dep,dep:infl,det,dislocated,fixed,flat,flat:name,iobj,list,nmod,nmod:appos,nmod:poss,nmod:tmod,nsubj,nsubj:pass,nummod,nummod:gov,obj,obl,obl:agent,obl:arg,obl:benef,obl:goal,obl:grad,obl:instr,obl:lmod,obl:manner,obl:path,obl:soc,obl:source,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:restart,punct,reparandum,root,vocative,xcomp,xcomp:result
sa_vedic-ud-dev,2996,0,506,19.0,,3.0,1.0,2.0,6.0,1.0,7.0,,,1.0,,5.0,,,2.0,,,11.0,1.0,2.0,,,8.0,4.0,,,41.0,7.0,,,,,11.0,,,52.0,,11.0,,15.0,3.0,,,63.0,,12.0,,53.0,9.0,,,1.0,7.0,,8.0,2.0,6.0,,,4.0,,6.0,12.0,,,,,89.0,13.0,3.0,5.0
orv_rnc-ud-dev,943,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
orv_rnc-ud-train,1868,0,10,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,1.0,,,,1.0,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,
orv_rnc-ud-test,717,0,6,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,
he_iahltwiki-ud-train,4298,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,4.0,,,2.0,2.0,,,,,6.0,,,,,,,,,,,,4.0,,,,,,,,,,
he_iahltwiki-ud-dev,348,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
he_iahltwiki-ud-test,393,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
grc_perseus-ud-dev,1137,0,22,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,4.0,,,,,,2.0,,,,,,,5.0,,,,5.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
grc_perseus-ud-train,11476,0,713,6.0,,,,,110.0,,,,,,,,,,,,3.0,3.0,,,,,2.0,,,,50.0,7.0,,,,,11.0,,,,,4.0,,66.0,,,,152.0,,,,103.0,43.0,,,,,,,,,,,,,,,,,,,110.0,5.0,38.0,
grc_perseus-ud-test,1306,0,24,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,2.0,,,,,,,6.0,,,,6.0,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,
sms_giellagas-ud-test,230,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
ess_sli-ud-test,309,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sa_ufal-ud-test,230,0,14,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,,,,,,,,,,,1.0,,,,4.0,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,
cs_pud-ud-test,1000,0,2,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
orv_ruthenian-ud-test,390,0,22,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,14.0,,,,,,,,,,,,,,,,,,,,,,
orv_ruthenian-ud-train,2789,0,25,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,4.0,,,,,,,,5.0,12.0,,,,,,,,,,,,,,,,,,1.0,,,,
egy_ujaen-ud-test,721,0,60,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,7.0,,,,,2.0,,,,15.0,1.0,,,14.0,13.0,,,,,,,,,,,,,,,,,,,5.0,,,
ar_padt-ud-dev,909,0,164,3.0,,,,3.0,2.0,,,,,,,,,,,,,21.0,,,,,10.0,,,,3.0,,,,,,2.0,,,,,,,63.0,,,,17.0,5.0,3.0,,9.0,10.0,,10.0,,,,,,,,,,,1.0,,,,,,2.0,,,
ar_padt-ud-train,6075,0,1300,14.0,,,,11.0,16.0,,,,,,,,,,,,,145.0,3.0,,,,54.0,,,,55.0,1.0,11.0,,7.0,,9.0,3.0,,,,,,527.0,,,,140.0,8.0,9.0,,53.0,124.0,,66.0,,,,,,,,,,,,11.0,,,,,17.0,,16.0,
ar_padt-ud-test,680,0,150,2.0,,,,1.0,3.0,,,,,,,,,,,,,18.0,,,,,7.0,,,,4.0,,,,,,1.0,,,,,,,49.0,,,,25.0,3.0,2.0,,5.0,16.0,,8.0,,,,,,,,,,,,1.0,,,,,4.0,,1.0,
lt_alksnis-ud-test,684,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt_alksnis-ud-train,2341,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
cu_proiel-ud-train,18327,0,2339,40.0,,,,,171.0,,,5.0,,,,,,,,,4.0,72.0,17.0,5.0,,,10.0,,,,158.0,70.0,,,3.0,,239.0,8.0,,,,,,74.0,,,,205.0,12.0,137.0,,336.0,254.0,5.0,95.0,,,,,,,,,,,9.0,8.0,,,,,363.0,6.0,33.0,
cu_proiel-ud-test,2096,0,275,4.0,,,,,15.0,,,1.0,,,,,,,,,,8.0,3.0,,,,,,,,17.0,6.0,,,,,28.0,,,,,,,15.0,,,,26.0,,22.0,,41.0,45.0,,10.0,,,,,,,,,,,1.0,,,,,,32.0,,1.0,
cu_proiel-ud-dev,2205,0,281,4.0,,,,,13.0,,,1.0,,,,,,,,,,11.0,,,,,1.0,,,,23.0,5.0,,,,,16.0,,,,,,,8.0,,,,29.0,1.0,29.0,,34.0,38.0,1.0,16.0,,,,,,,,,,,2.0,1.0,,,,,46.0,1.0,1.0,
hsb_ufal-ud-test,623,0,72,2.0,,,,,2.0,,,,,,,,,,,,,5.0,,3.0,,,,,,,6.0,6.0,,,,,1.0,,,,,,,10.0,,,,5.0,,11.0,,6.0,5.0,,,,,,,,,,,,,,,,,,,9.0,,1.0,
hsb_ufal-ud-train,23,0,6,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,
ar_pud-ud-test,1000,0,137,2.0,,,,5.0,5.0,,,,,,,,,,,,,11.0,,,,,4.0,,,,8.0,,2.0,,1.0,,1.0,,,,,,,33.0,,,,20.0,1.0,2.0,,7.0,28.0,,,,,,,,,,,,,,,,,,,6.0,,1.0,
ceb_gja-ud-test,188,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
tl_trg-ud-test,128,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
orv_birchbark-ud-train,1045,0,23,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,1.0,,,,,1.0,,1.0,,,,2.0,,,,,4.0,,,,,,,,,,,,,,,,,,,10.0,,,
orv_birchbark-ud-dev,1062,0,31,,,,,,3.0,,,,,,,,,,,,,1.0,,5.0,,,,,,,3.0,,,,1.0,,1.0,,,1.0,,1.0,,1.0,,,,1.0,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,9.0,,,
orv_birchbark-ud-test,1007,0,59,,,,,,,,,,,,,,,,,,,1.0,1.0,4.0,,,,,,,8.0,2.0,,,,,2.0,,,3.0,1.0,5.0,,5.0,,,,3.0,,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,2.0,,,,,16.0,,,
wbp_ufal-ud-test,55,0,4,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
cs_fictree-ud-dev,1309,0,12,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,4.0,,2.0,,,,,,,,,,,,,,,,,,,,
cs_fictree-ud-train,10160,0,125,,,,,,,,,,,,,,,,,,,34.0,2.0,,,,,,,,5.0,,,,,,6.0,,,,,,,8.0,,,,,,1.0,,,57.0,,11.0,,,,,,,,,,,1.0,,,,,,,,,
cs_fictree-ud-test,1291,0,11,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,5.0,,1.0,,,,,,,,,,,,,,,,,,,,
sme_giella-ud-train,2257,0,314,,,,,1.0,5.0,,,,,,,,,,,,,,,43.0,14.0,,,,,,8.0,8.0,,,,,2.0,,,,,,,,,8.0,,97.0,,,,1.0,9.0,,,,,,,,,,,,,,3.0,,,,,115.0,,,
sme_giella-ud-test,865,0,70,,,,,,4.0,,,,,,,,,,,,,,,17.0,3.0,,,,,,4.0,3.0,,,,,1.0,,,,,,,,,2.0,,13.0,,,,,3.0,,,,,,,,,,,,,,2.0,,,,,18.0,,,
gd_arcosg-ud-test,545,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_arcosg-ud-train,3541,0,3,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
gd_arcosg-ud-dev,655,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
got_proiel-ud-dev,985,0,7,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,
got_proiel-ud-train,3387,0,33,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,3.0,2.0,,6.0,,,,,,,,,,,,1.0,,,,,15.0,,,
got_proiel-ud-test,1029,0,5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,3.0,,,
sl_sst-ud-train,4558,0,542,9.0,,,,,17.0,,,,,,,,,,,,,14.0,2.0,89.0,,,11.0,,,,28.0,16.0,2.0,,,,18.0,,2.0,3.0,,,,7.0,,,,34.0,,78.0,,24.0,34.0,,,,,,,,,,,,,1.0,36.0,1.0,9.0,,11.0,92.0,3.0,1.0,
sl_sst-ud-test,1041,0,60,2.0,,,,,4.0,,,,,,,,,,,,,2.0,,8.0,,,1.0,,,,1.0,2.0,,,,,5.0,,,,,,,1.0,,,,7.0,,13.0,,2.0,3.0,,,,,,,,,,,,,,1.0,,,,,8.0,,,
sl_sst-ud-dev,505,0,58,2.0,,,,,3.0,,,,,,,,,,,,,1.0,2.0,14.0,,,,,,,5.0,,,,,,,,,,,,,1.0,,,,4.0,,3.0,,4.0,1.0,,,,,,,,,,,,,,5.0,,1.0,,,12.0,,,
he_htb-ud-train,5168,0,83,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,14.0,,,,,,,,,7.0,,1.0,,5.0,,,,2.0,47.0,,,,,,,,,,,,,,,,,,,1.0,,,
he_htb-ud-dev,484,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,
cs_pdt-ud-test,10146,0,19,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,5.0,,,9.0,,,,,,,,,,,,,,,,,,,,,,
cs_pdt-ud-dev,9270,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,2.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,
cs_pdt-ud-train,68491,0,107,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,5.0,,,,8.0,,2.0,,,,,,,16.0,,,,,,19.0,,,31.0,,3.0,,,,,,,,,,,,,,,,,2.0,,,
orv_torot-ud-test,2955,0,203,,,,,,12.0,,,2.0,,,,,,,,,,5.0,3.0,,,,4.0,,,,9.0,4.0,,,,,22.0,,,,,,,8.0,,,,18.0,1.0,20.0,,19.0,20.0,1.0,2.0,,,,,,,,,,,3.0,,,,,,49.0,,1.0,
orv_torot-ud-dev,3061,0,214,2.0,,,,,6.0,,,,,,,,,,,,,9.0,5.0,5.0,,,,,,,7.0,4.0,,,,,29.0,,,,1.0,,,4.0,,,,20.0,1.0,28.0,,24.0,24.0,1.0,4.0,,,,,,,,,,,5.0,,,,,,32.0,2.0,1.0,
orv_torot-ud-train,20480,0,1790,28.0,,,,,69.0,,,5.0,,,,,,,,,2.0,101.0,38.0,9.0,,,7.0,,,,120.0,45.0,,1.0,2.0,,151.0,8.0,1.0,,1.0,,,54.0,,,,151.0,9.0,171.0,,142.0,217.0,6.0,49.0,,,,,,,,,,,14.0,4.0,,,,,364.0,13.0,8.0,
cs_cac-ud-dev,603,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
cs_cac-ud-train,23478,0,37,,,,,,1.0,,,,,,,,,,,,,7.0,,,,,,,,,3.0,,,,,,4.0,,,,,,,1.0,,,,,,2.0,,,18.0,,,,,,,,,,,,,,,,,,,1.0,,,
hbo_ptnk-ud-train,730,0,76,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,5.0,5.0,,,,,,,,,,,,,,,,,2.0,,23.0,,1.0,37.0,,,,,,,,,,,,,,,,,,,1.0,,,
hbo_ptnk-ud-test,410,0,42,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,3.0,,,,3.0,,14.0,,,18.0,,,,,,,,,,,,,,,,,,,,,,
hbo_ptnk-ud-dev,439,0,35,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,17.0,,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,
cs_poetry-ud-test,297,0,8,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
