,Treebank,hi_pud-ud-test_Case=Erg,ess_sli-ud-test_Case=Erg,mr_ufal-ud-dev_Case=Erg,mr_ufal-ud-test_Case=Erg,mr_ufal-ud-train_Case=Erg,wbp_ufal-ud-test_Case=Erg,ka_glc-ud-test_Case=Erg,eu_bdt-ud-train_Case=Erg,eu_bdt-ud-test_Case=Erg,eu_bdt-ud-dev_Case=Erg,gu_gujtb-ud-test_Case=Erg
12,fi_tdt-ud-test_Case=Tra,4.6632137126854385,5.606948352043668,5.606948352043668,5.606948352043668,5.606948352043668,5.606948352043668,5.606948352043668,5.606948352043668,5.606948352043668,5.606948352043668,5.606948352043668
13,fi_tdt-ud-dev_Case=Tra,3.7548901448644276,4.688197948039311,4.688197948039311,4.688197948039311,4.688197948039311,4.688197948039311,4.688197948039311,4.688197948039311,4.688197948039311,4.688197948039311,4.688197948039311
14,myv_jr-ud-test_Case=Tra,4.856621959706575,5.756060406646084,5.756060406646084,5.756060406646084,5.756060406646084,5.756060406646084,5.756060406646084,5.756060406646084,5.756060406646084,5.756060406646084,5.756060406646084
15,myv_jr-ud-train_Case=Tra,11.253443917308159,12.167168939404103,12.167168939404103,12.167168939404103,12.167168939404103,12.167168939404103,12.167168939404103,12.167168939404103,12.167168939404103,12.167168939404103,12.167168939404103
16,kpv_ikdp-ud-test_Case=Tra,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,kpv_lattice-ud-test_Case=Tra,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,tpn_tudet-ud-test_Case=Tra,0.4497460373445051,1.4281039179389805,1.4281039179389805,1.4281039179389805,1.4281039179389805,1.4281039179389805,1.4281039179389805,1.4281039179389805,1.4281039179389805,1.4281039179389805,1.4281039179389805
19,fi_pud-ud-test_Case=Tra,8.453079051715147,9.375984796760866,9.375984796760866,9.375984796760866,9.375984796760866,9.375984796760866,9.375984796760866,9.375984796760866,9.375984796760866,9.375984796760866,9.375984796760866
20,et_edt-ud-dev_Case=Tra,3.780834662320167,4.6850033295982945,4.6850033295982945,4.6850033295982945,4.6850033295982945,4.6850033295982945,4.6850033295982945,4.6850033295982945,4.6850033295982945,4.6850033295982945,4.6850033295982945
21,et_edt-ud-train_Case=Tra,3.4357739953751767,4.346730359605627,4.346730359605627,4.346730359605627,4.346730359605627,4.346730359605627,4.346730359605627,4.346730359605627,4.346730359605627,4.346730359605627,4.346730359605627
22,et_edt-ud-test_Case=Tra,2.7347240805253215,3.641976368707614,3.641976368707614,3.641976368707614,3.641976368707614,3.641976368707614,3.641976368707614,3.641976368707614,3.641976368707614,3.641976368707614,3.641976368707614
23,krl_kkpp-ud-test_Case=Tra,0.41573970964154894,1.3562839573037448,1.3562839573037448,1.3562839573037448,1.3562839573037448,1.3562839573037448,1.3562839573037448,1.3562839573037448,1.3562839573037448,1.3562839573037448,1.3562839573037448
24,fi_ftb-ud-dev_Case=Tra,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,fi_ftb-ud-train_Case=Tra,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,fi_ftb-ud-test_Case=Tra,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,eme_tudet-ud-test_Case=Tra,1.5556349186104044,2.453568829277059,2.453568829277059,2.453568829277059,2.453568829277059,2.453568829277059,2.453568829277059,2.453568829277059,2.453568829277059,2.453568829277059,2.453568829277059
28,aqz_tudet-ud-test_Case=Tra,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
