Treebank,Number of Sentences,Failures,Total,_,acl,acl:attr,acl:dpct,acl:ptcp,acl:relcl,advcl,advcl:ccomp,advcl:cmp,advcl:cond,advcl:dpct,advcl:fin,advcl:manner,advcl:pred,advcl:relcl,advcl:tcl,advmod,amod,appos,appos:trans,case,cc,ccomp,ccomp:obj,ccomp:relcl,ccomp:reported,compound,compound:coord,compound:lvc,compound:prt,compound:redup,conj,conj:expl,csubj,csubj:pass,csubj:relcl,dep,discourse,dislocated,dislocated:csubj,dislocated:nsubj,dislocated:obj,dislocated:obl,fixed,flat,flat:abs,flat:foreign,flat:name,flat:redup,flat:repeat,flat:sibl,flat:title,iobj,list,nmod,nmod:appos,nmod:arg,nmod:att,nmod:flat,nmod:obj,nmod:poss,nmod:tmod,nsubj,nsubj:cop,nsubj:outer,nsubj:pass,nummod,nummod:gov,obj,obj:lvc,obl,obl:agent,obl:arg,obl:benef,obl:cmp,obl:cmpr,obl:dat,obl:goal,obl:grad,obl:instr,obl:lmod,obl:manner,obl:path,obl:pmod,obl:soc,obl:source,obl:tmod,orphan,orphan:missing,parataxis,parataxis:discourse,parataxis:insert,parataxis:obj,parataxis:trans,reparandum,root,vocative,xcomp,xcomp:pred,xcomp:result
de_hdt-ud-dev,18434,0,6800,,,,,,,,,,,,,,,,,,,102.0,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,1014.0,,,,,,,,1.0,,,,,,4258.0,,1389.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,1.0,,
sga_dipsgg-ud-test,64,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,5.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
sv_talbanken-ud-train,4303,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ar_nyuad-ud-train,15789,0,30903,,32.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2219.0,,11518.0,,,,,,1223.0,,1170.0,,,,,,14283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,448.0,,7.0,,
ar_nyuad-ud-dev,1986,0,3927,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.0,,1550.0,,,,,,174.0,,112.0,,,,,,1760.0,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,,1.0,,
ar_nyuad-ud-test,1963,0,3796,,3.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.0,,1425.0,,,,,,101.0,,157.0,,,,,,1740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,2.0,,
pl_pdb-ud-test,2215,0,1631,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,127.0,,,,,,,,,,,,34.0,1.0,,,,,,,,102.0,,62.0,,42.0,,,,,,,,,,,,793.0,,215.0,38.0,184.0,,,9.0,,,,,,,,,,,,1.0,,,,1.0,,,,4.0,,,10.0,
pl_pdb-ud-train,17722,0,13449,,,,,,,4.0,,,,,,,,,,,,64.0,,,,23.0,2.0,,,,,,,,885.0,,,,,1.0,,,,,,,288.0,2.0,,4.0,,,,,,892.0,,463.0,,312.0,,8.0,,1.0,,5.0,,,,,,6648.0,,1820.0,391.0,1479.0,,,51.0,,,,,,,,,,,,14.0,,,,5.0,3.0,,,16.0,,,68.0,
pl_pdb-ud-dev,2215,0,1694,,,,,,,,,,,,,,,,,,,9.0,,,,2.0,,,,,,,,,110.0,,,,,,,,,,,,31.0,1.0,,,,,,,,108.0,,65.0,,32.0,,2.0,,,,,,,,,,858.0,,210.0,41.0,207.0,,,9.0,,,,,,,,,,,,2.0,,,,,,,,2.0,,,5.0,
sah_yktdt-ud-test,299,0,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,5.0,,,,,,72.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk_iu-ud-dev,673,0,639,,,,,,,2.0,,,,,,,,,,,,7.0,,,,,,,,2.0,,,,,48.0,,,,,,,,,,,,1.0,,,,,,,,3.0,,,56.0,,,,,,,,,,,,,,365.0,,142.0,,,,,,,,,,,,,,,,,2.0,,2.0,2.0,,,,,5.0,,,2.0,
uk_iu-ud-train,5521,0,4662,,,,,,1.0,26.0,,,,,,,2.0,,,,,61.0,,,,,,,,3.0,,,,,406.0,,,,,,2.0,2.0,,,,,,,5.0,,,,4.0,17.0,4.0,4.0,,302.0,,,,,,,,2.0,,,,,1.0,2435.0,,1309.0,,,,,,,,,,,,,,,,,24.0,,5.0,14.0,,,,,24.0,,,9.0,
uk_iu-ud-test,898,0,855,,,,,,,1.0,,,,,,,,,,,,15.0,,,,,,,,1.0,,,,,91.0,,,,,,,,,,,,,,,,,,,3.0,7.0,,,93.0,,,,,,,,,,,,,,432.0,,202.0,,,,,,,,,,,,,,,,,2.0,,1.0,3.0,,,,,2.0,,,2.0,
sa_vedic-ud-test,2709,0,1868,,28.0,8.0,1.0,,1.0,5.0,9.0,,,,4.0,15.0,,,1.0,,2.0,7.0,,,,7.0,,,,,,,,,224.0,,,,,,,1.0,,,,,,138.0,,,,,,,,27.0,,,30.0,,,,,,,2.0,,,,,,952.0,,64.0,1.0,,,,,,98.0,,1.0,10.0,13.0,13.0,,,,19.0,92.0,,2.0,,,,,,40.0,,41.0,,12.0
sa_vedic-ud-train,21477,0,14107,,304.0,30.0,14.0,1.0,6.0,26.0,45.0,,7.0,1.0,8.0,58.0,,,1.0,,26.0,85.0,,1.0,,61.0,,,,,1.0,,,,1825.0,,3.0,,,,,9.0,,,,,,1049.0,,,,,,,,225.0,,15.0,218.0,,,,,,,18.0,,,,,,7206.0,,634.0,,,3.0,,,,802.0,14.0,2.0,78.0,121.0,111.0,,2.0,5.0,208.0,404.0,,7.0,,,,,,228.0,,200.0,,45.0
sa_vedic-ud-dev,2996,0,1977,,40.0,1.0,3.0,1.0,,5.0,5.0,,,,5.0,10.0,,,,,,7.0,,,,9.0,,,,,,,,,260.0,,,,,,,3.0,,,,,,131.0,,,,,,,,26.0,,1.0,46.0,,,,,,,2.0,,,,,,1017.0,,110.0,,,1.0,,,,111.0,1.0,,7.0,12.0,20.0,,,,18.0,53.0,,6.0,,,,,,26.0,,36.0,,4.0
hi_hdtb-ud-train,13306,0,33446,,25.0,,,,18.0,,,,,,,,,,,,,,,,,,,,,421.0,,,,,1393.0,,,,,,,,,,,,,,,,,,,,,1100.0,,11722.0,,,,,,,,2592.0,,,154.0,,,2546.0,,13333.0,,,,,,,,,,,,,,,,,,,,,,,,,124.0,,18.0,,
hi_hdtb-ud-dev,1659,0,4278,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,59.0,,,,,196.0,,,,,,,,,,,,,,,,,,,,,142.0,,1550.0,,,,,,,,304.0,,,14.0,,,319.0,,1665.0,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,
hi_hdtb-ud-test,1684,0,4391,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,39.0,,,,,206.0,,,,,,,1.0,,,,,,,,,,,,,,145.0,,1643.0,,,,,,,,341.0,,,10.0,,,329.0,,1657.0,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,
kmr_mg-ud-train,20,0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
kmr_mg-ud-test,734,0,799,,4.0,,,,,1.0,,,,,,,,,,,1.0,1.0,,1.0,,2.0,,,,1.0,,21.0,,,38.0,,,,,,,,,,,,9.0,7.0,,,,,,,,,,303.0,,,,,,253.0,,33.0,,,,,,58.0,,6.0,,,,,,40.0,,,,,,,,,,,,,,,,,,,18.0,,2.0,,
hr_set-ud-dev,960,0,1243,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,102.0,,,,,,1.0,,,,,,1.0,6.0,,,,,,,,,,216.0,,,,,,,,6.0,,,,,,574.0,,320.0,,,,,,,,,,,,,,,,,4.0,,2.0,,,,,,1.0,,,,
hr_set-ud-train,6914,0,8200,,2.0,,,,,,,,,,,,,,,,21.0,59.0,,,,5.0,,,,,,,,,749.0,,,,,,4.0,,,,,,5.0,33.0,,,,,,,,3.0,1.0,1325.0,,,,,,,,49.0,,,,,2.0,3966.0,,1932.0,,,,,,,,,,,,,,,,,19.0,,15.0,,,,,,6.0,,4.0,,
hr_set-ud-test,1136,0,1323,,,,,,,,,,,,,,,,,,3.0,17.0,,,,,,,,,,,,,126.0,,,,,,1.0,,,,,,1.0,4.0,,,,,,,,,,189.0,,,,,,,,6.0,,,,,,661.0,,308.0,,,,,,,,,,,,,,,,,1.0,,4.0,,,,,,1.0,,1.0,,
orv_rnc-ud-dev,943,0,966,,,,,,,1.0,,,,,,,,,,,,15.0,,,,,,,,,,,,,222.0,,,,,,,,,,,,,,,,1.0,,,,,,,226.0,,,,,,,,10.0,,,3.0,,2.0,265.0,,151.0,,,,,,,,,,,,,,,,56.0,1.0,,2.0,,,,,,10.0,,1.0,,
orv_rnc-ud-train,1868,0,2352,,3.0,,,,,3.0,,,,,,,,,,,1.0,94.0,,,,,,,,4.0,,,,,406.0,,1.0,,,,,2.0,,,,,,1.0,,,9.0,,,,,4.0,,216.0,,,,,,,,18.0,,,2.0,,1.0,945.0,,415.0,,,,,,,,,,,,,,,,165.0,42.0,,3.0,,,,,,16.0,1.0,,,
orv_rnc-ud-test,717,0,1008,,1.0,,,,,1.0,,,,,,,,,,,,53.0,,,,,,,,,,,,,157.0,,,,,,,1.0,,,,,1.0,,,,,,,,,3.0,,75.0,,,,,,,,,,,,,,393.0,,250.0,,,,,,,,,,,,,,,,61.0,6.0,,2.0,,,,,,4.0,,,,
cpg_tuecl-ud-test,350,0,368,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,8.0,,11.0,,,,,,,,10.0,,,,,,124.0,,196.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,3.0,,
la_circse-ud-test,1263,0,1796,,,,,,2.0,1.0,,12.0,,,,,9.0,1.0,,,2.0,11.0,,,,5.0,,,,,,,,,183.0,4.0,,,,,,,,,,,,2.0,,,,1.0,,,,1.0,,6.0,,,,,,,,26.0,,,25.0,,,1200.0,,123.0,,5.0,,,,,,,,113.0,,,,,,20.0,14.0,2.0,1.0,,,,,,15.0,,12.0,,
is_pud-ud-test,1000,0,1235,,3.0,,,,4.0,2.0,,,,,,,,,,,8.0,6.0,,,,3.0,,,,,,,,,84.0,,3.0,,,,,,,,,,6.0,6.0,,,,,,,,1.0,,258.0,,,,,,5.0,,32.0,,,,,,461.0,,243.0,,97.0,,,,,,,,,,,,,,,,,2.0,,,,,,8.0,,3.0,,
grc_perseus-ud-dev,1137,0,1520,,4.0,,,,,5.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,153.0,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,110.0,,,,,,755.0,,354.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,55.0,,
grc_perseus-ud-train,11476,0,11528,,15.0,,,,,10.0,,,,,,,,,,,,97.0,,9.0,,,,,,,,,,,901.0,,,,,,,,,,,,,,,,,,,,,,,576.0,,,,,,,,359.0,,,,,,7002.0,,2345.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,206.0,,
grc_perseus-ud-test,1306,0,1538,,5.0,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,106.0,,,,,,,,,,,,,,,,,,,,,,,111.0,,,,,,,,123.0,,,,,,784.0,,350.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,47.0,,
qpm_philotis-ud-train,980,0,1633,,2.0,,,,,,,,,,,,,,,,4.0,7.0,,,,3.0,,,,,,,,,115.0,,,2.0,,,1.0,1.0,,,,,17.0,,,,,,,,,,,37.0,,,,,,,55.0,18.0,,,1.0,,,611.0,,439.0,3.0,48.0,,,,,,,,177.0,,,,,,77.0,5.0,,4.0,,,,,,6.0,,,,
qpm_philotis-ud-dev,635,0,835,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,33.0,,,,,18.0,,,,,,,,,,,,,,,,156.0,,87.0,,,,,,,,30.0,,,,,,322.0,,178.0,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,
qpm_philotis-ud-test,635,0,853,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,36.0,,1.0,,,,,,,,,,11.0,1.0,,,,,,,,,,12.0,,,,,,,24.0,13.0,,,,,,344.0,,276.0,1.0,6.0,,,,,,,,89.0,,,,,,26.0,,,1.0,,,,,,11.0,,,,
tr_atis-ud-dev,572,0,188,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,4.0,,,,,5.0,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,10.0,,,,,,,10.0,24.0,,,,,,120.0,,1.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,4.0,,,,
tr_atis-ud-train,4274,0,757,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,1.0,,,,,31.0,,1.0,,,,,1.0,,,,,,4.0,,,,,,,,,,28.0,,,,,,,2.0,49.0,,,,,,603.0,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,5.0,,,,
tr_atis-ud-test,586,0,105,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,1.0,,,,,3.0,,,,,,,,,,,,,2.0,,,,,,,,,,6.0,,,,,,,1.0,9.0,,,,,,76.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hi_pud-ud-test,1000,0,2757,,,,,,,2.0,,,,,,,,,,,3.0,20.0,,1.0,,,,,,39.0,,,,,142.0,,,,,,,,,,,,5.0,,,,,,,,,70.0,,73.0,,,,,,753.0,,133.0,,,27.0,,,216.0,,1144.0,26.0,,,,,,,,,,,,,,,101.0,,,,,,,,,1.0,,1.0,,
la_perseus-ud-test,939,0,913,,,,,,,1.0,,4.0,,,,,,,,,1.0,3.0,,,,1.0,,,,,,,,,65.0,3.0,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,23.0,,,14.0,,,620.0,,154.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,9.0,,
la_perseus-ud-train,1334,0,1328,,,,,,2.0,,,6.0,,,,,,,,,,10.0,,,,,,,,,,,,,114.0,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,33.0,,,37.0,,,830.0,,265.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,13.0,,
tr_kenet-ud-dev,1646,0,661,,,,,,,,,,,,,,,,,,1.0,1.0,,,,117.0,,,,38.0,,,,,37.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,15.0,,,,,,448.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
tr_kenet-ud-test,1643,0,625,,,,,,,,,,,,,,,,,,1.0,,,,,122.0,,,,66.0,,,,,27.0,,,,,,1.0,,,,,,,3.0,,,,,,,,1.0,9.0,3.0,,,,,,,,8.0,,,,,,374.0,,6.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,1.0,,,
tr_kenet-ud-train,15398,0,4983,,2.0,,,,,14.0,,,,,,,,,,,25.0,1.0,,,,525.0,,,,164.0,,,,,296.0,,3.0,,,,,2.0,,,,,1.0,9.0,,,,,,,,1.0,14.0,96.0,,,,,,,,248.0,,,,21.0,,3405.0,,72.0,,,,,,,,,,,,,,,,,1.0,,4.0,,,,,,69.0,,10.0,,
sms_giellagas-ud-test,230,0,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,3.0,,,3.0,,,72.0,,,,,,,,,,,,,,,,,,6.0,1.0,,,,,,,2.0,1.0,,,,
sms_giellagas-ud-train,20,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,
sk_snk-ud-dev,1060,0,668,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,46.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,60.0,,,,,,,,1.0,,,,,,427.0,,68.0,,48.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,10.0,,
sk_snk-ud-test,1061,0,638,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,49.0,,,,,1.0,,,,,,,2.0,,,,,,,,,,,71.0,,,,,,,,2.0,,,,,,382.0,,63.0,,54.0,,,,,,,,,,,,,,,,,,,,,,,5.0,,4.0,,
sk_snk-ud-train,8483,0,4036,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,227.0,,,,,12.0,,,,,,,7.0,,,,,,,,,6.0,,235.0,,,,,,,,9.0,,,,,,2529.0,,687.0,,236.0,,,,,,,,,,,,,,,11.0,,,,,,,,40.0,,5.0,,
lt_hse-ud-train,153,0,143,,,,,,,,,,,,,,,,,,2.0,4.0,,1.0,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,1.0,,,,,,65.0,,30.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,
lt_hse-ud-test,55,0,41,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
lt_hse-ud-dev,55,0,38,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,22.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ky_tuecl-ud-test,145,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hit_hittb-ud-test,136,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sa_ufal-ud-test,230,0,95,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,2.0,,3.0,,,,,,,,1.0,,,,,,60.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,1.0,,
be_hse-ud-train,22853,0,13471,6.0,,,,,3.0,3.0,,,,,,,,,,,,108.0,,,,2.0,,,,4.0,,,,,971.0,,2.0,,,,,,,,,,22.0,,,1.0,1.0,,,,,2.0,10.0,1405.0,,,,,,,,16.0,,,,2.0,9.0,6959.0,,3631.0,,,,,,,,,,,,,,,,,41.0,,96.0,,,,,,174.0,2.0,1.0,,
be_hse-ud-dev,1301,0,740,3.0,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,57.0,,,,,,,,,,,,3.0,,,,,,,,,,,71.0,,,,,,,,1.0,,,,,,391.0,,192.0,,,,,,,,,,,,,,,,,2.0,,4.0,,,,,,10.0,,,,
be_hse-ud-test,1077,0,678,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,69.0,,1.0,,,,,,,,,,5.0,,,,,,,,,,1.0,57.0,,,,,,,,,,,,,,355.0,,167.0,,,,,,,,,,,,,,,,,1.0,,7.0,,,,,,6.0,,,,
yo_ytb-ud-test,318,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_pud-ud-test,1000,0,907,,4.0,,,,,,,,,,,,,,,,,10.0,,,,,,,,2.0,,,,,57.0,,,,,,,,,,,,1.0,2.0,,,,,,,,2.0,,122.0,,,,,,,,4.0,,,,,,544.0,,104.0,,47.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,6.0,,
orv_ruthenian-ud-test,390,0,437,,,,,,,1.0,,,,,,,,,,,,11.0,,,,,,,,,,,,,81.0,,,,,1.0,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,198.0,,119.0,,,,,,,,,,,,,,,,,7.0,,,,,,,1.0,4.0,,,,
orv_ruthenian-ud-train,2789,0,3629,,,,,,1.0,3.0,,,,,,,,,,,,178.0,,,,2.0,,,,,,,,,699.0,,,,,,,5.0,,,,,1.0,3.0,,,4.0,,,,,,,365.0,,,,,,,,3.0,,,,,8.0,1433.0,,831.0,,,,,,,,,,,,,,,,8.0,28.0,,15.0,,,,,4.0,32.0,,6.0,,
orv_ruthenian-ud-dev,344,0,210,,2.0,,,,,1.0,,,,,,,,,,,,10.0,,,,2.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,1.0,,,,,,126.0,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
ml_ufal-ud-test,218,0,102,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,7.0,,,,,,,,5.0,,,,,,72.0,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,7.0,,1.0,,
de_pud-ud-test,1000,0,1172,,5.0,,,,,,,,,,,,,,,,,12.0,,,,,,,,24.0,,,,,103.0,,,,,,,,,,,,,,,,,,,,,1.0,,118.0,,,,,,,,,,,,,,616.0,,252.0,,,,,,,,,,,,,,,,34.0,,,1.0,,,,,,,,6.0,,
