Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:abs,advcl:caus,advcl:ccomp,advcl:cmp,advcl:concess,advcl:cond,advcl:fin,advcl:relcl,advcl:tcl,amod,appos,case,ccomp,ccomp:relcl,ccomp:reported,clf,compound,compound:lvc,compound:nn,compound:prt,compound:redup,conj,conj:expl,csubj,csubj:cleft,csubj:pass,csubj:relcl,csubj:reported,dep,discourse,dislocated,dislocated:advcl,dislocated:nsubj,dislocated:obj,fixed,flat,flat:foreign,flat:name,iobj,list,nmod,nmod:appos,nmod:comp,nmod:npmod,nmod:obl,nmod:part,nmod:poss,nmod:tmod,nsubj,nsubj:pass,nummod,obj,obl,obl:agent,obl:arg,obl:benef,obl:cau,obl:cmp,obl:goal,obl:grad,obl:instr,obl:lmod,obl:manner,obl:path,obl:soc,obl:source,obl:tmod,orphan,orphan:missing,parataxis,parataxis:discourse,reparandum,root,vocative,xcomp
la_perseus-ud-test,939,0,582,,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,7.0,38.0,,68.0,411.0,,,,,,,,,,,,,,,,,,,,5.0,,3.0
la_perseus-ud-train,1334,0,1157,,,,6.0,1.0,,,,,,,,,,5.0,,,,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,6.0,86.0,,143.0,737.0,,1.0,,,,,,,,,,,,,,,,,,2.0,,5.0
tr_kenet-ud-dev,1646,0,395,,,,32.0,,,,,,,,,,6.0,,,1.0,,,,28.0,,,,,14.0,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,31.0,243.0,,,,,,,,,,,,,,,,,1.0,,,3.0,,
tr_kenet-ud-test,1643,0,361,,3.0,,25.0,,,,,,,,,,,,,6.0,,,,55.0,,,,,12.0,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,,,11.0,186.0,,,,,,,,,,,,,,,,,,,,2.0,,12.0
tr_kenet-ud-train,15398,0,2839,,4.0,,132.0,,,,,,,,,,56.0,,4.0,28.0,,,1.0,135.0,,,,,126.0,,1.0,,,,,1.0,1.0,,,,,,5.0,,,1.0,7.0,418.0,,,,,,,,3.0,,3.0,146.0,1725.0,,,,,,,,,,,,,,,2.0,,1.0,,,17.0,,22.0
ky_tuecl-ud-test,145,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
hit_hittb-ud-test,136,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,1.0,,,,,,,
sa_ufal-ud-test,230,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,1.0,,,,,,,
et_ewt-ud-train,5444,0,71,,,,1.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,62.0,,,,,,,,,,,,,,,1.0,,,,,,,
et_ewt-ud-test,913,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,1.0,,,,,,,
et_ewt-ud-dev,833,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,
gub_tudet-ud-test,1182,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,
sq_tsa-ud-test,60,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
mr_ufal-ud-train,373,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
si_stb-ud-test,100,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
olo_kkpp-ud-test,106,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hy_bsut-ud-train,1226,0,217,,,,,,,,,,,,,,,2.0,,1.0,,,,,2.0,,,,13.0,,,,,,,16.0,,1.0,,,,1.0,,,,,,,,,34.0,,,,,,,,,140.0,,,,,,,,,,,,,,,,,3.0,,,4.0,,
hy_bsut-ud-test,595,0,116,,,1.0,,,,,,,,,,,,,,,,,,,3.0,,,,15.0,,,,,,,4.0,,,,,,,,,,,,1.0,,,16.0,,,,,,,,,68.0,,,,,,,,,,,,,,,1.0,,4.0,,,3.0,,
hy_bsut-ud-dev,479,0,108,,,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,14.0,,,,,,,3.0,,,,,,,1.0,,,,,,,,19.0,,,,,,,,,66.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,
mdf_jr-ud-test,454,0,23,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,1.0,8.0,,,,1.0,5.0,,,,1.0,,,,,,,,,,,,,
mdf_jr-ud-train,20,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
vep_vwt-ud-test,103,0,2,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
la_llct-ud-dev,850,0,1818,,,11.0,1.0,158.0,,,,,,,,,,144.0,,,,,,,,,,,410.0,,,,,,,,,,,1.0,,,,,,,,268.0,,,,,,,,94.0,2.0,,,683.0,,43.0,,,,,,,1.0,,,,,,,,,,1.0,1.0,,
la_llct-ud-test,884,0,1851,,,9.0,3.0,206.0,,,1.0,,,,,,,117.0,,,,,,,,,,,412.0,,,,,,,,,2.0,,1.0,2.0,,,,,,,319.0,,,,,,,,53.0,1.0,,1.0,706.0,,11.0,,,,,,,2.0,,,,,2.0,,,,,,3.0,,
la_llct-ud-train,7289,0,15041,,1.0,61.0,49.0,1321.0,,,26.0,,,,,,,1036.0,,3.0,1.0,,,,,,,,3154.0,,,,1.0,,,,,2.0,,1.0,13.0,,116.0,,,,,1957.0,,,,,,,,420.0,66.0,,1.0,6378.0,,364.0,,,,,,,,,,,,1.0,4.0,,,,,59.0,,6.0
fi_tdt-ud-train,12217,0,508,1.0,,,2.0,,,,,,,,,,,4.0,2.0,,,,,,,,,,16.0,,,,,,,,,,,,,1.0,,,,,,123.0,,,,,,,,,,,,347.0,,,,,,,,,,,,,,,5.0,,,,,6.0,,1.0
fi_tdt-ud-test,1555,0,56,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,,,,,,,
fi_tdt-ud-dev,1364,0,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,1.0,,
myv_jr-ud-test,921,0,95,,,,1.0,,,,,,,,,,,,,,,,,3.0,,,,,10.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,71.0,,,,,6.0,,,,1.0,,,,,,1.0,,,,,,,
myv_jr-ud-train,1217,0,82,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,4.0,54.0,,,,,16.0,,,,1.0,,,,,,,,,,,,,
tr_framenet-ud-test,205,0,32,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,2.0,26.0,,,,,,,,,,,,,,,,,,,,,,
tr_framenet-ud-train,2288,0,335,,,,38.0,,,,,,,,,,4.0,,,1.0,,,,76.0,,,,,2.0,,,,,,,,,,,,,,,,,,,42.0,,,,,,,,3.0,,,19.0,149.0,,,,,,,,,,,,,,,,,,,,1.0,,
tr_framenet-ud-dev,205,0,25,,,,1.0,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,10.0,,,,,,,,,,,,,,,,,,,,1.0,,
ky_ktmu-ud-train,80,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
ky_ktmu-ud-test,701,0,80,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,27.0,,,,,,,,6.0,,2.0,1.0,40.0,,,,,,,,,,,,,,,,,,,,1.0,,
la_proiel-ud-test,1260,0,799,,9.0,,14.0,,,,3.0,,,,,,,4.0,,3.0,,,,,,,,,97.0,,,,,,,1.0,,,,,,,,,,,,47.0,,,,,,,,12.0,55.0,,3.0,472.0,18.0,29.0,,,,,,,,,,,,,11.0,,,,,16.0,1.0,4.0
la_proiel-ud-dev,1233,0,770,,10.0,,12.0,,,,2.0,,,,,,,6.0,,5.0,,,,,,,,,100.0,,1.0,,,,,,,,,,,,,,,,,42.0,,,,,,,,18.0,33.0,,5.0,451.0,19.0,32.0,,,,,,,,,,,,,8.0,,,,,18.0,,8.0
la_proiel-ud-train,16196,0,9764,,88.0,,159.0,,,,17.0,,,,,,,151.0,,58.0,,,,,,,,,1078.0,,3.0,,3.0,,,9.0,,12.0,,,,,,,,,,480.0,,,,,,,,172.0,630.0,,25.0,5849.0,174.0,403.0,,,,,,,,,,,,,136.0,,12.0,,,234.0,1.0,70.0
kpv_ikdp-ud-test,214,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
kpv_lattice-ud-test,643,0,17,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,1.0,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,
tt_nmctt-ud-test,148,0,20,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,1.0,,
tr_gb-ud-test,2880,0,205,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,6.0,,,,,,,,,,,,,1.0,,,,,,18.0,,7.0,,,39.0,,,1.0,,,1.0,92.0,3.0,,,,,,,,,,,,,30.0,,,,,,2.0,,2.0
fi_pud-ud-test,1000,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,1.0
hy_armtdp-ud-train,1974,0,461,,1.0,3.0,,,,,,,,,,,,7.0,,1.0,,,,4.0,2.0,,,,33.0,,,,1.0,,,,,2.0,,,,3.0,1.0,,,,,5.0,,,39.0,,,,,,,,,340.0,3.0,,,,,,,,,,,,,,7.0,,6.0,,,3.0,,
hy_armtdp-ud-dev,249,0,58,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,6.0,,,,,,,,,45.0,,,,,,,,,,,,,,,,,2.0,,,1.0,,
hy_armtdp-ud-test,277,0,76,,,,,,,,,,,,,,,,,,,,,,2.0,,,,6.0,,,,,,,1.0,,,,,,,1.0,,,,,1.0,,,15.0,,,,,,,,,44.0,,,,,,,,,,,,,,,1.0,,3.0,,,2.0,,
ota_boun-ud-train,114,0,53,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,2.0,,,,,5.0,31.0,,,,,,,,,,,,,,,,,,,,1.0,,
ota_boun-ud-test,400,0,130,,,,,,,,,,,,,,5.0,,2.0,2.0,,,,,,,,,4.0,,,,,,,,,,,,,,2.0,,,1.0,,8.0,,,,,,10.0,,,,,6.0,90.0,,,,,,,,,,,,,,,,,,,,,,
et_edt-ud-dev,3128,0,57,,,,1.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,49.0,,,,,,,,,,,,,,,,,,,,,,
et_edt-ud-train,24615,0,500,,1.0,,3.0,,,,,,,,,,,1.0,,3.0,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,59.0,,,,,,,,,,,,393.0,,,,,,,,,,,,,,,1.0,,1.0,,,6.0,,
et_edt-ud-test,3214,0,59,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,2.0,,
sjo_xdt-ud-test,810,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,
la_udante-ud-train,926,0,1313,,2.0,24.0,22.0,,,,12.0,,,,,,,8.0,,,,1.0,,,,,,,93.0,12.0,5.0,,,,1.0,,,,,,,,1.0,,,,,31.0,,,,,,,,35.0,33.0,,3.0,751.0,75.0,129.0,,,21.0,,,,14.0,,,,,4.0,22.0,,,,,12.0,,2.0
la_udante-ud-test,419,0,495,,,2.0,5.0,,,,12.0,,,,1.0,,,,,1.0,,,,,,,,,51.0,7.0,,,,,,,,,,,,,,1.0,,,,5.0,,,,,,,,7.0,8.0,,1.0,250.0,17.0,106.0,,,1.0,,,,4.0,,,,,1.0,8.0,,,,,5.0,,2.0
la_udante-ud-dev,376,0,530,,,,2.0,,,,7.0,,,,,,,1.0,,4.0,,1.0,,,,,,,43.0,3.0,,,,1.0,1.0,,,,,,,,,,,,,22.0,,,,,,,,19.0,10.0,,,319.0,39.0,44.0,,,1.0,,,,1.0,,,,,3.0,7.0,,,,,2.0,,
hyw_armtdp-ud-test,680,0,159,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,2.0,,,,,,3.0,,,14.0,,,,,,,,,129.0,2.0,,,,,,,,,,,,,,,,,,,,,
hyw_armtdp-ud-dev,694,0,214,,1.0,,,,,,,,,,,,,2.0,,,,,,1.0,2.0,,,,18.0,,,,,,,4.0,,1.0,,,,,,,,,,3.0,,,30.0,,,,,,,,,144.0,,,,,,,,,,,,,,,2.0,,1.0,,,5.0,,
hyw_armtdp-ud-train,5282,0,1145,,4.0,3.0,,,,,,,,,,,,11.0,,2.0,,,,3.0,7.0,,,,70.0,,,,,,,31.0,,1.0,,,,5.0,3.0,,3.0,,,22.0,,,173.0,,,3.0,,,,,3.0,751.0,6.0,,,,,,,,,,,,,,2.0,,25.0,,,17.0,,
aln_gps-ud-test,966,0,112,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,11.0,85.0,,,,,,,,,,,,,,,,,,,,2.0,,
kk_ktb-ud-test,1047,0,121,,,,2.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,1.0,,32.0,,,,,,,,,,,,78.0,,,,,,,,,,,,,,,,,,,,2.0,,
kk_ktb-ud-train,31,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,
gn_oldtudet-ud-test,59,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
ta_mwtt-ud-test,534,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,
ota_dudu-ud-test,85,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,2.0,,,,,1.0,11.0,,,,,,,,,,,,,,,,,,,,,,
ug_udt-ud-test,900,0,118,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,19.0,,6.0,,,1.0,,,,,,,88.0,,,,,,,,,,,,,,,,,,,,,,
ug_udt-ud-dev,900,0,95,,,,1.0,,,,,,,,,,4.0,,1.0,,,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,,,,10.0,,2.0,,,,1.0,,1.0,,,,63.0,,,,,,,,,,,,,,,,,,,,2.0,,
ug_udt-ud-train,1656,0,210,,1.0,,1.0,,,,,,,,,,1.0,1.0,,,,,,8.0,,,,,8.0,,,,,,,,,,,,,1.0,,,,,,40.0,,,,,,,,,,,,147.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0
xum_ikuvina-ud-test,133,0,54,,,,,,,,,,,,,,,,,1.0,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,
la_ittb-ud-dev,2101,0,1149,,1.0,29.0,44.0,3.0,,,7.0,,,,9.0,,,,,4.0,,,,,,,,,103.0,2.0,10.0,,9.0,3.0,,,,,1.0,,,,,,,,,62.0,,,,,,,,6.0,18.0,,,589.0,29.0,108.0,,,,,,,,,,,,1.0,17.0,,,,,76.0,,18.0
la_ittb-ud-test,2101,0,1032,,,22.0,44.0,4.0,,,4.0,,,,6.0,,,,,8.0,1.0,,,,,,,,66.0,2.0,15.0,,2.0,2.0,,,,,,,,,1.0,,,,,84.0,,,,,,,,1.0,11.0,,,499.0,58.0,69.0,,,,,,,,,,,,,19.0,,,,,94.0,,20.0
la_ittb-ud-train,22775,0,16248,,26.0,304.0,597.0,41.0,,,93.0,,,,59.0,,,3.0,,61.0,8.0,,,,,,,,1384.0,76.0,116.0,1.0,40.0,35.0,,,,,,,,,15.0,,,,,1034.0,,,,,,,,215.0,201.0,,,8240.0,934.0,1684.0,,,,,,,3.0,,,,,,252.0,,1.0,,,719.0,,106.0
qtd_sagt-ud-test,805,0,38,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,
qtd_sagt-ud-dev,801,0,58,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,3.0,,1.0
qtd_sagt-ud-train,578,0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,
krl_kkpp-ud-test,228,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,
eu_bdt-ud-train,5396,0,335,,,,21.0,,,,,,,,,,,5.0,1.0,,,,,5.0,,,,,12.0,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,2.0,268.0,,,,,,,,,,,,,,,,,,,,,,
eu_bdt-ud-test,1799,0,110,,,,7.0,,,,,,,,,,,,1.0,,,,,3.0,,,,,6.0,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,83.0,,,,,,,,,,,,,,,,,,,,,,
eu_bdt-ud-dev,1798,0,86,,,,3.0,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,73.0,,,,,,,,,,,,,,,,,,,,,,
fi_ftb-ud-dev,1875,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
fi_ftb-ud-train,14981,0,292,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,9.0,,,,,,,1.0,,,,,,6.0,,,,,,271.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
fi_ftb-ud-test,1867,0,42,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
eme_tudet-ud-test,913,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,
tr_tourism-ud-train,15473,0,1103,,6.0,,46.0,,,,,,,,,,6.0,1.0,32.0,2.0,,,,9.0,,,,,55.0,,,,,,,1.0,,,,,,,5.0,,,,,136.0,,,,,,,,5.0,,1.0,421.0,276.0,,,,,,,,,,,,,,,,,2.0,,,99.0,,
tr_tourism-ud-dev,2166,0,178,,,,19.0,,,,,,,,,,2.0,,13.0,,,,,1.0,,,,,4.0,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,1.0,,1.0,102.0,11.0,,,,,,,,,,,,,,,,,,,,15.0,,
tr_tourism-ud-test,2191,0,138,,,,17.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,9.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,1.0,,,52.0,33.0,,,,,,,,,,,,,,,,,,,,21.0,,
aqz_tudet-ud-test,343,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,
tr_imst-ud-train,3435,0,399,,2.0,,6.0,,,,,,,,,,1.0,1.0,4.0,,,,,18.0,,,,,27.0,,1.0,,,,,,,,,,,,4.0,,,1.0,,60.0,,,,,,21.0,,4.0,,,24.0,214.0,,,,,,,,,,,,,,,,,,,,11.0,,
tr_imst-ud-dev,1100,0,124,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,9.0,,,,,4.0,,,,,,,,,,,,,,2.0,,,,,27.0,,,,,,5.0,,,,,3.0,66.0,,,,,,,,,,,,,,,,,,,,5.0,,
