Treebank,Number of Sentences,Failures,Total,_,acl,acl:attr,acl:dpct,acl:relcl,advcl,advcl:caus,advcl:ccomp,advcl:cmp,advcl:fin,advcl:manner,advcl:relcl,amod,appos,appos:trans,case,case:loc,ccomp,clf,compound,compound:lvc,compound:redup,conj,conj:expl,csubj,csubj:pass,dep,discourse,dislocated,dislocated:nsubj,fixed,flat,flat:foreign,flat:name,flat:range,flat:repeat,flat:title,iobj,iobj:agent,list,mark,nmod,nmod:appos,nmod:arg,nmod:cau,nmod:flat,nmod:npmod,nmod:obl,nmod:poss,nmod:tmod,nsubj,nsubj:nc,nsubj:outer,nsubj:pass,nummod,nummod:gov,obj,obl,obl:agent,obl:arg,obl:benef,obl:cmp,obl:cmpr,obl:depict,obl:goal,obl:instr,obl:lmod,obl:manner,obl:smod,obl:soc,obl:source,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:obj,reparandum,root,vocative,xcomp,xcomp:pred,xcomp:result
uk_iu-ud-test,898,0,87,,,,,,1.0,,,,,,,,4.0,,,,,,,,,14.0,,,,,,,,,,,,,,1.0,14.0,,,,9.0,,,,,,,,,,,,,,,31.0,3.0,,,,,,,,,,,,,,,,,,,,10.0,,,,
sa_vedic-ud-test,2709,0,292,,2.0,1.0,,,16.0,1.0,9.0,,40.0,,,,5.0,,,,3.0,,,,,37.0,,1.0,,,,,,,39.0,,,,,,80.0,,,,7.0,1.0,,,,,,,,1.0,,,,,,1.0,16.0,,,5.0,,,,2.0,,,,,,,,11.0,2.0,,,,12.0,,,,
sa_vedic-ud-train,21477,0,2400,,17.0,5.0,1.0,1.0,136.0,1.0,99.0,,319.0,4.0,,4.0,19.0,,,,41.0,,,,,268.0,,1.0,,,,,,,446.0,,,,,,492.0,,,,35.0,28.0,,,,,,,,5.0,,,,,,18.0,65.0,1.0,,70.0,,,,22.0,1.0,1.0,2.0,,1.0,7.0,6.0,137.0,12.0,,,,130.0,,3.0,,2.0
sa_vedic-ud-dev,2996,0,273,,5.0,,,,11.0,4.0,8.0,,44.0,,,,3.0,,,,4.0,,,,,18.0,,1.0,,,,,,,50.0,,,,,,49.0,,,,,3.0,,,,,,,,1.0,,,,,,2.0,15.0,,,8.0,,,,1.0,1.0,1.0,,,,2.0,,25.0,1.0,,,,16.0,,,,
hr_set-ud-dev,960,0,107,,,,,,,,,,,,,,1.0,,,,,,,,,11.0,,,,,,,,,,,,,,,26.0,,,,14.0,,,,,,,,,,,,,,,45.0,9.0,,,,,,,,,,,,,,,,1.0,,,,,,,,
hr_set-ud-train,6914,0,833,,,,,,,,,,,,,5.0,10.0,,,,,,,,,85.0,,,,,1.0,,,,3.0,,,,,,202.0,,,,160.0,,,,,,,,,2.0,,,,,,269.0,91.0,,,,,,,,,,,,,,,3.0,1.0,,,,,,1.0,,
hr_set-ud-test,1136,0,161,,,,,,,,,,,,,1.0,4.0,,,,,,,,,13.0,,,,,,,,,,,,,,,35.0,,,,37.0,,,,,,,,,,,,,,,59.0,11.0,,,,,,,,,,,,,,,,1.0,,,,,,,,
orv_rnc-ud-dev,943,0,346,,,,,,,,,,,,,,47.0,,,,,,,,,61.0,,,,,,1.0,,,,,,,,,65.0,,,,32.0,,,,,,,,,,,,,,,1.0,93.0,,,,,,,,,,,,,,,34.0,6.0,,,,6.0,,,,
orv_rnc-ud-train,1868,0,1094,,,,,2.0,2.0,,,,,,,1.0,149.0,,,,,,,,,187.0,,,,,,1.0,,,,,1.0,,,,263.0,,,,101.0,,,,,,,,,6.0,,,,,,7.0,325.0,,,,,,2.0,,,,,,,,4.0,27.0,1.0,,,,15.0,,,,
orv_rnc-ud-test,717,0,594,,,,,,,,,,,,,,106.0,,,,,,,,,120.0,,,,,,,,,,,2.0,,,,121.0,,,,33.0,,,,,,,,,5.0,,,1.0,,,,179.0,,,,,,,,,,,,,,2.0,6.0,1.0,,,,17.0,,1.0,,
la_circse-ud-test,1263,0,319,,,,,,2.0,,,4.0,,,,,2.0,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,1.0,,,,109.0,2.0,143.0,,1.0,,,,,12.0,,,,,,9.0,,,,,8.0,,,,
is_pud-ud-test,1000,0,1135,,6.0,,,5.0,6.0,,,,,,,1.0,11.0,,,,9.0,,1.0,,,59.0,,1.0,,,,,,,,,1.0,,,,11.0,,,,360.0,,,,,,,3.0,,29.0,,,,,,115.0,396.0,,87.0,,,,,,,,,,,,,,1.0,,,,28.0,,5.0,,
grc_perseus-ud-dev,1137,0,634,,3.0,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,60.0,,,,60.0,,,,,,,,,1.0,,,,,,110.0,332.0,,,,,,,,,,,,,,,,,,,,3.0,,15.0,,
grc_perseus-ud-train,11476,0,5556,,4.0,,,,1.0,,,,,,,,14.0,,,,,,,,,303.0,,,,,,,,,,,,,,,549.0,,,,389.0,,,,,,,,,6.0,,,,,,1088.0,3170.0,,,,,,,,,,,,,,,,,,,,7.0,,25.0,,
grc_perseus-ud-test,1306,0,572,,1.0,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,39.0,,,,65.0,,,,,,,,,,,,,,,100.0,329.0,,,,,,,,,,,,,,,,,,,,4.0,,7.0,,
tr_atis-ud-dev,572,0,34,,,,,,,,,,,,,,,,,,3.0,,6.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,3.0,,,,
tr_atis-ud-train,4274,0,369,,,,,,,,,,,,,2.0,,,,,3.0,,82.0,,,6.0,,,,,,,,,13.0,,,,,,,,,,38.0,,,,,,,,1.0,,,,,,,2.0,214.0,,,,,,,,,,,,,,6.0,,,,,,2.0,,,,
tr_atis-ud-test,586,0,49,,2.0,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,5.0,,,,,,,,,,4.0,,,,,,,,2.0,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,5.0,,1.0,,
la_perseus-ud-test,939,0,76,,,,,,1.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,27.0,,39.0,,,,,,,,,,,,,,,,,,1.0,,,,
la_perseus-ud-train,1334,0,180,,,,,,,,,,,,,,2.0,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,72.0,,82.0,,,,,,,,,,,,,,,,,,,,,,
tr_kenet-ud-dev,1646,0,945,,1.0,,,,16.0,,,,,,,2.0,,,1.0,,64.0,,87.0,,,33.0,,,,,2.0,,,,2.0,,,,,,113.0,,,,12.0,,,,,,,,,1.0,,,,,,31.0,579.0,,,,,,,,,,,,,,,,,,,,1.0,,,,
tr_kenet-ud-test,1643,0,937,,1.0,,,,15.0,,,,,,,1.0,,,1.0,,90.0,,206.0,,,10.0,,,,,1.0,,,,,,,,,,1.0,,7.0,,18.0,,,,,,,,,4.0,,,,,,100.0,478.0,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,
tr_kenet-ud-train,15398,0,6072,,11.0,,,,89.0,,,,,,,51.0,5.0,,14.0,,363.0,1.0,527.0,,,224.0,,2.0,,,5.0,,,4.0,6.0,,,,,,297.0,,1.0,,189.0,,,,,,,,,12.0,,,,3.0,,357.0,3859.0,,,,,,,,,,,,,,,2.0,3.0,,,2.0,23.0,,22.0,,
sk_snk-ud-dev,1060,0,104,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,25.0,,54.0,,,,,,,,,,,,,,,,,,,,,,
sk_snk-ud-test,1061,0,116,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,26.0,,63.0,,,,,,,,,,,,,1.0,,,,,,,,,
sk_snk-ud-train,8483,0,419,,,,,,,,,,,,,,3.0,,,,,,,,,23.0,,,,2.0,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,,,118.0,,215.0,,,,,,,,,,,,,,,,,,3.0,,,,
lt_hse-ud-train,153,0,35,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,8.0,,,,15.0,,,,,,,,,,,,,,,6.0,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,,
lt_hse-ud-test,55,0,9,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,4.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,
lt_hse-ud-dev,55,0,12,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,
hit_hittb-ud-test,136,0,38,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,3.0,,,,1.0,,,,,,,,,,,,,,,2.0,29.0,,,,,,,,,,,,,,,2.0,,,,,,,,,
sa_ufal-ud-test,230,0,9,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,
be_hse-ud-train,22853,0,1143,1.0,1.0,,,,,,,,,,,,15.0,,,,2.0,,,,,91.0,,,,,,,,,,,,,,,723.0,,,,117.0,,,,,,,,,1.0,,,,,,14.0,134.0,,,,,,,,,,,,,,,11.0,7.0,,,,19.0,,7.0,,
be_hse-ud-dev,1301,0,55,,,,,,,,,,,,,,1.0,,,,,,,,,5.0,,,,,,,,1.0,,,,,,,36.0,,,,6.0,,,,,,,,,,,,,,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,1.0,,
be_hse-ud-test,1077,0,79,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,27.0,,,,19.0,,,,,,,,,1.0,,,,,,4.0,7.0,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,
gub_tudet-ud-test,1182,0,98,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,1.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,
cs_pud-ud-test,1000,0,161,,2.0,,,,,,,,,,,,1.0,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,42.0,,,,,,,,,,,,,,,,43.0,,59.0,,,,,,,,,,,,,,,,,,2.0,,,,
orv_ruthenian-ud-test,390,0,303,,,,,,,,,,,,,,41.0,,,,,,,,,60.0,,,,,,2.0,,,,,,,,,126.0,,,,8.0,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,3.0,1.0,,,,18.0,,,,
orv_ruthenian-ud-train,2789,0,2426,,1.0,,,,2.0,,,,,,,,423.0,,,,,,,,,847.0,,,,,,2.0,,,,,1.0,,,,518.0,,,,184.0,,,,,,,,,,,,1.0,,,2.0,269.0,1.0,,,,,,,,,,,,,,31.0,,,,2.0,138.0,,4.0,,
orv_ruthenian-ud-dev,344,0,234,,,,,,,,,,,,,,67.0,,,,,,,,,37.0,,,,,,,,,,,,,,,58.0,,,,16.0,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,36.0,,,,
ml_ufal-ud-test,218,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,5.0,,,,,,,,,6.0,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,
apu_ufpa-ud-test,161,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,3.0,,,,,,,,,,,,,,,
de_pud-ud-test,1000,0,1295,,,,,,,,,,,,,2.0,14.0,,,,,,29.0,,,103.0,,,,,,,,,,,,,,,,,,,318.0,,,,,,,,,,,,,,,,753.0,23.0,46.0,,,,,,,,,,,,2.0,2.0,1.0,,,,2.0,,,,
sq_tsa-ud-test,60,0,5,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
mr_ufal-ud-dev,46,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
mr_ufal-ud-test,47,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
mr_ufal-ud-train,373,0,57,,,,,,1.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,11.0,,,,,,18.0,8.0,,,,,,,,,,,,,,,,,,,,1.0,,,,
si_stb-ud-test,100,0,11,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,
lt_alksnis-ud-test,684,0,123,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,2.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,25.0,,80.0,,,,,,,,,,,,,,6.0,,,,1.0,,,,
lt_alksnis-ud-dev,617,0,268,,,,,,,,,,,,,,1.0,,,,,,,,,48.0,,,,,,,,,6.0,,,,,,,,,,1.0,,,,,,,,,3.0,,,,,,,5.0,,197.0,,,,,,,,,,,,,,7.0,,,,,,,,
lt_alksnis-ud-train,2341,0,592,,,,,,,,,,,,,,8.0,,,,,,,,,61.0,,,,,,,,,5.0,,,,,,,,,,1.0,,,,,,,,,7.0,,,1.0,,,,23.0,,462.0,,,,,,,,,,,,,,22.0,,,,2.0,,,,
cu_proiel-ud-train,18327,0,3068,,9.0,,,,20.0,,,14.0,,,,,92.0,,,,5.0,,,,,208.0,,,,,,2.0,,4.0,,,,,,,,,,,569.0,,,,,,,,,251.0,,1.0,32.0,,,5.0,764.0,2.0,996.0,,,,,,,,,,,,,46.0,,,,,33.0,2.0,13.0,,
cu_proiel-ud-test,2096,0,374,,3.0,,,,10.0,,,3.0,,,,,12.0,,,,1.0,,,,,25.0,,,,,,,,2.0,,,,,,,,,,,57.0,,,,,,,,,33.0,,,6.0,,,,88.0,,122.0,,,,,,,,,,,,,4.0,,,,,7.0,,1.0,,
cu_proiel-ud-dev,2205,0,373,,2.0,,,,3.0,,,2.0,,,,,12.0,,,,2.0,,,,,17.0,,,,,,,,1.0,,,,,,,,,,,81.0,,,,,,,,,33.0,,,2.0,,,,88.0,,117.0,,,,,,,,,,,,,9.0,,,,,2.0,,2.0,,
hy_bsut-ud-train,1226,0,2030,,2.0,,,,1.0,,,,,,,,18.0,,,,,,4.0,20.0,3.0,162.0,,,,44.0,,2.0,,6.0,11.0,,1.0,,,,34.0,,,,8.0,,,,,60.0,,1086.0,,8.0,,,2.0,,,124.0,388.0,10.0,,,,,,,,,,,,,,5.0,12.0,,,,15.0,,4.0,,
hy_bsut-ud-test,595,0,1008,,,,,,4.0,,,,,,,1.0,8.0,,,,,,4.0,13.0,1.0,95.0,,,,28.0,,1.0,,,1.0,,,,,,18.0,,,,12.0,,,,,27.0,,523.0,,2.0,,,,,,73.0,180.0,2.0,,,,,,,,,,,,,,1.0,5.0,,,,7.0,,2.0,,
hy_bsut-ud-dev,479,0,1216,,,,,,1.0,,,,,,,1.0,9.0,,,,,,1.0,13.0,,131.0,,,,43.0,1.0,,,3.0,,,,1.0,,,33.0,,,,5.0,,,,,45.0,,631.0,,8.0,,,,,,69.0,199.0,9.0,,,,,,,,,,,,,,3.0,5.0,,,,5.0,,,,
mdf_jr-ud-test,454,0,44,,,,,,,,,,,,,,1.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,22.0,1.0,,,,,,,,8.0,,,,,,,,,,,1.0,,3.0,,
mdf_jr-ud-train,20,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
la_llct-ud-dev,850,0,73,,,,,,,,,,,,,,4.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,59.0,,,,,,,,,,,,,,,,,,,,,,
la_llct-ud-test,884,0,92,,,,,,,,,,,,,,11.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,1.0,,66.0,,,,,,,,,,,,,,,,,,,,,,
la_llct-ud-train,7289,0,966,,,,,1.0,,,,,,,,,343.0,,,,,,,,,269.0,,,,,,,1.0,,1.0,,,,,,,,,,21.0,,,,,,,,,4.0,,,,,,,2.0,,324.0,,,,,,,,,,,,,,,,,,,,,,
hsb_ufal-ud-test,623,0,62,,,,,,,,,,,,,,1.0,,,,,,,,,6.0,,,,,,,,,,,,,,,7.0,,,,16.0,,,,,,,,,,,,,,,8.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,
hsb_ufal-ud-train,23,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
sr_set-ud-test,520,0,86,,1.0,,,,,,,,,,,,3.0,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,1.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,
sr_set-ud-train,3328,0,462,,,,,,,,,,,,,1.0,9.0,,,,,,,,,41.0,,,,,,,,,4.0,,,,,,1.0,,,,86.0,,,,,,,,,1.0,,,,,,4.0,315.0,,,,,,,,,,,,,,,,,,,,,,,,
sr_set-ud-dev,536,0,60,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,
myv_jr-ud-test,921,0,67,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,3.0,,,,,,,,5.0,,,,,,,,,,,1.0,,,,
myv_jr-ud-train,1217,0,45,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,33.0,2.0,,,,,,,,4.0,,,,,,3.0,,,,,1.0,,,,
tr_framenet-ud-test,205,0,72,,,,,,,,,,,,,,,,,,1.0,,24.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,8.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,
tr_framenet-ud-train,2288,0,763,,,,,,19.0,,,,,,,1.0,,,,,31.0,,275.0,,,2.0,,,,,,,,,,,,,,,1.0,,,,22.0,,,,,,,,,3.0,,,,,,68.0,341.0,,,,,,,,,,,,,,,,,,,,,,,,
tr_framenet-ud-dev,205,0,68,,,,,,3.0,,,,,,,,,,,,7.0,,21.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,10.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,
ky_ktmu-ud-train,80,0,19,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,
ky_ktmu-ud-test,701,0,214,,1.0,,,,,,,,,,,,,,,,,,10.0,,,2.0,,1.0,,,,,,2.0,,,,,,,,,,,70.0,,,,,,,6.0,,4.0,,,,,,5.0,113.0,,,,,,,,,,,,,,,,,,,,,,,,
la_proiel-ud-test,1260,0,112,,,,,,1.0,,,1.0,,,,,3.0,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,10.0,1.0,79.0,,,,,,,,,,,,,1.0,,,,,2.0,,,,
la_proiel-ud-dev,1233,0,123,,,,,,,,,,,,,,1.0,,,,1.0,,,,,11.0,,,,,,1.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,16.0,3.0,83.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,
la_proiel-ud-train,16196,0,1448,,9.0,,,,1.0,,,8.0,,,,,39.0,,,,9.0,,,,,149.0,,,,,,1.0,,,,,,,,,,,,,20.0,,,,,,,,,4.0,,,1.0,,,1.0,131.0,4.0,974.0,,,,,,,,,,,,,49.0,4.0,,,,29.0,,15.0,,
kpv_ikdp-ud-test,214,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
kpv_lattice-ud-test,643,0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,2.0,,,,
kpv_lattice-ud-train,20,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
tt_nmctt-ud-test,148,0,56,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,1.0,,,,,,,,,,8.0,,,,,,,,,1.0,,,,,,,43.0,,,,,,,,,,,,,,,,,,,,,,,,
tr_gb-ud-test,2880,0,422,,2.0,,,,1.0,,,,,,,,,,1.0,,,,17.0,,1.0,3.0,,,,,,,,1.0,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,347.0,8.0,,,,,,,,,,,,,23.0,,,,,,6.0,,,,
