Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:ccomp,advmod,amod,appos,cc,ccomp,ccomp:cleft,ccomp:pred,compound,compound:lvc,csubj,dep,det:poss,discourse,dislocated,fixed,flat,flat:name,flat:sibl,iobj,list,mark,nmod,nmod:appos,nmod:arg,nmod:obl,nmod:poss,nmod:pred,nsubj,obj,obl,obl:agent,obl:arg,obl:benef,obl:cmpr,obl:float,obl:grad,obl:instr,obl:manner,obl:path,obl:soc,orphan,parataxis,parataxis:discourse,parataxis:obj,reparandum,root,xcomp,xcomp:pred
ota_boun-ud-train,114,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
ota_boun-ud-test,400,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,,,,,,,,,,,,,,,,,,
ru_syntagrus-ud-train,69630,0,3016,,3.0,3.0,9.0,,1.0,,1.0,,10.0,,,,,4.0,,,108.0,,172.0,,1.0,,157.0,,7.0,220.0,,,,,,6.0,28.0,2071.0,68.0,,,,,,,,,,7.0,83.0,,,,45.0,12.0,
ru_syntagrus-ud-dev,8906,0,398,,,3.0,,,,,,,1.0,,,,,,,,18.0,,27.0,,,,20.0,,,34.0,,,,,,,,274.0,9.0,,,,,,,,,,,7.0,,,,4.0,1.0,
ru_syntagrus-ud-test,8800,0,411,,1.0,1.0,2.0,,1.0,,,,3.0,,,,,,,,15.0,,33.0,,,,19.0,,3.0,25.0,,,,,,,4.0,280.0,12.0,,,,,,,,,,,8.0,,,,3.0,1.0,
orv_birchbark-ud-train,1045,0,16,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,1.0,,,,,,,,7.0,,,,,,,,,,,,1.0,,,1.0,3.0,,
orv_birchbark-ud-dev,1062,0,23,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,,,2.0,,,,,,,,13.0,,,,,,,,,,,,1.0,,,,3.0,,
orv_birchbark-ud-test,1007,0,24,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,3.0,,
ru_poetry-ud-test,728,0,47,,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,2.0,,,4.0,,,,,,,,29.0,4.0,,,,,,,,,,1.0,1.0,,,,3.0,,
ru_poetry-ud-dev,789,0,41,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,4.0,,,,,,,,17.0,3.0,,,,,,,,,,,1.0,,,,5.0,2.0,
ru_poetry-ud-train,3569,0,140,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,13.0,,,18.0,,,,,,,1.0,86.0,9.0,,,,,,,,,,,3.0,,,,7.0,1.0,
koi_uh-ud-test,94,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
cs_fictree-ud-dev,1309,0,51,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,35.0,,13.0,,,,,,,,,,,,,,1.0,,
cs_fictree-ud-train,10160,0,393,,1.0,3.0,2.0,,,,,,4.0,,,,,1.0,,,,,,,,,,,,22.0,,,,,,,,216.0,,126.0,,,,,,,,,1.0,,,,,13.0,4.0,
cs_fictree-ud-test,1291,0,68,,,1.0,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,5.0,,,,,,,,33.0,,21.0,,,,,,,,,1.0,,,,,3.0,1.0,
hyw_armtdp-ud-test,680,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,1.0,,,,,,
hyw_armtdp-ud-dev,694,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,
hyw_armtdp-ud-train,5282,0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,
sl_sst-ud-train,4558,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,44.0,,,,,,,,,,,2.0,,,,,,,
sl_sst-ud-test,1041,0,23,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,17.0,,,,,,,,,,,2.0,,,,,2.0,,
sl_sst-ud-dev,505,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,11.0,,,,,,,,,,,,,,,,,,
ka_glc-ud-test,151,0,7,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
kk_ktb-ud-test,1047,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,6.0,,,,,,,,,,,,,,,,,,
cs_pdt-ud-test,10146,0,232,72.0,,5.0,2.0,,,,,,5.0,,,,,,2.0,,,,,,,,,,,8.0,,,,,,,,86.0,,45.0,,,,,,,,,,,,,,5.0,2.0,
cs_pdt-ud-dev,9270,0,197,65.0,,1.0,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,6.0,,,,,,,,68.0,,48.0,,,,,,,,,,1.0,,,,2.0,3.0,
cs_pdt-ud-train,68491,0,1560,457.0,6.0,28.0,7.0,,,,3.0,,13.0,,,,,,19.0,,,,,,,,,,,93.0,,,,,,,,537.0,,328.0,,,,,,,,,4.0,4.0,,,,51.0,10.0,
ta_ttb-ud-train,400,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
ru_pud-ud-test,1000,0,38,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,9.0,,,2.0,,,,,,,3.0,20.0,1.0,,,,,,,,,,,,,,,,,
qtd_sagt-ud-test,805,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,
qtd_sagt-ud-dev,801,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,
qtd_sagt-ud-train,578,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,
krl_kkpp-ud-test,228,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,
pl_pud-ud-test,1000,0,19,,,1.0,,,,,,,,,,,,,,,,,4.0,,,,3.0,,,1.0,,,,,,,,2.0,,6.0,,,,,,,,,,,,1.0,,1.0,,
orv_torot-ud-test,2955,0,109,,1.0,,8.0,,,,,,,,,,,,,,,1.0,3.0,,,,,,,1.0,,,,,,,,80.0,3.0,8.0,,,,,,,,,1.0,,,,,3.0,,
orv_torot-ud-dev,3061,0,121,,1.0,,3.0,,,,,,,,,,,,,,,,2.0,,,,,,,3.0,,,,,,,,89.0,5.0,9.0,,,,,,,,,5.0,,,,,4.0,,
orv_torot-ud-train,20480,0,792,,12.0,,19.0,,,,3.0,,2.0,,,,,,,,,,16.0,,,,,,,10.0,,,,,,,1.0,585.0,29.0,37.0,,,,,,,,,37.0,2.0,,,,30.0,9.0,
cs_cac-ud-dev,603,0,7,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,3.0,,2.0,,,,,,,,,,,,,,,,
cs_cac-ud-train,23478,0,536,,,12.0,2.0,,,,,,,,,,,,5.0,,,,,,,,,,,75.0,,,,,,1.0,,297.0,,133.0,,,,,,,,,,,,,,7.0,4.0,
cs_cac-ud-test,628,0,12,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,5.0,,1.0,,,,,,,,,,,,,,,,
eu_bdt-ud-test,1799,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
eu_bdt-ud-dev,1798,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
fi_ftb-ud-train,14981,0,2,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fi_ftb-ud-test,1867,0,2,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_lfg-ud-test,1727,0,29,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,23.0,,,,,,,,,,,,,,,,3.0,,
pl_lfg-ud-train,13774,0,248,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,17.0,,,,,,,1.0,214.0,,,,,,,,,,,,,,,,11.0,1.0,
pl_lfg-ud-dev,1745,0,33,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,1.0,1.0,
cs_poetry-ud-test,297,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,15.0,,2.0,,,,,,,,,1.0,,,,,,,
ru_gsd-ud-test,601,0,16,,,,,,1.0,,,,,,,,,,,,,,,,,,4.0,,1.0,,,,,,,,1.0,7.0,1.0,,,,,,,,,,,1.0,,,,,,
ru_gsd-ud-dev,579,0,19,,,,,,2.0,,,,,,,,,,,,,,,,,,5.0,,,2.0,,,,,,,1.0,7.0,2.0,,,,,,,,,,,,,,,,,
ru_gsd-ud-train,3850,0,149,,,,,,15.0,,,,1.0,,,,,,,,,,,,,,29.0,,,19.0,,,,,,,7.0,59.0,18.0,,,,,,,,,,,,,,,1.0,,
tr_imst-ud-train,3435,0,35,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3.0,,,,1.0,,1.0,7.0,21.0,,,,,,,,,,,,,,,,1.0,,
tr_imst-ud-dev,1100,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,
tr_imst-ud-test,1100,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,11.0,,,,,,,,,,,,,,,,,,
tr_boun-ud-dev,979,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,6.0,,,,,,,,,,,,,,,,,,
tr_boun-ud-test,979,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.0,,,,,,,,,,,,,,,,,,
tr_boun-ud-train,7803,0,54,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,13.0,39.0,,,,,,,,,,,,,,,,,,
