Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:abs,advcl:ccomp,advcl:cmp,advcl:pred,advcl:relcl,advmod,amod,appos,ccomp,ccomp:relcl,compound:redup,conj:expl,csubj,csubj:pass,csubj:relcl,dep,dislocated,expl,fixed,flat,iobj,mark,nmod,nmod:comp,nmod:npmod,nmod:obl,nmod:part,nmod:poss,nsubj,nsubj:pass,obj,obl,obl:agent,obl:arg,obl:cmp,obl:goal,obl:grad,obl:lmod,obl:mod,obl:path,obl:source,obl:tmod,orphan,parataxis,reparandum,root,xcomp
la_llct-ud-train,7289,0,2183,,15.0,,,,,,,,,,,,,,,,,,,,,,,7.0,24.0,,,,,,1327.0,2.0,,491.0,,312.0,,,,,,,,,,,5.0,,
fi_tdt-ud-train,12217,0,51,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,50.0,,,,,,,,,,,,,,,
fi_tdt-ud-test,1555,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,11.0,,,,,,,,,,,,,,,1.0
fi_tdt-ud-dev,1364,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,
myv_jr-ud-test,921,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,7.0,,,2.0,,,,,,,,,,,,
myv_jr-ud-train,1217,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,,,15.0,,,,,,,,,,,,
ky_ktmu-ud-test,701,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,
la_proiel-ud-test,1260,0,145,16.0,,14.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,7.0,,,,,,7.0,8.0,1.0,66.0,17.0,4.0,,,,,,,,,2.0,,,1.0,
la_proiel-ud-dev,1233,0,169,7.0,,21.0,,,,,,,,,2.0,,,,,,,,,,,,,,11.0,,,,,,8.0,10.0,2.0,82.0,14.0,5.0,,,,,,,,,3.0,1.0,,3.0,
la_proiel-ud-train,16196,0,2367,151.0,,295.0,,,3.0,,,,,11.0,19.0,,,,,1.0,,11.0,6.0,,5.0,,,,113.0,,,,,,144.0,79.0,10.0,1152.0,162.0,90.0,,,,,,,,,41.0,3.0,,66.0,5.0
kpv_lattice-ud-test,643,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,3.0,,,,2.0,,,,,,,,,,,,,,,
tt_nmctt-ud-test,148,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,
tr_gb-ud-test,2880,0,57,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,9.0,,,3.0,,2.0,,6.0,31.0,,,,,,,,,,1.0,,,,,
fi_pud-ud-test,1000,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,1.0
hy_armtdp-ud-train,1974,0,76,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,22.0,,,,1.0,,,44.0,1.0,,,,,,,,,,1.0,3.0,,1.0,
hy_armtdp-ud-dev,249,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,3.0,,,,,,,,,,,,,,,
hy_armtdp-ud-test,277,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,1.0,,,,
ota_boun-ud-train,114,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
ota_boun-ud-test,400,0,9,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,
et_edt-ud-dev,3128,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,
et_edt-ud-train,24615,0,93,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,89.0,,,,,,,,,,,1.0,,,,
et_edt-ud-test,3214,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,10.0,,,,,,,,,,,,,,,
sjo_xdt-ud-test,810,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,
la_udante-ud-train,926,0,159,,13.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,6.0,5.0,,98.0,6.0,20.0,2.0,,,6.0,,,,,1.0,,,,
la_udante-ud-test,419,0,68,,1.0,1.0,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,2.0,1.0,30.0,6.0,17.0,1.0,,,1.0,,,,,1.0,,,3.0,
la_udante-ud-dev,376,0,80,,1.0,4.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,5.0,52.0,1.0,8.0,,,,3.0,,,,,2.0,,,,
hyw_armtdp-ud-test,680,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,19.0,,,,,,,,,,,,1.0,,,
hyw_armtdp-ud-dev,694,0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,24.0,,,,,,,,,,,,,,,
hyw_armtdp-ud-train,5282,0,157,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,29.0,,,,,1.0,1.0,120.0,1.0,,,,,,,,,,,2.0,,2.0,
aln_gps-ud-test,966,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,3.0,,,,,,,,,,,,,,,
kk_ktb-ud-test,1047,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,11.0,,,,,,,,,,,,,,,
ota_dudu-ud-test,85,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,
ug_udt-ud-test,900,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,
ug_udt-ud-dev,900,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,1.0,,,,4.0,,,,,,,,,,,,,,,
ug_udt-ud-train,1656,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,2.0,,,,,,,,,,,,,,,
xum_ikuvina-ud-test,133,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
la_ittb-ud-dev,2101,0,271,,5.0,3.0,1.0,,2.0,,1.0,,,,1.0,,,,2.0,,2.0,,,,,,,,7.0,,,,,,3.0,8.0,,175.0,21.0,27.0,,,,,,,,,1.0,,,7.0,5.0
la_ittb-ud-test,2101,0,242,1.0,13.0,8.0,,,,,2.0,,,,1.0,1.0,,,2.0,,1.0,,,,,,,,35.0,,,,,,2.0,3.0,,123.0,23.0,13.0,,,,,,,,,,,,8.0,6.0
la_ittb-ud-train,22775,0,2815,3.0,97.0,64.0,1.0,,3.0,,8.0,,,,9.0,2.0,,1.0,22.0,5.0,13.0,,,,,,,,62.0,,,,,,21.0,20.0,,1874.0,196.0,330.0,,,,,,,,,9.0,,,64.0,11.0
qtd_sagt-ud-test,805,0,46,,,,,,,,,1.0,,,,,,,,,,,,,,,,,6.0,,,,,,,,,39.0,,,,,,,,,,,,,,,
qtd_sagt-ud-dev,801,0,48,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,43.0,,,,,,,,,,,3.0,1.0,,,
qtd_sagt-ud-train,578,0,31,,,,,,,,,6.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,21.0,,,,,,,,,,,,,,,
krl_kkpp-ud-test,228,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
fi_ftb-ud-dev,1875,0,14,,,,,,,,,,,,,,,,,,,,,2.0,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,
fi_ftb-ud-train,14981,0,105,,,,,,,,,,,,,,,,,,,,,13.0,,,,1.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,
fi_ftb-ud-test,1867,0,17,,,1.0,,,,,,,,,,,,,,,,,,3.0,1.0,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,
aqz_tudet-ud-test,343,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
tr_imst-ud-train,3435,0,49,,,,,,,,,,,,,,,,,,,,,,,,1.0,,9.0,,,,,3.0,,,1.0,35.0,,,,,,,,,,,,,,,
tr_imst-ud-dev,1100,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,3.0,14.0,,,,,,,,,,,,,,1.0,
tr_imst-ud-test,1100,0,24,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,1.0,1.0,,1.0,18.0,,,,,,,,,,,,,,,
bxr_bdt-ud-test,908,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
bej_nsc-ud-test,380,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,3.0,,,,,,,,,,,4.0,,,,,,,,
tr_boun-ud-dev,979,0,15,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,1.0,10.0,,,,,,,,,,,,,,1.0,
tr_boun-ud-test,979,0,13,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,10.0,,,,,,,,,,,,,,1.0,
tr_boun-ud-train,7803,0,115,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,5.0,,,,8.0,1.0,1.0,,8.0,87.0,,,,,,,,,,1.0,,,,1.0,
