Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:caus,advcl:ccomp,advcl:cmp,advcl:cond,advcl:tcl,advmod,advmod:lmod,advmod:tmod,amod,appos,aux,aux:neg,case,case:loc,ccomp,clf,compound,compound:lvc,compound:redup,conj,cop,csubj,dep,dep:comp,dep:conj,dep:infl,det,discourse,dislocated,expl,expl:pass,fixed,flat,flat:abs,flat:foreign,flat:name,iobj,list,mark,nmod,nmod:appos,nmod:arg,nmod:lmod,nmod:npmod,nmod:poss,nmod:tmod,nsubj,nsubj:outer,nsubj:pass,nummod,obj,obl,obl:agent,obl:arg,obl:benef,obl:cmpr,obl:goal,obl:instr,obl:lmod,obl:own,obl:tmod,orphan,parataxis,parataxis:insert,parataxis:obj,parataxis:restart,reparandum,root,vocative,xcomp,xcomp:ds
tr_pud-ud-test,1000,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,
pl_pdb-ud-test,2215,0,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,17.0,,29.0,,,,,,,,,,,,,,,,,
pl_pdb-ud-train,17722,0,479,,,1.0,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,13.0,,,,,,,,47.0,,15.0,,,,,,,,,,156.0,,230.0,,2.0,,,,,,1.0,,,1.0,,,1.0,,,
pl_pdb-ud-dev,2215,0,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,4.0,,2.0,,,,,,,,,,22.0,,34.0,,,,,,,,,,1.0,,,,1.0,,,
uk_iu-ud-dev,673,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,,,,2.0,,,
uk_iu-ud-train,5521,0,94,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,9.0,,,,,,,,,,,,73.0,,,,,,,,,,2.0,1.0,,,,,5.0,,1.0,
uk_iu-ud-test,898,0,18,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,1.0,,,
sa_vedic-ud-test,2709,0,101,,1.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,35.0,,2.0,,,,8.0,,,,,,,,,,,,,,4.0,,,,,12.0,,,2.0,,9.0,,20.0,,1.0,1.0,2.0,,,,,2.0,,,
sa_vedic-ud-train,21477,0,710,5.0,8.0,2.0,1.0,3.0,,2.0,,,,,18.0,1.0,,,,,10.0,,,,,15.0,,,,,,,207.0,,,,,,43.0,,,,1.0,,,,,,,,,,16.0,,,,,130.0,,,3.0,,68.0,1.0,115.0,,6.0,23.0,5.0,,,,,27.0,,,
sa_vedic-ud-dev,2996,0,151,2.0,,,,1.0,,,,,,,3.0,,,,,,1.0,,,,,1.0,,,,,,,48.0,,,,,,8.0,,,,2.0,,,,1.0,,,,,,4.0,,,,2.0,37.0,,,,,12.0,1.0,25.0,,1.0,,,,,,,2.0,,,
bn_bru-ud-test,56,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,
hr_set-ud-dev,960,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,
hr_set-ud-train,6914,0,80,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,1.0,1.0,,3.0,,,,,1.0,,,12.0,,,,,,,,,,,2.0,52.0,,,,,,,,,,,1.0,,,,,3.0,,,
hr_set-ud-test,1136,0,8,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,1.0,,,
orv_rnc-ud-dev,943,0,123,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,106.0,,,,,,,,,,4.0,,,,,,1.0,,,
orv_rnc-ud-train,1868,0,165,,,,,,,,,,,,1.0,,,,,,,,,,,5.0,,,,,,,1.0,,2.0,,,,,,,,,,,7.0,,,,,,,1.0,,,,1.0,139.0,,,,,,,,,,1.0,2.0,,,,,5.0,,,
orv_rnc-ud-test,717,0,65,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,1.0,,,,,,,,1.0,,,10.0,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,
la_circse-ud-test,1263,0,9,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,2.0,,,
grc_perseus-ud-test,1306,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
tr_atis-ud-dev,572,0,121,,,,,,,,,,,,1.0,,,,11.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,12.0,,,,,,,16.0,,,,,,21.0,1.0,,,,,30.0,,,,,,,,,26.0,,,,,,,,,,
tr_atis-ud-train,4274,0,843,,,,,,,,,,,,9.0,,,,17.0,,,,4.0,,,5.0,,,,,,,,,1.0,,,1.0,112.0,,,,,,,175.0,,,,,,107.0,1.0,,,,,311.0,,,,,,,,,85.0,1.0,1.0,,,,,13.0,,,
tr_atis-ud-test,586,0,128,,,,,,,,,,,,,,,,10.0,,1.0,,3.0,,,,,,,,,,,,,,,,9.0,,,,,,,31.0,,,,,,24.0,,,,,,32.0,,,,,,,,,15.0,,,,,,,3.0,,,
hi_pud-ud-test,1000,0,593,1.0,,,,,,,,,,,,,,,589.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_perseus-ud-test,939,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,
la_perseus-ud-train,1334,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,
tr_kenet-ud-dev,1646,0,460,,,11.0,,,,,,,,,8.0,,,,1.0,,,,13.0,,,3.0,,,,,,,,2.0,,,,,3.0,,,,,,,21.0,,,,,,,,,,,4.0,380.0,,,,,,,,,,,4.0,,,,,8.0,,2.0,
tr_kenet-ud-test,1643,0,525,,,5.0,,,,,,,,,1.0,,,,3.0,,3.0,,42.0,,,3.0,,,,,,,,1.0,,,,,,,,,,1.0,,21.0,,,,,,,1.0,,,1.0,4.0,434.0,,,,,,,,,,,3.0,,,,,2.0,,,
tr_kenet-ud-train,15398,0,3954,8.0,,70.0,,,,,,,,,83.0,3.0,,,15.0,,6.0,1.0,95.0,,,86.0,,,,,,,,2.0,1.0,,,1.0,9.0,,,,,11.0,,182.0,,,,,,,5.0,,,2.0,52.0,3201.0,,,,,,,,,,2.0,29.0,,,,,79.0,,11.0,
sms_giellagas-ud-test,230,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,7.0,,,,,,,2.0,,,,,,,,1.0,1.0,,,
sms_giellagas-ud-train,20,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
sk_snk-ud-dev,1060,0,9,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,
sk_snk-ud-test,1061,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,6.0,,1.0,,,,,,,,,,,,,,,,,
sk_snk-ud-train,8483,0,114,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,73.0,,28.0,,,,,,,,,,,,,,1.0,,,
lt_hse-ud-train,153,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
lt_hse-ud-test,55,0,37,1.0,,,,,,,,,,,9.0,1.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,1.0,,,3.0,,,,,,,,,,,1.0,16.0,,,,,,,,,,,,,,,,1.0,1.0,,
lt_hse-ud-dev,55,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,
ess_sli-ud-test,309,0,27,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sa_ufal-ud-test,230,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
be_hse-ud-train,22853,0,280,,3.0,,,,,,,1.0,,,,,,,,,1.0,,,,,5.0,,1.0,,,,,4.0,,,,,3.0,,,,,2.0,,1.0,20.0,,,,,,,,,,,,215.0,,,,,,,,,,,5.0,,,,,16.0,,3.0,
be_hse-ud-dev,1301,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,
be_hse-ud-test,1077,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,3.0,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,
gub_tudet-ud-test,1182,0,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,,,,,,,,,,,,,,,,,
cs_pud-ud-test,1000,0,16,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,9.0,,2.0,,,,,,,,,,,,,,,,,
orv_ruthenian-ud-test,390,0,35,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,
orv_ruthenian-ud-train,2789,0,302,,,1.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,1.0,,,,,,,,,,,,,10.0,,,,,,,,,,,,263.0,,,,,,,,,,2.0,,,,,,22.0,,,
orv_ruthenian-ud-dev,344,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,
lzh_tuecl-ud-test,100,0,38,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,12.0,,,,,,,5.0,,,,7.0,3.0,,,,,,,5.0,,,,1.0,,,,,1.0,,,
ml_ufal-ud-test,218,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
apu_ufpa-ud-test,161,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
egy_ujaen-ud-test,721,0,121,,,,,,,,,,,,28.0,1.0,,,73.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,11.0,,,,,,,3.0,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,
nyq_aha-ud-test,10,0,1,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mr_ufal-ud-dev,46,0,12,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,3.0,,,
mr_ufal-ud-test,47,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,1.0,,,
mr_ufal-ud-train,373,0,50,,,6.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,35.0,,,,,,,,,,,2.0,,,,,4.0,,,
si_stb-ud-test,100,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
lt_alksnis-ud-test,684,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,
lt_alksnis-ud-dev,617,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,
lt_alksnis-ud-train,2341,0,59,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,
cu_proiel-ud-train,18327,0,756,26.0,,42.0,,,,,,,,,,2.0,,,,,4.0,,,,,21.0,,,,,,,11.0,,,,,3.0,,,,,,,,22.0,,,,,,,2.0,,,,4.0,542.0,,28.0,,,,,,,,8.0,1.0,,,,,24.0,,16.0,
cu_proiel-ud-test,2096,0,94,7.0,,4.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,64.0,1.0,1.0,,,,,,,,3.0,,,,,,5.0,,4.0,
cu_proiel-ud-dev,2205,0,76,8.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,1.0,54.0,,4.0,,,,,,,,1.0,,,,,,2.0,,,
hy_bsut-ud-train,1226,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,
hy_bsut-ud-test,595,0,174,2.0,1.0,2.0,,,,,,,,,,3.0,,,2.0,2.0,1.0,,,3.0,,9.0,,,2.0,,,,,,1.0,,,4.0,,,,,,,,,,,,12.0,,,,,,,,124.0,,,,,,,,,,,3.0,,,,,3.0,,,
hy_bsut-ud-dev,479,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,
mdf_jr-ud-test,454,0,50,1.0,,,,,,,,,4.0,2.0,,1.0,,1.0,4.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,5.0,,,,,,,,,2.0,,27.0,
mdf_jr-ud-train,20,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
la_llct-ud-dev,850,0,37,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_llct-ud-test,884,0,34,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_llct-ud-train,7289,0,168,,,,,,,,,,167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
hsb_ufal-ud-test,623,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,8.0,,,,,,,,,,,,,,,,,,,
hsb_ufal-ud-train,23,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
sr_set-ud-test,520,0,1042,4.0,,2.0,,,,,,,,,81.0,2.0,,,451.0,,2.0,,,,,46.0,,,,,,,16.0,1.0,,,,1.0,14.0,,,,,,,158.0,,,,,,,,,,6.0,,242.0,,,,,,,,,,,5.0,,,,,11.0,,,
sr_set-ud-train,3328,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,5.0,,,,,,,1.0,,,,,23.0,,,,,,,,,,,,,,,,,,,
sr_set-ud-dev,536,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,
myv_jr-ud-test,921,0,134,1.0,1.0,3.0,,,,,1.0,,6.0,,,1.0,,,7.0,,1.0,,1.0,,,19.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,1.0,,,,2.0,,,,,23.0,,51.0,10.0
myv_jr-ud-train,1217,0,150,1.0,,1.0,,,,,1.0,,1.0,,,1.0,,,4.0,,7.0,,,,,25.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,4.0,,,,1.0,,,,,38.0,,52.0,5.0
tr_framenet-ud-test,205,0,39,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,1.0,,,,,27.0,,,,,,,,,,,,,,,,,,,
tr_framenet-ud-train,2288,0,424,,,13.0,,,,,,,,,,,,,,,2.0,,54.0,,,1.0,,,,,,,,2.0,,,,,,,,,,,,51.0,,,,,,,2.0,,,,3.0,291.0,,,,,,,,,,1.0,3.0,,,,,1.0,,,
tr_framenet-ud-dev,205,0,37,,,2.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,1.0,28.0,,,,,,,,,,,,,,,,,,,
kfm_aha-ud-test,10,0,1,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ky_ktmu-ud-train,80,0,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,3.0,,,,,,,27.0,,,,,,,,,,,,,,,,4.0,,,
ky_ktmu-ud-test,701,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
kpv_ikdp-ud-test,214,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
kpv_lattice-ud-test,643,0,30,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kpv_lattice-ud-train,20,0,1,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tt_nmctt-ud-test,148,0,108,,,3.0,,,,,,,,,10.0,4.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,5.0,,,,,,,,,,,,80.0,,,,,,,,,,,1.0,,,,,2.0,,,
tr_gb-ud-test,2880,0,70,,,4.0,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,2.0,,,,,21.0,,,
ru_taiga-ud-train,16045,0,337,2.0,5.0,1.0,,,,,,,,,,,,,,,7.0,,,,,10.0,,,,,,,,,,,,2.0,,,,,,,,18.0,,,,,,,,,,,,244.0,,,,,,,,,,,8.0,,,,1.0,37.0,,2.0,
ru_taiga-ud-dev,946,0,30,,,,,,,,,,,,,,,,,,1.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,20.0,,,,,,,,,,,1.0,,,,,1.0,,,
ru_taiga-ud-test,881,0,27,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,21.0,,,,,,,,,,1.0,,,,,,2.0,,,
tpn_tudet-ud-test,581,0,63,1.0,,5.0,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,45.0,,,,,,,,,,,1.0,,,,,3.0,,,
cs_cltt-ud-dev,316,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,12.0,,3.0,,,,,,,,,,,,,,,,,
cs_cltt-ud-train,467,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,6.0,,1.0,,,,,,,,,,,,,,,,,
cs_cltt-ud-test,338,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,1.0,,,,,,,,,,,,,,,,,
hy_armtdp-ud-train,1974,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,
hy_armtdp-ud-dev,249,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
hy_armtdp-ud-test,277,0,70,,,,,,,,,,,,,,,,,,1.0,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,63.0,,,,,,,,,,,2.0,,,,,,,,
ota_boun-ud-train,114,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
ota_boun-ud-test,400,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,
ru_syntagrus-ud-train,69630,0,3474,1.0,23.0,9.0,,,,,,,,,,2.0,,,,,8.0,,,,,86.0,,1.0,,,,,,,,,,4.0,,,,,,,,400.0,,,,,,,4.0,,,,,2584.0,,,,,,,,,,11.0,28.0,,,,,311.0,,2.0,
ru_syntagrus-ud-dev,8906,0,439,,1.0,3.0,,,,,,,,,,,,,,,3.0,,,,,20.0,,,,,,,,,,,,,,,,,,,,52.0,,,,,,,,,,,,316.0,,,,,,,,,,2.0,5.0,,,,,37.0,,,
ru_syntagrus-ud-test,8800,0,480,1.0,1.0,,,,,,,,,,,,,,,,2.0,,,,,12.0,,,,,,,,,,,,,,,,,,,,53.0,,,,,,,1.0,,,,,374.0,,,,,,,,,,,1.0,,,,,35.0,,,
sjo_xdt-ud-test,810,0,115,,,,,,,,,,,,,,,,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,
orv_birchbark-ud-train,1045,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
orv_birchbark-ud-dev,1062,0,13,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,8.0,,,,,,,,,,,,,,,,,,,
orv_birchbark-ud-test,1007,0,20,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,1.0,,,,,1.0,,,
ltg_cairo-ud-test,20,0,6,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,
ru_poetry-ud-test,728,0,18,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,1.0,,,,,1.0,,,
ru_poetry-ud-dev,789,0,43,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,3.0,,,
