Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,cc,ccomp,compound,csubj,dep,discourse,dislocated,expl,fixed,flat,iobj,list,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,punct,reparandum,root,vocative,xcomp
cu_proiel-ud-dev,2205,0,229,,6.0,2.0,3.0,5.0,,,,,,,,,,,,,,11,1.0,26.0,,165,1.0,,,,4.0,,5.0
ru_taiga-ud-train,16045,0,2264,,6.0,10.0,2.0,,,5.0,1.0,1.0,,,,,,1.0,,,,501,2.0,2.0,2.0,1513,14.0,51.0,,,151.0,,2.0
ru_taiga-ud-dev,946,0,170,,,,,,,1.0,,,,,,,,,,,,29,1.0,,,129,1.0,5.0,,,4.0,,
ru_taiga-ud-test,881,0,125,,3.0,,,,,,,1.0,,,,,,,,,,28,,,,84,4.0,,,,4.0,1.0,
mk_mtb-ud-test,155,0,28,,,,,,,,,,,,,,,,2.0,,,10,,,1.0,14,,,,,1.0,,
ru_syntagrus-ud-train,69630,0,14818,16.0,41.0,32.0,17.0,8.0,2.0,17.0,,2.0,,,,,,,,,,3893,5.0,14.0,7.0,10246,18.0,247.0,2.0,,239.0,,12.0
ru_syntagrus-ud-dev,8906,0,1775,2.0,5.0,11.0,2.0,1.0,,2.0,,1.0,,,,,,,,,1.0,448,1.0,5.0,1.0,1223,6.0,31.0,2.0,,32.0,,1.0
ru_syntagrus-ud-test,8800,0,2050,3.0,6.0,5.0,2.0,1.0,,2.0,,,,,,,,,,,,494,,,,1489,2.0,26.0,2.0,,18.0,,
orv_birchbark-ud-train,1045,0,94,,,,,4.0,,,,,3.0,,,,,4.0,,,,9,,2.0,,33,5.0,1.0,,,33.0,,
orv_birchbark-ud-dev,1062,0,108,,,,,4.0,,,,,2.0,,,,,2.0,,,,12,1.0,5.0,1.0,52,4.0,,,,25.0,,
orv_birchbark-ud-test,1007,0,164,,,,,4.0,,,,,3.0,,,,,2.0,,,,20,1.0,9.0,,85,,2.0,,,37.0,,1.0
ru_poetry-ud-test,728,0,98,,,,,,,,,,,,,,,,,,,10,,,,78,,,,,10.0,,
ru_poetry-ud-dev,789,0,80,,,,,,,,,,,,,,,,,,,14,,,,61,,,,,4.0,,1.0
ru_poetry-ud-train,3569,0,473,,2.0,,,1.0,,,,1.0,,,1.0,,,,,,,55,,,,380,3.0,5.0,,,25.0,,
ru_pud-ud-test,1000,0,247,,,,,,,,,,,,,,,,,,,72,,1.0,1.0,169,,,,,4.0,,
orv_torot-ud-test,2955,0,465,,5.0,3.0,8.0,26.0,,1.0,,,,,1.0,,,,,,,19,,,1.0,373,21.0,,,,6.0,,1.0
orv_torot-ud-dev,3061,0,546,,4.0,2.0,6.0,21.0,,,,1.0,,,2.0,,,5.0,,,,16,,1.0,4.0,451,15.0,,,,17.0,,1.0
orv_torot-ud-train,20480,0,3053,,34.0,32.0,27.0,175.0,,7.0,,,,,6.0,,,10.0,,,,113,1.0,11.0,13.0,2430,108.0,2.0,,,68.0,,16.0
ru_gsd-ud-test,601,0,133,,,,,1.0,,,,,,,,,,,,,,23,,,,100,4.0,2.0,,,3.0,,
ru_gsd-ud-dev,579,0,138,,,,,,,,,,,,,,,2.0,,,,44,,,,90,,,,,2.0,,
ru_gsd-ud-train,3850,0,869,,3.0,,,2.0,,,2.0,,,,,,,3.0,,,,253,1.0,,,588,6.0,7.0,,,4.0,,
bg_btb-ud-train,8907,0,5385,,10.0,1.0,4.0,1.0,,3.0,,1.0,,1.0,,1.0,,,492.0,,,4393,1.0,1.0,10.0,423,,3.0,,,39.0,,1.0
bg_btb-ud-test,1116,0,714,,2.0,,1.0,,,,,,,,,,,,52.0,,,590,2.0,,2.0,61,,,,,4.0,,
bg_btb-ud-dev,1115,0,692,,2.0,,,,,,,1.0,,,,,,,54.0,,,574,,,1.0,56,,,,,3.0,,1.0
