Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,cc,ccomp,compound,csubj,dep,discourse,dislocated,fixed,flat,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,punct,reparandum,root,xcomp
fr_gsd-ud-dev,1476,0,2,,,,,,,,,,,,,,,,2.0,,,,,,,,,,
sv_lines-ud-dev,1032,0,2,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
sv_lines-ud-train,3176,0,19,,,,,,,,,,,,,,,,1.0,,,,18.0,,,,,,
sv_lines-ud-test,1035,0,1,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
nds_lsdc-ud-train,500,0,127,,,1.0,1.0,1.0,,4.0,,,,,,,,,13.0,,,,101.0,2.0,2.0,,,2.0,
nds_lsdc-ud-test,500,0,120,,1.0,,6.0,,,,,,,,1.0,,,,10.0,,,1.0,95.0,,,,,5.0,1.0
en_gum-ud-train,9521,0,2562,3.0,23.0,34.0,,1.0,,11.0,1.0,1.0,,,,,1.0,,746.0,,,,1640.0,1.0,6.0,3.0,3.0,79.0,9.0
en_gum-ud-test,1285,0,400,,7.0,9.0,,,,3.0,1.0,1.0,,,,,,,109.0,,,,255.0,1.0,2.0,1.0,,8.0,3.0
en_gum-ud-dev,1341,0,379,,5.0,9.0,,,,3.0,,,,,,,1.0,,91.0,,,1.0,247.0,,3.0,1.0,1.0,17.0,
it_isdt-ud-test,482,0,207,,,5.0,,,,1.0,,,,,,,,,34.0,,1.0,,163.0,,,,,3.0,
it_isdt-ud-train,13121,0,5779,,17.0,52.0,31.0,2.0,,8.0,,,,,,,,,1181.0,,76.0,1.0,4337.0,1.0,,,,73.0,
it_isdt-ud-dev,564,0,226,,,1.0,3.0,,,2.0,,,,,,,,,60.0,,2.0,,155.0,,,,,3.0,
en_lines-ud-train,3176,0,800,,8.0,12.0,5.0,4.0,,1.0,,,,,1.0,,,,201.0,,3.0,2.0,550.0,,5.0,,,8.0,
en_lines-ud-dev,1032,0,298,,3.0,8.0,2.0,1.0,,,,,,,,,,,85.0,1.0,,,194.0,,3.0,,,1.0,
en_lines-ud-test,1035,0,266,,2.0,5.0,4.0,1.0,,2.0,,,,,,,,,74.0,,,,173.0,,1.0,,,3.0,1.0
ga_idt-ud-train,4005,0,19,,,,,1.0,,,,,,,,,,,5.0,,,,13.0,,,,,,
ga_idt-ud-test,454,0,4,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,1.0
ga_idt-ud-dev,451,0,5,,,,,,,,,,,,,,,,3.0,,,,1.0,,,,,1.0,
en_ewt-ud-test,2077,0,329,,6.0,4.0,,1.0,,6.0,1.0,,,,,,,,96.0,,,,203.0,,1.0,,,9.0,2.0
en_ewt-ud-dev,2001,0,339,,3.0,7.0,,,,,,1.0,,,,,,,134.0,,,,178.0,,2.0,,,12.0,2.0
en_ewt-ud-train,12544,0,2839,,23.0,75.0,,,,35.0,14.0,1.0,,,,,,,860.0,2.0,,3.0,1707.0,1.0,14.0,,,89.0,15.0
ceb_gja-ud-test,188,0,1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
nl_lassysmall-ud-test,1761,0,578,,4.0,9.0,,,,2.0,2.0,,,,,,,,158.0,,,,368.0,,5.0,,,21.0,9.0
nl_lassysmall-ud-dev,1542,0,638,,3.0,9.0,,1.0,,,1.0,1.0,,,,,,,140.0,1.0,,1.0,452.0,,5.0,,,16.0,8.0
nl_lassysmall-ud-train,13817,0,5700,4.0,40.0,90.0,,5.0,2.0,10.0,8.0,1.0,,,,1.0,,,1453.0,2.0,,,3707.0,,52.0,1.0,,204.0,120.0
de_lit-ud-test,1920,0,548,,2.0,1.0,2.0,,,,,1.0,,,,,,,181.0,2.0,,1.0,352.0,1.0,3.0,,,2.0,
la_udante-ud-train,926,0,622,,27.0,31.0,1.0,,,2.0,,4.0,,,,,,,11.0,,,,530.0,10.0,,,,4.0,2.0
la_udante-ud-test,419,0,248,,3.0,22.0,,,,1.0,,1.0,,,,,,,2.0,,,,204.0,6.0,,,,6.0,3.0
la_udante-ud-dev,376,0,266,,1.0,4.0,,,,5.0,,1.0,,,,,,,6.0,,,,242.0,6.0,,,,1.0,
lij_glt-ud-test,296,0,74,,,2.0,1.0,,,,,,,,,,,,4.0,,,,62.0,,1.0,,,3.0,1.0
it_partut-ud-dev,156,0,55,,,1.0,,,,2.0,,,,,,,,,9.0,,,,42.0,,,,,1.0,
it_partut-ud-test,153,0,77,,,2.0,,,,1.0,,,,,,,,,12.0,,,,61.0,,,,,1.0,
it_partut-ud-train,1781,0,1159,,1.0,11.0,4.0,,,,,1.0,,,,,,,300.0,,1.0,,830.0,3.0,,,,8.0,
pcm_nsc-ud-dev,990,0,20,,,,,,,,,,,7.0,,,,,,,,,11.0,,,,1.0,1.0,
pcm_nsc-ud-train,7279,0,194,,1.0,4.0,1.0,,,2.0,1.0,,,39.0,3.0,,,2.0,15.0,,,4.0,79.0,,2.0,,4.0,34.0,3.0
pcm_nsc-ud-test,972,0,15,,,,,1.0,,,,,,1.0,,,,,2.0,,,1.0,6.0,,,,,3.0,1.0
ro_rrt-ud-train,8043,0,17,,,,,,,1.0,,,,,,,,,3.0,2.0,,2.0,,,,,,9.0,
ro_rrt-ud-dev,752,0,3,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,
ca_ancora-ud-dev,1709,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
ca_ancora-ud-test,1846,0,2,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
ca_ancora-ud-train,13123,0,3,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,
got_proiel-ud-dev,985,0,319,,,8.0,1.0,7.0,,1.0,,,,,,,,,25.0,,,1.0,245.0,7.0,,,,3.0,21.0
got_proiel-ud-train,3387,0,1114,,2.0,31.0,17.0,24.0,,2.0,,,,,1.0,,1.0,,67.0,,,1.0,866.0,35.0,,,,13.0,54.0
got_proiel-ud-test,1029,0,272,,,5.0,2.0,3.0,,,,,,,,,,,15.0,,,,231.0,4.0,,,,5.0,7.0
de_gsd-ud-train,13814,0,6902,,10.0,2.0,3.0,3.0,,,,1.0,1.0,,,,7.0,,2722.0,2.0,,1.0,4100.0,2.0,,,,38.0,10.0
de_gsd-ud-dev,799,0,217,,,,,,,,,,,,,,,,69.0,,,,147.0,,,,,1.0,
de_gsd-ud-test,977,0,358,,,,,1.0,,,,,2.0,,,,,,147.0,,,,205.0,,,,,3.0,
aln_gps-ud-test,966,0,1,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
it_twittiro-ud-test,142,0,25,,,,,,,1.0,,,,,,,,,3.0,,,,19.0,,1.0,,,1.0,
it_twittiro-ud-train,1138,0,267,,5.0,2.0,8.0,,,1.0,,,,,,,,,54.0,2.0,1.0,1.0,165.0,,14.0,,,14.0,
it_twittiro-ud-dev,144,0,42,,1.0,,,,,,,,,,,,,,4.0,,1.0,,31.0,,4.0,,,1.0,
it_markit-ud-test,340,0,211,,1.0,1.0,,,,,,,,,2.0,,,,31.0,,1.0,,174.0,,,,,1.0,
it_markit-ud-train,611,0,425,,7.0,4.0,4.0,,,3.0,,,,,1.0,,,,63.0,,,,340.0,,,,,3.0,
it_markit-ud-dev,341,0,239,,1.0,7.0,2.0,,,,,,,,3.0,,,,34.0,,,,191.0,,,,,1.0,
it_postwita-ud-train,5368,0,983,,6.0,7.0,16.0,1.0,,8.0,,1.0,,,1.0,,,,230.0,1.0,3.0,1.0,603.0,,42.0,,,62.0,1.0
it_postwita-ud-dev,670,0,123,,,1.0,1.0,,,1.0,,,,,,,,,27.0,,,,78.0,,3.0,,,11.0,1.0
it_postwita-ud-test,674,0,104,,,2.0,1.0,,,,,,1.0,,,,,,26.0,,,,65.0,,1.0,,,8.0,
la_ittb-ud-dev,2101,0,712,,32.0,38.0,7.0,,,6.0,,28.0,,,,,,,38.0,,,,470.0,10.0,,,,62.0,21.0
la_ittb-ud-test,2101,0,729,,36.0,47.0,1.0,,,10.0,,26.0,,,,,,,60.0,,,,428.0,6.0,,,,90.0,25.0
la_ittb-ud-train,22775,0,9967,,367.0,651.0,51.0,,,79.0,,229.0,,,,,,,500.0,4.0,,,7393.0,159.0,3.0,,,454.0,77.0
nl_alpino-ud-train,12289,0,3949,1.0,20.0,55.0,,3.0,,14.0,23.0,1.0,,,,,,,1096.0,4.0,,2.0,2487.0,1.0,31.0,1.0,,155.0,55.0
nl_alpino-ud-test,596,0,203,,1.0,3.0,,,,1.0,1.0,1.0,,,,,,,65.0,2.0,,1.0,113.0,,1.0,,,12.0,2.0
nl_alpino-ud-dev,718,0,282,,1.0,2.0,,,,,,,,,,,,,92.0,1.0,,,168.0,,,,,15.0,3.0
it_vit-ud-train,8277,0,4312,,14.0,43.0,85.0,1.0,,11.0,,,,,,,,,1166.0,,14.0,1.0,2909.0,,1.0,,,66.0,1.0
it_vit-ud-test,1067,0,468,,3.0,2.0,7.0,,,1.0,,,,,,,,,117.0,,1.0,,327.0,,,,,10.0,
it_vit-ud-dev,743,0,719,,2.0,3.0,,,,,,,,,,,,,209.0,,2.0,,501.0,,,,,2.0,
qtd_sagt-ud-test,805,0,82,,,2.0,,,,,,,,,,,,,5.0,,,,66.0,,6.0,,,3.0,
qtd_sagt-ud-dev,801,0,75,,,3.0,,1.0,,,1.0,,,,,,,,9.0,,,1.0,52.0,,2.0,,4.0,2.0,
qtd_sagt-ud-train,578,0,46,,,1.0,,,,,,,,,,,,,5.0,,,1.0,34.0,,1.0,,1.0,2.0,1.0
cs_cac-ud-train,23478,0,9,,,,1.0,,,,,,,,,,3.0,,1.0,,,,4.0,,,,,,
en_gentle-ud-test,1334,0,224,,7.0,3.0,,,,1.0,,,,,,,,,37.0,,,,160.0,,2.0,,,11.0,3.0
it_parlamint-ud-test,375,0,231,,,3.0,,,,,,,,,,,,,41.0,,,,186.0,,,,,1.0,
it_parlamint-ud-train,326,0,255,,1.0,3.0,2.0,,,,,,,,,,,,38.0,,,,210.0,,,,,1.0,
en_pud-ud-test,1000,0,490,,3.0,4.0,,1.0,,1.0,,,,,,,1.0,,153.0,,,,320.0,,,,,6.0,1.0
