Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,aux,cc,ccomp,compound,cop,csubj,dep,discourse,dislocated,expl,fixed,flat,iobj,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,punct,reparandum,root,xcomp
fr_rhapsodie-ud-dev,1081,0,127,,1.0,17.0,10.0,,,,4.0,,,,,1.0,,,,,,,14.0,,,,65.0,,,,5.0,10.0,
fr_rhapsodie-ud-test,840,0,90,,,9.0,7.0,1.0,,,1.0,,,,,,,,,,,,11.0,,,,53.0,,,,2.0,6.0,
fr_parisstories-ud-dev,692,0,104,,,4.0,8.0,,,,1.0,,,,,36.0,,,,,,,14.0,,,,32.0,,,,1.0,7.0,1.0
fr_parisstories-ud-train,1387,0,228,,4.0,17.0,12.0,,,,10.0,,,,,29.0,2.0,,,,,,16.0,,,,67.0,,,,7.0,61.0,3.0
fr_parisstories-ud-test,697,0,102,,2.0,1.0,11.0,,,,3.0,,,,,14.0,,,,,,,7.0,,,,37.0,,,,3.0,19.0,5.0
is_icepahc-ud-dev,4865,0,4,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,
is_icepahc-ud-train,34007,0,15,,1.0,,4.0,,,,1.0,,,,,,,,,,,,,,,3.0,6.0,,,,,,
fro_profiterole-ud-train,15503,0,365,,9.0,3.0,2.0,,,,1.0,,,,,,,,,,4.0,,10.0,,,4.0,317.0,,,,,6.0,9.0
qaf_arabizi-ud-train,1003,0,73,,,,2.0,,,,,,,,,,,,,,,,20.0,1.0,,3.0,35.0,,6.0,,,5.0,1.0
qaf_arabizi-ud-test,145,0,5,,,,,,,,,,,,,,,,,,,,,1.0,,,3.0,,1.0,,,,
qaf_arabizi-ud-dev,139,0,7,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,5.0,,,,,,
ca_ancora-ud-dev,1709,0,598,1.0,6.0,18.0,7.0,3.0,4.0,,4.0,12.0,1.0,,1.0,,,,4.0,10.0,,3.0,92.0,1.0,3.0,3.0,405.0,,1.0,2.0,,12.0,5.0
ca_ancora-ud-test,1846,0,685,3.0,10.0,20.0,7.0,1.0,3.0,,5.0,12.0,2.0,,,,,,6.0,4.0,,3.0,123.0,1.0,5.0,2.0,455.0,,,4.0,,14.0,5.0
ca_ancora-ud-train,13123,0,4714,13.0,47.0,125.0,52.0,10.0,15.0,6.0,30.0,103.0,4.0,3.0,3.0,,,3.0,21.0,61.0,,16.0,735.0,5.0,38.0,22.0,3254.0,,7.0,13.0,,100.0,28.0
nhi_itml-ud-test,909,0,3,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,
aln_gps-ud-test,966,0,1,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
gl_pud-ud-test,1000,0,709,,9.0,3.0,6.0,10.0,,,6.0,,,,,,,,,,,,140.0,,6.0,,512.0,,,,,7.0,10.0
fr_partut-ud-dev,107,0,15,,2.0,3.0,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,5.0,,,,,2.0,
fr_partut-ud-test,110,0,31,,3.0,2.0,,,,,,,,,,,,,,,,,5.0,,,,21.0,,,,,,
fr_partut-ud-train,803,0,280,,7.0,38.0,4.0,,2.0,,,,,,,,,,,,,,76.0,,2.0,,144.0,,,,,7.0,
fr_sequoia-ud-test,456,0,99,,1.0,3.0,,,,,,,,,,,,,,,,,20.0,,,,72.0,,,,,1.0,2.0
fr_sequoia-ud-train,2231,0,481,,4.0,28.0,4.0,,,,2.0,,,,,,,,,,,,135.0,,,1.0,293.0,2.0,,,,7.0,5.0
fr_sequoia-ud-dev,412,0,100,,1.0,8.0,1.0,,,,,,,,,,,,,,,1.0,26.0,,,1.0,59.0,,,,,2.0,1.0
es_coser-ud-test,539,0,86,,,3.0,,,,,,,,,,,,,,,,,5.0,,,,60.0,,1.0,,6.0,11.0,
