Acc,_,acl,acl:attr,acl:dpct,acl:ptcp,acl:relcl,advcl,advcl:ccomp,advcl:cmp,advcl:cond,advcl:dpct,advcl:fin,advcl:manner,advcl:pred,advcl:relcl,advcl:tcl,advmod,amod,appos,appos:trans,cc,ccomp,ccomp:obj,ccomp:relcl,ccomp:reported,compound,compound:coord,compound:lvc,compound:prt,compound:redup,conj:expl,csubj,csubj:pass,csubj:relcl,dep,discourse,dislocated,dislocated:csubj,dislocated:nsubj,dislocated:obj,dislocated:obl,fixed,flat,flat:abs,flat:foreign,flat:name,flat:redup,flat:repeat,flat:sibl,flat:title,iobj,list,nmod,nmod:appos,nmod:arg,nmod:att,nmod:flat,nmod:obj,nmod:poss,nmod:tmod,nsubj,nsubj:cop,nsubj:outer,nsubj:pass,nummod,nummod:gov,obj,obj:lvc,obl,obl:agent,obl:arg,obl:benef,obl:cmp,obl:cmpr,obl:dat,obl:goal,obl:grad,obl:instr,obl:lmod,obl:manner,obl:path,obl:pmod,obl:soc,obl:source,obl:tmod,orphan,orphan:missing,parataxis,parataxis:discourse,parataxis:insert,parataxis:obj,parataxis:trans,reparandum,root,vocative,xcomp,xcomp:pred,xcomp:result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uniform,0.000,0.004,0.000,0.000,0.000,0.000,0.003,0.009,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.033,0.000,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.029,0.000,0.004,0.000,0.002,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.003,0.001,0.000,0.002,0.000,0.000,0.000,0.002,0.004,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.066,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.009,0.000,0.001,0.510,0.000,0.014,0.000,0.000,0.032,0.000,0.000,0.000,0.074,0.000,0.047,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.003,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.083,0.008,0.014,0.000,0.001,0.000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gen,_,acl,acl:adv,acl:attr,acl:crel,acl:dpct,acl:relcl,advcl,advcl:ccomp,advcl:cmp,advcl:cond,advcl:dpct,advcl:fin,advcl:manner,advcl:pred,advcl:relcl,advcl:tcl,amod,appos,appos:trans,ccomp,ccomp:obj,ccomp:relcl,ccomp:reported,compound,compound:coord,compound:lvc,compound:name,compound:nn,compound:prt,compound:redup,conj:expl,csubj,csubj:cop,csubj:pass,csubj:relcl,dep,discourse,dislocated,dislocated:csubj,dislocated:obj,fixed,flat,flat:abs,flat:foreign,flat:gov,flat:name,flat:range,flat:repeat,flat:sibl,flat:title,iobj,iobj:appl,list,nmod,nmod:appos,nmod:arg,nmod:att,nmod:flat,nmod:gobj,nmod:gsubj,nmod:npmod,nmod:part,nmod:poss,nmod:pre,nmod:tmod,nsubj,nsubj:cop,nsubj:outer,nsubj:pass,nummod,nummod:entity,nummod:gov,obj,obj:appl,obj:caus,obl,obl:agent,obl:appl,obl:arg,obl:benef,obl:cau,obl:cmp,obl:cmpr,obl:goal,obl:grad,obl:instr,obl:lmod,obl:manner,obl:own,obl:smod,obl:source,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:insert,parataxis:obj,parataxis:restart,reparandum,root,vocative,xcomp,xcomp:ds,xcomp:pred,,,,,,,,,,,,,,,,,,,,,,,,,,
Wasserstein,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.001,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.007,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.729,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,0.031,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.045,-0.000,-0.000,0.179,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.001,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.007,-0.000,0.000,-0.000,-0.000,,,,,,,,,,,,,,,,,,,,,,,,,,
Uniform,0.000,0.001,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.011,0.000,0.001,0.000,0.000,0.000,0.005,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.012,0.005,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.009,0.000,0.000,0.491,0.000,0.003,0.010,0.000,0.002,0.001,0.000,0.000,0.166,0.001,0.000,0.039,0.000,0.000,0.001,0.000,0.000,0.000,0.056,0.000,0.000,0.136,0.001,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.002,0.003,0.002,0.000,0.000,0.000,0.000,0.002,0.010,0.000,0.002,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abs,_,acl,acl:relcl,advcl,appos,ccomp,compound,compound:lvc,csubj,dep,dislocated,fixed,flat,iobj,nmod,nmod:obl,nsubj,nsubj:outer,obj,obl,orphan,parataxis,reparandum,root,vocative,xcomp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wasserstein,-0.000,-0.000,-0.000,0.009,0.011,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.016,-0.000,0.286,-0.000,0.522,0.112,-0.000,-0.000,-0.000,0.044,0.001,-0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uniform,0.001,0.001,0.001,0.006,0.012,0.002,0.020,0.017,0.000,0.001,0.001,0.000,0.000,0.001,0.027,0.006,0.272,0.000,0.367,0.224,0.000,0.002,0.000,0.035,0.001,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erg,appos,dep,flat,iobj,nmod,nmod:poss,nsubj,obj,obl,root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wasserstein,0.003,-0.000,-0.000,-0.000,0.005,-0.000,0.976,0.014,0.003,-0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uniform,0.002,0.001,0.000,0.000,0.002,0.005,0.924,0.005,0.059,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loc,_,acl,acl:adv,acl:attr,acl:crel,acl:dpct,acl:relcl,advcl,advcl:caus,advcl:ccomp,advcl:cmp,advcl:cmpr,advcl:cond,advcl:fin,advcl:manner,advcl:pred,advcl:relcl,advcl:tcl,advmod,amod,appos,case:loc,ccomp,ccomp:obj,clf,compound,compound:lvc,compound:redup,csubj,csubj:cop,csubj:outer,csubj:pass,dep,discourse,dislocated,fixed,flat,flat:foreign,flat:name,flat:range,flat:sibl,iobj,list,nmod,nmod:appos,nmod:arg,nmod:flat,nmod:lmod,nmod:npmod,nmod:part,nmod:poss,nmod:tmod,nsubj,nsubj:outer,nsubj:pass,nummod,nummod:gov,obj,obl,obl:agent,obl:arg,obl:benef,obl:cmpr,obl:depict,obl:goal,obl:grad,obl:instr,obl:lmod,obl:manner,obl:own,obl:soc,obl:source,obl:subj,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:insert,parataxis:obj,parataxis:restart,parataxis:trans,reparandum,root,vocative,vocative:cl,xcomp,xcomp:pred,xcomp:result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wasserstein,-0.000,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.005,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.007,-0.000,0.001,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.002,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.188,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.762,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.003,0.003,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.030,-0.000,-0.000,-0.000,-0.000,-0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uniform,0.000,0.003,0.000,0.000,0.000,0.000,0.001,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.015,0.000,0.002,0.000,0.000,0.006,0.006,0.000,0.000,0.000,0.000,0.000,0.002,0.001,0.001,0.011,0.006,0.000,0.001,0.000,0.000,0.001,0.000,0.155,0.000,0.001,0.000,0.005,0.003,0.000,0.002,0.002,0.007,0.000,0.000,0.000,0.000,0.017,0.634,0.000,0.008,0.000,0.000,0.000,0.002,0.000,0.000,0.035,0.000,0.000,0.000,0.000,0.000,0.011,0.006,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.036,0.000,0.000,0.002,0.000,1.478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ins,_,acl,acl:attr,acl:dpct,acl:relcl,advcl,advcl:caus,advcl:ccomp,advcl:cmp,advcl:cmpr,advcl:cond,advcl:fin,advcl:manner,advcl:pred,advcl:relcl,advcl:tcl,amod,appos,ccomp,ccomp:cleft,ccomp:obj,compound,compound:lvc,compound:redup,csubj,csubj:pass,dep,discourse,dislocated,fixed,flat,flat:abs,flat:foreign,flat:name,flat:sibl,iobj,list,mark,nmod,nmod:appos,nmod:arg,nmod:flat,nmod:gobj,nmod:npmod,nmod:obl,nmod:poss,nmod:pred,nsubj,nsubj:pass,nummod,nummod:gov,obj,obl,obl:agent,obl:arg,obl:cmpr,obl:depict,obl:goal,obl:grad,obl:inst,obl:instr,obl:lmod,obl:lvc,obl:manner,obl:path,obl:soc,obl:source,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:insert,parataxis:obj,parataxis:rel,reparandum,root,vocative,xcomp,xcomp:cleft,xcomp:pred,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wasserstein,-0.000,-0.000,-0.000,-0.000,-0.000,0.002,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.009,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.213,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.008,0.730,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.004,0.002,-0.000,-0.000,-0.000,-0.000,-0.000,0.024,-0.000,0.007,-0.000,-0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uniform,0.000,0.003,0.000,0.000,0.003,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.009,0.002,0.000,0.000,0.004,0.001,0.000,0.001,0.000,0.002,0.000,0.000,0.006,0.005,0.000,0.000,0.000,0.000,0.042,0.000,0.000,0.166,0.000,0.001,0.000,0.000,0.001,0.001,0.003,0.000,0.014,0.000,0.000,0.000,0.029,0.569,0.013,0.038,0.000,0.000,0.000,0.000,0.003,0.006,0.001,0.000,0.000,0.000,0.001,0.000,0.005,0.008,0.007,0.000,0.000,0.000,0.000,0.001,0.028,0.000,0.014,0.000,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abl,_,acl,acl:relcl,advcl,advcl:abs,advcl:caus,advcl:ccomp,advcl:cmp,advcl:concess,advcl:cond,advcl:fin,advcl:relcl,advcl:tcl,amod,appos,ccomp,ccomp:relcl,ccomp:reported,clf,compound,compound:lvc,compound:nn,compound:prt,compound:redup,conj:expl,csubj,csubj:cleft,csubj:pass,csubj:relcl,csubj:reported,dep,discourse,dislocated,dislocated:advcl,dislocated:nsubj,dislocated:obj,fixed,flat,flat:foreign,flat:name,iobj,list,nmod,nmod:appos,nmod:comp,nmod:npmod,nmod:obl,nmod:part,nmod:poss,nmod:tmod,nsubj,nsubj:pass,nummod,obj,obl,obl:agent,obl:arg,obl:benef,obl:cau,obl:cmp,obl:goal,obl:grad,obl:instr,obl:lmod,obl:manner,obl:path,obl:soc,obl:source,obl:tmod,orphan,orphan:missing,parataxis,parataxis:discourse,reparandum,root,vocative,xcomp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
