Acc,acl,acl:attr,acl:dpct,acl:ptcp,acl:relcl,advcl,advcl:abs,advcl:caus,advcl:ccomp,advcl:cmp,advcl:cond,advcl:dpct,advcl:fin,advcl:manner,advcl:pred,advcl:relcl,advcl:tcl,advmod,advmod:det,advmod:emph,advmod:mode,advmod:tmod,amod,amod:flat,appos,appos:trans,aux,aux:pass,case,case:acc,cc,ccomp,ccomp:obj,ccomp:pmod,ccomp:relcl,ccomp:reported,clf,compound,compound:coord,compound:lvc,compound:name,compound:preverb,compound:prt,compound:redup,compound:svc,conj,conj:expl,cop,csubj,csubj:cop,csubj:pass,csubj:relcl,dep,dep:comp,det,det:numgov,det:nummod,det:poss,discourse,discourse:filler,dislocated,dislocated:csubj,dislocated:nsubj,dislocated:obj,dislocated:obl,expl,expl:impers,expl:pass,expl:poss,expl:pv,fixed,flat,flat:abs,flat:foreign,flat:name,flat:range,flat:redup,flat:repeat,flat:sibl,flat:title,iobj,iobj:agent,list,mark,nmod,nmod:appos,nmod:arg,nmod:att,nmod:flat,nmod:npmod,nmod:obj,nmod:poss,nmod:tmod,nsubj,nsubj:cop,nsubj:outer,nsubj:pass,nummod,nummod:entity,nummod:gov,obj,obj:appl,obj:caus,obj:lvc,obl,obl:agent,obl:arg,obl:benef,obl:cmp,obl:cmpr,obl:dat,obl:depict,obl:float,obl:goal,obl:grad,obl:instr,obl:lmod,obl:manner,obl:mod,obl:npmod,obl:path,obl:pmod,obl:soc,obl:source,obl:tmod,orphan,orphan:missing,parataxis,parataxis:conj,parataxis:discourse,parataxis:insert,parataxis:obj,parataxis:parenth,parataxis:rep,parataxis:trans,punct,reparandum,root,vocative,xcomp,xcomp:pred,xcomp:result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uniform,-0.000,0.010,-0.000,-0.000,-0.000,-0.000,-0.000,0.002,0.011,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.094,-0.000,-0.000,-0.000,0.017,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.007,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.001,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.078,-0.000,-0.000,-0.000,0.001,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,0.044,-0.000,-0.000,-0.000,0.000,-0.000,0.001,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.004,-0.000,-0.000,-0.000,0.001,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,0.040,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.499,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.021,0.005,-0.000,-0.000,-0.000,0.045,-0.000,0.029,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.006,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.068,0.002,0.012,-0.000,-0.000,-0.000,-0.000
Wasserstein,0.001,0.009,0.000,0.000,0.000,0.000,0.000,0.003,0.016,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.069,0.003,0.000,0.000,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.018,0.000,0.002,0.000,0.001,0.000,0.000,0.000,0.059,0.000,0.001,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.047,0.000,0.000,0.000,0.001,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.002,0.011,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.001,0.001,0.050,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.000,0.467,0.000,0.000,0.006,0.000,0.000,0.000,0.017,0.005,0.000,0.000,0.002,0.038,0.000,0.028,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.053,0.004,0.011,0.000,0.000,0.000,7.288
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gen,acl,acl:adv,acl:attr,acl:crel,acl:dpct,acl:ptcp,acl:relcl,advcl,advcl:abs,advcl:cau,advcl:ccomp,advcl:cmp,advcl:concess,advcl:cond,advcl:dpct,advcl:fin,advcl:manner,advcl:pred,advcl:relcl,advcl:tcl,advmod,advmod:det,advmod:emph,advmod:lmod,amod,amod:att,amod:flat,appos,appos:trans,aux,aux:pass,case,case:gen,case:loc,cc,ccomp,ccomp:obj,ccomp:rel,ccomp:relcl,ccomp:reported,compound,compound:coord,compound:lvc,compound:name,compound:nn,compound:prt,compound:redup,conj,conj:expl,cop,cop:own,csubj,csubj:cop,csubj:pass,csubj:relcl,dep,dep:comp,dep:conj,dep:infl,det,det:numgov,det:nummod,det:poss,discourse,discourse:sp,dislocated,dislocated:csubj,dislocated:obj,expl,expl:pv,fixed,flat,flat:abs,flat:foreign,flat:gov,flat:name,flat:range,flat:repeat,flat:sibl,flat:title,iobj,iobj:appl,list,mark,mark:plur,nmod,nmod:appos,nmod:arg,nmod:att,nmod:cau,nmod:flat,nmod:gobj,nmod:gsubj,nmod:lmod,nmod:npmod,nmod:part,nmod:poss,nmod:pre,nmod:tmod,nsubj,nsubj:cop,nsubj:outer,nsubj:pass,nummod,nummod:entity,nummod:flat,nummod:gov,obj,obj:agent,obj:appl,obj:caus,obl,obl:agent,obl:appl,obl:arg,obl:benef,obl:cau,obl:cmp,obl:cmpr,obl:depict,obl:goal,obl:grad,obl:instr,obl:lmod,obl:manner,obl:mod,obl:own,obl:pmod,obl:smod,obl:source,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:insert,parataxis:obj,parataxis:restart,punct,reparandum,root,vocative,xcomp,xcomp:ds,xcomp:pred,xcomp:result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uniform,-0.000,0.003,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.001,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.110,-0.000,-0.000,0.006,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,0.001,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.050,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.056,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.001,0.005,-0.000,-0.000,-0.000,0.003,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.493,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.088,-0.000,-0.000,0.021,-0.000,-0.000,-0.000,0.005,-0.000,-0.000,-0.000,0.031,-0.000,-0.000,-0.000,0.120,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.001,0.001,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.006,-0.000,0.001,-0.000,-0.000,-0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wasserstein,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.064,0.000,0.000,0.006,0.000,0.000,0.000,0.066,0.004,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.003,0.000,0.001,0.000,0.000,0.000,0.000,0.034,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.002,0.001,0.000,0.003,0.068,0.000,0.000,0.020,0.000,0.000,0.001,0.000,0.000,0.003,0.000,0.002,0.010,0.000,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.007,0.000,0.000,0.001,0.000,0.321,0.000,0.002,0.007,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.172,0.000,0.000,0.026,0.000,0.000,0.001,0.004,0.000,0.000,0.000,0.041,0.001,0.000,0.000,0.084,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.008,0.000,0.002,0.000,0.000,7.234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abs,acl,acl:relcl,advcl,advmod,advmod:mode,amod,appos,aux,case,ccomp,compound,compound:lvc,conj,cop,csubj,dep,dep:infl,det,discourse,dislocated,fixed,flat,iobj,nmod,nmod:obl,nsubj,nsubj:outer,nummod,obj,obl,orphan,parataxis,reparandum,root,vocative,xcomp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uniform,-0.000,0.004,0.001,0.019,0.001,-0.000,0.103,0.013,0.005,0.022,0.003,0.009,-0.000,0.065,0.002,0.004,0.002,-0.000,0.049,-0.000,0.000,0.001,-0.000,0.000,0.017,-0.000,0.177,0.000,0.000,0.298,0.139,0.000,0.001,-0.000,0.060,0.002,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wasserstein,0.001,0.007,0.001,0.011,0.000,0.005,0.054,0.007,0.001,0.100,0.003,0.011,0.001,0.032,0.001,0.002,0.001,0.047,0.051,0.000,0.001,0.000,0.004,0.001,0.024,0.005,0.129,0.000,0.000,0.260,0.193,0.000,0.001,0.000,0.035,0.001,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erg,advcl,amod,appos,aux,case,ccomp,conj,cop,csubj,dep,dep:infl,det,det:poss,flat,iobj,nmod,nmod:poss,nsubj,obj,obl,parataxis,root,xcomp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uniform,-0.000,-0.000,0.057,0.003,0.003,-0.000,-0.000,-0.000,0.001,0.001,-0.000,-0.000,0.013,-0.000,0.073,-0.000,0.006,-0.000,0.833,0.007,0.002,-0.000,-0.000,-0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wasserstein,0.000,0.000,0.031,0.002,0.001,0.091,0.004,0.013,0.000,0.001,0.000,0.089,0.011,0.004,0.036,0.000,0.013,0.003,0.676,0.002,0.022,0.000,0.000,3.405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
