Treebank,Number of Sentences,Failures,appos,nmod,vocative,root,obl,conj,nummod,Total,case,parataxis,det:poss,amod,parataxis:obj,acl,iobj,flat,flat:name,det,flat:repeat,orphan,flat:title,ccomp,acl:attr,nmod:appos,acl:dpct,compound:name,advcl:ccomp,obl:instr,csubj,obl:benef,obl:manner,advcl:manner,obj,advcl,nsubj,parataxis:discourse,advcl:pred,discourse,conj:expl,xcomp,flat:redup,advmod,dislocated,compound,nmod:tmod,fixed,obl:arg,reparandum,nsubj:pass,dep,ccomp:reported,acl:relcl
ro_tuecl-ud-test,210,0,1.0,1.0,3.0,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt_alksnis-ud-test,684,0,,,,,,1.0,,9,,7.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt_alksnis-ud-dev,617,0,,,,,,,,6,,4.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt_alksnis-ud-train,2341,0,,,,,,,,4,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vi_tuecl-ud-test,100,0,,,2.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cu_proiel-ud-train,18327,0,95.0,1.0,993.0,6.0,,51.0,,1276,,,,72.0,,14.0,,,11.0,19.0,,,,,,,,,,,,,,,3.0,,1.0,,,,,2.0,,2.0,2.0,,,3.0,1.0,,,,,
cu_proiel-ud-test,2096,0,11.0,,114.0,1.0,,12.0,,158,,,,9.0,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cu_proiel-ud-dev,2205,0,11.0,,138.0,10.0,,11.0,,193,,,,3.0,,6.0,,,4.0,9.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
la_llct-ud-dev,850,0,,,,,,,,1,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_llct-ud-train,7289,0,9.0,2.0,1.0,,,2.0,,50,,1.0,,,,1.0,,12.0,,,,,,,,,,,,,,,,,1.0,,9.0,,,,,,,,,,,,10.0,1.0,1.0,,,
sr_set-ud-train,3328,0,,1.0,1.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_proiel-ud-test,1260,0,3.0,,20.0,,,1.0,,27,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_proiel-ud-dev,1233,0,3.0,,29.0,2.0,,1.0,,37,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
la_proiel-ud-train,16196,0,48.0,,454.0,6.0,,28.0,,623,,,,36.0,,3.0,,,2.0,32.0,,,,,,,,,,,,,,,1.0,5.0,1.0,,,,,1.0,,1.0,5.0,,,,,,,,,
grc_proiel-ud-test,1047,0,4.0,2.0,26.0,,,3.0,,40,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,
grc_proiel-ud-train,15016,0,45.0,13.0,595.0,4.0,,23.0,,743,,,,49.0,,1.0,,,,7.0,,,,,,,,,,,,,,,3.0,,,,,,,2.0,,,1.0,,,,,,,,,
grc_proiel-ud-dev,1019,0,4.0,2.0,36.0,2.0,,,,47,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
ru_taiga-ud-train,16045,0,,,10.0,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
ru_taiga-ud-dev,946,0,,,1.0,2.0,,1.0,,5,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_taiga-ud-test,881,0,,,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpn_tudet-ud-test,581,0,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
ga_idt-ud-train,4005,0,,,30.0,1.0,,,,32,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ga_idt-ud-test,454,0,,,11.0,1.0,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ga_idt-ud-dev,451,0,,,14.0,,,1.0,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ro_art-ud-test,50,0,,,2.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_syntagrus-ud-train,69630,0,1.0,,22.0,,,2.0,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_syntagrus-ud-dev,8906,0,,,4.0,2.0,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_syntagrus-ud-test,8800,0,,,3.0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grc_ptnk-ud-train,727,0,1.0,,23.0,,,2.0,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grc_ptnk-ud-dev,439,0,1.0,,3.0,,2.0,,,8,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
grc_ptnk-ud-test,410,0,,1.0,24.0,,,,,29,,,,,,,,,,,,,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
orv_birchbark-ud-train,1045,0,4.0,,38.0,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
orv_birchbark-ud-dev,1062,0,3.0,,76.0,3.0,,2.0,,86,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
orv_birchbark-ud-test,1007,0,4.0,,62.0,,,,,70,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
ltg_cairo-ud-test,20,0,,,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_poetry-ud-test,728,0,,,1.0,1.0,,1.0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_poetry-ud-dev,789,0,,,2.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_poetry-ud-train,3569,0,,,2.0,1.0,,,,5,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cs_fictree-ud-dev,1309,0,,3.0,22.0,3.0,,1.0,,30,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_fictree-ud-train,10160,0,1.0,24.0,227.0,28.0,2.0,13.0,1.0,351,,,,36.0,,,,10.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_fictree-ud-test,1291,0,,8.0,29.0,7.0,,,,48,,,,3.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_udante-ud-train,926,0,,,40.0,1.0,,,,58,,,,12.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0
la_udante-ud-test,419,0,,,9.0,3.0,,,,17,,,,1.0,,1.0,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_udante-ud-dev,376,0,4.0,,18.0,6.0,,,,45,,,,10.0,,1.0,,,,2.0,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,1.0,
ro_rrt-ud-test,729,0,,1.0,2.0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ro_rrt-ud-train,8043,0,,8.0,20.0,3.0,,2.0,,45,,1.0,,,,,,6.0,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,1.0,,,,,,,,,,,,
el_gdt-ud-test,456,0,,6.0,9.0,,,2.0,,18,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el_gdt-ud-train,1662,0,,51.0,57.0,,1.0,22.0,,145,,,,13.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el_gdt-ud-dev,403,0,,10.0,7.0,,,6.0,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_arcosg-ud-test,545,0,,,15.0,3.0,,,,19,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_arcosg-ud-train,3541,0,,,68.0,1.0,,1.0,,75,,,,3.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
gd_arcosg-ud-dev,655,0,,,30.0,1.0,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
got_proiel-ud-dev,985,0,5.0,,45.0,,,,,56,,,,4.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
got_proiel-ud-train,3387,0,2.0,1.0,108.0,4.0,,1.0,,127,,,,8.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
got_proiel-ud-test,1029,0,2.0,,55.0,1.0,,6.0,,68,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
cs_pdt-ud-test,10146,0,,2.0,12.0,1.0,2.0,4.0,,24,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_pdt-ud-dev,9270,0,1.0,12.0,13.0,1.0,,2.0,,41,,,,7.0,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,
cs_pdt-ud-train,68491,0,,19.0,56.0,2.0,,19.0,,129,,,,23.0,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lv_lvtb-ud-test,2412,0,,,19.0,1.0,,,,22,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lv_lvtb-ud-train,14358,0,1.0,,40.0,10.0,,7.0,,70,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,
lv_lvtb-ud-dev,2080,0,1.0,,5.0,7.0,,1.0,,17,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,
la_ittb-ud-dev,2101,0,,,4.0,1.0,1.0,1.0,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_ittb-ud-test,2101,0,,,1.0,1.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_ittb-ud-train,22775,0,,,22.0,3.0,6.0,1.0,,37,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,
ga_cadhan-ud-test,193,0,,,14.0,,,,,15,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_pud-ud-test,1000,0,,,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orv_torot-ud-test,2955,0,15.0,,64.0,2.0,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orv_torot-ud-dev,3061,0,26.0,,131.0,4.0,,9.0,,175,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
orv_torot-ud-train,20480,0,70.0,,481.0,20.0,,39.0,,625,,,,4.0,,2.0,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_cac-ud-dev,603,0,,,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_cac-ud-train,23478,0,,11.0,49.0,2.0,,4.0,,88,,,,17.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_cac-ud-test,628,0,,1.0,8.0,2.0,,1.0,,18,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_lfg-ud-test,1727,0,,,23.0,,,,,37,,,,2.0,,,,11.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_lfg-ud-train,13774,0,2.0,,104.0,,,,,153,,,,4.0,,,,39.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_lfg-ud-dev,1745,0,,,17.0,,,,,26,,,,,,,,7.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_poetry-ud-test,297,0,1.0,,19.0,7.0,,1.0,,42,,,,5.0,,,,5.0,,,,,,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
ru_gsd-ud-train,3850,0,1.0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lv_cairo-ud-test,20,0,,,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bg_btb-ud-train,8907,0,,3.0,2.0,,2.0,,,26,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,
bg_btb-ud-test,1116,0,,,1.0,,,,,2,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bg_btb-ud-dev,1115,0,,,,,,,,1,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bej_nsc-ud-test,380,0,,,3.0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
