Treebank,Number of Sentences,Failures,iobj,case,obl,obj,expl,amod,det,conj,nmod,orphan,appos,root,flat:name,Total,advcl,parataxis,dislocated,mark,fixed,nummod,list,nsubj,ccomp,acl,compound:redup,csubj,xcomp,nmod:obl,nmod:att,compound:lvc,flat,compound,nmod:poss,cop,obl:arg,dep,expl:pv,reparandum,nsubj:pass,csubj:pass,obl:agent,det:poss,nmod:arg,amod:flat,det:nummod,parataxis:obj,obl:cmpr,acl:relcl,flat:foreign,flat:title,flat:abs,flat:repeat,advcl:ccomp,advcl:fin,obl:benef,acl:ptcp,acl:attr,nmod:appos,obl:goal,compound:name,advcl:caus,advcl:manner,obl:source,obl:tmod,acl:dpct,obl:soc,obl:manner,obl:lmod,obl:instr,xcomp:result,advcl:cond,discourse,nummod:gov,det:numgov,obl:float,aux:pass,obl:depict,advcl:abs,advcl:pred,obl:cmp,advcl:cmp,advmod,compound:prt,aux,vocative,nmod:tmod,clf,_,expl:poss,obl:pmod,expl:impers,expl:pass,nsubj:outer,nmod:npmod,case:loc,flat:range,advcl:tcl,orphan:missing,dislocated:obl,dislocated:nsubj,nmod:comp,xcomp:pred,iobj:agent,compound:svc,cc,parataxis:discourse,conj:expl,advcl:relcl,aux:caus,obl:smod,nsubj:nc,nmod:cau,ccomp:relcl,appos:trans,nmod:flat,nummod:entity
sga_dipsgg-ud-test,64,0,,,2.0,,,2.0,8.0,,13.0,,,7.0,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pt_porttinari-ud-train,5893,0,66.0,,37.0,16.0,10.0,,,,6.0,,,,,136,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pt_porttinari-ud-test,1683,0,14.0,,7.0,5.0,1.0,,,,1.0,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pt_porttinari-ud-dev,842,0,6.0,,3.0,,,,,,1.0,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_pdb-ud-test,2215,0,230.0,,23.0,,,21.0,1.0,14.0,6.0,,3.0,2.0,,352,,,,,,3.0,,,,6.0,,,,,,,1.0,,,,4.0,,20.0,,,,,10.0,3.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_pdb-ud-train,17722,0,1886.0,,219.0,2.0,,229.0,43.0,97.0,59.0,2.0,46.0,3.0,,3024,,,,,3.0,11.0,,,,52.0,,,,,,,24.0,,1.0,,39.0,,232.0,,,,,42.0,12.0,6.0,6.0,2.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_pdb-ud-dev,2215,0,254.0,,30.0,2.0,,34.0,6.0,13.0,6.0,,6.0,,,406,,,,,1.0,,,,,7.0,,,,,,,7.0,,,,5.0,,28.0,,,,,2.0,3.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sah_yktdt-ud-test,299,0,4.0,,76.0,4.0,,,,,2.0,,,,,93,,,,,,,,2.0,,,,1.0,,,,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk_iu-ud-dev,673,0,15.0,6.0,5.0,46.0,,15.0,3.0,5.0,6.0,,4.0,3.0,5.0,117,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk_iu-ud-train,5521,0,285.0,14.0,19.0,446.0,13.0,86.0,50.0,44.0,33.0,3.0,23.0,12.0,31.0,1092,2.0,,,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,19.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk_iu-ud-test,898,0,33.0,3.0,4.0,56.0,,25.0,12.0,14.0,15.0,,4.0,10.0,,181,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sa_vedic-ud-test,2709,0,171.0,,30.0,2.0,,14.0,14.0,46.0,16.0,16.0,6.0,33.0,,559,18.0,2.0,1.0,,,,,1.0,3.0,17.0,,1.0,,,,,82.0,,,,,,,,,,,,,,,,,,,,,,9.0,40.0,22.0,4.0,3.0,2.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sa_vedic-ud-train,21477,0,1338.0,,131.0,28.0,,73.0,67.0,330.0,65.0,177.0,22.0,181.0,,4253,136.0,18.0,,,,2.0,,6.0,50.0,102.0,,1.0,3.0,,,,811.0,,,1.0,,,,,,,2.0,,,,,,,3.0,,,,,109.0,322.0,162.0,9.0,7.0,31.0,27.0,2.0,1.0,4.0,11.0,6.0,6.0,2.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sa_vedic-ud-dev,2996,0,210.0,,27.0,3.0,,7.0,13.0,23.0,2.0,33.0,3.0,20.0,,560,11.0,5.0,,,,1.0,,2.0,4.0,15.0,,2.0,,,,,92.0,,,,,,,,,,,,,,,,,,,,,,10.0,45.0,17.0,1.0,,4.0,2.0,,4.0,,2.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_ancora-ud-train,14287,0,,,,,244.0,,,,,,,,,1798,,,,,,,,,,,,,,,,,,,,,1480.0,,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_ancora-ud-test,1721,0,,,,,24.0,,,,,,,,,185,,,,,,,,,,,,,,,,,,,,,144.0,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_ancora-ud-dev,1654,0,,,,,26.0,,,,,,,,,235,,,,,,,,,,,,,,,,,,,,,189.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hr_set-ud-dev,960,0,53.0,8.0,16.0,80.0,3.0,52.0,12.0,18.0,21.0,,2.0,,,276,,1.0,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hr_set-ud-train,6914,0,462.0,66.0,128.0,551.0,2.0,345.0,68.0,123.0,227.0,5.0,12.0,3.0,,2077,,3.0,1.0,4.0,3.0,4.0,1.0,4.0,,7.0,,,2.0,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hr_set-ud-test,1136,0,67.0,11.0,19.0,106.0,,53.0,9.0,19.0,56.0,,4.0,,,363,,1.0,,,1.0,,,,,1.0,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orv_rnc-ud-dev,943,0,236.0,,168.0,1.0,,101.0,79.0,69.0,39.0,37.0,101.0,7.0,48.0,929,,6.0,1.0,,1.0,21.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orv_rnc-ud-train,1868,0,619.0,,494.0,7.0,,363.0,271.0,259.0,136.0,37.0,296.0,18.0,110.0,2694,9.0,1.0,1.0,,2.0,13.0,,6.0,,23.0,,1.0,3.0,,,,,1.0,,4.0,,,,,,,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,4.0,,4.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orv_rnc-ud-test,717,0,450.0,,311.0,1.0,,220.0,154.0,163.0,62.0,9.0,211.0,25.0,132.0,1776,1.0,1.0,,,,3.0,,6.0,,7.0,,,2.0,,,,,4.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,8.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_circse-ud-test,1263,0,,,175.0,,,67.0,34.0,36.0,6.0,16.0,2.0,16.0,,659,6.0,,,,,,,,,13.0,,,,,,,,,,,254.0,,,,1.0,,8.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,2.0,3.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_pud-ud-test,1000,0,25.0,,476.0,173.0,1.0,224.0,91.0,81.0,496.0,,15.0,31.0,6.0,1941,7.0,1.0,,3.0,16.0,27.0,,48.0,10.0,7.0,,2.0,7.0,,,,,3.0,42.0,,135.0,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grc_perseus-ud-dev,1137,0,136.0,,442.0,202.0,,13.0,388.0,63.0,237.0,,,6.0,,1598,19.0,,,,,,,4.0,1.0,3.0,,,42.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grc_perseus-ud-train,11476,0,1215.0,,4059.0,1828.0,,63.0,833.0,379.0,2480.0,,15.0,19.0,,11340,43.0,2.0,,,,3.0,,22.0,,8.0,,,239.0,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grc_perseus-ud-test,1306,0,99.0,,452.0,171.0,,14.0,371.0,42.0,219.0,,,5.0,,1443,14.0,,,,,,,,1.0,2.0,,,31.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_atis-ud-dev,572,0,,,160.0,,,1.0,,7.0,151.0,,,12.0,,466,,,,,,,,,3.0,,,,,,,,126.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_atis-ud-train,4274,0,,,1277.0,6.0,,2.0,,45.0,1184.0,,,48.0,,3603,,,,,,,1.0,2.0,3.0,2.0,,,,,,,944.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_atis-ud-test,586,0,,,123.0,,,,,2.0,196.0,,,13.0,,455,,,,,,,,,,2.0,,,1.0,,,,108.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pt_pud-ud-test,1000,0,7.0,,,,,,2.0,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hi_pud-ud-test,1000,0,,2.0,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_perseus-ud-test,939,0,,,91.0,,,22.0,14.0,7.0,19.0,,,1.0,,265,1.0,,,,,,,,,,,,1.0,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_perseus-ud-train,1334,0,,,189.0,,,45.0,37.0,30.0,25.0,,2.0,1.0,7.0,538,1.0,,,,,1.0,,,,,,,1.0,,,,1.0,,,,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_kenet-ud-dev,1646,0,117.0,1.0,597.0,31.0,,2.0,,33.0,12.0,,,1.0,,969,16.0,,,,,,,1.0,64.0,1.0,,,,,,,4.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_kenet-ud-test,1643,0,1.0,1.0,498.0,102.0,,2.0,,10.0,18.0,,,1.0,,963,15.0,,,,,,7.0,4.0,90.0,1.0,,,3.0,,,,3.0,206.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_kenet-ud-train,15398,0,302.0,14.0,3975.0,362.0,,53.0,,226.0,191.0,2.0,5.0,23.0,,6213,89.0,3.0,,,4.0,3.0,1.0,12.0,363.0,11.0,,2.0,22.0,,,,15.0,527.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sk_snk-ud-dev,1060,0,,74.0,39.0,,,44.0,8.0,4.0,28.0,,1.0,,,292,,,,,1.0,,,,,,,,,,,,,,,,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sk_snk-ud-test,1061,0,,71.0,33.0,,,44.0,14.0,10.0,25.0,1.0,1.0,,,307,,,,,1.0,2.0,,,,,,,,,,,,,,,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sk_snk-ud-train,8483,0,,315.0,219.0,,,116.0,61.0,35.0,79.0,,4.0,9.0,,2031,,,,,3.0,6.0,,,,,,,,,,,,,,,1176.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt_hse-ud-train,153,0,16.0,,5.0,15.0,,6.0,1.0,16.0,16.0,,,,,91,,1.0,,,,,,,,1.0,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt_hse-ud-test,55,0,6.0,,1.0,3.0,,6.0,1.0,,4.0,,1.0,,,23,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt_hse-ud-dev,55,0,7.0,,,5.0,,2.0,1.0,4.0,1.0,,,,,23,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hit_hittb-ud-test,136,0,18.0,,37.0,6.0,1.0,2.0,7.0,1.0,5.0,4.0,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sa_ufal-ud-test,230,0,6.0,,2.0,,,,,6.0,,,,3.0,,20,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be_hse-ud-train,22853,0,1746.0,,175.0,19.0,,266.0,146.0,129.0,162.0,18.0,63.0,39.0,132.0,2945,1.0,10.0,,,7.0,2.0,1.0,1.0,2.0,14.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be_hse-ud-dev,1301,0,80.0,,6.0,1.0,,13.0,2.0,7.0,8.0,,2.0,1.0,2.0,124,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be_hse-ud-test,1077,0,58.0,,8.0,4.0,,21.0,8.0,20.0,20.0,2.0,3.0,2.0,5.0,153,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub_tudet-ud-test,1182,0,6.0,1.0,118.0,1.0,,,,,3.0,,6.0,,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_pud-ud-test,1000,0,,112.0,67.0,,,80.0,11.0,15.0,53.0,,1.0,2.0,,503,,,,,3.0,2.0,,1.0,,2.0,,,1.0,,,,7.0,,,,123.0,,22.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orv_ruthenian-ud-test,390,0,291.0,,104.0,,,82.0,77.0,83.0,10.0,6.0,57.0,18.0,,736,,1.0,2.0,,2.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orv_ruthenian-ud-train,2789,0,1815.0,,539.0,2.0,,495.0,984.0,1049.0,250.0,71.0,699.0,172.0,212.0,6395,5.0,1.0,2.0,,,12.0,,,,66.0,,,6.0,,,,,,,,,1.0,,10.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orv_ruthenian-ud-dev,344,0,191.0,,86.0,,,77.0,107.0,47.0,21.0,5.0,81.0,37.0,8.0,664,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ml_ufal-ud-test,218,0,7.0,,24.0,,,,1.0,,9.0,,,,,59,,,,,,1.0,,13.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
