Treebank,Number of Sentences,Failures,root,conj,obj,amod,orphan,xcomp,nmod,acl:relcl,nsubj,nummod,parataxis,appos,obl,nsubj:cop,ccomp,det,advcl,acl,discourse,compound:nn,fixed,dislocated,flat,flat:name,Total,dep,csubj,compound,vocative,advmod,flat:foreign,_,xcomp:ds,cop,compound:prt,nmod:gobj,csubj:cop,iobj,nsubj:outer,aux,expl,mark
ru_syntagrus-ud-train,69630,0,2.0,6.0,1.0,,1.0,,10.0,,22.0,,2.0,1.0,73.0,,,,,,,,29.0,,,,147,,,,,,,,,,,,,,,,,
ru_syntagrus-ud-dev,8906,0,,,,,,,3.0,,1.0,,,,14.0,,,,,,,,2.0,,,,20,,,,,,,,,,,,,,,,,
ru_syntagrus-ud-test,8800,0,,,,,,,,,1.0,,,,7.0,,,,,,,,1.0,,,,9,,,,,,,,,,,,,,,,,
ru_poetry-ud-dev,789,0,,,,,,,2.0,,1.0,,,,2.0,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,
ru_poetry-ud-train,3569,0,1.0,,1.0,,,,1.0,,,,1.0,2.0,5.0,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,
krl_kkpp-ud-test,228,0,9.0,40.0,134.0,46.0,,,5.0,2.0,3.0,3.0,3.0,2.0,16.0,5.0,,6.0,2.0,,,,1.0,,,2.0,280,,,1.0,,,,,,,,,,,,,,
eu_bdt-ud-train,5396,0,16.0,16.0,179.0,48.0,1.0,9.0,9.0,,61.0,,,1.0,21.0,,3.0,3.0,34.0,4.0,,,,,,,420,,3.0,4.0,,2.0,,,,5.0,,,,1.0,,,,
eu_bdt-ud-test,1799,0,10.0,7.0,64.0,16.0,,8.0,4.0,,18.0,,,,9.0,,1.0,3.0,15.0,2.0,,,,,,,162,,1.0,,1.0,,,,,2.0,,,,,1.0,,,
eu_bdt-ud-dev,1798,0,13.0,5.0,51.0,10.0,2.0,6.0,3.0,,19.0,,,,7.0,,3.0,1.0,10.0,1.0,,,,,1.0,,135,,,1.0,,1.0,,,,,,,,,,1.0,,
fi_ftb-ud-dev,1875,0,141.0,61.0,475.0,107.0,,5.0,116.0,,140.0,14.0,,,,4.0,8.0,74.0,23.0,25.0,,1.0,4.0,,2.0,,1215,1.0,1.0,,,,,,1.0,,4.0,,3.0,,,,4.0,1.0
fi_ftb-ud-train,14981,0,955.0,605.0,3863.0,992.0,,64.0,951.0,,1176.0,83.0,,,,28.0,72.0,508.0,188.0,211.0,,3.0,29.0,,28.0,,9887,5.0,12.0,,,,,,,1.0,53.0,,3.0,,,,54.0,3.0
fi_ftb-ud-test,1867,0,133.0,86.0,595.0,138.0,,11.0,106.0,,131.0,10.0,,,,4.0,13.0,80.0,36.0,35.0,,,3.0,,6.0,,1397,,1.0,,,,,,,,6.0,,,,,,3.0,
ru_gsd-ud-dev,579,0,,,,,,,,,,,,,1.0,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
ru_gsd-ud-train,3850,0,,,,,,,,,,,,,1.0,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
