Treebank,Number of Sentences,Failures,obl,flat:name,obl:lvc,conj,compound:preverb,nmod:obl,nmod:att,Total,appos,det,xcomp,root,amod,acl,xcomp:ds,cop,orphan,parataxis,nmod,discourse,nummod,cop:own,obj,ccomp,obl:tmod,obl:lmod,advmod:lmod,case,obl:agent,vocative,nsubj,reparandum,aux,advcl,_,acl:relcl,csubj:cop,csubj,advmod:cau,obl:cmp,advcl:tcl,advmod:tmod,advmod,flat:foreign,compound:prt,compound,flat,fixed,mark,nsubj:cop,advmod:eval,nmod:lmod,advcl:lcl,nmod:gobj,dep,expl
mdf_jr-ud-train,20,0,,,,,,,,2,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vep_vwt-ud-test,103,0,20.0,,,2.0,,,,32,,,6.0,1.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fi_tdt-ud-train,12217,0,2603.0,11.0,,273.0,,,,5022,33.0,164.0,461.0,42.0,465.0,159.0,198.0,13.0,21.0,3.0,481.0,,57.0,,2.0,8.0,,,,1.0,,,,,2.0,14.0,1.0,4.0,,,,,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,
fi_tdt-ud-test,1555,0,319.0,,,39.0,,,,616,2.0,18.0,59.0,8.0,60.0,13.0,27.0,3.0,,,56.0,,5.0,,2.0,1.0,,,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,
fi_tdt-ud-dev,1364,0,287.0,1.0,,37.0,,,,538,,19.0,54.0,4.0,46.0,18.0,16.0,2.0,5.0,,44.0,,2.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
myv_jr-ud-test,921,0,122.0,,,1.0,,,,206,4.0,,1.0,,,,,,2.0,1.0,1.0,,,,,,3.0,24.0,3.0,13.0,,,,,,1.0,,,,,,,,16.0,2.0,,,,,5.0,6.0,1.0,,,,,,
myv_jr-ud-train,1217,0,142.0,,,1.0,,,,211,3.0,,,1.0,,,,,,,1.0,,,,,,6.0,27.0,4.0,12.0,,,1.0,,,1.0,,,,,,,,8.0,1.0,,1.0,,,1.0,1.0,,,,,,,
kpv_ikdp-ud-test,214,0,30.0,,,2.0,,,,67,,,,1.0,,,,,,,,,,,,,,8.0,1.0,14.0,,,1.0,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,
kpv_lattice-ud-test,643,0,28.0,1.0,,4.0,,,,240,4.0,,,2.0,1.0,,,,1.0,,1.0,,,,1.0,1.0,8.0,56.0,19.0,93.0,,1.0,1.0,,,4.0,,,,,,,8.0,2.0,,,,,,,,1.0,1.0,1.0,1.0,,,
kpv_lattice-ud-train,20,0,,,,,,,,2,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fi_pud-ud-test,1000,0,255.0,7.0,,23.0,,,,497,2.0,18.0,41.0,,51.0,8.0,22.0,1.0,,,54.0,,7.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,2.0,,,,,,2.0,,
et_edt-ud-dev,3128,0,84.0,,,23.0,,,,345,,2.0,125.0,34.0,15.0,7.0,,16.0,,,12.0,,,,,8.0,,,,,,,,,3.0,12.0,,3.0,,,,,,,,,,1.0,,,,,,,,,,
et_edt-ud-train,24615,0,795.0,,,224.0,,,,3228,11.0,43.0,1145.0,314.0,121.0,52.0,,128.0,3.0,19.0,115.0,,4.0,,,66.0,,,,,,,,,17.0,110.0,6.0,40.0,1.0,3.0,,,,,,,,10.0,,,,,,,,,1.0,
et_edt-ud-test,3214,0,83.0,,,37.0,,,,414,,2.0,151.0,44.0,10.0,11.0,,22.0,,3.0,15.0,,,,,9.0,,,,,,,,,1.0,14.0,2.0,5.0,,,,,,,,,,3.0,2.0,,,,,,,,,
koi_uh-ud-train,34,0,,,,,,,,2,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
koi_uh-ud-test,94,0,1.0,,,,,,,28,1.0,,,,,,,,,,,,,,,,2.0,9.0,1.0,10.0,,,1.0,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,
sme_giella-ud-train,2257,0,417.0,,,4.0,,,,479,1.0,2.0,,,24.0,,,,,,27.0,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,
sme_giella-ud-test,865,0,242.0,,,21.0,,,,291,3.0,1.0,,,11.0,,,,,1.0,10.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
krl_kkpp-ud-test,228,0,72.0,,,8.0,,,,97,,6.0,3.0,,3.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,
fi_ftb-ud-dev,1875,0,,,,17.0,,,,371,,12.0,42.0,1.0,27.0,8.0,15.0,,,,221.0,,4.0,,,13.0,,,,,,,,,1.0,,,,,,,,,,,,5.0,,,,,,,,,,2.0,3.0
fi_ftb-ud-train,14981,0,,,,116.0,,,,3366,,108.0,391.0,44.0,241.0,98.0,99.0,12.0,,,2013.0,,47.0,,4.0,80.0,,,,,,,,,,12.0,,,,,,,,,,,57.0,,5.0,2.0,,,,,,,17.0,20.0
fi_ftb-ud-test,1867,0,,,,13.0,,,,432,,24.0,52.0,3.0,32.0,15.0,20.0,1.0,,,243.0,,4.0,,1.0,15.0,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,1.0,,,,,,,2.0,2.0
