Treebank,Number of Sentences,Failures,case,amod,obl,conj,nmod,det,appos,orphan,nummod,advcl,parataxis,root,fixed,flat:name,Total,flat,discourse,advmod,list,nsubj,ccomp,dep,iobj,xcomp,cc,acl,csubj,compound:redup,compound,csubj:outer,nmod:poss,compound:lvc,obj,cop,clf,obl:arg,nmod:arg,det:nummod,amod:flat,det:poss,parataxis:insert,parataxis:obj,obl:cmpr,nmod:flat,nummod:gov,ccomp:obj,xcomp:pred,acl:relcl,advcl:cmpr,flat:foreign,advcl:relcl,parataxis:discourse,flat:title,advcl:pred,dislocated,flat:abs,flat:sibl,vocative:cl,mark,flat:range,advmod:det,_,acl:adv,advcl:ccomp,obl:lmod,obl:goal,obl:tmod,advcl:cond,advcl:tcl,obl:soc,obl:benef,obl:manner,acl:ptcp,advcl:manner,nmod:appos,acl:dpct,advcl:fin,acl:attr,advcl:concess,advcl:caus,obl:agent,obl:instr,acl:crel,obl:grad,xcomp:result,obl:source,det:numgov,expl,vocative,advmod:lmod,nmod:tmod,reparandum,dep:infl,obl:subj,advcl:cmp,nsubj:outer,nmod:npmod,case:loc,advmod:tmod,aux:neg,xcomp:ds,compound:svc,nmod:lmod,nmod:part,csubj:cop,nsubj:pass,obl:depict,expl:pass,parataxis:restart,obl:own,aux,csubj:pass,parataxis:trans,nummod:entity,dep:comp,dep:conj
tr_pud-ud-test,1000,0,1.0,11.0,658.0,27.0,4.0,,11.0,2.0,2.0,31.0,,9.0,,,797,17.0,,,,,,,,2.0,,3.0,,,6.0,,4.0,2.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_pdb-ud-test,2215,0,,323.0,703.0,106.0,311.0,61.0,2.0,2.0,12.0,,,2.0,139.0,,1988,4.0,,,,,,,,,,40.0,,,,,,,,,,188.0,29.0,6.0,32.0,19.0,2.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_pdb-ud-train,17722,0,1.0,2736.0,5702.0,741.0,2731.0,531.0,16.0,11.0,82.0,7.0,,27.0,1274.0,,16545,36.0,,,,,5.0,,2.0,2.0,,335.0,1.0,,,,,,1.0,,,1454.0,275.0,53.0,253.0,169.0,13.0,5.0,65.0,3.0,4.0,2.0,2.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_pdb-ud-dev,2215,0,,340.0,705.0,90.0,316.0,63.0,3.0,3.0,9.0,,,2.0,170.0,,2074,4.0,,,,1.0,,,1.0,,,60.0,,,,,,,,,,198.0,27.0,5.0,42.0,22.0,1.0,,11.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk_iu-ud-dev,673,0,322.0,88.0,217.0,19.0,79.0,25.0,3.0,3.0,4.0,3.0,1.0,6.0,,,776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk_iu-ud-train,5521,0,2391.0,675.0,1640.0,164.0,489.0,245.0,40.0,38.0,12.0,16.0,16.0,38.0,7.0,,5838,,,,,,2.0,,,2.0,2.0,5.0,,,5.0,,,,,,,,,4.0,,,,,,,3.0,,,5.0,,,,7.0,6.0,1.0,,1.0,8.0,1.0,2.0,10.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk_iu-ud-test,898,0,467.0,112.0,309.0,37.0,110.0,41.0,10.0,6.0,6.0,2.0,,5.0,8.0,1.0,1130,,,,,,3.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,2.0,,,2.0,,,4.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sa_vedic-ud-test,2709,0,,39.0,131.0,69.0,4.0,42.0,,50.0,3.0,15.0,4.0,20.0,1.0,,750,47.0,,,,17.0,1.0,,,1.0,,13.0,1.0,,,,,,4.0,,,,,,,,,,,,,,,5.0,,,,,,,2.0,,,,,,,,,3.0,133.0,54.0,47.0,17.0,15.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sa_vedic-ud-train,21477,0,3.0,240.0,1055.0,499.0,50.0,238.0,14.0,405.0,24.0,139.0,8.0,215.0,,,6016,367.0,,4.0,,200.0,39.0,,10.0,2.0,,86.0,5.0,,,,,,3.0,1.0,,,,,,,,,,,,,,57.0,,,,,,,2.0,,,,,,,,,15.0,1028.0,521.0,444.0,89.0,149.0,3.0,13.0,17.0,2.0,5.0,33.0,6.0,5.0,7.0,1.0,2.0,1.0,6.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sa_vedic-ud-dev,2996,0,,35.0,158.0,83.0,6.0,53.0,1.0,51.0,1.0,13.0,2.0,26.0,,,884,35.0,,1.0,,30.0,6.0,,3.0,1.0,,11.0,,,,,,,2.0,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,4.0,172.0,72.0,50.0,8.0,26.0,,,,2.0,,4.0,,,,,1.0,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bn_bru-ud-test,56,0,,,3.0,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hr_set-ud-dev,960,0,727.0,215.0,413.0,47.0,258.0,41.0,2.0,4.0,7.0,5.0,6.0,5.0,4.0,,1775,17.0,3.0,,,,1.0,,3.0,,1.0,9.0,1.0,,,,,,4.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hr_set-ud-train,6914,0,5657.0,1523.0,3117.0,481.0,2052.0,355.0,20.0,11.0,25.0,28.0,73.0,94.0,38.0,,13782,110.0,12.0,,1.0,4.0,23.0,,12.0,4.0,7.0,88.0,1.0,,,,,,20.0,,,,,,,,,,,,6.0,,,,,,,,,,1.0,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hr_set-ud-test,1136,0,878.0,221.0,458.0,65.0,336.0,42.0,3.0,6.0,6.0,2.0,19.0,20.0,4.0,,2106,19.0,5.0,,,,2.0,,3.0,2.0,,8.0,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orv_rnc-ud-dev,943,0,,155.0,403.0,47.0,56.0,57.0,33.0,13.0,8.0,,3.0,25.0,2.0,7.0,842,,,,,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,1.0,,,5.0,,,,,,,1.0,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orv_rnc-ud-train,1868,0,,350.0,805.0,191.0,183.0,197.0,88.0,15.0,21.0,8.0,9.0,122.0,12.0,19.0,2127,,,,,2.0,4.0,,1.0,3.0,,15.0,,,2.0,,,,1.0,,,,,,,,,,,,1.0,,,15.0,,,,,,,6.0,,,,,,,,,,,,56.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
orv_rnc-ud-test,717,0,,153.0,335.0,98.0,60.0,112.0,53.0,10.0,9.0,11.0,1.0,10.0,,19.0,923,,,,,,,,1.0,2.0,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,1.0,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_circse-ud-test,1263,0,,,,,,,,,,,,2.0,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
grc_perseus-ud-test,1306,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_atis-ud-dev,572,0,11.0,1.0,30.0,1.0,16.0,,,,,,,,,,121,12.0,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,
tr_atis-ud-train,4274,0,17.0,9.0,311.0,5.0,175.0,,,1.0,,,1.0,13.0,1.0,,843,112.0,,,,1.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,107.0,,,,,,,,,,,,,,,,,,,,,,,,,
tr_atis-ud-test,586,0,10.0,,32.0,,31.0,,,,,,,3.0,,,128,9.0,,,,,1.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,
hi_pud-ud-test,1000,0,589.0,,,,,,,,,,,,3.0,,593,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_perseus-ud-test,939,0,,,3.0,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_perseus-ud-train,1334,0,,,11.0,,1.0,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_kenet-ud-dev,1646,0,1.0,8.0,380.0,3.0,21.0,,,,,11.0,4.0,8.0,,,460,3.0,2.0,,,,,,,2.0,,,,,13.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_kenet-ud-test,1643,0,3.0,1.0,434.0,3.0,21.0,,,,1.0,5.0,3.0,2.0,,,525,,1.0,,1.0,1.0,3.0,,,,,,,,42.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_kenet-ud-train,15398,0,15.0,83.0,3201.0,86.0,182.0,,3.0,2.0,2.0,70.0,29.0,79.0,1.0,,3954,9.0,2.0,,11.0,5.0,6.0,,,11.0,,8.0,,,95.0,,,,52.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sms_giellagas-ud-test,230,0,,,7.0,1.0,2.0,,,,,,,4.0,,,34,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
sms_giellagas-ud-train,20,0,,,3.0,,,,1.0,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sk_snk-ud-dev,1060,0,467.0,116.0,297.0,17.0,117.0,43.0,3.0,1.0,6.0,,,,13.0,,1106,,,,,,,2.0,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sk_snk-ud-test,1061,0,530.0,135.0,349.0,28.0,126.0,41.0,2.0,1.0,5.0,,,1.0,3.0,,1248,,,,,,,3.0,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sk_snk-ud-train,8483,0,2135.0,496.0,1467.0,67.0,388.0,241.0,5.0,5.0,27.0,,,23.0,27.0,,5062,1.0,,,,,,26.0,,,,,,,,,,,,,,154.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt_hse-ud-train,153,0,,3.0,39.0,4.0,9.0,2.0,1.0,,,1.0,3.0,2.0,1.0,,66,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt_hse-ud-test,55,0,,9.0,16.0,3.0,3.0,,1.0,,,,,1.0,,,37,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt_hse-ud-dev,55,0,,,8.0,,2.0,2.0,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ess_sli-ud-test,309,0,,,,,,,,,,,,,,,27,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,
sa_ufal-ud-test,230,0,,4.0,31.0,4.0,7.0,3.0,,,,5.0,,2.0,,,60,1.0,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be_hse-ud-train,22853,0,,1788.0,5484.0,483.0,2620.0,548.0,42.0,35.0,33.0,15.0,75.0,441.0,85.0,2.0,11786,1.0,,1.0,2.0,3.0,32.0,2.0,2.0,22.0,,41.0,4.0,,,,,,2.0,1.0,,,,,,,,,,,1.0,,,17.0,,,,,,,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be_hse-ud-dev,1301,0,,136.0,347.0,46.0,177.0,21.0,4.0,11.0,5.0,1.0,4.0,45.0,16.0,,820,,,,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be_hse-ud-test,1077,0,,228.0,322.0,64.0,266.0,35.0,2.0,1.0,3.0,,8.0,32.0,65.0,,1057,,,,1.0,,3.0,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub_tudet-ud-test,1182,0,,,194.0,,29.0,,5.0,,,,1.0,4.0,,,236,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
cs_pud-ud-test,1000,0,762.0,221.0,408.0,33.0,217.0,42.0,7.0,2.0,19.0,2.0,,10.0,26.0,,1798,6.0,,,,,3.0,,,2.0,,3.0,1.0,,3.0,,,,,,,27.0,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orv_ruthenian-ud-test,390,0,,45.0,224.0,26.0,28.0,58.0,4.0,11.0,18.0,,1.0,4.0,,2.0,427,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
orv_ruthenian-ud-train,2789,0,,278.0,1155.0,151.0,205.0,324.0,98.0,12.0,20.0,15.0,2.0,45.0,,6.0,2347,,,,,5.0,4.0,,,3.0,,6.0,,,3.0,,,,5.0,,,,,,,,,,,,1.0,,,7.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
orv_ruthenian-ud-dev,344,0,,10.0,88.0,12.0,10.0,22.0,8.0,2.0,3.0,,1.0,4.0,,1.0,165,,,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lzh_tuecl-ud-test,100,0,,1.0,3.0,1.0,12.0,,,,,,1.0,1.0,,,38,2.0,,,,5.0,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ml_ufal-ud-test,218,0,2.0,1.0,69.0,,12.0,,,,,2.0,,,,,95,3.0,,,,2.0,,,,,,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apu_ufpa-ud-test,161,0,,,,,,,1.0,,,,,1.0,,,18,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
egy_ujaen-ud-test,721,0,73.0,28.0,,1.0,11.0,,1.0,,,,,,,,121,,,,,3.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
nyq_aha-ud-test,10,0,,,,,,,,,,1.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mr_ufal-ud-dev,46,0,,,7.0,1.0,,,,,,,,3.0,,,12,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mr_ufal-ud-test,47,0,,,5.0,,,,,,,,,1.0,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mr_ufal-ud-train,373,0,,,35.0,1.0,1.0,,,,,6.0,2.0,4.0,,,50,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
si_stb-ud-test,100,0,,,2.0,,1.0,,,,,,,2.0,,,9,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt_alksnis-ud-test,684,0,,25.0,173.0,17.0,5.0,9.0,3.0,,2.0,,,,,,243,,,,,,,1.0,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt_alksnis-ud-dev,617,0,,27.0,219.0,16.0,2.0,10.0,1.0,,3.0,,,,,,297,3.0,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt_alksnis-ud-train,2341,0,,119.0,843.0,75.0,28.0,63.0,1.0,,19.0,,1.0,,,,1185,2.0,,,,,,2.0,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cu_proiel-ud-train,18327,0,,402.0,2425.0,260.0,190.0,449.0,70.0,77.0,97.0,94.0,6.0,143.0,4.0,6.0,4642,,,53.0,,21.0,15.0,1.0,,81.0,,126.0,,,,,,,20.0,,,80.0,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,
cu_proiel-ud-test,2096,0,,53.0,306.0,29.0,17.0,60.0,6.0,6.0,17.0,15.0,,15.0,1.0,,588,,,15.0,,,,1.0,,14.0,,20.0,,,,,,,2.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,
cu_proiel-ud-dev,2205,0,,62.0,273.0,16.0,22.0,48.0,12.0,9.0,27.0,15.0,,17.0,,,559,,,8.0,,2.0,,,,9.0,,26.0,,,,,,,1.0,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
