Treebank,Number of Sentences,Failures,case,amod,obl,nmod,det,conj,nummod,orphan,parataxis,mark,fixed,appos,root,flat:name,discourse,Total,advcl,xcomp,list,cc,obj,compound,csubj,acl,obl:agent,ccomp,nmod:obl,obl:lvc,advmod:mode,ccomp:pred,cop,nmod:poss,compound:lvc,flat,iobj,obl:arg,det:poss,xcomp:pred,nmod:arg,xcomp:cleft,obl:cmpr,acl:relcl,parataxis:obj,parataxis:insert,ccomp:obj,amod:flat,nmod:pred,det:nummod,advmod:emph,nmod:flat,nsubj:pass,ccomp:cleft,advcl:cmpr,csubj:pass,nummod:gov,nsubj,advcl:relcl,parataxis:discourse,parataxis:rel,flat:title,advmod:det,flat:abs,flat:sibl,advcl:pred,_,flat:range,advmod,obl:instr,nmod:appos,obl:manner,obl:soc,advcl:ccomp,acl:attr,obl:path,acl:ptcp,obl:tmod,obl:source,obl:grad,advcl:manner,acl:dpct,advcl:cond,advcl:concess,obl:lmod,advcl:fin,advcl:tcl,advcl:caus,compound:name,vocative,obl:benef,obl:goal,obl:float,obl:depict,dislocated,dep,reparandum,advcl:cmp,case:loc,nmod:npmod,compound:redup,aux,nmod:gobj,nmod:gsubj,advmod:lmod,advmod:mmod,advmod:tmod,flat:foreign,aux:caus,obl:inst
uk_iu-ud-test,898,0,206.0,144.0,266.0,88.0,38.0,62.0,1.0,5.0,3.0,,,5.0,26.0,12.0,,929,5.0,3.0,,,3.0,1.0,3.0,2.0,,2.0,,,,,,,,,,,,33.0,,,,4.0,,,,,,1.0,,,,,,,1.0,,,6.0,,5.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sa_vedic-ud-test,2709,0,,35.0,208.0,1.0,46.0,77.0,6.0,47.0,1.0,,,2.0,7.0,,,801,1.0,,,,3.0,,1.0,16.0,11.0,5.0,,,,,,,,48.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,212.0,3.0,10.0,38.0,3.0,1.0,7.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sa_vedic-ud-train,21477,0,,288.0,1648.0,22.0,333.0,557.0,47.0,352.0,8.0,,,20.0,80.0,,,6915,3.0,2.0,,,6.0,,4.0,242.0,192.0,23.0,,,,,,,,556.0,5.0,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,4.0,1893.0,34.0,72.0,352.0,39.0,5.0,36.0,3.0,20.0,16.0,13.0,7.0,5.0,4.0,1.0,11.0,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
sa_vedic-ud-dev,2996,0,,39.0,215.0,1.0,36.0,63.0,6.0,48.0,,,,,5.0,,,849,3.0,,,,,,,22.0,16.0,4.0,,,,,1.0,,,51.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.0,7.0,13.0,43.0,6.0,1.0,8.0,,5.0,,1.0,1.0,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,
hr_set-ud-dev,960,0,158.0,104.0,153.0,66.0,18.0,45.0,2.0,3.0,2.0,4.0,5.0,1.0,3.0,,,630,,24.0,,,13.0,,,3.0,,2.0,,,,,,,,13.0,10.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hr_set-ud-train,6914,0,1266.0,757.0,1104.0,637.0,124.0,272.0,9.0,6.0,16.0,23.0,36.0,20.0,32.0,,9.0,4783,2.0,124.0,,2.0,98.0,,,23.0,,3.0,,,,,,,,170.0,44.0,,,,,,,,,,,,,,,,,,,,4.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hr_set-ud-test,1136,0,210.0,114.0,181.0,92.0,17.0,59.0,3.0,,3.0,4.0,6.0,7.0,6.0,,1.0,773,,13.0,,,24.0,,,4.0,,,,,,,,,,22.0,6.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orv_rnc-ud-dev,943,0,,53.0,131.0,247.0,30.0,72.0,6.0,11.0,1.0,,,18.0,3.0,16.0,,656,,7.0,,,15.0,,1.0,1.0,1.0,,,,,,,,,,38.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
orv_rnc-ud-train,1868,0,,230.0,345.0,299.0,220.0,265.0,8.0,27.0,5.0,,,107.0,14.0,55.0,,1946,4.0,17.0,,,71.0,,2.0,13.0,26.0,1.0,,,,,,,,,213.0,,,,,,,9.0,,,,,,,,,,,,,,3.0,,2.0,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
orv_rnc-ud-test,717,0,,80.0,164.0,106.0,69.0,63.0,3.0,2.0,,,,21.0,2.0,16.0,,672,,11.0,,1.0,56.0,,,1.0,3.0,,,,,,,,,,72.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_atis-ud-dev,572,0,,,8.0,3.0,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_atis-ud-train,4274,0,,2.0,30.0,35.0,,,,,,,,,,,,81,,1.0,,,,,,,,1.0,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_atis-ud-test,586,0,,,3.0,6.0,,,,,,,,,,,,12,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hi_pud-ud-test,1000,0,42.0,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_kenet-ud-dev,1646,0,,1.0,142.0,6.0,,7.0,,,2.0,,,,1.0,,1.0,167,1.0,,,,3.0,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_kenet-ud-test,1643,0,,,152.0,9.0,,12.0,,,1.0,,,,1.0,,,209,,9.0,1.0,,6.0,11.0,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_kenet-ud-train,15398,0,1.0,5.0,1237.0,58.0,,110.0,1.0,,4.0,,,1.0,10.0,,,1553,14.0,6.0,,,54.0,16.0,,1.0,,6.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
sk_snk-ud-dev,1060,0,130.0,148.0,82.0,76.0,22.0,43.0,4.0,1.0,,1.0,4.0,2.0,57.0,,,653,1.0,3.0,,,,,2.0,4.0,,,,,,,,,,,,69.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
sk_snk-ud-test,1061,0,136.0,146.0,103.0,74.0,41.0,60.0,2.0,2.0,1.0,,16.0,3.0,69.0,,,744,,2.0,,,,,,2.0,,,,,,,,,,,,80.0,,,,,,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,
sk_snk-ud-train,8483,0,880.0,492.0,614.0,309.0,115.0,109.0,18.0,5.0,3.0,,21.0,9.0,187.0,,,3108,4.0,9.0,,,,,4.0,3.0,,11.0,,,,,,,,,,289.0,,,,,,9.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,
lt_hse-ud-train,153,0,,19.0,18.0,8.0,3.0,13.0,,,2.0,,2.0,4.0,,,,96,,1.0,,,9.0,,,1.0,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt_hse-ud-test,55,0,,11.0,9.0,2.0,2.0,5.0,,,1.0,,,,1.0,,,42,,,,,3.0,,,1.0,2.0,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt_hse-ud-dev,55,0,,3.0,7.0,2.0,2.0,3.0,,,2.0,,,,1.0,,,31,,,,,3.0,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hit_hittb-ud-test,136,0,,1.0,8.0,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sa_ufal-ud-test,230,0,,4.0,31.0,3.0,5.0,6.0,2.0,1.0,,,,1.0,2.0,,,78,1.0,1.0,,,1.0,,,4.0,15.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be_hse-ud-train,22853,0,,1318.0,1759.0,1235.0,367.0,586.0,18.0,18.0,56.0,1.0,2.0,135.0,230.0,203.0,,7562,13.0,628.0,1.0,,192.0,,15.0,64.0,194.0,13.0,,,,,,,,2.0,480.0,,,,,,,20.0,,,,,,,,,,,,,1.0,2.0,,,,,,,,,4.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be_hse-ud-dev,1301,0,,77.0,82.0,77.0,16.0,45.0,2.0,,3.0,,,2.0,7.0,4.0,,401,,29.0,,,5.0,,,6.0,13.0,1.0,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be_hse-ud-test,1077,0,1.0,122.0,90.0,81.0,23.0,71.0,,,10.0,,1.0,9.0,13.0,6.0,,589,,44.0,,,13.0,,1.0,5.0,72.0,1.0,,,,,,,,1.0,24.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_pud-ud-test,1000,0,212.0,161.0,126.0,134.0,33.0,51.0,4.0,,,,10.0,7.0,45.0,,,909,3.0,28.0,,,,2.0,,1.0,20.0,3.0,,,,,,,,18.0,,41.0,,,,,,6.0,,,,,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orv_ruthenian-ud-test,390,0,,33.0,87.0,28.0,75.0,75.0,2.0,6.0,,,,18.0,4.0,,,390,2.0,3.0,,,5.0,,1.0,3.0,,1.0,,,,,,,,,44.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orv_ruthenian-ud-train,2789,0,,348.0,759.0,314.0,710.0,725.0,24.0,73.0,1.0,,,188.0,12.0,57.0,,3697,8.0,1.0,,,108.0,,,9.0,9.0,4.0,,,,,,,,,305.0,,,,,,,4.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
orv_ruthenian-ud-dev,344,0,,10.0,46.0,12.0,21.0,17.0,2.0,,,,,,4.0,2.0,,133,,,,,7.0,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ml_ufal-ud-test,218,0,,,3.0,1.0,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
egy_ujaen-ud-test,721,0,61.0,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mr_ufal-ud-dev,46,0,,,1.0,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mr_ufal-ud-test,47,0,,,3.0,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mr_ufal-ud-train,373,0,,,8.0,,,,,,,,,,1.0,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
si_stb-ud-test,100,0,,,2.0,,,,,,,,,,1.0,,,7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
lt_alksnis-ud-test,684,0,46.0,51.0,52.0,13.0,17.0,34.0,,,5.0,,,3.0,,,,384,,1.0,,,,,,30.0,,,,,,,,,,5.0,,127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt_alksnis-ud-dev,617,0,57.0,61.0,54.0,7.0,15.0,22.0,2.0,,8.0,,,,1.0,,,403,,,,,,,,25.0,,,,,,,,,,,,150.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt_alksnis-ud-train,2341,0,229.0,221.0,256.0,59.0,62.0,169.0,10.0,,15.0,4.0,,1.0,4.0,,,1702,,,,,,,,99.0,,5.0,,,,,,,,7.0,,553.0,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,
cu_proiel-ud-train,18327,0,,456.0,2134.0,110.0,510.0,313.0,42.0,44.0,5.0,,9.0,43.0,90.0,2.0,,4351,58.0,34.0,,,2.0,,,56.0,239.0,1.0,,,,,5.0,,,,,154.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,6.0,,,,,,,,,,,,
cu_proiel-ud-test,2096,0,,64.0,299.0,16.0,54.0,36.0,9.0,4.0,,,1.0,4.0,6.0,,,557,5.0,3.0,,,,,,7.0,27.0,2.0,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
cu_proiel-ud-dev,2205,0,,53.0,249.0,18.0,68.0,31.0,5.0,11.0,,,2.0,10.0,10.0,1.0,,532,9.0,6.0,,,,,1.0,8.0,23.0,,,,,,1.0,,,,,19.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
olo_kkpp-ud-test,106,0,,,1.0,1.0,,,3.0,,,,,,,,,6,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hy_bsut-ud-train,1226,0,1.0,,202.0,40.0,,36.0,,2.0,6.0,,1.0,5.0,4.0,,1.0,370,39.0,,,,,3.0,,2.0,14.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,4.0,2.0,,,,,,,,,,
hy_bsut-ud-test,595,0,,,71.0,10.0,,21.0,,,3.0,,,,2.0,,,151,31.0,,,,,,,2.0,3.0,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,,,,,,,,,,
hy_bsut-ud-dev,479,0,1.0,,73.0,10.0,,12.0,,,3.0,,2.0,1.0,,,,154,38.0,,,,,,,,10.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,
hsb_ufal-ud-test,623,0,,47.0,58.0,94.0,38.0,32.0,1.0,2.0,,,,2.0,1.0,,,281,,,,,3.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
hsb_ufal-ud-train,23,0,,5.0,3.0,7.0,2.0,10.0,,,,,,,,,,28,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fi_tdt-ud-train,12217,0,,42.0,107.0,6.0,10.0,13.0,1.0,,,,1.0,,5.0,,,408,212.0,,,,1.0,,,3.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,
fi_tdt-ud-test,1555,0,,8.0,19.0,,,1.0,,,,,1.0,,2.0,,,50,16.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fi_tdt-ud-dev,1364,0,,3.0,14.0,,1.0,,,1.0,,,,,,,,35,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sr_set-ud-test,520,0,95.0,54.0,93.0,35.0,7.0,20.0,3.0,,1.0,4.0,6.0,3.0,6.0,,,347,,,,,1.0,,,2.0,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sr_set-ud-train,3328,0,632.0,331.0,598.0,242.0,37.0,126.0,4.0,,8.0,12.0,17.0,22.0,19.0,,2.0,2228,3.0,34.0,,,4.0,,,9.0,,3.0,,,,,,,,122.0,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sr_set-ud-dev,536,0,80.0,48.0,84.0,31.0,1.0,24.0,2.0,2.0,2.0,7.0,8.0,,2.0,,,315,,10.0,,,,,,3.0,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
