Treebank,Number of Sentences,Failures,obl,amod,advcl,obl:agent,nmod,det,orphan,conj,acl,root,ccomp,nummod,iobj,appos,csubj,Total,flat:name,nmod:obl,obj,nmod:poss,case,compound:lvc,compound,flat,xcomp,nsubj,cop,compound:nn,obl:lmod,obl:source,obl:tmod,nmod:appos,obl:goal,obl:manner,advcl:caus,obl:grad,advmod,acl:relcl,dislocated,parataxis,advcl:tcl,advcl:concess,obl:path,advcl:ccomp,advcl:cond,obl:instr,acl:ptcp,obl:benef,advcl:fin,xcomp:result,obl:soc,nsubj:pass,advcl:abs,flat:redup,obl:arg,obl:cmp,advcl:cmp,orphan:missing,nmod:tmod,list,dep,clf,discourse,dep:infl,fixed,nmod:npmod,case:loc,compound:svc,advmod:lmod,obl:cau,reparandum,dislocated:nsubj,dislocated:obj,advcl:relcl,mark,advcl:pred,csubj:pass,ccomp:relcl,_,advmod:tmod,advmod:deg,advmod:cmp,compound:prt,vocative,nmod:part,nmod:comp,aux,conj:expl,ccomp:reported,csubj:reported,flat:foreign,csubj:relcl,compound:redup,dislocated:advcl,csubj:cleft,parataxis:discourse,expl,obl:mod,dep:comp
sa_vedic-ud-train,21477,0,325.0,53.0,7.0,2.0,11.0,99.0,146.0,154.0,41.0,71.0,15.0,1.0,1.0,2.0,,1891,,,3.0,,,,,115.0,1.0,1.0,,,25.0,580.0,60.0,7.0,19.0,9.0,16.0,88.0,2.0,3.0,1.0,5.0,4.0,,4.0,10.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sa_vedic-ud-dev,2996,0,33.0,7.0,1.0,,,16.0,6.0,35.0,4.0,2.0,2.0,,,,,269,,,1.0,,,,,13.0,,,,,2.0,102.0,17.0,1.0,1.0,1.0,6.0,16.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_circse-ud-test,1263,0,715.0,413.0,9.0,85.0,24.0,133.0,19.0,124.0,52.0,18.0,1.0,8.0,,2.0,,2119,5.0,,2.0,,,,,1.0,1.0,33.0,,,187.0,,23.0,,,,,,1.0,1.0,,,,,,,,,,,,,,83.0,110.0,1.0,49.0,11.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_atis-ud-dev,572,0,32.0,,,,335.0,,,3.0,,1.0,,,,,,530,,,,,,,,88.0,,1.0,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_atis-ud-train,4274,0,260.0,12.0,,,2547.0,,,34.0,,7.0,,,,,,3875,,,1.0,,,,7.0,586.0,,4.0,,,,,263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_atis-ud-test,586,0,24.0,,,,318.0,,1.0,3.0,,2.0,,,,,,493,,,,,,,1.0,80.0,,1.0,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hi_pud-ud-test,1000,0,,,,,,,,,,,,,,,,1,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_perseus-ud-test,939,0,456.0,174.0,6.0,,52.0,59.0,1.0,23.0,1.0,5.0,,2.0,,,,963,,,75.0,,,,,,4.0,11.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,42.0,48.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_perseus-ud-train,1334,0,892.0,281.0,22.0,,94.0,207.0,,153.0,1.0,2.0,,10.0,,5.0,,2073,14.0,,154.0,,,,,,5.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,101.0,111.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_kenet-ud-dev,1646,0,247.0,6.0,32.0,,36.0,,,14.0,,3.0,1.0,,,,,399,,,31.0,,,,28.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_kenet-ud-test,1643,0,190.0,,25.0,,50.0,,,12.0,3.0,2.0,6.0,,,,,366,,,11.0,,,,55.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_kenet-ud-train,15398,0,1769.0,56.0,132.0,,423.0,,2.0,126.0,4.0,17.0,28.0,3.0,1.0,1.0,1.0,2896,,,147.0,,4.0,,135.0,10.0,22.0,3.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,7.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ess_sli-ud-test,309,0,1.0,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ky_tuecl-ud-test,145,0,1.0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hit_hittb-ud-test,136,0,13.0,,,,,,1.0,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sa_ufal-ud-test,230,0,7.0,,,,4.0,2.0,2.0,2.0,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
et_ewt-ud-train,5444,0,90.0,5.0,1.0,,7.0,4.0,1.0,5.0,,1.0,,,,,,115,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
et_ewt-ud-test,913,0,13.0,,,,2.0,1.0,1.0,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
et_ewt-ud-dev,833,0,10.0,,,,,,,,,,,,,,,12,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub_tudet-ud-test,1182,0,26.0,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ml_ufal-ud-test,218,0,,,,,,,,,,,,,,,,1,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
egy_ujaen-ud-test,721,0,,,,,,,,,,,,,,,,9,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq_tsa-ud-test,60,0,3.0,,,,3.0,1.0,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mr_ufal-ud-train,373,0,1.0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
si_stb-ud-test,100,0,3.0,,,,,,,,,,,,,,,5,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olo_kkpp-ud-test,106,0,,1.0,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olo_kkpp-ud-train,19,0,1.0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hy_bsut-ud-train,1226,0,188.0,,,,,1.0,,24.0,,5.0,1.0,,,3.0,,302,3.0,,,,,2.0,,,,,,,,,,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,16.0,,,,1.0,47.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hy_bsut-ud-test,595,0,97.0,,,,1.0,,1.0,15.0,,4.0,,,,,,149,,,,,,3.0,,,,,,,,,,,,,,,,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,17.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hy_bsut-ud-dev,479,0,85.0,,1.0,,,,,14.0,,1.0,,,,1.0,,131,2.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,20.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mdf_jr-ud-test,454,0,13.0,,1.0,,7.0,,,2.0,,3.0,,,,1.0,,62,,,1.0,,14.0,,,,4.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mdf_jr-ud-train,20,0,,,,,,,,,,,,,,,,2,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vep_vwt-ud-test,103,0,2.0,,,,,,,,,,1.0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_llct-ud-dev,850,0,857.0,248.0,3.0,,297.0,569.0,,473.0,28.0,48.0,,,,144.0,,3436,,,,,,,,86.0,2.0,254.0,,,1.0,,,,,,,,,12.0,,,,,,,,,,,,,,2.0,206.0,,200.0,,1.0,,,,,,,,3.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_llct-ud-test,884,0,847.0,255.0,4.0,,366.0,527.0,,470.0,26.0,32.0,,,,117.0,,3495,,,1.0,,,,,93.0,,264.0,,,2.0,,2.0,,,,,,,9.0,2.0,,,,,,,,,,,,,2.0,229.0,,232.0,,6.0,,,,,,,,5.0,,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
la_llct-ud-train,7289,0,8036.0,2050.0,81.0,,2399.0,5156.0,5.0,3709.0,254.0,424.0,4.0,5.0,,1036.0,,30427,,,1.0,,,,,1484.0,22.0,1922.0,,,,,1.0,,,,,,,85.0,4.0,,,,,,,,,,,,,77.0,1584.0,,1986.0,,31.0,,,,,,,,38.0,,,,,,5.0,1.0,14.0,2.0,7.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
fi_tdt-ud-train,12217,0,437.0,70.0,2.0,,125.0,38.0,5.0,36.0,11.0,10.0,1.0,4.0,,5.0,,811,8.0,,,,2.0,,,,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
fi_tdt-ud-test,1555,0,61.0,7.0,,,14.0,5.0,1.0,2.0,1.0,1.0,,,,,,101,3.0,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fi_tdt-ud-dev,1364,0,40.0,7.0,,,23.0,4.0,,1.0,3.0,1.0,,2.0,,,,87,1.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
myv_jr-ud-test,921,0,89.0,,2.0,,1.0,,1.0,10.0,,,,,,,,147,,,1.0,,3.0,,3.0,,4.0,1.0,,,1.0,,1.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,2.0,,,,,,,,,,,,,,,,,
myv_jr-ud-train,1217,0,78.0,1.0,2.0,,2.0,,,3.0,,,,,,,,155,,,5.0,,5.0,,,,7.0,2.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,40.0,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,4.0,,,1.0,,,,,,,,,,,,,,,,
tr_framenet-ud-test,205,0,26.0,,,,3.0,,,,,,,,,,,32,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_framenet-ud-train,2288,0,152.0,4.0,38.0,,42.0,,,2.0,,1.0,1.0,,,,,338,,,19.0,,,,76.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_framenet-ud-dev,205,0,10.0,,1.0,,2.0,,,,,1.0,,,,,,25,,,2.0,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ky_ktmu-ud-train,80,0,5.0,,,,2.0,,,,,,1.0,,,,,10,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ky_ktmu-ud-test,701,0,49.0,1.0,2.0,,32.0,,,,1.0,1.0,2.0,6.0,,,,108,,,2.0,,,,1.0,,,6.0,,,,,,,,,,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_proiel-ud-test,1260,0,570.0,127.0,103.0,39.0,66.0,161.0,20.0,134.0,38.0,19.0,4.0,12.0,,7.0,,1462,5.0,,4.0,,,,,,6.0,25.0,,,,,,,,,,,15.0,,1.0,,,,,,,,,,,,,66.0,,,34.0,,3.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
la_proiel-ud-dev,1233,0,576.0,118.0,112.0,41.0,62.0,178.0,13.0,130.0,29.0,24.0,7.0,10.0,,6.0,1.0,1464,3.0,,7.0,,,,,,8.0,31.0,,,,,,,,,,,10.0,,1.0,1.0,,,,,,,,,,,,48.0,,,42.0,,2.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_proiel-ud-train,16196,0,7627.0,1487.0,1431.0,415.0,795.0,2041.0,245.0,1528.0,398.0,346.0,97.0,150.0,,229.0,3.0,19026,121.0,,38.0,,,,,,88.0,379.0,,,,,,,,,,,172.0,,52.0,15.0,,,,,,,,,,,,740.0,,,553.0,,28.0,,,,23.0,,,,19.0,,,,,,,,,,,,5.0,,,,,,,1.0,,,,,,,,,,,,,,,
kpv_ikdp-ud-test,214,0,1.0,,,,1.0,,,2.0,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kpv_lattice-ud-test,643,0,9.0,,,,9.0,,,,1.0,,,,,,,24,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tt_nmctt-ud-test,148,0,19.0,,,,6.0,,,,,1.0,,,,,,27,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_gb-ud-test,2880,0,129.0,,32.0,3.0,25.0,,,6.0,1.0,3.0,1.0,,,,,313,,,7.0,,,,2.0,,2.0,3.0,3.0,,,,34.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,42.0,16.0,,,,,,,,,,,,,
fi_pud-ud-test,1000,0,32.0,6.0,,,7.0,1.0,,1.0,1.0,1.0,,,,,,55,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hy_armtdp-ud-train,1974,0,412.0,,5.0,4.0,6.0,3.0,8.0,39.0,1.0,5.0,1.0,,,7.0,,606,,,,,2.0,2.0,4.0,3.0,1.0,1.0,,,,,,,,,,,,3.0,3.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,65.0,17.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
hy_armtdp-ud-dev,249,0,57.0,,,,,,,,,1.0,,,,1.0,,74,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hy_armtdp-ud-test,277,0,57.0,,1.0,,1.0,,2.0,6.0,,2.0,,,,,,95,,,,,1.0,2.0,,1.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,16.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ota_boun-ud-train,114,0,35.0,1.0,2.0,,4.0,,,7.0,,1.0,1.0,,,,,62,,,5.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ota_boun-ud-test,400,0,102.0,5.0,3.0,,8.0,,,5.0,,,5.0,,1.0,,,155,,,6.0,10.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
et_edt-ud-dev,3128,0,73.0,5.0,1.0,,6.0,7.0,,8.0,1.0,,,,,,,102,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
et_edt-ud-train,24615,0,540.0,43.0,4.0,,67.0,22.0,3.0,38.0,8.0,8.0,3.0,6.0,,2.0,,761,,,,,1.0,,2.0,13.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
et_edt-ud-test,3214,0,69.0,4.0,,,6.0,2.0,,9.0,,2.0,,1.0,,2.0,,98,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sjo_xdt-ud-test,810,0,10.0,,,,,,,,,,,,,,,109,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_udante-ud-train,926,0,1058.0,249.0,73.0,104.0,48.0,259.0,27.0,156.0,59.0,15.0,1.0,6.0,,8.0,5.0,2600,2.0,,3.0,,,,,5.0,2.0,58.0,2.0,,25.0,,4.0,,,,,,,43.0,,,,,,,,,,,,,,49.0,95.0,,180.0,23.0,18.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,17.0,1.0,1.0,,,,,,,,,
la_udante-ud-test,419,0,379.0,95.0,26.0,28.0,9.0,127.0,27.0,89.0,20.0,8.0,1.0,5.0,,,,1074,,,2.0,,,,,,2.0,11.0,,,5.0,,1.0,,,,,,,3.0,,,,,,,,,,,,,,11.0,19.0,,161.0,4.0,23.0,,,,,,,,,,,,,,,,,1.0,,2.0,2.0,,,,,,,,,,,9.0,,,4.0,,,,,,,,
la_udante-ud-dev,376,0,431.0,108.0,31.0,48.0,33.0,102.0,14.0,61.0,24.0,2.0,4.0,2.0,,1.0,,1038,,,6.0,,,,,2.0,1.0,23.0,,,4.0,,3.0,,,,,,,1.0,,,,,,,,,,,,,,17.0,39.0,,60.0,2.0,11.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,3.0,1.0,1.0,,1.0,,,,,,,
hyw_armtdp-ud-test,680,0,172.0,,1.0,2.0,3.0,,,9.0,,,,,,1.0,,223,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,22.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyw_armtdp-ud-dev,694,0,187.0,,1.0,,3.0,,2.0,22.0,2.0,5.0,,,,2.0,,285,1.0,,,,,2.0,1.0,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,35.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyw_armtdp-ud-train,5282,0,976.0,,7.0,8.0,22.0,,2.0,89.0,5.0,20.0,2.0,,,16.0,,1512,8.0,,4.0,3.0,4.0,8.0,3.0,5.0,,,,,,,,,,,,,,3.0,1.0,27.0,,,,,,,,,,,,1.0,,,,,,,,,31.0,,,,6.0,213.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arr_tudet-ud-test,674,0,,,,,,,,,,,,,,,,1,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aln_gps-ud-test,966,0,88.0,4.0,2.0,,14.0,10.0,,2.0,,2.0,,,,,,133,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kk_ktb-ud-test,1047,0,96.0,,14.0,,46.0,,,8.0,,2.0,1.0,,1.0,2.0,,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
kk_ktb-ud-train,31,0,7.0,,1.0,,2.0,,,1.0,,,,,,,,12,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gn_oldtudet-ud-test,59,0,2.0,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
