Nombre d'accusatifs = 247
sl_ssj-ud-test, Nearest=Acc, Distance=0.00167, Self=0.00167, Diff=0.00000
fo_oft-ud-test, Nearest=Acc, Distance=0.00478, Self=0.00478, Diff=0.00000
ru_taiga-ud-train, Nearest=Acc, Distance=0.00123, Self=0.00123, Diff=0.00000
ru_taiga-ud-dev, Nearest=Acc, Distance=0.00150, Self=0.00150, Diff=0.00000
ru_taiga-ud-test, Nearest=Acc, Distance=0.00037, Self=0.00037, Diff=0.00000
cs_cltt-ud-dev, Nearest=Dat, Distance=0.00344, Self=0.00372, Diff=0.00028
cs_cltt-ud-train, Nearest=Acc, Distance=0.00317, Self=0.00317, Diff=0.00000
cs_cltt-ud-test, Nearest=Dat, Distance=0.00292, Self=0.00414, Diff=0.00121
is_gc-ud-test, Nearest=Acc, Distance=0.00238, Self=0.00238, Diff=0.00000
is_gc-ud-train, Nearest=Acc, Distance=0.00322, Self=0.00322, Diff=0.00000
is_gc-ud-dev, Nearest=Acc, Distance=0.00326, Self=0.00326, Diff=0.00000
ota_boun-ud-train, Nearest=Gen, Distance=0.00204, Self=0.00364, Diff=0.00160
ota_boun-ud-test, Nearest=Gen, Distance=0.00257, Self=0.00388, Diff=0.00131
ru_syntagrus-ud-train, Nearest=Acc, Distance=0.00076, Self=0.00076, Diff=0.00000
ru_syntagrus-ud-dev, Nearest=Acc, Distance=0.00049, Self=0.00049, Diff=0.00000
ru_syntagrus-ud-test, Nearest=Acc, Distance=0.00076, Self=0.00076, Diff=0.00000
grc_ptnk-ud-train, Nearest=Acc, Distance=0.00174, Self=0.00174, Diff=0.00000
grc_ptnk-ud-dev, Nearest=Acc, Distance=0.00219, Self=0.00219, Diff=0.00000
grc_ptnk-ud-test, Nearest=Acc, Distance=0.00217, Self=0.00217, Diff=0.00000
sjo_xdt-ud-test, Nearest=Acc, Distance=0.00237, Self=0.00237, Diff=0.00000
akk_riao-ud-test, Nearest=Gen, Distance=0.00344, Self=0.00534, Diff=0.00190
orv_birchbark-ud-train, Nearest=Acc, Distance=0.00342, Self=0.00342, Diff=0.00000
orv_birchbark-ud-dev, Nearest=Acc, Distance=0.00217, Self=0.00217, Diff=0.00000
orv_birchbark-ud-test, Nearest=Gen, Distance=0.00183, Self=0.00239, Diff=0.00056
is_icepahc-ud-dev, Nearest=Acc, Distance=0.00354, Self=0.00354, Diff=0.00000
is_icepahc-ud-train, Nearest=Acc, Distance=0.00379, Self=0.00379, Diff=0.00000
is_icepahc-ud-test, Nearest=Acc, Distance=0.00375, Self=0.00375, Diff=0.00000
de_lit-ud-test, Nearest=Gen, Distance=0.00162, Self=0.00274, Diff=0.00112
ltg_cairo-ud-test, Nearest=Loc, Distance=0.00229, Self=0.00255, Diff=0.00026
ru_poetry-ud-test, Nearest=Acc, Distance=0.00084, Self=0.00084, Diff=0.00000
ru_poetry-ud-dev, Nearest=Acc, Distance=0.00133, Self=0.00133, Diff=0.00000
ru_poetry-ud-train, Nearest=Acc, Distance=0.00213, Self=0.00213, Diff=0.00000
fo_farpahc-ud-test, Nearest=Acc, Distance=0.00379, Self=0.00379, Diff=0.00000
fo_farpahc-ud-train, Nearest=Acc, Distance=0.00239, Self=0.00239, Diff=0.00000
fo_farpahc-ud-dev, Nearest=Acc, Distance=0.00400, Self=0.00400, Diff=0.00000
is_modern-ud-dev, Nearest=Acc, Distance=0.00353, Self=0.00353, Diff=0.00000
is_modern-ud-train, Nearest=Acc, Distance=0.00369, Self=0.00369, Diff=0.00000
is_modern-ud-test, Nearest=Acc, Distance=0.00275, Self=0.00275, Diff=0.00000
koi_uh-ud-train, Nearest=Gen, Distance=0.00560, Self=0.00766, Diff=0.00206
koi_uh-ud-test, Nearest=Gen, Distance=0.00560, Self=0.00766, Diff=0.00206
cs_fictree-ud-dev, Nearest=Acc, Distance=0.00185, Self=0.00185, Diff=0.00000
cs_fictree-ud-train, Nearest=Acc, Distance=0.00133, Self=0.00133, Diff=0.00000
cs_fictree-ud-test, Nearest=Acc, Distance=0.00140, Self=0.00140, Diff=0.00000
la_udante-ud-train, Nearest=Acc, Distance=0.00374, Self=0.00374, Diff=0.00000
la_udante-ud-test, Nearest=Acc, Distance=0.00428, Self=0.00428, Diff=0.00000
la_udante-ud-dev, Nearest=Acc, Distance=0.00283, Self=0.00283, Diff=0.00000
hyw_armtdp-ud-dev, Nearest=Gen, Distance=0.00560, Self=0.00766, Diff=0.00206
hyw_armtdp-ud-train, Nearest=Gen, Distance=0.00560, Self=0.00766, Diff=0.00206
ro_rrt-ud-dev, Nearest=Dat, Distance=0.00625, Self=0.00950, Diff=0.00324
el_gdt-ud-test, Nearest=Acc, Distance=0.00367, Self=0.00367, Diff=0.00000
el_gdt-ud-train, Nearest=Acc, Distance=0.00403, Self=0.00403, Diff=0.00000
el_gdt-ud-dev, Nearest=Acc, Distance=0.00357, Self=0.00357, Diff=0.00000
sme_giella-ud-train, Nearest=Gen, Distance=0.00472, Self=0.00677, Diff=0.00206
sme_giella-ud-test, Nearest=Gen, Distance=0.00477, Self=0.00683, Diff=0.00206
got_proiel-ud-dev, Nearest=Acc, Distance=0.00082, Self=0.00082, Diff=0.00000
got_proiel-ud-train, Nearest=Gen, Distance=0.00182, Self=0.00206, Diff=0.00023
got_proiel-ud-test, Nearest=Acc, Distance=0.00143, Self=0.00143, Diff=0.00000
sl_sst-ud-train, Nearest=Acc, Distance=0.00319, Self=0.00319, Diff=0.00000
sl_sst-ud-test, Nearest=Acc, Distance=0.00194, Self=0.00194, Diff=0.00000
sl_sst-ud-dev, Nearest=Acc, Distance=0.00284, Self=0.00284, Diff=0.00000
de_gsd-ud-train, Nearest=Dat, Distance=0.00393, Self=0.00434, Diff=0.00041
de_gsd-ud-dev, Nearest=Acc, Distance=0.00257, Self=0.00257, Diff=0.00000
de_gsd-ud-test, Nearest=Acc, Distance=0.00287, Self=0.00287, Diff=0.00000
xnr_kdtb-ud-test, Nearest=Acc, Distance=0.00186, Self=0.00186, Diff=0.00000
aln_gps-ud-test, Nearest=Acc, Distance=0.00314, Self=0.00314, Diff=0.00000
kk_ktb-ud-test, Nearest=Gen, Distance=0.00534, Self=0.00740, Diff=0.00206
kk_ktb-ud-train, Nearest=Gen, Distance=0.00560, Self=0.00766, Diff=0.00206
cs_pdt-ud-test, Nearest=Acc, Distance=0.00269, Self=0.00269, Diff=0.00000
cs_pdt-ud-dev, Nearest=Acc, Distance=0.00280, Self=0.00280, Diff=0.00000
cs_pdt-ud-train, Nearest=Acc, Distance=0.00297, Self=0.00297, Diff=0.00000
ta_mwtt-ud-test, Nearest=Gen, Distance=0.00326, Self=0.00511, Diff=0.00184
ota_dudu-ud-test, Nearest=Gen, Distance=0.00263, Self=0.00409, Diff=0.00146
ug_udt-ud-test, Nearest=Gen, Distance=0.00485, Self=0.00689, Diff=0.00203
ug_udt-ud-dev, Nearest=Gen, Distance=0.00438, Self=0.00632, Diff=0.00194
ug_udt-ud-train, Nearest=Gen, Distance=0.00536, Self=0.00737, Diff=0.00202
ur_udtb-ud-train, Nearest=Acc, Distance=0.00499, Self=0.00499, Diff=0.00000
ur_udtb-ud-dev, Nearest=Acc, Distance=0.00410, Self=0.00410, Diff=0.00000
ur_udtb-ud-test, Nearest=Acc, Distance=0.00485, Self=0.00485, Diff=0.00000
lv_lvtb-ud-test, Nearest=Acc, Distance=0.00266, Self=0.00266, Diff=0.00000
lv_lvtb-ud-train, Nearest=Acc, Distance=0.00273, Self=0.00273, Diff=0.00000
lv_lvtb-ud-dev, Nearest=Acc, Distance=0.00298, Self=0.00298, Diff=0.00000
ta_ttb-ud-train, Nearest=Gen, Distance=0.00366, Self=0.00556, Diff=0.00190
ta_ttb-ud-dev, Nearest=Gen, Distance=0.00373, Self=0.00574, Diff=0.00201
ta_ttb-ud-test, Nearest=Gen, Distance=0.00366, Self=0.00556, Diff=0.00190
sga_dipwbg-ud-test, Nearest=Acc, Distance=0.00337, Self=0.00337, Diff=0.00000
ko_pud-ud-test, Nearest=Gen, Distance=0.00548, Self=0.00754, Diff=0.00206
xum_ikuvina-ud-test, Nearest=Gen, Distance=0.00309, Self=0.00495, Diff=0.00186
ru_pud-ud-test, Nearest=Acc, Distance=0.00085, Self=0.00085, Diff=0.00000
la_ittb-ud-dev, Nearest=Acc, Distance=0.00555, Self=0.00555, Diff=0.00000
la_ittb-ud-test, Nearest=Acc, Distance=0.00416, Self=0.00416, Diff=0.00000
la_ittb-ud-train, Nearest=Acc, Distance=0.00553, Self=0.00553, Diff=0.00000
qtd_sagt-ud-test, Nearest=Gen, Distance=0.00236, Self=0.00287, Diff=0.00051
qtd_sagt-ud-dev, Nearest=Gen, Distance=0.00214, Self=0.00299, Diff=0.00086
qtd_sagt-ud-train, Nearest=Gen, Distance=0.00215, Self=0.00374, Diff=0.00159
pl_pud-ud-test, Nearest=Nom, Distance=0.00369, Self=0.00446, Diff=0.00076
orv_torot-ud-test, Nearest=Acc, Distance=0.00234, Self=0.00234, Diff=0.00000
orv_torot-ud-dev, Nearest=Acc, Distance=0.00219, Self=0.00219, Diff=0.00000
orv_torot-ud-train, Nearest=Acc, Distance=0.00317, Self=0.00317, Diff=0.00000
cs_cac-ud-dev, Nearest=Dat, Distance=0.00280, Self=0.00307, Diff=0.00026
cs_cac-ud-train, Nearest=Acc, Distance=0.00310, Self=0.00310, Diff=0.00000
cs_cac-ud-test, Nearest=Gen, Distance=0.00227, Self=0.00267, Diff=0.00040
pl_lfg-ud-test, Nearest=Acc, Distance=0.00267, Self=0.00267, Diff=0.00000
pl_lfg-ud-train, Nearest=Acc, Distance=0.00256, Self=0.00256, Diff=0.00000
pl_lfg-ud-dev, Nearest=Acc, Distance=0.00274, Self=0.00274, Diff=0.00000
tr_tourism-ud-train, Nearest=Acc, Distance=0.00427, Self=0.00427, Diff=0.00000
tr_tourism-ud-dev, Nearest=Acc, Distance=0.00118, Self=0.00118, Diff=0.00000
tr_tourism-ud-test, Nearest=Gen, Distance=0.00133, Self=0.00175, Diff=0.00041
cs_poetry-ud-test, Nearest=Acc, Distance=0.00155, Self=0.00155, Diff=0.00000
ru_gsd-ud-test, Nearest=Acc, Distance=0.00176, Self=0.00176, Diff=0.00000
ru_gsd-ud-dev, Nearest=Acc, Distance=0.00153, Self=0.00153, Diff=0.00000
ru_gsd-ud-train, Nearest=Acc, Distance=0.00176, Self=0.00176, Diff=0.00000
tr_imst-ud-train, Nearest=Gen, Distance=0.00318, Self=0.00495, Diff=0.00178
tr_imst-ud-dev, Nearest=Gen, Distance=0.00343, Self=0.00537, Diff=0.00194
tr_imst-ud-test, Nearest=Gen, Distance=0.00305, Self=0.00491, Diff=0.00186
lv_cairo-ud-test, Nearest=Loc, Distance=0.00229, Self=0.00255, Diff=0.00026
gu_gujtb-ud-test, Nearest=Gen, Distance=0.00560, Self=0.00766, Diff=0.00206
bxr_bdt-ud-test, Nearest=Acc, Distance=0.00189, Self=0.00189, Diff=0.00000
tr_boun-ud-dev, Nearest=Gen, Distance=0.00388, Self=0.00569, Diff=0.00181
tr_boun-ud-test, Nearest=Gen, Distance=0.00366, Self=0.00546, Diff=0.00180
tr_boun-ud-train, Nearest=Gen, Distance=0.00433, Self=0.00626, Diff=0.00193
tr_penn-ud-dev, Nearest=Acc, Distance=0.00215, Self=0.00215, Diff=0.00000
tr_penn-ud-test, Nearest=Acc, Distance=0.00113, Self=0.00113, Diff=0.00000
tr_penn-ud-train, Nearest=Acc, Distance=0.00272, Self=0.00272, Diff=0.00000
Confusion:
	Acc: 151
	Gen: 65
	Dat: 23
	Nom: 5
	Loc: 3
