Treebank,Number of Sentences,Failures,Total,_,acl,acl:adv,acl:attr,acl:crel,acl:dpct,acl:ptcp,acl:relcl,advcl,advcl:caus,advcl:ccomp,advcl:cmp,advcl:cmpr,advcl:concess,advcl:cond,advcl:fin,advcl:manner,advcl:pred,advcl:relcl,advcl:tcl,advmod,advmod:det,advmod:lmod,advmod:tmod,amod,amod:flat,appos,aux,aux:neg,case,case:loc,cc,ccomp,ccomp:obj,clf,compound,compound:lvc,compound:redup,compound:svc,conj,cop,csubj,csubj:cop,csubj:outer,csubj:pass,dep,dep:comp,dep:conj,dep:infl,det,det:numgov,det:nummod,det:poss,discourse,dislocated,expl,expl:pass,fixed,flat,flat:abs,flat:foreign,flat:name,flat:range,flat:sibl,flat:title,iobj,list,mark,nmod,nmod:appos,nmod:arg,nmod:flat,nmod:lmod,nmod:npmod,nmod:part,nmod:poss,nmod:tmod,nsubj,nsubj:outer,nsubj:pass,nummod,nummod:entity,nummod:gov,obj,obl,obl:agent,obl:arg,obl:benef,obl:cmpr,obl:depict,obl:goal,obl:grad,obl:instr,obl:lmod,obl:manner,obl:own,obl:soc,obl:source,obl:subj,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:insert,parataxis:obj,parataxis:restart,parataxis:trans,reparandum,root,vocative,vocative:cl,xcomp,xcomp:ds,xcomp:pred,xcomp:result
tr_pud-ud-test,1000,0,797,,3.0,,,,,,,31.0,,,,,,,,,,,,,,,,11.0,,11.0,,,1.0,,,,,3.0,6.0,2.0,,,27.0,2.0,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,4.0,,,,,,,4.0,,,,,2.0,,,2.0,658.0,,,,,,,,,,,,,,,,2.0,,,,,,,,9.0,,,2.0,,,
pl_pdb-ud-test,2215,0,1988,,40.0,,,,,,,,,,,,,,,,,,,,,,,323.0,32.0,2.0,,,,,,,,,,,,,106.0,,,,,,,,,,61.0,,6.0,19.0,,,,,139.0,4.0,,,,,,,,,,311.0,,29.0,,,,,,,,,,12.0,,,,703.0,,188.0,,5.0,,,,,,,,,,,,2.0,,,2.0,2.0,,,,2.0,,,,,,
pl_pdb-ud-train,17722,0,16545,,335.0,,,,,,3.0,7.0,,,,1.0,,,,,,1.0,,,,,,2736.0,253.0,16.0,,,1.0,,,5.0,2.0,,,,,,741.0,,1.0,,,,,,,,531.0,,53.0,169.0,,,,,1274.0,36.0,,1.0,,,,,2.0,,,2731.0,,275.0,3.0,,,,,,,,,82.0,,4.0,1.0,5702.0,,1454.0,,65.0,,,,,,,,,,,,11.0,,,13.0,5.0,,,,27.0,,,2.0,,2.0,
pl_pdb-ud-dev,2215,0,2074,,60.0,,,,,,,,,,,,,,,,,,,,,,,340.0,42.0,3.0,,,,,,,,,,,,,90.0,,,,,,,,,,63.0,,5.0,22.0,,,,,170.0,4.0,,,,,,,1.0,,,316.0,,27.0,,,,,,,1.0,,,9.0,,1.0,,705.0,,198.0,,11.0,,,,,,,,,,,,3.0,,,1.0,,,,,2.0,,,,,,
uk_iu-ud-dev,673,0,776,,,,,,,,1.0,3.0,,,,,,,,,1.0,,,,,,,88.0,,3.0,,,322.0,,,,,,,,,,19.0,,,,,,,,,,25.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,79.0,,,,,,,,,,,,4.0,,,,217.0,,,,,,,,,,,,,,,,3.0,1.0,1.0,,,,,,6.0,,,,,,
uk_iu-ud-train,5521,0,5838,2.0,5.0,,,,,,5.0,16.0,,,,,,,,,1.0,,,,1.0,,,675.0,,40.0,,,2391.0,,2.0,2.0,,,5.0,,,,164.0,,,,,,,,,,245.0,,4.0,,,,,,7.0,,1.0,,,10.0,8.0,6.0,,,2.0,489.0,,,,,,,,,,,,12.0,,3.0,,1640.0,,,,,,,,,,,,,,,,38.0,16.0,7.0,,,,,,38.0,,1.0,2.0,,,
uk_iu-ud-test,898,0,1130,,,1.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,112.0,,10.0,,,467.0,,,3.0,,,,,,,37.0,,1.0,,,,,,,,41.0,,1.0,,,,,,8.0,,2.0,,1.0,1.0,,2.0,,,4.0,110.0,,,,,,,,,,,,6.0,,,,309.0,,,,,,,,,,,,,,,,6.0,,,,,,,,5.0,,,,,,
sa_vedic-ud-test,2709,0,750,,13.0,,1.0,,1.0,1.0,5.0,15.0,,3.0,,,,17.0,1.0,1.0,,,15.0,,,,,39.0,,,,,,,,1.0,,,,,,,69.0,,1.0,,,,,,,,42.0,,,,,2.0,,,1.0,47.0,,,,,,,,,,4.0,1.0,,,,,,,,17.0,,,3.0,,,4.0,131.0,,,3.0,,,54.0,,,133.0,2.0,,1.0,,,47.0,50.0,4.0,,,,,,,20.0,,,1.0,,,
sa_vedic-ud-train,21477,0,6016,,86.0,,7.0,1.0,6.0,2.0,57.0,139.0,2.0,15.0,,,1.0,89.0,5.0,5.0,,,149.0,4.0,,,,240.0,,14.0,,,3.0,,,39.0,,,,,,,499.0,1.0,5.0,,,,,,,,238.0,,,,,2.0,,,,367.0,,,,,,,10.0,,,50.0,33.0,,,,,,,,200.0,,,24.0,,,3.0,1055.0,1.0,,13.0,,,521.0,1.0,6.0,1028.0,17.0,,3.0,,,444.0,405.0,8.0,,,,,,,215.0,,,2.0,,,1.0
sa_vedic-ud-dev,2996,0,884,,11.0,,,,,2.0,23.0,13.0,1.0,4.0,,,,8.0,,,,,26.0,1.0,,,,35.0,,1.0,,,,,,6.0,,,,,,,83.0,,,,,,,,,,53.0,,,,,,,,,35.0,,,,,,,3.0,,,6.0,4.0,,,,,,,,30.0,,,1.0,,,2.0,158.0,,,,,,72.0,,2.0,172.0,,,,2.0,,50.0,51.0,2.0,,,,,,,26.0,,,1.0,,,
bn_bru-ud-test,56,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hr_set-ud-dev,960,0,1775,,9.0,,,,,,,5.0,,,,,,,,,,,,,,,,215.0,,2.0,,,727.0,,1.0,1.0,,,,,,,47.0,,1.0,,,,,,,,41.0,,,,3.0,,,,4.0,17.0,,,,,,,3.0,,1.0,258.0,,,,,,,,,,,,7.0,,1.0,4.0,413.0,,,,,,,,,,,,,,,,4.0,6.0,,,,,,,5.0,,,,,,
hr_set-ud-train,6914,0,13782,,88.0,,,,,,,28.0,,,,,,,,,,,,,,,,1523.0,,20.0,,,5657.0,,7.0,23.0,,,,,,,481.0,,1.0,,,,,,,,355.0,1.0,,,12.0,1.0,1.0,,38.0,110.0,,,,,,,12.0,1.0,17.0,2052.0,,,,,,,,,4.0,,,25.0,,6.0,20.0,3117.0,,,,,,,,,,,,,,,,11.0,73.0,,,,,,,94.0,,,4.0,,,
hr_set-ud-test,1136,0,2106,,8.0,,,,,,,2.0,,,,,,,,,,,,,,,,221.0,,3.0,,,878.0,,,2.0,,,,,,,65.0,,,,,,,,,,42.0,,,,5.0,,,,4.0,19.0,,,,,,,3.0,,,336.0,,,,,,,,,,,,6.0,,,7.0,458.0,,,,,,,,,,,,,,,,6.0,19.0,,,,,,,20.0,,,2.0,,,
orv_rnc-ud-dev,943,0,842,,3.0,,,,,,5.0,,,,,,,,,,,,,,,,,155.0,,33.0,,,,,,1.0,,,,,,,47.0,,,,,,,,,,57.0,,,,,1.0,,,2.0,,,,7.0,,,,,,,56.0,,,,,,,,,,,,8.0,,1.0,,403.0,,,,,,,,,,,,,,,22.0,13.0,3.0,,,,,,,25.0,,,,,,
orv_rnc-ud-train,1868,0,2127,,15.0,,,,,,15.0,8.0,,,,,,,,,,,,,,,,350.0,,88.0,,,,,,4.0,,,2.0,,,,191.0,,,,,,,,,,197.0,,,,,6.0,,,12.0,,,,19.0,,,,1.0,,,183.0,,,,,,,,,2.0,,,21.0,,1.0,1.0,805.0,,,,,,,,,,,,,,,56.0,15.0,9.0,,,,,,,122.0,1.0,,3.0,,,
orv_rnc-ud-test,717,0,923,,6.0,,,,,,10.0,11.0,,,,,,,,,,,,,,,,153.0,,53.0,,,,,,,,,,,,,98.0,,1.0,,,,,,,,112.0,,,,,1.0,,,,,,,19.0,,,,1.0,,,60.0,,,,,,,,,,,,9.0,,,,335.0,,,,,,,,,,,,,,,31.0,10.0,1.0,,,,,,,10.0,,,2.0,,,
la_circse-ud-test,1263,0,9,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,2.0,,,,,,
grc_perseus-ud-test,1306,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_atis-ud-dev,572,0,121,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,11.0,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,16.0,,,,,,,,21.0,1.0,,,,,,,30.0,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,
tr_atis-ud-train,4274,0,843,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,17.0,,,,,,4.0,,,,5.0,,,,,,,,,,,,,,,1.0,,,1.0,112.0,,,,,,,,,,175.0,,,,,,,,107.0,1.0,,,,,,,311.0,,,,,,,,,,,,,,,85.0,1.0,1.0,,,,,,,13.0,,,,,,
tr_atis-ud-test,586,0,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,31.0,,,,,,,,24.0,,,,,,,,32.0,,,,,,,,,,,,,,,15.0,,,,,,,,,3.0,,,,,,
hi_pud-ud-test,1000,0,593,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,589.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_perseus-ud-test,939,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_perseus-ud-train,1334,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_kenet-ud-dev,1646,0,460,,,,,,,,,11.0,,,,,,,,,,,,,,,,8.0,,,,,1.0,,,,,,13.0,,,,3.0,,,,,,,,,,,,,,2.0,,,,,3.0,,,,,,,,,,21.0,,,,,,,,,,,,,,,4.0,380.0,,,,,,,,,,,,,,,,,4.0,,,,,,,8.0,,,2.0,,,
tr_kenet-ud-test,1643,0,525,,,,,,,,,5.0,,,,,,,,,,,,,,,,1.0,,,,,3.0,,,3.0,,,42.0,,,,3.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,21.0,,,,,,,,,1.0,,,1.0,,,4.0,434.0,,,,,,,,,,,,,,,,,3.0,,,,,,,2.0,,,,,,
tr_kenet-ud-train,15398,0,3954,,8.0,,,,,,,70.0,,,,,,,,,,,,,,,,83.0,,3.0,,,15.0,,,6.0,,1.0,95.0,,,,86.0,,,,,,,,,,,,,,2.0,1.0,,,1.0,9.0,,,,,,,,11.0,,182.0,,,,,,,,,5.0,,,2.0,,,52.0,3201.0,,,,,,,,,,,,,,,,2.0,29.0,,,,,,,79.0,,,11.0,,,
sms_giellagas-ud-test,230,0,34,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,7.0,,,,,,,,,15.0,,,,,,,,,,,,,,1.0,4.0,,,,,,
sms_giellagas-ud-train,20,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
sk_snk-ud-dev,1060,0,1106,,,,,,,,,,,,,,,,,,,,,,,,,116.0,,3.0,,,467.0,,,,,,,,,,17.0,,,,,,2.0,,,,43.0,,,,,,,,13.0,,,,,,,,,,,117.0,,,,,,,,,,,,6.0,,,,297.0,,24.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
sk_snk-ud-test,1061,0,1248,,,,,,,,,,,,,,,,,,,,,,,,,135.0,,2.0,,,530.0,,,,,,,,,,28.0,,,,,,3.0,,,,41.0,,,,,,,,3.0,,,,,,,,,,,126.0,,,,,,,,,,,,5.0,,,,349.0,,24.0,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,
sk_snk-ud-train,8483,0,5062,,,,,,,,,,,,,,,,,,,,,,,,,496.0,,5.0,,,2135.0,,,,,,,,,,67.0,,,,,,26.0,,,,241.0,,,,,,,,27.0,1.0,,,,,,,,,,388.0,,,,,,,,,,,,27.0,,,,1467.0,,154.0,,,,,,,,,,,,,,5.0,,,,,,,,23.0,,,,,,
lt_hse-ud-train,153,0,66,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,3.0,,1.0,,,,,,,,,,,,,4.0,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,3.0,,,,,,,2.0,,,,,,
lt_hse-ud-test,55,0,37,,1.0,,,,,,,,,,,,,,,,,,,,,,,9.0,,1.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,3.0,,,,,,,,,,,,,,,1.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,
lt_hse-ud-dev,55,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ess_sli-ud-test,309,0,27,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sa_ufal-ud-test,230,0,60,,1.0,,,,,,,5.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,3.0,,,,,,,,,1.0,,,,,,,,,,7.0,,,,,,,,,2.0,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
be_hse-ud-train,22853,0,11786,3.0,41.0,,,,,,17.0,15.0,,,,,,,,,,,,1.0,,,,1788.0,,42.0,,,,,,32.0,,,,,,,483.0,1.0,4.0,,,,2.0,,,,548.0,,,,,,,,85.0,1.0,,,2.0,,,,2.0,2.0,1.0,2620.0,,,,,,,,,3.0,,,33.0,,1.0,2.0,5484.0,,,,,,,,,,,,,,,,35.0,75.0,,,,,,,441.0,,,22.0,,,
be_hse-ud-dev,1301,0,820,1.0,3.0,,,,,,2.0,1.0,,,,,,,,,,,,,,,,136.0,,4.0,,,,,,,,,,,,,46.0,,,,,,,,,,21.0,,,,,,,,16.0,,,,,,,,1.0,,,177.0,,,,,,,,,,,,5.0,,,,347.0,,,,,,,,,,,,,,,,11.0,4.0,,,,,,,45.0,,,,,,
be_hse-ud-test,1077,0,1057,,24.0,,,,,,3.0,,,,,,,,,,,,,,,,,228.0,,2.0,,,,,,3.0,,,,,,,64.0,,,,,,,,,,35.0,,,,,,,,65.0,,,,,,,,,1.0,,266.0,,,,,,,,,,,,3.0,,,,322.0,,,,,,,,,,,,,,,,1.0,8.0,,,,,,,32.0,,,,,,
gub_tudet-ud-test,1182,0,236,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,29.0,,,,,,,,,,,,,,,1.0,194.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,4.0,,,,,,
cs_pud-ud-test,1000,0,1798,,3.0,,,,,,2.0,2.0,,,,,,,,,,,,,,,,221.0,,7.0,,,762.0,,,3.0,,,3.0,,,,33.0,,1.0,,,,,,,,42.0,,2.0,,,,,,26.0,6.0,,,,,,,,,,217.0,,,,,,,,,,,,19.0,,,,408.0,,27.0,,,,,,,,,,,,,,2.0,,,,,,,,10.0,,,2.0,,,
orv_ruthenian-ud-test,390,0,427,,,,,,,,4.0,,,,,,,,,,,,,,,,,45.0,,4.0,,,,,,,,,,,,,26.0,,,,,,,,,,58.0,,,,,,,,,,,,2.0,,,,,,,28.0,,,,,,,,,,,,18.0,,,1.0,224.0,,,,,,,,,,,,,,,,11.0,1.0,,,,,,1.0,4.0,,,,,,
orv_ruthenian-ud-train,2789,0,2347,,6.0,,,,,,7.0,15.0,,,,,,,,,,,,,,,,278.0,,98.0,,,,,,4.0,,,3.0,,,,151.0,,,,,,,,,,324.0,,,,,1.0,,,,,,,6.0,,,,,,,205.0,,,,,,,,,5.0,,,20.0,,1.0,5.0,1155.0,,,,,,,,,,,,,,,,12.0,2.0,,,,,,1.0,45.0,,,3.0,,,
orv_ruthenian-ud-dev,344,0,165,,1.0,,,,,,,,,,,,,,,,,,,,,,,10.0,,8.0,,,,,,,,,,,,,12.0,,,,,,,,,,22.0,,,,,1.0,,,,,,,1.0,,,,,,,10.0,,,,,,,,,1.0,,,3.0,,,1.0,88.0,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,4.0,,,,,,
lzh_tuecl-ud-test,100,0,38,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,12.0,,,,,,,,,5.0,,,,,,7.0,3.0,,,,,,,,,5.0,,,,,,,,1.0,,,,,,,1.0,,,,,,
ml_ufal-ud-test,218,0,95,,3.0,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,12.0,,,,,,,,,2.0,,,,,,1.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apu_ufpa-ud-test,161,0,18,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,9.0,,,,,,3.0,,,,,,,,,1.0,,,,,,
egy_ujaen-ud-test,721,0,121,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,1.0,,,73.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,11.0,,,,,,,,,3.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
nyq_aha-ud-test,10,0,1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mr_ufal-ud-dev,46,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,
mr_ufal-ud-test,47,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
mr_ufal-ud-train,373,0,50,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,2.0,,,,,,,4.0,,,,,,
si_stb-ud-test,100,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,2.0,,,,,,
lt_alksnis-ud-test,684,0,243,,8.0,,,,,,,,,,,,,,,,,,,,,,,25.0,,3.0,,,,,,,,,,,,,17.0,,,,,,1.0,,,,9.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,2.0,,,,173.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt_alksnis-ud-dev,617,0,297,,16.0,,,,,,,,,,,,,,,,,,,,,,,27.0,,1.0,,,,,,,,,,,,,16.0,,,,,,,,,,10.0,,,,,,,,,3.0,,,,,,,,,,2.0,,,,,,,,,,,,3.0,,,,219.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lt_alksnis-ud-train,2341,0,1185,,32.0,,,,,,,,,,,,,,,,,,,,,,,119.0,,1.0,,,,,,,,,,,,,75.0,,,,,,2.0,,,,63.0,,,,,,,,,2.0,,,,,,,,,,28.0,,,,,,,,,,,,19.0,,,,843.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
cu_proiel-ud-train,18327,0,4642,,126.0,,,,,,,94.0,,,7.0,,,,,,,,,53.0,,,,402.0,,70.0,,,,,,15.0,,,,,,,260.0,,,,,,1.0,,,,449.0,,,,,15.0,,,4.0,,,,6.0,,,,,,,190.0,,,,,,,,,21.0,,,97.0,,,20.0,2425.0,,80.0,,,,,,,,,,,,,,77.0,6.0,,,,,,,143.0,,,81.0,,,
cu_proiel-ud-test,2096,0,588,,20.0,,,,,,,15.0,,,4.0,,,,,,,,,15.0,,,,53.0,,6.0,,,,,,,,,,,,,29.0,,,,,,1.0,,,,60.0,,,,,,,,1.0,,,,,,,,,,,17.0,,,,,,,,,,,,17.0,,,2.0,306.0,1.0,6.0,,,,,,,,,,,,,,6.0,,,,,,,,15.0,,,14.0,,,
cu_proiel-ud-dev,2205,0,559,,26.0,,,,,,,15.0,,,,,,,,,,,,8.0,,,,62.0,,12.0,,,,,,,,,,,,,16.0,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,2.0,1.0,,27.0,,,1.0,273.0,,11.0,,,,,,,,,,,,,,9.0,,,,,,,,17.0,,,9.0,,,
