Treebank,Number of Sentences,Failures,Total,_,acl,acl:attr,acl:dpct,acl:ptcp,acl:relcl,advcl,advcl:abs,advcl:caus,advcl:ccomp,advcl:cmp,advcl:cond,advcl:fin,advcl:manner,advcl:pred,advcl:relcl,advcl:tcl,advmod,amod,amod:flat,appos,appos:trans,aux,aux:caus,aux:pass,case,case:loc,cc,ccomp,ccomp:relcl,clf,compound,compound:lvc,compound:name,compound:prt,compound:redup,compound:svc,conj,conj:expl,cop,csubj,csubj:pass,dep,det,det:numgov,det:nummod,det:poss,discourse,dislocated,dislocated:nsubj,dislocated:obl,expl,expl:impers,expl:pass,expl:poss,expl:pv,fixed,flat,flat:abs,flat:foreign,flat:name,flat:range,flat:repeat,flat:title,iobj,iobj:agent,list,mark,nmod,nmod:appos,nmod:arg,nmod:att,nmod:cau,nmod:comp,nmod:flat,nmod:npmod,nmod:obl,nmod:poss,nmod:tmod,nsubj,nsubj:nc,nsubj:outer,nsubj:pass,nummod,nummod:entity,nummod:gov,obj,obl,obl:agent,obl:arg,obl:benef,obl:cmp,obl:cmpr,obl:depict,obl:float,obl:goal,obl:instr,obl:lmod,obl:manner,obl:pmod,obl:smod,obl:soc,obl:source,obl:tmod,orphan,orphan:missing,parataxis,parataxis:discourse,parataxis:obj,reparandum,root,vocative,xcomp,xcomp:pred,xcomp:result
tr_pud-ud-test,1000,0,727,,8.0,,,,,24.0,,,,,,,,,,,,4.0,,3.0,,,,,2.0,,,36.0,,,4.0,8.0,,,3.0,,30.0,,9.0,2.0,,,,,,,,,,,,,,,,,18.0,,,,,,,123.0,,,,41.0,,,,,,,,,5.0,,,,,,,,,126.0,240.0,,,,,,,,,,,,,,,,,,,,,,,25.0,,16.0,,
es_gsd-ud-test,426,0,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,
es_gsd-ud-dev,1400,0,112,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,5.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,
es_gsd-ud-train,14187,0,1245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,18.0,,,,,,,,3.0,,,,,,5.0,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,26.0,,,1186.0,,,,,,,,,,,,,,,,,,,,,,,,,
de_hdt-ud-test,18459,0,40745,,1.0,,,,,1.0,,,,,,,,,,,,1959.0,,47.0,,,,,19098.0,,,,,,,,,,,,407.0,,,,,,13970.0,,,,,,,,,,,,70.0,,,,,105.0,,,,,,,,1665.0,,,,,,,,,,,3.0,,,,2.0,,,423.0,2369.0,,591.0,,,,,,,,,,,,,,,,,,,,2.0,10.0,,22.0,,
de_hdt-ud-train,153035,0,349756,,23.0,,,,,8.0,,,,,,,,,,,,14553.0,,377.0,,,,,164224.0,,,12.0,,,,,,,,,3492.0,,,,,,122835.0,,,,,,,,,,,,582.0,,,,,716.0,,,,,,,,15067.0,,,,,,,,,,,48.0,,,13.0,5.0,,,3573.0,18852.0,,4998.0,,,,,,,,,,,,,,,,,5.0,,,9.0,122.0,,242.0,,
de_hdt-ud-dev,18434,0,48391,,9.0,,,,,6.0,,,,,,,,,,,,2769.0,,45.0,,,,,18799.0,,,4.0,,,,,,,,,468.0,,,,1.0,,13988.0,,,,,,,,,,,,53.0,,,,,88.0,,,,,,,,4509.0,,,,,,,,,,,5.0,,,3.0,,,,845.0,6213.0,,499.0,,,,,,,,,,,,,,,,,2.0,,,3.0,56.0,,26.0,,
sga_dipsgg-ud-test,64,0,32,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,
pt_porttinari-ud-train,5893,0,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,66.0,,,,6.0,,,,,,,,,,,,,,,,,,16.0,37.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
pt_porttinari-ud-test,1683,0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,14.0,,,,1.0,,,,,,,,,,,,,,,,,,5.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
pt_porttinari-ud-dev,842,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,1.0,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_pdb-ud-test,2215,0,352,,6.0,,,,,,,,,,,,,,,,,21.0,4.0,3.0,,,,,,,,,,,,,,,,,14.0,,,,,,1.0,,1.0,10.0,,,,,,,,,20.0,,1.0,,,,,,,230.0,,,,6.0,,3.0,,,,,,,,,,,,,3.0,,,,23.0,,4.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,
pl_pdb-ud-train,17722,0,3024,,52.0,,,,1.0,,,,,,,,,,,,,229.0,6.0,46.0,,,,,,,,,,,,,,,,,97.0,,,,,,43.0,,6.0,42.0,,,,,,,,,232.0,3.0,24.0,,,,,,,1886.0,,,,59.0,,12.0,,,,,,,1.0,,,,,,11.0,,,2.0,219.0,,39.0,,,7.0,,,,,,,,,,,,2.0,,,,2.0,,3.0,,,,
pl_pdb-ud-dev,2215,0,406,,7.0,,,,,,,,,,,,,,,,,34.0,1.0,6.0,,,,,,,,,,,,,,,,,13.0,,,,,,6.0,,,2.0,,,,,,,,,28.0,1.0,7.0,,1.0,,,,,254.0,,,,6.0,,3.0,,,,,,,,,,,,,,,,2.0,30.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
sah_yktdt-ud-test,299,0,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,,2.0,,,,,,,,,,,2.0,,,,,,,4.0,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk_iu-ud-dev,673,0,117,,,,,,,,,,,,,,,,,,,15.0,,4.0,,,,,6.0,,,,,,,,,,,,5.0,,,,,,3.0,,,,,,,,,,,,,,,1.0,,5.0,,,2.0,15.0,,,,6.0,,,,,,,,,,,,,,,,,,46.0,5.0,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,,,,
uk_iu-ud-train,5521,0,1092,,1.0,,,,,2.0,,,,,,,,,,,,86.0,,23.0,,,,,14.0,,,,,,,,,,,,44.0,,,,,,50.0,,1.0,,,,,,13.0,,,,,,,6.0,,31.0,,1.0,19.0,285.0,,,,33.0,,,,,,,,,,,,,,,3.0,,,446.0,19.0,,,,,,,,,,,,,,,,,3.0,,,,,,12.0,,,,
uk_iu-ud-test,898,0,181,,,,,,,1.0,,,,,,,,,,,,25.0,,4.0,,,,,3.0,,,,,,,,,,,,14.0,,,,,,12.0,,2.0,,,,,,,,,,,,,,,,,,2.0,33.0,,,,15.0,,,,,,,,,,,,,,,,,,56.0,4.0,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,
sa_vedic-ud-test,2709,0,559,,17.0,3.0,,4.0,,18.0,,1.0,9.0,,,40.0,,,,,,14.0,,6.0,,,,,,,,3.0,,,,,1.0,,,,46.0,,,1.0,,,14.0,,,,,1.0,,,,,,,,,82.0,,,,,,,171.0,,,,16.0,2.0,,,,,,,,,,1.0,,,,,,,2.0,30.0,,,22.0,,,,,4.0,,,,,,,,,16.0,,2.0,,,,33.0,,,,
sa_vedic-ud-train,21477,0,4253,,102.0,7.0,6.0,9.0,3.0,136.0,,1.0,109.0,,1.0,322.0,4.0,,,,,73.0,,22.0,,,,,,,,50.0,,,,,2.0,,,,330.0,,1.0,1.0,,,67.0,,,,,,,,,,,,,,811.0,,,,,,,1338.0,,,,65.0,31.0,,,,,,,,,,6.0,,,,2.0,,,28.0,131.0,2.0,,162.0,,,,,27.0,1.0,1.0,2.0,,,2.0,11.0,6.0,177.0,,18.0,,,,181.0,,3.0,,2.0
sa_vedic-ud-dev,2996,0,560,,15.0,,,1.0,,11.0,,4.0,10.0,,,45.0,,,,,,7.0,,3.0,,,,,,,,4.0,,,,,,,,,23.0,,,2.0,,,13.0,,,,,,,,,,,,,,92.0,,,,,,,210.0,,,,2.0,4.0,,,,,,,,,,2.0,,,,1.0,,,3.0,27.0,,,17.0,,,,,2.0,1.0,1.0,,,,,2.0,,33.0,,5.0,,,,20.0,,,,
es_ancora-ud-train,14287,0,1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.0,,,,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1480.0,,,,,,,,,,,,,,,,,,,,,,,,,
es_ancora-ud-test,1721,0,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.0,,,,,,,,,,,,,,,,,,,,,,,,,
es_ancora-ud-dev,1654,0,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.0,,,,,,,,,,,,,,,,,,,,,,,,,
hr_set-ud-dev,960,0,276,,,,,,,,,,,,,,,,,,,52.0,,2.0,,,,,8.0,,,,,,,,,,,,18.0,,,,,,12.0,,,,,,,,3.0,,,,,,10.0,,,,,,,53.0,,,,21.0,,,,,,,,,,,,,,,,,,80.0,16.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
hr_set-ud-train,6914,0,2077,,7.0,,,,,,,,,,,,,,,,,345.0,,12.0,,,,,66.0,,,,,,,,,,,,123.0,,,,,,68.0,1.0,,,4.0,1.0,,,2.0,,,,,3.0,50.0,,,,,,,462.0,,1.0,4.0,227.0,,,,,,,,,,,4.0,,,,4.0,,1.0,551.0,128.0,,,,,,,,,,,,,,,,,5.0,,3.0,,,,3.0,,2.0,,
hr_set-ud-test,1136,0,363,,1.0,,,,,,,,,,,,,,,,,53.0,,4.0,,,,,11.0,,,,,,,,,,,,19.0,,,,,,9.0,,,,,,,,,,,,,1.0,16.0,,,,,,,67.0,,,,56.0,,,,,,,,,,,,,,,,,,106.0,19.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
orv_rnc-ud-dev,943,0,929,,1.0,,,,,,,,,,,,,,,,,101.0,,101.0,,,,,,,,,,,,,,,,,69.0,,1.0,,,,79.0,,,,,1.0,,,,,,,,1.0,,,,48.0,,,,236.0,,,,39.0,,,,,,,,,,,,,,,21.0,,12.0,1.0,168.0,,,,,,,,,,,,,,,,,37.0,,6.0,,,,7.0,,,,
orv_rnc-ud-train,1868,0,2694,,23.0,,,,3.0,9.0,,,,,,,,,,,,363.0,,296.0,,,,1.0,,,,,,,1.0,,,,,,259.0,,4.0,1.0,,,271.0,,,,,1.0,,,,,,,,2.0,,,,110.0,,,,619.0,,,,136.0,,,,,,,,,,,6.0,,,,13.0,,4.0,7.0,494.0,1.0,,,,,3.0,4.0,,,,,,,,,4.0,37.0,,1.0,,,,18.0,,3.0,,
orv_rnc-ud-test,717,0,1776,,7.0,,,,,1.0,,,,,,,,,,,,220.0,,211.0,,,,,,,,,,,4.0,,,,,,163.0,,,,,1.0,154.0,,,,,,,,,,,,,,,,,132.0,,,,450.0,,,,62.0,,,,,,,,,,,6.0,,,1.0,3.0,,8.0,1.0,311.0,,,,,,,2.0,,,,,,,,,2.0,9.0,,1.0,,,,25.0,,2.0,,
la_circse-ud-test,1263,0,659,,13.0,,,,3.0,6.0,2.0,,,4.0,,,,3.0,,,,67.0,,2.0,,,,,,,,,,,,,,,,,36.0,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,1.0,,,,,175.0,8.0,254.0,,1.0,,,,,,12.0,,,,,,,16.0,,,,,,16.0,,,,
is_pud-ud-test,1000,0,1941,,7.0,,,,6.0,7.0,,,,,,,,,,,6.0,224.0,,15.0,,1.0,,,,,,10.0,,,3.0,,,1.0,,,81.0,,,2.0,,,91.0,,,,,,,,1.0,,,,,16.0,,,,6.0,,,,25.0,,,3.0,496.0,,,,,,,,,42.0,,48.0,,,,27.0,,,173.0,476.0,,135.0,,,,,,,,,,,,,,,,,1.0,,,,31.0,,7.0,,
grc_perseus-ud-dev,1137,0,1598,,3.0,,,,,19.0,,,,,,,,,,,39.0,13.0,,,,,,,,,,1.0,,,,,,,,,63.0,,3.0,,,,388.0,,,,,,,,,,,,,,,,,,,,,136.0,,,,237.0,,,,,,,,,,,4.0,,,,,,,202.0,442.0,,,,,,,,,,,,,,,,,,,,,,,6.0,,42.0,,
grc_perseus-ud-train,11476,0,11340,,8.0,,,,,43.0,,,,,,,,,,,119.0,63.0,,15.0,,,,,,,,,,,,,,,,,379.0,,11.0,,,,833.0,,,,,,,,,,,,,,,,,,,,,1215.0,,,,2480.0,,,,,,,,,,,22.0,,,,3.0,,,1828.0,4059.0,,,,,,,,,,,,,,,,,,,2.0,,,,19.0,2.0,239.0,,
grc_perseus-ud-test,1306,0,1443,,2.0,,,,,14.0,,,,,,,,,,,18.0,14.0,,,,,,,,,,1.0,,,,,,,,,42.0,,4.0,,,,371.0,,,,,,,,,,,,,,,,,,,,,99.0,,,,219.0,,,,,,,,,,,,,,,,,,171.0,452.0,,,,,,,,,,,,,,,,,,,,,,,5.0,,31.0,,
tr_atis-ud-dev,572,0,466,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,3.0,,,6.0,,,,,,7.0,,,,,,,,,,,,,,,,,,,,126.0,,,,,,,,,,,151.0,,,,,,,,,,,,,,,,,,,160.0,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,
tr_atis-ud-train,4274,0,3603,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,3.0,,,82.0,,,,,,45.0,,,,,,,,,,,,,,,,,,,,944.0,,,,,,,,,1.0,,1184.0,,,,,,,,,,1.0,2.0,,,,,,,6.0,1277.0,,,,,,,,,,,,,,,,6.0,,,,,,,48.0,,,,
tr_atis-ud-test,586,0,455,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,108.0,,,,,,,,,,,196.0,,,,,,,,,,2.0,,,,,,,,,123.0,,,,,,,,,,,,,,,,,,,,,,,13.0,,1.0,,
pt_pud-ud-test,1000,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hi_pud-ud-test,1000,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_perseus-ud-test,939,0,265,,,,,,,1.0,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,7.0,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,91.0,,109.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,
la_perseus-ud-train,1334,0,538,,,,,,,1.0,,,,,,,,,,,,45.0,,2.0,,,,,,,,,,,,,,,,,30.0,,,,,,37.0,,,,,,,,,,,,,,1.0,,,7.0,,,,,,,,25.0,,,,,,,,,,,,,,,1.0,,,,189.0,,198.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,
tr_kenet-ud-dev,1646,0,969,,1.0,,,,,16.0,,,,,,,,,,,,2.0,,,,,,,1.0,,,64.0,,,87.0,,,,,,33.0,,,,,,,,,,2.0,,,,,,,,,,4.0,,,,,,,117.0,,,,12.0,,,,,,,,,,,1.0,,,,,,,31.0,597.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
tr_kenet-ud-test,1643,0,963,,1.0,,,,,15.0,,,,,,,,,,,,2.0,,,,,,,1.0,,,90.0,,,206.0,,,,,,10.0,,,,,,,,,,1.0,,,,,,,,,,3.0,,,,,,,1.0,,7.0,,18.0,,,,,,,,,,,4.0,,,,,,,102.0,498.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,
tr_kenet-ud-train,15398,0,6213,,11.0,,,,,89.0,,,,,,,,,,,,53.0,,5.0,,,,,14.0,,,363.0,,1.0,527.0,,,,,,226.0,,,2.0,,,,,,,5.0,,,,,,,,,4.0,15.0,,,,,,,302.0,,1.0,,191.0,,,,,,,,,,,12.0,,,,3.0,,,362.0,3975.0,,,,,,,,,,,,,,,,,2.0,,3.0,,,2.0,23.0,,22.0,,
sk_snk-ud-dev,1060,0,292,,,,,,,,,,,,,,,,,,,44.0,,1.0,,,,,74.0,,,,,,,,,,,,4.0,,,,,,8.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,39.0,,93.0,,,,,,,,,,,,,,,,,,,,,,,,,
sk_snk-ud-test,1061,0,307,,,,,,,,,,,,,,,,,,,44.0,,1.0,,,,,71.0,,,,,,,,,,,,10.0,,,,,,14.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,2.0,,,,33.0,,105.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,
sk_snk-ud-train,8483,0,2031,,,,,,,,,,,,,,,,,,,116.0,,4.0,,,,,315.0,,,,,,,,,,,,35.0,,,,,5.0,61.0,,,,3.0,,,,,,,,,3.0,,,,,,,,,,,,79.0,,,,,,,,,,,,,,,6.0,,,,219.0,,1176.0,,,,,,,,,,,,,,,,,,,,,9.0,,,,
lt_hse-ud-train,153,0,91,,1.0,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,16.0,,,,,,1.0,,,,,,,,,,,,,,14.0,,,,,,,16.0,,,,16.0,,,,,,,,,,,,,,,,,,15.0,5.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
lt_hse-ud-test,55,0,23,,,,,,,,,,,,,,,,,,,6.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,6.0,,,,4.0,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
lt_hse-ud-dev,55,0,23,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,7.0,,,,1.0,,,,,,,,,,,2.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
hit_hittb-ud-test,136,0,81,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,7.0,,,,,,,,1.0,,,,,,,,,,,,,18.0,,,,5.0,,,,,,,,,,,,,,,,,,6.0,37.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,
sa_ufal-ud-test,230,0,20,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,6.0,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
be_hse-ud-train,22853,0,2945,1.0,14.0,,,,,1.0,,,,,,,,,,,,266.0,,63.0,,,,,,,,2.0,,,,,,,,,129.0,,,,,,146.0,,,,,,,,,,,,,7.0,,,,132.0,,,,1746.0,,1.0,,162.0,,,,,,,,,,,1.0,,,,2.0,,1.0,19.0,175.0,,,,,,,,,,,,,,,,,18.0,,10.0,,,,39.0,,10.0,,
be_hse-ud-dev,1301,0,124,,,,,,,,,,,,,,,,,,,13.0,,2.0,,,,,,,,,,,,,,,,,7.0,,,,,,2.0,,,,,,,,,,,,,1.0,,,,2.0,,,,80.0,,,,8.0,,,,,,,,,,,,,,,,,,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,
be_hse-ud-test,1077,0,153,,1.0,,,,,,,,,,,,,,,,,21.0,,3.0,,,,,,,,,,,,,,,,,20.0,,,,,,8.0,,,,,,,,,,,,,,,,,5.0,,,,58.0,,,,20.0,,,,,,,,,,,1.0,,,,,,,4.0,8.0,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,
gub_tudet-ud-test,1182,0,135,,,,,,,,,,,,,,,,,,,,,6.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,3.0,,,,,,,,,,,,,,,,,,1.0,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_pud-ud-test,1000,0,503,,2.0,,,,1.0,,,,,,,,,,,,,80.0,,1.0,,,,,112.0,,,,,,,,,,,,15.0,,,,,,11.0,,,,,,,,,,,,22.0,3.0,7.0,,,,,,,,,,,53.0,,,,,,,,,,,1.0,,,,2.0,,,,67.0,,123.0,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,
orv_ruthenian-ud-test,390,0,736,,3.0,,,,,,,,,,,,,,,,,82.0,,57.0,,,,,,,,,,,,,,,,,83.0,,,,,,77.0,,,,,2.0,,,,,,,,2.0,,,,,,,,291.0,,,,10.0,,,,,,,,,,,,,,,,,,,104.0,,,,,,,,,,,,,,,,,6.0,,1.0,,,,18.0,,,,
orv_ruthenian-ud-train,2789,0,6395,,66.0,,,,,5.0,,,,,,,,,,,,495.0,,699.0,,,,,,,,,,,,,,,,,1049.0,,,,,1.0,984.0,,,,,2.0,,,,,,,,,,,,212.0,,,,1815.0,,,,250.0,,,,,,,,,,,,,,1.0,12.0,,2.0,2.0,539.0,1.0,,,,,,,,,,,,,,,,71.0,,1.0,,,10.0,172.0,,6.0,,
orv_ruthenian-ud-dev,344,0,664,,4.0,,,,,,,,,,,,,,,,,77.0,,81.0,,,,,,,,,,,,,,,,,47.0,,,,,,107.0,,,,,,,,,,,,,,,,,8.0,,,,191.0,,,,21.0,,,,,,,,,,,,,,,,,,,86.0,,,,,,,,,,,,,,,,,5.0,,,,,,37.0,,,,
ml_ufal-ud-test,218,0,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,4.0,,,,,,,7.0,,,,9.0,,,,,,,,,,,13.0,,,,1.0,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
