Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:ccomp,advmod,amod,appos,aux,case,cc,ccomp,ccomp:cleft,ccomp:pred,compound,compound:lvc,conj,cop,csubj,dep,det,det:poss,discourse,dislocated,fixed,flat,flat:name,flat:sibl,iobj,list,mark,nmod,nmod:appos,nmod:arg,nmod:obl,nmod:poss,nmod:pred,nsubj,nummod,obj,obl,obl:agent,obl:arg,obl:benef,obl:cmpr,obl:float,obl:grad,obl:inst,obl:instr,obl:manner,obl:path,obl:soc,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:obj,reparandum,root,xcomp,xcomp:pred
orv_rnc-ud-dev,943,0,68,,,,,,,,,,,,,,,,,8.0,,1.0,,,,,,,,,,2.0,,,6.0,,,,,,,,,40.0,,,,,1.0,,,,,,,,9.0,,,,,1.0,,
orv_rnc-ud-train,1868,0,129,,,3.0,,,,,1.0,,,,,,,,,4.0,,2.0,,1.0,,,,,,,,24.0,,,14.0,,,,,,,,1.0,69.0,4.0,,,,,,,,,,,,1.0,3.0,,,,1.0,1.0,
orv_rnc-ud-test,717,0,86,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,7.0,,,29.0,,,,,,,,1.0,45.0,,,,,,,,,,,,,,,,,,2.0,,
tr_atis-ud-dev,572,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,
tr_atis-ud-train,4274,0,81,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,12.0,,,,,,35.0,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,1.0,
tr_atis-ud-test,586,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,6.0,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,
hi_pud-ud-test,1000,0,42,,,,,,,,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_kenet-ud-dev,1646,0,167,,,,1.0,,,1.0,,,,,1.0,,,1.0,,7.0,,,,,,1.0,,,1.0,,,,,,6.0,,,,,,,,3.0,142.0,,,,,,,,,,,,,,2.0,,,,1.0,,
tr_kenet-ud-test,1643,0,209,,,,,,,,,,,,2.0,,,11.0,,12.0,,,,,,,,,2.0,,,,1.0,,9.0,,,,,,3.0,,6.0,152.0,,,,,,,,,,,,,,1.0,,,,1.0,9.0,
tr_kenet-ud-train,15398,0,1553,,1.0,,14.0,,,5.0,1.0,,1.0,,6.0,,,16.0,,110.0,,,,,,,1.0,,3.0,,,,,,58.0,,,,,,25.0,1.0,54.0,1237.0,,,,,,,,,,,,,,4.0,,,,10.0,6.0,
sk_snk-ud-dev,1060,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,4.0,,1.0,,,,,,,,,,,,,,,,,,
sk_snk-ud-test,1061,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,
sk_snk-ud-train,8483,0,172,,,,,,,,1.0,,,,,,,,,3.0,,,4.0,,,,,,,,,,,,10.0,,,,,,,,,105.0,,43.0,,,,,,,,,,,2.0,1.0,,,,3.0,,
lt_hse-ud-train,153,0,7,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,
lt_hse-ud-test,55,0,42,,1.0,,,,,11.0,,,,,,,,,,5.0,,,,2.0,,,,,,,,5.0,,,2.0,,,,,,,,3.0,9.0,2.0,,,,,,,,,,,,,1.0,,,,1.0,,
lt_hse-ud-dev,55,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
hit_hittb-ud-test,136,0,9,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,
sa_ufal-ud-test,230,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6.0,,,,,,,,,,,,,,,,,,,
be_hse-ud-train,22853,0,420,,4.0,6.0,2.0,,5.0,,,,,,1.0,,,,,8.0,,,,1.0,,,,,,,,56.0,,1.0,24.0,,,,,,,,31.0,250.0,10.0,,,,,,,,,,,,,3.0,,,,10.0,8.0,
be_hse-ud-dev,1301,0,24,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,3.0,,,,,,,,,1.0,,,14.0,1.0,,,,,,,,,,,,,1.0,,,,1.0,,
be_hse-ud-test,1077,0,23,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,3.0,,,2.0,,,,,,,,,14.0,1.0,,,,,,,,,,,,,,,,,1.0,,
cs_pud-ud-test,1000,0,21,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,5.0,,,,,,,,,8.0,1.0,2.0,,,,,,,,,,,,,,,,2.0,,
orv_ruthenian-ud-test,390,0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,3.0,,,,,,,,1.0,23.0,,,,,,,,,,,,,,,,,,1.0,,
orv_ruthenian-ud-train,2789,0,437,,,,,,,,,,,,1.0,,,,,23.0,,,,,,,,,,,,24.0,,,24.0,,,,,,1.0,,3.0,352.0,1.0,,,,,,,,,,,,1.0,,,,,7.0,,
orv_ruthenian-ud-dev,344,0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,4.0,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,3.0,,
ml_ufal-ud-test,218,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
egy_ujaen-ud-test,721,0,61,,,,,,,,,,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mr_ufal-ud-dev,46,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
mr_ufal-ud-test,47,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
mr_ufal-ud-train,373,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,
si_stb-ud-test,100,0,7,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,1.0,,
lt_alksnis-ud-test,684,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,1.0,,12.0,,,,,,,,,,,,,,,,,,
lt_alksnis-ud-dev,617,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,1.0,,,,,7.0,,,,,,,,,,,,,,,,,,
lt_alksnis-ud-train,2341,0,91,,,,,,,,,,,,1.0,,,,,4.0,,,,,,,,,,,,,,,40.0,,,,,,,,,,,46.0,,,,,,,,,,,,,,,,,,
cu_proiel-ud-train,18327,0,625,,13.0,,44.0,,,,3.0,,,,,,,,,30.0,,,,24.0,,,1.0,7.0,,,,,,,4.0,,,,,,1.0,,2.0,361.0,47.0,28.0,,,,,,,,,,,11.0,2.0,,,,38.0,9.0,
cu_proiel-ud-test,2096,0,95,,2.0,,3.0,,,,,,,,2.0,,,,,1.0,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,69.0,5.0,3.0,,,,,,,,,,,3.0,,,,,3.0,1.0,
cu_proiel-ud-dev,2205,0,94,,4.0,,7.0,,,,,,,,,,,,,4.0,,,,4.0,,,,2.0,,,,,,,,,,,,,1.0,,,52.0,6.0,3.0,,,,,,,,,,,4.0,,,,,4.0,3.0,
olo_kkpp-ud-test,106,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,
hy_bsut-ud-train,1226,0,11,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,8.0,1.0,,,,,,,,,,,,,,,,,,,
hy_bsut-ud-test,595,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,
hy_bsut-ud-dev,479,0,3,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
hsb_ufal-ud-test,623,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,
hsb_ufal-ud-train,23,0,28,,,,,,,5.0,,,,,,,,,,10.0,,,,2.0,,,,,1.0,,,,,,7.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
fi_tdt-ud-train,12217,0,10,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fi_tdt-ud-test,1555,0,50,,,,16.0,,1.0,8.0,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,,19.0,,,,,,,,,,,,,,,,,,2.0,,
fi_tdt-ud-dev,1364,0,1,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sr_set-ud-test,520,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,
sr_set-ud-train,3328,0,24,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,18.0,,,,,,,,,,,,,,,,,,2.0,,
sr_set-ud-dev,536,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,
tr_framenet-ud-test,205,0,9,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,
tr_framenet-ud-train,2288,0,133,,,,4.0,,,,,,,,,,,18.0,,4.0,,,,,,,,,,,,,,,5.0,,,,,,,,1.0,101.0,,,,,,,,,,,,,,,,,,,,
tr_framenet-ud-dev,205,0,8,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,
ky_ktmu-ud-train,80,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ky_ktmu-ud-test,701,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kpv_ikdp-ud-test,214,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,2.0,,
kpv_lattice-ud-test,643,0,5,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,
abq_atb-ud-test,98,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
tr_gb-ud-test,2880,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,
ru_taiga-ud-train,16045,0,433,,1.0,1.0,,,6.0,,,,,1.0,2.0,,,,,6.0,,,,1.0,,,,5.0,,,,77.0,,2.0,21.0,,,,,,,,7.0,271.0,8.0,,,,,,,,,,,,1.0,10.0,,,,10.0,3.0,
ru_taiga-ud-dev,946,0,21,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,4.0,,,1.0,,,,,,,,1.0,13.0,,,,,,,,,,,,,,1.0,,,,,,
ru_taiga-ud-test,881,0,28,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,9.0,,,1.0,,,,,,,,,9.0,3.0,,,,,,,,,,,,,,,,,3.0,,
fi_pud-ud-test,1000,0,52,,,,40.0,,,3.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,
cs_cltt-ud-dev,316,0,5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,
cs_cltt-ud-train,467,0,6,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_cltt-ud-test,338,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,3.0,,4.0,,,,,,,,,,,,,,,,,,
hy_armtdp-ud-train,1974,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,1.0,,
hy_armtdp-ud-dev,249,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
hy_armtdp-ud-test,277,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
ota_boun-ud-train,114,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
ota_boun-ud-test,400,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,,,,,,,,,,,,,,,,,,,,
ru_syntagrus-ud-train,69630,0,3060,,3.0,3.0,9.0,,1.0,,1.0,,,,10.0,,,,,44.0,,4.0,,,,108.0,,172.0,,1.0,,157.0,,7.0,220.0,,,,,,6.0,,28.0,2071.0,68.0,,,,,,,,,,,,7.0,83.0,,,,45.0,12.0,
ru_syntagrus-ud-dev,8906,0,410,,,3.0,,,,,,,,,1.0,,,,,12.0,,,,,,18.0,,27.0,,,,20.0,,,34.0,,,,,,,,,274.0,9.0,,,,,,,,,,,,,7.0,,,,4.0,1.0,
ru_syntagrus-ud-test,8800,0,417,,1.0,1.0,2.0,,1.0,,,,,,3.0,,,,,6.0,,,,,,15.0,,33.0,,,,19.0,,3.0,25.0,,,,,,,,4.0,280.0,12.0,,,,,,,,,,,,,8.0,,,,3.0,1.0,
sjo_xdt-ud-test,810,0,12,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orv_birchbark-ud-train,1045,0,17,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,1.0,,,1.0,,,,,,,,,7.0,,,,,,,,,,,,,,1.0,,,1.0,3.0,,
orv_birchbark-ud-dev,1062,0,26,,,,,,,,,,,,,,,,,3.0,,,,,,,,1.0,,,,3.0,,,2.0,,,,,,,,,13.0,,,,,,,,,,,,,,1.0,,,,3.0,,
orv_birchbark-ud-test,1007,0,25,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,5.0,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,3.0,,
ru_poetry-ud-test,728,0,48,,,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,2.0,,,4.0,,,,,,,,,29.0,4.0,,,,,,,,,,,,1.0,1.0,,,,3.0,,
ru_poetry-ud-dev,789,0,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,4.0,,,,,,,,,17.0,3.0,,,,,,,,,,,,,1.0,,,,5.0,2.0,
ru_poetry-ud-train,3569,0,149,,,,,,,,,,,,,,,,,9.0,,1.0,,,,,,1.0,,,,13.0,,,18.0,,,,,,,,1.0,86.0,9.0,,,,,,,,,,,,,3.0,,,,7.0,1.0,
myu_tudet-ud-test,158,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,
wbp_ufal-ud-test,55,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
koi_uh-ud-test,94,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
cs_fictree-ud-dev,1309,0,51,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,35.0,,13.0,,,,,,,,,,,,,,,,1.0,,
cs_fictree-ud-train,10160,0,400,,1.0,3.0,2.0,,,,,,,,4.0,,,,,7.0,,1.0,,,,,,,,,,,,,22.0,,,,,,,,,216.0,,126.0,,,,,,,,,,,1.0,,,,,13.0,4.0,
cs_fictree-ud-test,1291,0,70,,,1.0,,,,,,,,,2.0,,,,,2.0,,,1.0,,,,,,,,,,,,5.0,,,,,,,,,33.0,,21.0,,,,,,,,,,,1.0,,,,,3.0,1.0,
hyw_armtdp-ud-test,680,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,1.0,,,,,,
hyw_armtdp-ud-dev,694,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,
hyw_armtdp-ud-train,5282,0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,
sl_sst-ud-train,4558,0,51,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,4.0,,,,,,,,,44.0,,,,,,,,,,,,,2.0,,,,,,,
sl_sst-ud-test,1041,0,23,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,17.0,,,,,,,,,,,,,2.0,,,,,2.0,,
sl_sst-ud-dev,505,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,
ka_glc-ud-test,151,0,7,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arr_tudet-ud-test,674,0,3,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kk_ktb-ud-test,1047,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,
kk_ktb-ud-train,31,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,
cs_pdt-ud-test,10146,0,237,72.0,,5.0,2.0,,,,,,,,5.0,,,,,5.0,,,2.0,,,,,,,,,,,,8.0,,,,,,,,,86.0,,45.0,,,,,,,,,,,,,,,,5.0,2.0,
cs_pdt-ud-dev,9270,0,200,65.0,,1.0,,,,,,,,,1.0,,,,,3.0,,,2.0,,,,,,,,,,,,6.0,,,,,,,,,68.0,,48.0,,,,,,,,,,,,1.0,,,,2.0,3.0,
cs_pdt-ud-train,68491,0,1609,457.0,6.0,28.0,7.0,,,,3.0,,,,13.0,,,,,49.0,,,19.0,,,,,,,,,,,,93.0,,,,,,,,,537.0,,328.0,,,,,,,,,,,4.0,4.0,,,,51.0,10.0,
ta_mwtt-ud-test,534,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,2.0,,,,,,5.0,,,,,,,,,,,,,
ota_dudu-ud-test,85,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,
ta_ttb-ud-train,400,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
ta_ttb-ud-dev,80,0,3,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
ta_ttb-ud-test,120,0,5,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
ru_pud-ud-test,1000,0,40,,,,,,1.0,,,,,,,,,,,1.0,,,,1.0,,1.0,,1.0,,,,9.0,,,2.0,,,,,,,,3.0,20.0,1.0,,,,,,,,,,,,,,,,,,,
qtd_sagt-ud-test,805,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,
qtd_sagt-ud-dev,801,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,
qtd_sagt-ud-train,578,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
krl_kkpp-ud-test,228,0,5,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,
pl_pud-ud-test,1000,0,21,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,4.0,,,,3.0,,,1.0,,,,,,,,,2.0,,6.0,,,,,,,,,,,,,,1.0,,1.0,,
orv_torot-ud-test,2955,0,117,,1.0,,8.0,,,,,,,,,,,,,3.0,,,,5.0,,,1.0,3.0,,,,,,,1.0,,,,,,,,,80.0,3.0,8.0,,,,,,,,,,,1.0,,,,,3.0,,
orv_torot-ud-dev,3061,0,130,,1.0,,3.0,,,,,,,,,,,,,4.0,,,,5.0,,,,2.0,,,,,,,3.0,,,,,,,,,89.0,5.0,9.0,,,,,,,,,,,5.0,,,,,4.0,,
