Treebank,Number of Sentences,Failures,Total,_,acl,acl:attr,acl:dpct,acl:relcl,advcl,advcl:caus,advcl:ccomp,advcl:cmp,advcl:cmpr,advcl:cond,advcl:fin,advcl:manner,advcl:pred,advcl:relcl,advcl:tcl,amod,appos,case,ccomp,ccomp:cleft,ccomp:obj,compound,compound:lvc,compound:redup,conj,csubj,csubj:pass,dep,discourse,dislocated,fixed,flat,flat:abs,flat:foreign,flat:name,flat:sibl,iobj,list,mark,nmod,nmod:appos,nmod:arg,nmod:flat,nmod:gobj,nmod:npmod,nmod:obl,nmod:poss,nmod:pred,nsubj,nsubj:pass,nummod,nummod:gov,obj,obl,obl:agent,obl:arg,obl:cmpr,obl:depict,obl:goal,obl:grad,obl:inst,obl:instr,obl:lmod,obl:lvc,obl:manner,obl:path,obl:soc,obl:source,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:insert,parataxis:obj,parataxis:rel,reparandum,root,vocative,xcomp,xcomp:cleft,xcomp:pred
sah_yktdt-ud-test,299,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk_iu-ud-dev,673,0,281,,,,,2.0,,,,,,,,,,,,,3.0,,2.0,,,,,,35.0,,,,,,,,,,,,,,,52.0,,,,,,,,,,,,,4.0,138.0,,,,,,,,,,,,,,,,1.0,6.0,5.0,,,1.0,,9.0,,2.0,,21.0
uk_iu-ud-train,5521,0,2051,1.0,5.0,,,20.0,11.0,,,,,,,,4.0,,,,27.0,,6.0,,,1.0,,,246.0,4.0,,,,,,,2.0,,,4.0,,,,417.0,,,,,,,,,,,,,16.0,1037.0,,,,,,,,,,,,,,,,13.0,18.0,9.0,,,,,89.0,,12.0,,109.0
uk_iu-ud-test,898,0,416,,1.0,,,4.0,2.0,,,,,,,,,,,,5.0,,2.0,,,,,,47.0,,,,,,,,1.0,,,,,,,79.0,,,,,,,,,,,,,3.0,221.0,,,,,,,,,,,,,,,,5.0,2.0,3.0,,,,,15.0,,2.0,,24.0
sa_vedic-ud-test,2709,0,532,,3.0,,,1.0,,,2.0,,,,,,,,,2.0,2.0,,2.0,,,,,,64.0,,,,,,,38.0,,,,,1.0,,,1.0,3.0,,,,,,,,,,,,3.0,162.0,3.0,,,,,,,163.0,,,9.0,3.0,21.0,1.0,5.0,36.0,1.0,,,,,,6.0,,,,
sa_vedic-ud-train,21477,0,4753,,102.0,5.0,3.0,,3.0,1.0,28.0,,,3.0,1.0,7.0,,,1.0,6.0,19.0,,16.0,,,,,,457.0,3.0,,,,,,412.0,,,,,3.0,,,18.0,29.0,,,,,,,,1.0,,,,5.0,1315.0,134.0,,,,,10.0,,1434.0,11.0,,60.0,32.0,296.0,15.0,16.0,244.0,4.0,,,,,,56.0,1.0,2.0,,
sa_vedic-ud-dev,2996,0,523,,8.0,,,,3.0,,3.0,,,,1.0,,,,,,,,2.0,,,,,,51.0,,,,,,,42.0,,,,,,,,1.0,7.0,,,,,,,,,,,,,149.0,6.0,,,,2.0,,,160.0,,,7.0,4.0,37.0,,5.0,33.0,,,,,,,2.0,,,,
hr_set-ud-dev,960,0,245,,,,,,,,,,,,,,,,,1.0,1.0,,2.0,,,,,,30.0,,,,,,4.0,,,,,,8.0,,,53.0,,,,,,,,,,,,,10.0,120.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,3.0,,11.0,,
hr_set-ud-train,6914,0,1911,,4.0,,,,,,,,,,,,,,,5.0,15.0,1.0,2.0,,,,,,207.0,,,,4.0,,25.0,6.0,,,,,41.0,,4.0,529.0,,,,,,,,,1.0,,,,88.0,855.0,,,,,,,,,,,,,,,,5.0,15.0,,,,,,25.0,,79.0,,
hr_set-ud-test,1136,0,307,,1.0,,,,,,,,,,,,,,,1.0,6.0,1.0,,,,,,,44.0,,,,,,4.0,1.0,,,,,5.0,,,72.0,,,,,,,,,1.0,,,,22.0,136.0,,,,,,,,,,,,,,,,,2.0,,,,,,6.0,,5.0,,
orv_rnc-ud-dev,943,0,393,,,,,,,,,,,,,,,,,,11.0,,,,,,,,35.0,,,,,,,,,,1.0,,34.0,,,211.0,,,,,,,,,1.0,1.0,1.0,,15.0,73.0,1.0,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,5.0,,
orv_rnc-ud-train,1868,0,1101,,1.0,,,3.0,1.0,,,,,,,,,,,,37.0,,1.0,,,,,,226.0,,,,,,,,,,,,180.0,,,272.0,,,,,,,,,3.0,,,,68.0,231.0,19.0,,,1.0,,,,,,,,,,,9.0,18.0,2.0,2.0,,,,,13.0,,14.0,,
orv_rnc-ud-test,717,0,369,,1.0,,,2.0,,,,,,,,,,,,,11.0,,,,,,,,51.0,,,,,,,,,,,,62.0,,,69.0,,,,,,,,,,,,,55.0,103.0,3.0,,,,,,,,,,,,,,,1.0,,,,,,,,,11.0,,
tr_atis-ud-dev,572,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_atis-ud-train,4274,0,68,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,8.0,,,,,,,,27.0,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
tr_atis-ud-test,586,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_kenet-ud-dev,1646,0,163,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,,,1.0,,,7.0,,,,1.0,,,,,,,,,,,6.0,,,,,,,,,,,,,3.0,139.0,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,
tr_kenet-ud-test,1643,0,203,,,,,,,,,,,,,,,,,,,,2.0,,,11.0,,,11.0,,,,,,,1.0,,,,,,1.0,,8.0,,,,,,,,,2.0,,,,6.0,150.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,9.0,,
tr_kenet-ud-train,15398,0,1538,,1.0,,,,14.0,,,,,,,,,,,5.0,1.0,1.0,6.0,,,16.0,,,110.0,,,,,1.0,,,,,,,,,,57.0,,,,,,,,,22.0,,1.0,,53.0,1230.0,,,,,,,,,,,,,,,,,4.0,,,,,,10.0,,6.0,,
sk_snk-ud-dev,1060,0,278,,4.0,,,3.0,,,,,,,,,,,,,2.0,1.0,,,,,,,35.0,2.0,,1.0,,,2.0,,,,,,,,,58.0,,,,,,,,,,,,,,70.0,,49.0,,,,,,,,,,,,,,1.0,,,,,,,48.0,,2.0,,
sk_snk-ud-test,1061,0,310,,2.0,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,46.0,,1.0,3.0,,,,,,,,,,,,41.0,,,,,,,,,,,,,,85.0,,63.0,,,,,,,,,,,,,,2.0,1.0,,,,,,62.0,,1.0,,
sk_snk-ud-train,8483,0,1238,,3.0,,,8.0,4.0,,,,,,,,,,,,6.0,5.0,10.0,,,,,,80.0,3.0,1.0,6.0,,,3.0,,,,,,,,,248.0,,,,,,,,,,,,,,469.0,,207.0,,,,,,,,,,,,,,3.0,2.0,,,,,,172.0,,8.0,,
lt_hse-ud-train,153,0,51,,,,,,,,,,,,,,,,,,3.0,,,,,,,,7.0,,,,,,1.0,,,,,,12.0,,,7.0,,,,,,,,,,,,,5.0,14.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,
lt_hse-ud-test,55,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,4.0,,,1.0,,,,,,,,,,,,,3.0,9.0,2.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,
lt_hse-ud-dev,55,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,6.0,,,2.0,,,,,,,,,,,,,2.0,6.0,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,
hit_hittb-ud-test,136,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
sa_ufal-ud-test,230,0,47,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,6.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,1.0,23.0,6.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,2.0,,1.0,,
be_hse-ud-train,22853,0,4188,4.0,4.0,,,7.0,5.0,,,,,,,,,,,,42.0,,7.0,,,,,,430.0,8.0,,,,,1.0,2.0,,,,,416.0,,,980.0,,,,,,,,,2.0,,,,149.0,1342.0,160.0,,,,,,,,,,,,,,,8.0,40.0,,,,,,166.0,,415.0,,
be_hse-ud-dev,1301,0,230,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,31.0,,,,,,,,,,,,27.0,,,62.0,,,,,,,,,1.0,,,,5.0,64.0,12.0,,,,,,,,,,,,,,,,2.0,,,,,,5.0,,19.0,,
be_hse-ud-test,1077,0,359,,,,,,,,,,,,,,,,,,3.0,,1.0,,,,,,57.0,1.0,,,,,1.0,,,,,,21.0,,,67.0,,,,,,,,,,,,,12.0,73.0,69.0,,,,,,,,,,,,,,,,9.0,,,,,,11.0,,34.0,,
cs_pud-ud-test,1000,0,366,,1.0,,,5.0,2.0,,,,,,,,,,,,3.0,4.0,2.0,,,,,,36.0,,,,,,2.0,2.0,,,,,,,,96.0,,,,,,,,,,1.0,,,,97.0,16.0,32.0,,,,,,,,,,,,,,,,,,,,,40.0,,27.0,,
orv_ruthenian-ud-test,390,0,220,,,,,,2.0,,,,,,,,,,,,10.0,,1.0,,,,,,63.0,1.0,,,,,,,,,,,39.0,,,24.0,,,,,,,,,1.0,,,,4.0,62.0,,,,,,,,,,,,,,,2.0,5.0,,,,,,,3.0,,3.0,,
orv_ruthenian-ud-train,2789,0,1770,,,,,4.0,7.0,,,,,,,,,,,,100.0,,3.0,,,,,,556.0,,,,,,,,,,6.0,,270.0,,,249.0,,,,,,,,,2.0,,,,105.0,358.0,8.0,,,,,,,,,,,,,,31.0,63.0,1.0,,,,,3.0,3.0,,1.0,,
orv_ruthenian-ud-dev,344,0,65,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,4.0,,,6.0,,,,,,,,,,,,,7.0,31.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
ml_ufal-ud-test,218,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
mr_ufal-ud-dev,46,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
mr_ufal-ud-test,47,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
mr_ufal-ud-train,373,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
si_stb-ud-test,100,0,7,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,
lt_alksnis-ud-test,684,0,211,,,,,,,,,,,,,,,,,,3.0,,,,,,,,32.0,,,,,,,3.0,,,,,,,,7.0,,,,,,,,,,,,,,50.0,,111.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,
lt_alksnis-ud-dev,617,0,213,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,54.0,,129.0,,,,,,,,,,,,,,,8.0,,,,,,,,,,
lt_alksnis-ud-train,2341,0,919,,,,,,,,,,,,,,,,,,1.0,,,,,,,,141.0,,,1.0,,,,6.0,,,,,,,,16.0,,,,,,,,,,1.0,,,,256.0,,480.0,,,,,,,,,,,,,,,15.0,,,,,,2.0,,,,
cu_proiel-ud-train,18327,0,2481,,6.0,,,,7.0,,,5.0,,,,,,,,,28.0,,1.0,,,,,,250.0,,,1.0,,1.0,1.0,,,,,,,,,99.0,,,,,,,,,2.0,,,,,1707.0,166.0,111.0,,,,,,,,,,,,,,29.0,3.0,,,,,,41.0,,23.0,,
cu_proiel-ud-test,2096,0,307,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,29.0,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,222.0,20.0,15.0,,,,,,,,,,,,,,1.0,,,,,,,2.0,,2.0,,
cu_proiel-ud-dev,2205,0,279,,1.0,,,,2.0,,,,,,,,,,,,4.0,,,,,,,,22.0,1.0,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,189.0,17.0,16.0,,,,,,,,,,,,,,7.0,,,,,,,4.0,,3.0,,
olo_kkpp-ud-test,106,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
hy_bsut-ud-train,1226,0,307,,2.0,,,,,,,,,,,,,,,,5.0,1.0,,,,3.0,4.0,,33.0,,,2.0,1.0,,,,,,,,,,,40.0,,,,,2.0,,,,,,,,,191.0,13.0,,,,,,,,,,,,,,,2.0,5.0,,,,,,3.0,,,,
hy_bsut-ud-test,595,0,101,,,,,,,,,,,,,,,,,,,,,,,,2.0,,14.0,,,,,,,,,,,,,,,10.0,,,,,2.0,,1.0,,,,,,,66.0,3.0,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,
hy_bsut-ud-dev,479,0,106,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,2.0,1.0,7.0,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,71.0,10.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,
hsb_ufal-ud-test,623,0,151,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,21.0,,,,,,,,,,,,,,,82.0,,,,,,,,,,,,,3.0,41.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
hsb_ufal-ud-train,23,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
fi_tdt-ud-train,12217,0,122,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,6.0,,,,1.0,,,,,2.0,,,,1.0,107.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
fi_tdt-ud-test,1555,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
fi_tdt-ud-dev,1364,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
sr_set-ud-test,520,0,135,,,,,,,,,,,,,,,,,,1.0,,,,,,,,18.0,,,,,,5.0,1.0,,,,,,,,27.0,,,,,,,,,,,,,1.0,76.0,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,
sr_set-ud-train,3328,0,840,,1.0,,,,1.0,,,,,,,,,,,,5.0,2.0,3.0,,,,,,89.0,,,,1.0,,16.0,6.0,,,,,,,,196.0,,,,,,,,,,,,,4.0,475.0,,,,,,,,,,,,,,,,,7.0,,,,,,14.0,,20.0,,
sr_set-ud-dev,536,0,110,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,7.0,,,,,,,,,24.0,,,,,,,,,,,,,,59.0,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,5.0,,
tr_framenet-ud-test,205,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_framenet-ud-train,2288,0,130,,,,,,4.0,,,,,,,,,,,,,,,,,18.0,,,4.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,1.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_framenet-ud-dev,205,0,8,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ky_ktmu-ud-train,80,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ky_ktmu-ud-test,701,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,1.0,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
kpv_ikdp-ud-test,214,0,21,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
kpv_lattice-ud-test,643,0,118,,,,,2.0,,,,,,,,,,,,,2.0,1.0,,,,,,,11.0,,,,1.0,,,,,,,,,2.0,,1.0,,,,,,,,,1.0,,,,,76.0,1.0,,,,,,,,,,,,,,5.0,3.0,,,,,,,2.0,,10.0,,
abq_atb-ud-test,98,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_gb-ud-test,2880,0,94,,,,,,,,,,,,,,,,,,1.0,3.0,,,,,,,5.0,,,,,,,,,,,,,,,10.0,,,,,,,,,7.0,,,,,66.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
ru_taiga-ud-train,16045,0,2845,,1.0,,,4.0,13.0,,,,,,,,,,,,18.0,,4.0,,,,,,319.0,8.0,,2.0,,,19.0,,,,,,405.0,,,638.0,,,,,,,,,1.0,,1.0,,37.0,1065.0,51.0,,,,,,,,,,,,,,,9.0,28.0,,,,,,82.0,,140.0,,
ru_taiga-ud-dev,946,0,217,,2.0,,,,,,,,,,,,,,,,3.0,,,,,,,,19.0,1.0,,,,,2.0,,,,,,46.0,,,26.0,,,,,,,,,,,,,10.0,84.0,,,,,,,,,,,,,,,,7.0,1.0,,,,,,10.0,,6.0,,
ru_taiga-ud-test,881,0,170,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,18.0,1.0,,,,,1.0,,,,,,40.0,,,33.0,,,,,,,,,,,,,7.0,50.0,4.0,,,,,,,,,,,,,,,,2.0,,,,,,5.0,,6.0,,
fi_pud-ud-test,1000,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_cltt-ud-dev,316,0,257,,,,,15.0,3.0,,,,,,,,,,,,,1.0,,,,,,,30.0,,,4.0,,,15.0,,,,,,,,,51.0,,,,,,,,,,1.0,,,,61.0,,64.0,,,,,,,,,,,,,,,,,,,,,9.0,,3.0,,
cs_cltt-ud-train,467,0,422,,,,,31.0,6.0,,,,,,,,,,,,2.0,,1.0,,,,,,68.0,,,4.0,,,25.0,,,,,,,,,106.0,,,,,,,,,,,,,,61.0,,95.0,,,,,,,,,,,,,,3.0,,,,,,,20.0,,,,
cs_cltt-ud-test,338,0,329,,1.0,,,11.0,5.0,,,,,,,,,,,,3.0,4.0,,,,,,,56.0,,,13.0,,,17.0,,,,,,,,,48.0,,,,,,,,,,,,,,88.0,,80.0,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,
hy_armtdp-ud-train,1974,0,538,,10.0,,,,1.0,,,,,,,,,,,,5.0,,,,,5.0,4.0,,48.0,,,7.0,1.0,,,,,,,,,,,19.0,,,,,23.0,,,,,1.0,,,,364.0,6.0,,,,,,,,,,,,,,,1.0,33.0,,,,,,10.0,,,,
hy_armtdp-ud-dev,249,0,92,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,11.0,,,,,,,,,,,,,,,2.0,,,,,4.0,,,,,,,,,69.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
hy_armtdp-ud-test,277,0,74,,2.0,,,,,,,,,,,,,,,,1.0,,,,,3.0,2.0,,9.0,,,,,,,,,,,,,,,3.0,,,,,2.0,,,,,,,,,41.0,,,,,,,,,,,,,,,,6.0,5.0,,,,,,,,,,
ota_boun-ud-train,114,0,27,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,2.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ota_boun-ud-test,400,0,97,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,37.0,,,,,,,4.0,,,,,,3.0,44.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
ru_syntagrus-ud-train,69630,0,23205,,46.0,,,41.0,68.0,,,,,,,,,,,1.0,126.0,,44.0,,,,,,2544.0,20.0,,,,,328.0,2.0,,2.0,1.0,,1025.0,,,4340.0,,,,,,,,,7.0,,,16.0,134.0,12020.0,357.0,,,,,,,,,,,,,,203.0,71.0,485.0,,,,,,580.0,,744.0,,
ru_syntagrus-ud-dev,8906,0,3191,,6.0,,,10.0,8.0,,,,,,,,,,,,30.0,,4.0,,,1.0,,,378.0,4.0,,,,,34.0,,,1.0,,,141.0,,,576.0,,,,,,,,,,,,1.0,16.0,1629.0,70.0,,,,,,,,,,,,,,15.0,11.0,82.0,,,,,,99.0,,75.0,,
ru_syntagrus-ud-test,8800,0,3176,,7.0,,,4.0,10.0,,,,,,,,,,,,26.0,,7.0,,,,,,364.0,6.0,,,,,39.0,,,,1.0,,135.0,,,669.0,,,,,,,,,1.0,,,3.0,23.0,1607.0,37.0,,,,,,,,,,,,,,25.0,16.0,57.0,,,,,,72.0,,67.0,,
orv_birchbark-ud-train,1045,0,54,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,1.0,,,,,,,,,21.0,,,14.0,,,,,,,,,,,,,1.0,7.0,,,,,,,,,,,,,,,,3.0,,,,,,,4.0,,,,
orv_birchbark-ud-dev,1062,0,86,,,,,,,,,,,,,,,,,,2.0,,,,,,,,8.0,,,1.0,,,,,,,,,31.0,,,17.0,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,4.0,1.0,,,,,1.0,6.0,,1.0,,
