Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,amod,appos,case,ccomp,compound,compound:prt,conj,csubj,csubj:cop,dep,fixed,flat,flat:name,list,nmod,nmod:att,nmod:lmod,nmod:obl,nmod:tmod,nsubj,obj,obl,obl:inst,obl:lmod,obl:lvc,obl:tmod,orphan,parataxis,root,xcomp,xcomp:ds
fi_tdt-ud-dev,1364,0,349,,,1.0,3.0,1.0,1.0,,3.0,,,33.0,,1.0,,,,,,52.0,,,,,,,226.0,,,,,3.0,2.0,21.0,2.0,
myv_jr-ud-test,921,0,191,,,,1.0,,1.0,,,1.0,,9.0,,,,1.0,1.0,,,4.0,,4.0,,,,,47.0,47.0,64.0,,,2.0,,9.0,,
myv_jr-ud-train,1217,0,190,,,,,,2.0,,3.0,,,14.0,1.0,,,,,,,7.0,,1.0,,,1.0,,41.0,31.0,64.0,,,,,25.0,,
kpv_ikdp-ud-test,214,0,43,,,1.0,,,6.0,,,,,3.0,,,,,,,,2.0,,,,,,,18.0,,8.0,,2.0,,,3.0,,
kpv_lattice-ud-test,643,0,112,,,,1.0,,6.0,4.0,,,,11.0,,,,,,1.0,4.0,1.0,,,,,,,22.0,,51.0,,7.0,,,4.0,,
kpv_lattice-ud-train,20,0,2,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
fi_pud-ud-test,1000,0,281,,,4.0,4.0,1.0,3.0,,4.0,,,17.0,,,,2.0,,,,28.0,,,,,,,197.0,,,,,,,21.0,,
et_edt-ud-dev,3128,0,704,3.0,1.0,2.0,9.0,,2.0,,4.0,,,50.0,2.0,,,,1.0,,,120.0,,,,,,,450.0,,,,,8.0,6.0,46.0,,
et_edt-ud-train,24615,0,5439,,16.0,29.0,107.0,2.0,15.0,,45.0,1.0,,360.0,2.0,2.0,,,2.0,,,924.0,,,,,2.0,,3572.0,,,,,24.0,35.0,297.0,4.0,
et_edt-ud-test,3214,0,755,,3.0,4.0,16.0,1.0,1.0,,10.0,,,37.0,1.0,,1.0,,1.0,,,101.0,,,,,1.0,,530.0,,,,,1.0,5.0,42.0,,
koi_uh-ud-train,34,0,2,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
koi_uh-ud-test,94,0,13,,,,,,1.0,2.0,,,,2.0,,,,,,,,1.0,,,,,,,,,7.0,,,,,,,
krl_kkpp-ud-test,228,0,70,,,1.0,,,,1.0,,2.0,,7.0,,,,,,,,2.0,,,,,,,56.0,,,,,,,1.0,,
eu_bdt-ud-train,5396,0,1920,,,,41.0,,13.0,,,25.0,,40.0,,,4.0,,2.0,,,45.0,,,,,5.0,,1736.0,,,,,8.0,,1.0,,
eu_bdt-ud-test,1799,0,675,,,,13.0,,9.0,,,11.0,,21.0,,,2.0,,1.0,,,18.0,,,,,2.0,,597.0,,,,,1.0,,,,
eu_bdt-ud-dev,1798,0,688,,,,18.0,,3.0,,,11.0,,33.0,,,3.0,,,,,19.0,,,,,,,599.0,,,,,2.0,,,,
fi_ftb-ud-dev,1875,0,221,,,,,,,,,,,3.0,,,,2.0,,,,211.0,,,,,,,,,,,,,,5.0,,
fi_ftb-ud-train,14981,0,1810,,,,16.0,,,,,,3.0,71.0,,,,10.0,,,,1685.0,,,,,,,,,,,,,,25.0,,
fi_ftb-ud-test,1867,0,225,,,,2.0,,,,,,1.0,5.0,,,1.0,,,,,211.0,,,,,,,,,,,,,,5.0,,
ab_abnc-ud-test,263,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,
