Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:cmp,advcl:pred,advmod,advmod:mmod,advmod:tmod,amod,appos,case,ccomp,ccomp:relcl,compound,conj,dep,det,discourse,dislocated,dislocated:obj,fixed,flat,iobj,nmod,nsubj,nsubj:cop,nsubj:pass,nummod,obj,obl,obl:agent,obl:arg,obl:cmp,obl:inst,obl:lmod,obl:subj,orphan,parataxis,root,vocative,xcomp
la_llct-ud-dev,850,0,141,,,,,,,,,,1.0,,,,,,,,,,3.0,,,,1.0,1.0,,31.0,,43.0,61.0,,,,,,,,,,,
la_llct-ud-test,884,0,154,,,,,,,,,,,,,,,,,,,,,,,,2.0,6.0,,27.0,,49.0,70.0,,,,,,,,,,,
la_llct-ud-train,7289,0,1528,,,2.0,,,,,,22.0,41.0,,,,,24.0,,,,,1.0,,,,54.0,34.0,,220.0,,320.0,806.0,,1.0,,,,,,1.0,2.0,,
bor_bdt-ud-test,881,0,21,,,,,,,,,,,,1.0,,,4.0,,,,,,,,,1.0,4.0,,,,4.0,4.0,,,,,,,,2.0,1.0,,
myv_jr-ud-test,921,0,18,,,,,,1.0,,1.0,,,,,,1.0,1.0,,,1.0,,,,,,,6.0,,,,3.0,,,,,2.0,1.0,,,,,1.0,
myv_jr-ud-train,1217,0,4,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,
af_afribooms-ud-train,1315,0,8,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,6.0,,,,,,,,,,,
af_afribooms-ud-dev,194,0,6,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,4.0,,,,,,,,,,,,
af_afribooms-ud-test,425,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
koi_uh-ud-test,94,0,3,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
la_udante-ud-train,926,0,33,,2.0,1.0,,,,,,1.0,,,,,,6.0,,,,,,,,,3.0,7.0,,,,7.0,4.0,,1.0,1.0,,,,,,,,
la_udante-ud-test,419,0,6,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,2.0,,1.0,,,,,,,,,
la_udante-ud-dev,376,0,19,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,3.0,,1.0,,2.0,6.0,1.0,2.0,,,,,1.0,,,,
nhi_itml-ud-test,909,0,62,1.0,,1.0,,,4.0,,,4.0,1.0,,,,,6.0,,,,,,1.0,,,2.0,21.0,,,,8.0,5.0,,,,,,,,2.0,1.0,5.0,
azz_itml-ud-test,1260,0,135,,1.0,4.0,,,17.0,,,3.0,4.0,,,,,10.0,1.0,,,6.0,,,,1.0,9.0,30.0,,,,21.0,7.0,,,,,,,,5.0,13.0,1.0,2.0
la_ittb-ud-dev,2101,0,2,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,
la_ittb-ud-test,2101,0,3,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,
la_ittb-ud-train,22775,0,71,,,6.0,1.0,,,,,,,,,1.0,,16.0,,,,,,,,,11.0,5.0,,5.0,,5.0,15.0,,6.0,,,,,,,,,
yrl_complin-ud-test,1470,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,
eme_tudet-ud-test,913,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,2.0,,
bej_nsc-ud-test,380,0,2,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
es_coser-ud-test,539,0,11,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,4.0,3.0,,,,,,,,,1.0,,
