Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:abs,advcl:cleft,advcl:cmp,advcl:cmpr,advcl:pred,advcl:relcl,advcl:svc,advcl:tcl,advmod,amod,amod:flat,appos,aux,aux:caus,aux:pass,aux:q,case,cc,ccomp,ccomp:cleft,ccomp:obj,ccomp:relcl,ccomp:reported,clf,compound,compound:lvc,compound:redup,compound:svc,conj,conj:expl,conj:svc,cop,cop:emph,cop:outer,cop:own,csubj,csubj:caus,csubj:cleft,csubj:cop,csubj:outer,csubj:pass,csubj:relcl,csubj:reported,dep,dep:comp,dep:conj,det,discourse,discourse:q,dislocated,dislocated:csubj,dislocated:mod,dislocated:nsubj,dislocated:obj,dislocated:obl,fixed,flat,flat:foreign,flat:name,flat:redup,flat:repeat,flat:sibl,flat:title,iobj,list,mark,nmod,nmod:arg,nmod:poss,nsubj,nsubj:outer,nsubj:pass,nummod,obj,obl,obl:agent,obl:arg,obl:cmp,obl:cmpr,obl:depict,obl:lmod,obl:tmod,orphan,parataxis,parataxis:conj,parataxis:discourse,parataxis:insert,parataxis:newsent,parataxis:obj,parataxis:rel,parataxis:restart,parataxis:trans,reparandum,root,vocative,xcomp,xcomp:cleft,xcomp:obj,xcomp:pred,xcomp:relcl,xcomp:subj
sk_snk-ud-train,8483,0,6017,14.0,82.0,167.0,388.0,,,,,,,,,,,,1.0,,,,,,,381.0,,,,,,,,,,846.0,,,,,,,55.0,,,,,2.0,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,3610.0,,443.0,,,,,
lt_hse-ud-train,153,0,10,,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,
lt_hse-ud-test,55,0,17,,3.0,,4.0,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,,,,
lt_hse-ud-dev,55,0,4,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,
ky_tuecl-ud-test,145,0,2,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sa_ufal-ud-test,230,0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,
be_hse-ud-train,22853,0,14284,98.0,590.0,814.0,570.0,,,,,,,,,,277.0,,39.0,4.0,,2.0,,,,425.0,,,,,,,,,,1807.0,,,1.0,,,,443.0,,,,,1.0,,,1.0,,,,,,1.0,,,,,,2.0,9.0,1.0,,,,,,1.0,3.0,,156.0,,,19.0,,,,9.0,18.0,,,,,,,,4.0,590.0,,,,,,,,,,7063.0,1.0,1335.0,,,,,
be_hse-ud-dev,1301,0,753,9.0,37.0,53.0,24.0,,,,,,,,,,20.0,,3.0,,,,,,,16.0,,,,,,,,,,86.0,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,12.0,,,1.0,,,,,,,,,,,,,,20.0,,,,,,,,,,369.0,,66.0,,,,,
be_hse-ud-test,1077,0,631,3.0,87.0,43.0,19.0,,,,,,,,,,7.0,,3.0,,,3.0,,,,6.0,,,,,,,,,,88.0,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,1.0,,,,3.0,,,,,,,,,,26.0,,,,,,,,,,254.0,,60.0,,,,,
wo_wtb-ud-dev,449,0,192,,1.0,6.0,41.0,,,,,,,,,,,,,134.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,7.0,,,,,,,
wo_wtb-ud-test,470,0,234,,4.0,5.0,45.0,,,,,,,,,,,,,162.0,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,10.0,,,,,,,
wo_wtb-ud-train,1188,0,597,,4.0,21.0,131.0,,,,,,,,,,,,,413.0,,,,,,2.0,,,,,,,,,,7.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,13.0,,2.0,,,,,
say_autogramm-ud-test,1864,0,214,,,,,,,,,,,,,,,,,212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,
cs_pud-ud-test,1000,0,493,,16.0,38.0,42.0,,,,,,,,,,2.0,,2.0,,,,,,,22.0,,,,,,,,,,79.0,,,,,,,18.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,205.0,,65.0,,,,,
orv_ruthenian-ud-test,390,0,384,,18.0,24.0,62.0,,,,,,,,,,4.0,,,,,,,,,8.0,,,,,,,,,,110.0,,,,,,,3.0,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,98.0,,43.0,,,,,
orv_ruthenian-ud-train,2789,0,2602,,112.0,117.0,406.0,,,,,,,,,,9.0,,2.0,,,,,,,86.0,,,,,,,,,,799.0,,,,,,,9.0,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,18.0,,,,,,1.0,,,,2.0,1.0,,,,,,,,2.0,37.0,,,,,,,,,1.0,665.0,,315.0,,,,,
orv_ruthenian-ud-dev,344,0,277,,5.0,6.0,48.0,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,62.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,97.0,,33.0,,,,,
ml_ufal-ud-test,218,0,18,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,
egy_ujaen-ud-test,721,0,6,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq_tsa-ud-test,60,0,3,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mr_ufal-ud-dev,46,0,46,,,,6.0,,,,,,,,,,,,,,,3.0,,,,1.0,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,22.0,,,,,,,
mr_ufal-ud-test,47,0,39,,,1.0,8.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,23.0,,1.0,,,,,
mr_ufal-ud-train,373,0,327,,3.0,2.0,55.0,,,,,,,,,,,,,2.0,,2.0,,,,5.0,,,,,,,,,16.0,29.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,31.0,,,,,,,,,,178.0,,1.0,,,,,
si_stb-ud-test,100,0,21,,,,,,,,,,,,,,,,,5.0,,1.0,,,,,,,,,,,4.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,
ar_padt-ud-dev,909,0,1227,,106.0,89.0,81.0,,,,,,,,,,,,,5.0,,,,,,136.0,,,,,,,,,,164.0,,,24.0,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491.0,,,,,,,,,,78.0,,44.0,,,,,
ar_padt-ud-train,6075,0,8509,,730.0,599.0,599.0,,,,,,,,,,,,3.0,35.0,,,,,,821.0,,,,,,,,,,1206.0,,,208.0,,,,112.0,,,,,,,,6.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3084.0,,,,,,,,,,888.0,,212.0,,,,,
