Treebank,Number of Sentences,Failures,Total,acl,advcl,amod,appos,ccomp:obj,compound,conj,dep,det,det:numgov,det:nummod,fixed,flat,iobj,nmod,nmod:arg,nmod:flat,nmod:poss,nsubj,nsubj:cop,nsubj:pass,nummod,nummod:gov,obj,obl,obl:agent,obl:arg,obl:cmpr,obl:float,orphan,parataxis,parataxis:obj,root,vocative
orv_ruthenian-ud-test,390,0,31,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,
orv_ruthenian-ud-train,2789,0,55,,,,,,,,,,,,,,,,,,,,,,51.0,,,4.0,,,,,,,,,
orv_ruthenian-ud-dev,344,0,3,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,
lt_alksnis-ud-train,2341,0,3,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,
mdf_jr-ud-test,454,0,8,,1.0,,,,,,,3.0,,,,,,,,,,1.0,,,1.0,,,2.0,,,,,,,,,
myv_jr-ud-test,921,0,11,,,,,,,,,3.0,,,,,,,,,,6.0,,,,,2.0,,,,,,,,,,
myv_jr-ud-train,1217,0,14,,,,,,,,,6.0,,,,,,,,,,8.0,,,,,,,,,,,,,,,
kpv_ikdp-ud-test,214,0,2,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
kpv_lattice-ud-test,643,0,8,,,,,,,1.0,,3.0,,,,,,,,,,2.0,1.0,,,,,1.0,,,,,,,,,
ru_taiga-ud-train,16045,0,52,1.0,1.0,,,,,1.0,,,,,,,1.0,1.0,,,,3.0,,,11.0,24.0,2.0,6.0,,,,,,,,1.0,
ru_taiga-ud-dev,946,0,11,,,,,,,1.0,,,,,,,,4.0,,,,1.0,,,2.0,3.0,,,,,,,,,,,
ru_taiga-ud-test,881,0,2,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
sjo_xdt-ud-test,810,0,3,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
pt_bosque-ud-train,7018,0,1,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
ru_poetry-ud-test,728,0,2,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
ru_poetry-ud-dev,789,0,2,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,
ru_poetry-ud-train,3569,0,10,,,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,3.0,1.0,1.0,,,,1.0,,,,1.0,
koi_uh-ud-test,94,0,1,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
cs_fictree-ud-dev,1309,0,1,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_fictree-ud-train,10160,0,2,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el_gdt-ud-test,456,0,6,,,,,,,,,,,,,,,,,,,,,1.0,5.0,,,,,,,,,,,,
el_gdt-ud-train,1662,0,10,,,,,,1.0,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,
el_gdt-ud-dev,403,0,2,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
sl_sst-ud-train,4558,0,1,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
cs_pdt-ud-train,68491,0,5,,,,,,,,,4.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,
pl_pud-ud-test,1000,0,21,,,,1.0,,,2.0,,,,,,1.0,1.0,4.0,3.0,,,3.0,,,,,1.0,4.0,,,,,,,,1.0,
cs_cac-ud-train,23478,0,10,,,5.0,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,
