Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:cleft,advcl:cmp,advmod,advmod:emph,amod,appos,appos:trans,aux,aux:pass,case,cc,cc:preconj,ccomp,ccomp:reported,ccomp:speech,compound,compound:lvc,compound:nn,compound:prt,conj,conj:expl,cop,csubj,csubj:cop,csubj:outer,csubj:pass,dep,det,det:poss,discourse,discourse:emo,dislocated,fixed,flat,flat:foreign,flat:name,flat:title,iobj,list,mark,nmod,nmod:appos,nmod:arg,nmod:lmod,nmod:npmod,nmod:poss,nsubj,nsubj:cop,nsubj:outer,nsubj:pass,nummod,obj,obj:agent,obl,obl:agent,obl:arg,obl:cmpr,obl:lmod,obl:mod,obl:npmod,obl:smod,obl:tmod,orphan,parataxis,parataxis:insert,parataxis:obj,parataxis:restart,punct,reparandum,root,vocative,xcomp,xcomp:pred
sv_talbanken-ud-test,1219,0,4,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sv_talbanken-ud-train,4303,0,43,,,,,,3.0,,11.0,3.0,,,,2.0,1.0,,,,,9.0,,,,3.0,,,,,,,,,,,,,2.0,,,,,,,,5.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,
pl_pdb-ud-test,2215,0,11,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,,,,,,,,1.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,
pl_pdb-ud-train,17722,0,146,,,,,,,2.0,9.0,5.0,,,,,,,,,,,,,,8.0,,,,,,,1.0,,,,,,8.0,34.0,44.0,,,2.0,1.0,,4.0,,1.0,,,,5.0,,,1.0,,2.0,,14.0,,,1.0,,,,,,,,1.0,1.0,,,,2.0,,,
pl_pdb-ud-dev,2215,0,10,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,
uk_iu-ud-dev,673,0,101,,,1.0,,,,,1.0,6.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,29.0,,31.0,,,,11.0,,,,,,10.0,,,,,2.0,,4.0,,,,,,,,,,,,,,,,4.0,,,
uk_iu-ud-train,5521,0,371,,,1.0,,,,,5.0,19.0,,,,,,,1.0,,,14.0,,,,26.0,,,,,,,,,,1.0,,,1.0,,130.0,,45.0,,3.0,,40.0,,,,,,25.0,,,,,20.0,,10.0,,,,,,,,,3.0,11.0,,,,,,12.0,2.0,,2.0
uk_iu-ud-test,898,0,123,,,1.0,,,,,,6.0,,,,,,,,,,1.0,,,,13.0,,,,,,,,,,1.0,,,1.0,,61.0,,14.0,,,1.0,13.0,,,,,,5.0,,,,,2.0,,2.0,,,,,,,,,,2.0,,,,,,,,,
hi_hdtb-ud-train,13306,0,110,2.0,,,,,,,2.0,,,,,,,,,,,98.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,2.0,,,,,,,,,,,,,,,,,,,
hi_hdtb-ud-dev,1659,0,4,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hi_hdtb-ud-test,1684,0,7,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_ancora-ud-train,14287,0,75,,,,,,,,2.0,6.0,,,,9.0,4.0,,,,,,,,,5.0,,,,,,,,20.0,,,,,,9.0,,,,,,,13.0,,,,,,3.0,,,,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,
es_ancora-ud-dev,1654,0,6,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
hr_set-ud-dev,960,0,69,,,,,,,,6.0,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,35.0,6.0,,,,,,11.0,,,,,,3.0,,,,,1.0,,2.0,,,,,,,,,,1.0,,,,,,,,,
hr_set-ud-train,6914,0,592,,,,,,1.0,,46.0,35.0,,,,4.0,,,1.0,,,,,,,20.0,,,,,,,,,,,,,9.0,287.0,45.0,,,1.0,,,74.0,,,,,,32.0,,,,,8.0,,11.0,,,,,,,,,,12.0,,,,,,5.0,,1.0,
hr_set-ud-test,1136,0,71,,,,,,,,10.0,2.0,,,,2.0,,,,,,,,,,3.0,,,,,,,,,,1.0,,,,32.0,3.0,,,,,,9.0,,,,,,6.0,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,
orv_rnc-ud-train,1868,0,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,
cpg_tuecl-ud-test,350,0,13,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,4.0,,,,,,,2.0,,,,,,,,,,,,,,,,3.0,1.0,,
he_iahltwiki-ud-train,4298,0,93,,,,,,,,,17.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,52.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,5.0,,2.0,
he_iahltwiki-ud-dev,348,0,9,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
he_iahltwiki-ud-test,393,0,14,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_pud-ud-test,1000,0,4,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
qpm_philotis-ud-train,980,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,,,,,,1.0,,,,,,,,,,,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,
qpm_philotis-ud-dev,635,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qpm_philotis-ud-test,635,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
pt_pud-ud-test,1000,0,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.0,,6.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hi_pud-ud-test,1000,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sk_snk-ud-dev,1060,0,53,,,,,,,,,8.0,,,,1.0,1.0,,,,,,,,,4.0,,,,,,,2.0,,,,,,,,17.0,,,,,,12.0,,,,,,5.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,
sk_snk-ud-test,1061,0,99,,,,,,,,,7.0,,,,8.0,1.0,,,,,,,,,5.0,,,,,,,1.0,,,,,,,,39.0,,,,,,19.0,,,,,,3.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,13.0,,1.0,
sk_snk-ud-train,8483,0,89,,,,,,,,,3.0,,,,3.0,2.0,,1.0,,,,,,,11.0,,,,,,,3.0,,,,,,,,25.0,,,,,,20.0,,,,,,3.0,,,,,6.0,,6.0,,1.0,,,,,,,1.0,,,,,,,4.0,,,
be_hse-ud-train,22853,0,3328,3.0,,1.0,,,,,4.0,660.0,,,,5.0,,,1.0,,,163.0,,,,316.0,,,,,,,35.0,,,,,1.0,1.0,18.0,909.0,35.0,,14.0,141.0,,325.0,,,,,,134.0,,,5.0,,43.0,,150.0,,,,,,,,,1.0,182.0,,,,,,178.0,,3.0,
be_hse-ud-dev,1301,0,182,,,,,,,,1.0,27.0,,,,,,,,,,14.0,,,,9.0,,,,,,,,,,,,,,,56.0,4.0,,,2.0,,17.0,,,,,,10.0,,,,,5.0,,14.0,,,,,,,,,,9.0,,,,,,14.0,,,
be_hse-ud-test,1077,0,171,,,,,,,,,34.0,,,,,,,,,,7.0,,,,6.0,,,,,,,,,,,,,,1.0,59.0,,,,1.0,,13.0,,,,,,8.0,,,,,3.0,,7.0,,,,,,,,,,12.0,,,,,,20.0,,,
et_ewt-ud-train,5444,0,271,1.0,,1.0,,,10.0,,2.0,11.0,,,,,,,1.0,,,,,,,17.0,,,,,,,4.0,,,14.0,,,,46.0,51.0,,,,,,22.0,,,,,,12.0,14.0,,,,19.0,,11.0,,,,,,,,,,17.0,,,,,,18.0,,,
et_ewt-ud-test,913,0,85,,1.0,,,,,,,3.0,,,,,,,1.0,,,,,,,3.0,,,,,,,2.0,,,3.0,,,,13.0,,,,,,,15.0,,,,,,6.0,5.0,,,,7.0,,17.0,,,,,,,,,,2.0,,,,,,5.0,,2.0,
et_ewt-ud-dev,833,0,59,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,2.0,,,1.0,,,,12.0,20.0,,,,1.0,,4.0,,,,,,2.0,,,,,2.0,,,,,,,,,,,,5.0,,,,,,6.0,,1.0,
gub_tudet-ud-test,1182,0,50,,,,,,,,,,,,,3.0,4.0,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,7.0,,,,,,,,,,,,,,,,1.0,2.0,,
say_autogramm-ud-test,1864,0,257,,,3.0,,,4.0,,,2.0,,,,,2.0,1.0,,,,2.0,,,,3.0,,,,,,,4.0,,,14.0,,5.0,10.0,2.0,89.0,1.0,,,,1.0,9.0,,,,,,6.0,,,,,16.0,,33.0,,3.0,,,,,,,,7.0,,,,,6.0,29.0,,5.0,
cs_pud-ud-test,1000,0,196,,1.0,,,,,1.0,3.0,5.0,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,80.0,,,,1.0,,,48.0,,,,,,25.0,,,4.0,,4.0,,9.0,,3.0,,,,,,,,,,,,,,,,1.0,
orv_ruthenian-ud-test,390,0,4,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
orv_ruthenian-ud-train,2789,0,32,,,,,,,,3.0,2.0,,,,6.0,,,,,,,,,,2.0,,,,,,,5.0,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,5.0,,,
ml_ufal-ud-test,218,0,36,,1.0,,,,,,3.0,1.0,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,8.0,,,,,,,7.0,,,,,,4.0,,,,,1.0,,2.0,,,,,,,,,,1.0,,,,,,2.0,,,
de_pud-ud-test,1000,0,84,,,2.0,,,4.0,,2.0,6.0,,2.0,,8.0,1.0,,1.0,,,2.0,,,,3.0,,,,,,,,19.0,1.0,,,,,3.0,,,,,,1.0,10.0,,,,,3.0,5.0,,,,,4.0,,4.0,,,,,,,,,,1.0,,,,1.0,,,,1.0,
cop_scriptorium-ud-dev,381,0,976,,15.0,23.0,,,201.0,,,44.0,,,,6.0,93.0,,23.0,,,,,,,82.0,,,1.0,,,,,,,5.0,,51.0,,3.0,,,,,,16.0,124.0,,,,,,42.0,,,,,52.0,,131.0,,,,,,1.0,,,2.0,14.0,,,,,,32.0,5.0,10.0,
cop_scriptorium-ud-train,1419,0,2760,,61.0,73.0,,,617.0,,2.0,123.0,,,,7.0,206.0,,51.0,,,,,,,145.0,,,12.0,,,,,,,56.0,,139.0,8.0,8.0,,,,,,61.0,293.0,,,,,,173.0,,,,,162.0,,378.0,,,,,,3.0,,,3.0,23.0,,,,,2.0,107.0,23.0,24.0,
cop_scriptorium-ud-test,403,0,889,,16.0,27.0,,,175.0,,,49.0,,1.0,,1.0,52.0,,21.0,,,,,,,67.0,,,6.0,,,,1.0,,,5.0,,54.0,2.0,11.0,,,,,,33.0,115.0,,,,,,31.0,,,,,32.0,,122.0,,,,,,2.0,,,,20.0,,,,,,37.0,3.0,6.0,
gl_ctg-ud-dev,860,0,31,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,8.0,,,
gl_ctg-ud-test,861,0,45,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,
gl_ctg-ud-train,2272,0,88,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,80.0,,,,,,,1.0,,,,,,1.0,,,,,,,3.0,,,,,,,,,,1.0,,,,,,,,,
pt_petrogold-ud-train,7170,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,2.0,,10.0,,,,,,,,,,,,,,,,,,,
pt_gsd-ud-train,9616,0,35,,,,,,1.0,,2.0,6.0,,,,1.0,,,,,,1.0,,,,3.0,,,,,,,,3.0,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
si_stb-ud-test,100,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
ro_tuecl-ud-test,210,0,38,1.0,,1.0,,,,,3.0,,,,,1.0,,,1.0,,,1.0,,,,5.0,,,,,,,,,,,1.0,,,,,,,,,,4.0,,,,,,2.0,,,,,4.0,,9.0,,,,,,,,,,1.0,,,,,,1.0,2.0,1.0,
ar_padt-ud-dev,909,0,731,,,,,,,,,10.0,,,,,,,,,,,,,,38.0,,,,,,,25.0,,,,,,,,120.0,,,,,,350.0,,,,,,90.0,,,,,13.0,,43.0,,10.0,,,,,,,2.0,,,,,,,30.0,,,
ar_padt-ud-train,6075,0,4123,,,,,,,,,31.0,,,,,1.0,,1.0,,,,,,,285.0,,,,,,,42.0,,,,,2.0,,,595.0,,,4.0,,,2025.0,,,,,,483.0,,,3.0,,60.0,,274.0,,114.0,,,,,,,20.0,2.0,,,,,,181.0,,,
ar_padt-ud-test,680,0,241,,,,,,,,,1.0,,,,,,,,,,,,,,19.0,,,,,,,4.0,,,,,1.0,,,29.0,,,,,,118.0,,,,,,26.0,,,1.0,,1.0,,17.0,,10.0,,,,,,,,1.0,,,,,,13.0,,,
lt_alksnis-ud-test,684,0,17,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,2.0,,,,,,9.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
lt_alksnis-ud-dev,617,0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,11.0,,,,,,19.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
lt_alksnis-ud-train,2341,0,81,,,,,,,,,1.0,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,12.0,18.0,,,,,,29.0,,,,,,,,,,,3.0,,4.0,,1.0,,,,,,,,1.0,,,,,,,,,
vi_tuecl-ud-test,100,0,22,,,,,,,,,,,,,,,,,,,4.0,,,,1.0,,,,,,,,,,1.0,,,,11.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,
it_old-ud-train,1748,0,56,,,,,,,,,,,,,,,,,15.0,,,,,,,,,1.0,,,,,,,,,,,,36.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,1.0,,,
it_old-ud-dev,316,0,18,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it_old-ud-test,338,0,47,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,
hy_bsut-ud-train,1226,0,775,,,,,,,,4.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,5.0,,10.0,,,,,7.0,,,,2.0,3.0,6.0,,,,,1.0,,6.0,,,,,,,,,,3.0,,,,724.0,,,,,
hy_bsut-ud-test,595,0,311,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,4.0,,,,,1.0,3.0,,,1.0,,4.0,,4.0,,,,,,,,,,,,,,288.0,,,,,
hy_bsut-ud-dev,479,0,219,,,,,,,,,,,,,,,,,,,1.0,,,,4.0,,,,,,,,,,,,,,7.0,,,,,,,3.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,201.0,,2.0,,,
es_pud-ud-test,1000,0,61,1.0,,2.0,,,4.0,,3.0,11.0,,,,1.0,,,,,,11.0,,,,,,,,,,,,8.0,,,,,,1.0,,1.0,,,,1.0,5.0,,,,,,2.0,,,1.0,1.0,3.0,,4.0,,,,,,,,,,,,,,1.0,,,,,
fi_tdt-ud-train,12217,0,193,,,,,,,,1.0,33.0,,,,,,,,,,,,24.0,,12.0,,,,1.0,,,,,,1.0,,,1.0,,64.0,28.0,,,,,9.0,,,,,,,2.0,,,,4.0,,1.0,,,,,,,,,,2.0,,,,,,10.0,,,
fi_tdt-ud-test,1555,0,21,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
fi_tdt-ud-dev,1364,0,48,,,,,,,,,16.0,,,,,2.0,,,,,1.0,,9.0,,1.0,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,
id_gsd-ud-train,4482,0,72,,1.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,31.0,,,1.0,,,,,25.0,,,,2.0,,4.0,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,
id_gsd-ud-test,557,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id_gsd-ud-dev,559,0,16,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,6.0,,,,,,,,5.0,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
sr_set-ud-test,520,0,9,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,
sr_set-ud-train,3328,0,214,,,,,,,,4.0,7.0,,,,1.0,,,,,,,,,,6.0,,,,,,,,,,,,,1.0,83.0,,,,,,,16.0,,,,,,6.0,,,,,4.0,,46.0,,,,,,,,,,40.0,,,,,,,,,
sr_set-ud-dev,536,0,42,,,,,,,,,3.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,16.0,,,,,,,2.0,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,
quc_iu-ud-test,1435,0,4,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id_pud-ud-test,1000,0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,12.0,,,,,,9.0,,,,,,1.0,,,,,5.0,,3.0,,,,,,,,,,,,,,,,1.0,,,
bho_bhtb-ud-test,357,0,7,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,
fr_pud-ud-test,1000,0,175,,,,,,2.0,,,22.0,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,2.0,,113.0,,,,,,15.0,,,,,,3.0,,,1.0,,,,8.0,,,,,,,,,,,,,,,,2.0,,1.0,
it_pud-ud-test,1000,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fr_fqb-ud-test,2289,0,244,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,73.0,,,,,1.0,,,131.0,,,,,,2.0,,,,,,6.0,,,1.0,,17.0,,,,,,,7.0,,,,,,,,,,,,,5.0,
tt_nmctt-ud-test,148,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
