Treebank,Number of Sentences,Failures,Total,_,acl,acl:attr,acl:dpct,acl:ptcp,acl:relcl,advcl,advcl:ccomp,advcl:cleft,advcl:cmp,advcl:cmpr,advcl:cond,advcl:dpct,advcl:fin,advcl:lcl,advcl:manner,advcl:pred,advcl:quote,advcl:relcl,advcl:svc,advcl:tcl,advmod,amod,appos,aux,aux:aspect,aux:caus,aux:pass,aux:pot,aux:tense,case,ccomp,ccomp:cleft,ccomp:obj,ccomp:quote,ccomp:relcl,ccomp:reported,ccomp:speech,compound,compound:lvc,compound:redup,compound:svc,conj,conj:expl,conj:svc,cop,cop:locat,cop:outer,csubj,csubj:cleft,csubj:cop,csubj:outer,csubj:pass,csubj:relcl,csubj:reported,dep,dep:aux,dep:infl,discourse,dislocated,dislocated:csubj,dislocated:nsubj,fixed,flat,flat:foreign,flat:name,flat:title,iobj,list,mark,nmod,nmod:appos,nmod:poss,nsubj,nsubj:outer,nsubj:pass,obj,obl,obl:arg,obl:lmod,orphan,parataxis,parataxis:appos,parataxis:discourse,parataxis:insert,parataxis:newsent,parataxis:obj,parataxis:parenth,parataxis:rel,parataxis:reporting,parataxis:restart,parataxis:trans,reparandum,root,vocative,xcomp,xcomp:pred,xcomp:result
es_gsd-ud-test,426,0,53,,,,,,12.0,1.0,,,,,,,,,,,,,,,,,,5.0,,,3.0,,,,2.0,,,,,,,,,,,5.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,18.0,,,,
es_gsd-ud-dev,1400,0,54,,,,,,7.0,2.0,,,,,,,,,,,,,,,,,,6.0,,,4.0,,,,6.0,,,,,,,,,,,6.0,,,6.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,14.0,,,,
es_gsd-ud-train,14187,0,723,,,,,,109.0,27.0,,,,,,,,,,,,,,,,,1.0,77.0,,,19.0,,,,63.0,,,,,,,,,,,96.0,,,58.0,,,8.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,31.0,,,,,,,,,,,,231.0,,1.0,,
sga_dipsgg-ud-test,64,0,4,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,
pt_porttinari-ud-train,5893,0,410,,9.0,,,,35.0,34.0,,,,,,,,,,,,,,,,,,13.0,,,52.0,,,,27.0,,,,,,13.0,,,,,26.0,,,65.0,,,4.0,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,115.0,,3.0,,
pt_porttinari-ud-test,1683,0,128,,,,,,9.0,10.0,,,,,,,,,,,,,,,,,,2.0,,,24.0,,,,9.0,,,,,,2.0,,,,,3.0,,,27.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,
pt_porttinari-ud-dev,842,0,58,,,,,,1.0,4.0,,,,,,,,,,,,,,,,,,3.0,,,10.0,,,,3.0,,,,,,2.0,,,,,4.0,,,7.0,,,1.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,18.0,,1.0,,
pl_pdb-ud-test,2215,0,283,,,,,,14.0,30.0,,,,,,,,,,,,,,,,,,75.0,,,16.0,,,,20.0,1.0,7.0,,,,,,,,,24.0,,,15.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,70.0,,,,
pl_pdb-ud-train,17722,0,2472,,,,,,123.0,228.0,,,,3.0,,,,,,,,5.0,,,,,,566.0,,,167.0,,,,186.0,6.0,49.0,,,,,,,,,267.0,,,144.0,,,14.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,7.0,,118.0,,,,,,,585.0,,,,
pl_pdb-ud-dev,2215,0,331,,1.0,,,,10.0,25.0,,,,,,,,,,,,,,,,,,71.0,,,18.0,,,,27.0,2.0,3.0,,,,,,,,,37.0,,,23.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,14.0,,,,,,,97.0,,,,
sah_yktdt-ud-test,299,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,
uk_iu-ud-dev,673,0,76,,3.0,,,,9.0,5.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,9.0,,,,,,,,,,,12.0,,,8.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,1.0,,,,,1.0,,,,,19.0,,,,
uk_iu-ud-train,5521,0,657,18.0,8.0,,,,22.0,70.0,,,,,,,,,,,,,1.0,,,,,62.0,,,,,,,37.0,,,,,,,,,,3.0,105.0,,2.0,45.0,,,9.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,56.0,,1.0,,1.0,,,1.0,,,,,212.0,,,1.0,
uk_iu-ud-test,898,0,123,1.0,4.0,,,,13.0,14.0,,,,,,,,,,,,,,,,,,17.0,,,,,,,10.0,,,,,,,,,,,13.0,,1.0,9.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,34.0,,,,
sa_vedic-ud-test,2709,0,31,,2.0,,1.0,,,1.0,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,1.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,8.0,,1.0,,
sa_vedic-ud-train,21477,0,478,,13.0,1.0,1.0,3.0,15.0,43.0,6.0,,,,24.0,,1.0,4.0,5.0,,,,,8.0,,,,5.0,,,,,,,74.0,,,,,,,,,,,20.0,,,6.0,,,3.0,,,,,,,,,,,,,,,24.0,,,,,,,3.0,2.0,,,,,,,,1.0,9.0,85.0,,,,,,,,,,,,114.0,,6.0,,2.0
sa_vedic-ud-dev,2996,0,52,,1.0,,,1.0,1.0,5.0,2.0,,,,3.0,,,,,,,,,1.0,,,,,,,,,,,6.0,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,16.0,,,,,,,,,,,,12.0,,,,
bn_bru-ud-test,56,0,11,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,
hi_hdtb-ud-train,13306,0,1930,,102.0,,,,49.0,12.0,,,,,,,,,,,,,,,,,,310.0,,,398.0,,,,350.0,,,,,,,43.0,,,,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,8.0,,1.0,,1.0,,,,,,,,,,,,,,,,558.0,,2.0,,
hi_hdtb-ud-dev,1659,0,232,,8.0,,,,12.0,1.0,,,,,,,,,,,,,,,,,,44.0,,,52.0,,,,38.0,,,,,,,4.0,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,57.0,,,,
hi_hdtb-ud-test,1684,0,242,,6.0,,,,10.0,2.0,,,,,,,,,,,,,,,,,,34.0,,,40.0,,,,62.0,,,,,,,2.0,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,,,,
es_ancora-ud-train,14287,0,2261,,380.0,,,,,119.0,,,,,,,,,,,,,,,,,1.0,203.0,,,,,,1.0,391.0,,,,,,,,,,,222.0,,,221.0,,,20.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,685.0,,1.0,,
es_ancora-ud-test,1721,0,260,,41.0,,,,,13.0,,,,,,,,,,,,,,,,,,30.0,,,,,,1.0,48.0,,,,,,,,,,,27.0,,,26.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,65.0,,,,
es_ancora-ud-dev,1654,0,258,,38.0,,,,,13.0,,,,,,,,,,,,,,,,,,31.0,,,,,,,44.0,,,,,,,,,,,28.0,,,23.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,76.0,,,,
kmr_mg-ud-test,734,0,33,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,19.0,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,8.0,,,,
orv_rnc-ud-dev,943,0,63,,2.0,,,,4.0,9.0,,,,,,,,,,,,,,,,,,3.0,,,3.0,,,,,,,,,,,,,,,13.0,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,6.0,,,,
orv_rnc-ud-train,1868,0,310,,3.0,,,,17.0,85.0,,,,,,,,,,,,,,,,,,15.0,,,9.0,,,,9.0,,,,,,,,,,,86.0,,,38.0,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,8.0,,2.0,,,,,,,,,,32.0,,1.0,,
orv_rnc-ud-test,717,0,222,,9.0,,,,13.0,71.0,,,,,,,,,,,,,,,,,,22.0,,,2.0,,,,9.0,,,,,,,,,,,41.0,,,13.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,28.0,,3.0,,
la_circse-ud-test,1263,0,168,,,,,,1.0,4.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,78.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,,,,
he_iahltwiki-ud-train,4298,0,349,,12.0,,,,81.0,39.0,,,,,,,,,,,,,,,,,5.0,16.0,,,,,,,31.0,,,,,,,1.0,,,,57.0,,,33.0,,,3.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,17.0,,,,,,,,,,,1.0,45.0,,,,
he_iahltwiki-ud-dev,348,0,37,,1.0,,,,8.0,6.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,1.0,,,,,,,,,,,8.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,6.0,,,,
he_iahltwiki-ud-test,393,0,23,,,,,,6.0,1.0,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,3.0,,,,,,,,,,,5.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,
grc_perseus-ud-dev,1137,0,128,,4.0,,,,,27.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,14.0,,,,,,,,,,,23.0,,,7.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,26.0,,18.0,,
grc_perseus-ud-train,11476,0,1358,,41.0,,,,,149.0,,,,,,,,,,,,,,,,,8.0,,,,,,,,101.0,,,,,,,,,,,171.0,,,72.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,19.0,,,3.0,,,,1.0,,,,5.0,,,,,,,,,,,,609.0,,174.0,,
grc_perseus-ud-test,1306,0,80,,3.0,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,9.0,,,3.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,10.0,,,2.0,,,,,,,,,,,,,,,,,,,,20.0,,9.0,,
tr_atis-ud-dev,572,0,2,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
tr_atis-ud-train,4274,0,10,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,5.0,,,,
pt_pud-ud-test,1000,0,49,,,,,,,3.0,,,,,,,,,,,,,,,,,,11.0,,,8.0,,,,3.0,,,,,,,,,,,2.0,,,6.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,
hi_pud-ud-test,1000,0,92,,8.0,,,,3.0,1.0,,,,,,,,,,,,,,,,,,15.0,,,4.0,,,,16.0,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,4.0,,,,,,,,,,,,31.0,,,,
la_perseus-ud-test,939,0,80,,,,,,2.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,10.0,,,6.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,
la_perseus-ud-train,1334,0,209,,,,,,8.0,26.0,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,46.0,,,18.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.0,,,,
tr_kenet-ud-dev,1646,0,62,,7.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,,,,,,,,,,,,42.0,,,,
tr_kenet-ud-test,1643,0,95,,5.0,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,23.0,,,,,,,,,,,,46.0,,1.0,,
tr_kenet-ud-train,15398,0,435,,36.0,,,,,22.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,24.0,,,,,,,1.0,,,,33.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,8.0,,,,38.0,,,,,,,,,,,,266.0,,,,
sk_snk-ud-dev,1060,0,8,,1.0,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
sk_snk-ud-test,1061,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sk_snk-ud-train,8483,0,222,,2.0,,,,3.0,4.0,,,,,,,,,,,,,,,,,,113.0,,,7.0,,,,8.0,,,,,,,,,,,1.0,,,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,
lt_hse-ud-train,153,0,21,,,,,,,3.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,4.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,4.0,,,,
lt_hse-ud-test,55,0,6,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,
lt_hse-ud-dev,55,0,7,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,3.0,,,,
ess_sli-ud-test,309,0,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
sa_ufal-ud-test,230,0,34,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,
be_hse-ud-train,22853,0,2194,12.0,19.0,,,,119.0,69.0,,,,,,,,,,,,,,,,7.0,7.0,316.0,,,59.0,,,,112.0,,,,,,,,,,,241.0,,,166.0,,,20.0,,,,,,,,,,,2.0,,,,4.0,1.0,,,,2.0,,4.0,,,1.0,,,1.0,,,,1.0,94.0,,,,,,,,,,,,896.0,,41.0,,
be_hse-ud-dev,1301,0,116,1.0,3.0,,,,7.0,3.0,,,,,,,,,,,,,,,,,,15.0,,,3.0,,,,3.0,,,,,,,,,,,10.0,,,11.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,50.0,,,,
be_hse-ud-test,1077,0,78,,,,,,5.0,3.0,,,,,,,,,,,,,,,,,,11.0,,,6.0,,,,1.0,,,,,,,,,,,8.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,,,,
jaa_jarawara-ud-test,20,0,7,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
wo_wtb-ud-dev,449,0,11,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wo_wtb-ud-test,470,0,27,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wo_wtb-ud-train,1188,0,38,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub_tudet-ud-test,1182,0,106,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,5.0,,,,,,4.0,6.0,,,1.0,1.0,,,,,,,,,,,,22.0,,,,
say_autogramm-ud-test,1864,0,427,,,,,,,1.0,,,,,,,,,,,,,,,,,,405.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,1.0,,,,
cs_pud-ud-test,1000,0,50,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,26.0,,,6.0,,,,2.0,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
orv_ruthenian-ud-test,390,0,117,,,,,,11.0,25.0,,,,,,,,,,,,,,,,,,10.0,,,6.0,,,,1.0,,,,,,,,,,,25.0,,,24.0,,,1.0,,,,,,,,,,,5.0,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,7.0,,,,
orv_ruthenian-ud-train,2789,0,467,,7.0,,,,13.0,88.0,,,,,,,,,,,,,,,,1.0,,87.0,,,9.0,,,,7.0,,,,,,,,,,,87.0,,,88.0,,,,,,,,,,,,,,11.0,,,,,,,,14.0,,,,,,,,,,1.0,,,1.0,2.0,,,,,,,,,,,,51.0,,,,
orv_ruthenian-ud-dev,344,0,69,,1.0,,,,2.0,19.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,4.0,,,,,,,,,,,11.0,,,10.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,14.0,,,,
lzh_tuecl-ud-test,100,0,2,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ml_ufal-ud-test,218,0,13,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,
egy_ujaen-ud-test,721,0,97,,1.0,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,1.0,,,,,,,,,,,14.0,,,,,,,,,,,,53.0,,,,
nyq_aha-ud-test,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gl_treegal-ud-train,600,0,42,,9.0,,,,,,,,,,,,,,,,,,,,,,,7.0,,,2.0,,,,2.0,,,,,,,,,,,3.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,
gl_treegal-ud-test,400,0,40,,8.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,5.0,,,,,,,,,,,2.0,,,6.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,13.0,,,,
pt_petrogold-ud-train,7170,0,364,,,,,,20.0,18.0,,,,,,,,,,,,,,,,,,20.0,,,144.0,,,,3.0,,,,,,,,,,,9.0,,,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,
pt_petrogold-ud-test,1039,0,31,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,2.0,,,5.0,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,
pt_petrogold-ud-dev,737,0,24,,1.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,3.0,,,4.0,,,,1.0,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,
mr_ufal-ud-dev,46,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
mr_ufal-ud-test,47,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
mr_ufal-ud-train,373,0,17,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,2.0,,
pt_gsd-ud-dev,1204,0,15,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,4.0,,,,
pt_gsd-ud-test,1200,0,16,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,2.0,,,3.0,,,,1.0,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,
