Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advmod,amod,appos,case,case:loc,cc,compound,compound:lvc,compound:prt,conj,csubj,dep,det,dislocated,fixed,flat,iobj,list,mark,nmod,nmod:npmod,nmod:poss,nsubj,obj,obl,obl:lmod,obl:tmod,orphan,parataxis,root,xcomp
ur_udtb-ud-train,4043,0,21144,,2.0,,93.0,9.0,,19392,,,88.0,,,17.0,,,,218.0,,,3.0,,1244.0,50.0,,,,6.0,18.0,,,,,2.0,2.0
ur_udtb-ud-dev,552,0,2927,,,,15.0,,,2690,,,20.0,,,1.0,,,,21.0,,,,,171.0,4.0,,,,1.0,4.0,,,,,,
ur_udtb-ud-test,535,0,3032,,,,12.0,,,2795,,,16.0,,,,,1.0,,20.0,,,,,183.0,4.0,,,1.0,,,,,,,,
ta_ttb-ud-train,400,0,180,,,,,,,171,,,,,,,,,,,,,,,5.0,,,,,,4.0,,,,,,
ta_ttb-ud-dev,80,0,35,,,,,,,30,,,,,,,,,,,,,,,4.0,,,,,,1.0,,,,,,
ta_ttb-ud-test,120,0,56,,,,,,,51,,,,,,,,,,,,,,,4.0,,,,,1.0,,,,,,,
pl_pud-ud-test,1000,0,3,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
yrl_complin-ud-test,1470,0,1009,,,,,,,976,,,,,,,,,,,7.0,,,,,,,,,,16.0,,,,,10.0,
pl_lfg-ud-test,1727,0,5,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_lfg-ud-train,13774,0,24,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
