Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:cmpr,advcl:quote,advcl:relcl,advmod,amod,amod:flat,appos,aux,aux:pass,ccomp,ccomp:cleft,ccomp:obj,compound,compound:lvc,compound:nn,compound:redup,conj,cop,csubj,csubj:cop,csubj:pass,dep,det,det:numgov,det:nummod,det:poss,discourse,dislocated,fixed,flat,flat:foreign,flat:frac,flat:name,flat:range,iobj,iobj:agent,list,nmod,nmod:arg,nmod:flat,nmod:gsubj,nmod:npmod,nmod:poss,nmod:pred,nmod:subj,nsubj,nsubj:caus,nsubj:cop,nsubj:outer,nsubj:pass,nummod,nummod:gov,obj,obj:lo,obj:poss,obl,obl:agent,obl:arg,obl:cau,obl:cmp,obl:cmpr,obl:lmod,obl:own,orphan,parataxis,parataxis:insert,parataxis:obj,reparandum,root,vocative,xcomp,xcomp:cleft,xcomp:pred
qpm_philotis-ud-dev,635,0,158,1.0,,3.0,,,,,11.0,,,2.0,,2.0,,,,,,,31.0,,,,,6.0,24.0,,,,1.0,,,,,,,,6.0,,,,,,,,,,,5.0,,,,,12.0,,2.0,,,,,,,,,,,,,,,,52.0,,,,
qpm_philotis-ud-test,635,0,141,,1.0,15.0,,,,,4.0,,,1.0,,3.0,,,,,,,27.0,,2.0,,,,5.0,,,,,1.0,,,,,,,,,,,,,,,,,,26.0,,,,,8.0,,6.0,,,7.0,,2.0,,,,,,,,,,,32.0,,1.0,,
sms_giellagas-ud-test,230,0,101,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,1.0,2.0,,,,,,,,,,2.0,,,,,3.0,,,43.0,,8.0,,,,,10.0,,,3.0,2.0,,,,,3.0,,,,,,,5.0,7.0,4.0,,
sms_giellagas-ud-train,20,0,15,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,5.0,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,
hy_bsut-ud-train,1226,0,1342,2.0,3.0,1.0,,,,,4.0,,31.0,,,6.0,,,4.0,2.0,,3.0,117.0,,1.0,,,3.0,,,,,,4.0,,3.0,,,163.0,1.0,19.0,,,123.0,,,,36.0,290.0,,,283.0,,,,12.0,,,82.0,,,74.0,2.0,,,,,,,7.0,12.0,,,,37.0,3.0,14.0,,
hy_bsut-ud-test,595,0,641,,2.0,2.0,,,,,1.0,,25.0,,,3.0,,,3.0,1.0,,,62.0,,,,,2.0,,,,,,2.0,,,,,57.0,,7.0,,1.0,58.0,,,,7.0,99.0,,,156.0,,,,1.0,,,50.0,,,41.0,,,,,,,,2.0,8.0,,,,30.0,9.0,12.0,,
hy_bsut-ud-dev,479,0,569,3.0,,,,,1.0,,1.0,,9.0,,,4.0,,,2.0,1.0,,,62.0,,,,,2.0,,,,,,1.0,,1.0,,,71.0,,16.0,,,36.0,,,,15.0,99.0,,,141.0,,,,4.0,,,25.0,,,42.0,7.0,,,,,,,2.0,1.0,,,,12.0,1.0,10.0,,
mdf_jr-ud-test,454,0,30,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,8.0,,,,,1.0,,,,,5.0,,,8.0,,,,,,,2.0,,,1.0,,,1.0,,,,,,,,,,,2.0,1.0,,
myv_jr-ud-test,921,0,260,,,,,,,,,,5.0,,,,,,,,11.0,,10.0,,,1.0,,,,,,,,,,,,,3.0,,,,,47.0,,,1.0,,2.0,,,138.0,,1.0,,,,,14.0,,,15.0,,,,1.0,,,,,,,,,4.0,7.0,,,
myv_jr-ud-train,1217,0,313,1.0,,,,,,,,,9.0,,,1.0,,,1.0,,7.0,,4.0,,,,,1.0,,,,,,1.0,,1.0,,,16.0,,,,,43.0,,,2.0,,4.0,,,161.0,,1.0,,,,,14.0,,,20.0,1.0,,,,,,1.0,2.0,2.0,,,,7.0,13.0,,,
kpv_lattice-ud-test,643,0,148,,,,,,,,,,3.0,,,,,,,,,,3.0,,,,,,,,,,,1.0,,2.0,,,29.0,,,,,6.0,,,,,9.0,,2.0,63.0,,3.0,,,,,4.0,,,14.0,,,,1.0,,2.0,,,1.0,,,,4.0,,1.0,,
tpn_tudet-ud-test,581,0,3,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
hy_armtdp-ud-train,1974,0,2522,5.0,7.0,7.0,,,,,,,74.0,,,9.0,,,9.0,2.0,,4.0,293.0,,2.0,,1.0,1.0,,,,,1.0,4.0,,253.0,,,,,49.0,,,174.0,,,,34.0,438.0,,,652.0,2.0,,,15.0,,,185.0,,,146.0,9.0,,,,,,,8.0,15.0,,,,55.0,21.0,47.0,,
hy_armtdp-ud-dev,249,0,200,,2.0,1.0,,,,,,,2.0,,,3.0,,,1.0,,,,24.0,,,,,,,,,,,,,8.0,,,,,5.0,1.0,,6.0,,,,4.0,37.0,,,45.0,,,,1.0,,,14.0,,,22.0,1.0,,,,,,,,5.0,,,,7.0,2.0,9.0,,
hy_armtdp-ud-test,277,0,290,,,6.0,,,,,,,1.0,,,1.0,,,2.0,2.0,,,18.0,,,,,,,,,,,2.0,,46.0,,,,,3.0,1.0,,18.0,,,,5.0,66.0,,,56.0,,,,1.0,,,16.0,,,22.0,,,,,,,,,4.0,,,,10.0,6.0,4.0,,
koi_uh-ud-train,34,0,18,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,2.0,,,,,3.0,,,,,1.0,,,4.0,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,2.0,,,
koi_uh-ud-test,94,0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,1.0,,,4.0,,,,,,1.0,,,,,,,,,,,
hyw_armtdp-ud-test,680,0,1086,3.0,1.0,3.0,,,,,1.0,,24.0,,,2.0,,,2.0,1.0,,,117.0,,1.0,,,5.0,,,,,1.0,5.0,4.0,4.0,,,105.0,1.0,12.0,,,112.0,,,,10.0,159.0,,,275.0,2.0,,,3.0,,,81.0,,,89.0,7.0,,,,,,,4.0,3.0,,,,30.0,3.0,16.0,,
hyw_armtdp-ud-dev,694,0,1013,2.0,,2.0,,,,,1.0,,20.0,,,1.0,,,8.0,3.0,,1.0,87.0,,,,,1.0,,,,,,3.0,5.0,,,,45.0,,25.0,,,107.0,,,,14.0,180.0,,,278.0,,,,3.0,,,76.0,,,84.0,2.0,,,,,,,3.0,1.0,,,,25.0,17.0,19.0,,
hyw_armtdp-ud-train,5282,0,6453,1.0,9.0,9.0,,,3.0,,15.0,,124.0,,,18.0,,,69.0,6.0,,3.0,603.0,,4.0,,,25.0,,,,,,14.0,12.0,8.0,,1.0,739.0,3.0,154.0,8.0,,670.0,,,,120.0,902.0,,,1585.0,1.0,,,43.0,1.0,,496.0,,,443.0,25.0,,,,,,,24.0,34.0,,,,140.0,33.0,108.0,,
pl_pud-ud-test,1000,0,1730,26.0,45.0,19.0,,,,,108.0,20.0,66.0,3.0,21.0,13.0,1.0,6.0,,,,,106.0,11.0,2.0,,,,20.0,7.0,6.0,6.0,,,1.0,115.0,,,,,56.0,,,158.0,33.0,6.0,,,76.0,1.0,,327.0,,,,18.0,6.0,11.0,55.0,,,49.0,19.0,47.0,,,6.0,,,1.0,,2.0,5.0,,236.0,1.0,4.0,,11.0
urb_tudet-ud-test,83,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
ab_abnc-ud-test,263,0,72,,1.0,,,1.0,,,,,,,,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,3.0,,,,,,,,7.0,,,38.0,,,,,1.0,,2.0,5.0,1.0,,,,,,,,,,,,,,3.0,6.0,,,
