Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:cmp,advcl:quote,advcl:relcl,advcl:tcl,advmod,amod,appos,appos:trans,aux,aux:q,case,cc,ccomp,ccomp:obl,compound,compound:lvc,compound:nn,compound:prt,compound:redup,conj,cop,csubj,csubj:cop,dep,dep:infl,det,det:poss,discourse,dislocated,dislocated:obj,fixed,flat,flat:name,iobj,list,mark,nmod,nmod:att,nmod:comp,nmod:gobj,nmod:gsubj,nmod:npmod,nmod:obl,nmod:part,nmod:poss,nsubj,nsubj:caus,nsubj:cop,nsubj:outer,nsubj:pass,nummod,obj,obj:lo,obj:poss,obl,obl:agent,obl:arg,obl:cmp,obl:inst,obl:lmod,obl:subj,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:trans,reparandum,root,vocative,xcomp,xcomp:ds
mdf_jr-ud-test,454,0,54,,,,,,,1.0,,,,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,7.0,,,,,,,,,11.0,,,,,,14.0,,,5.0,,,1.0,,6.0,,2.0,,,,,,1.0,1.0,1.0,
mdf_jr-ud-train,20,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
la_llct-ud-dev,850,0,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_llct-ud-test,884,0,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_llct-ud-train,7289,0,2957,,,1.0,,,,,,,,,,,,,,,,,,,,9.0,,,,,,2895.0,,,,1.0,,,,,,,49.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,
bor_bdt-ud-test,881,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,3.0,,,
fi_tdt-ud-train,12217,0,890,22.0,2.0,69.0,,,,,37.0,5.0,2.0,,2.0,,5.0,,5.0,,,,6.0,1.0,,34.0,7.0,,,,,1.0,,,,,1.0,,,,,,39.0,,,3.0,1.0,,,,67.0,100.0,,48.0,2.0,,,161.0,,,223.0,,,,,,,,,1.0,,,,25.0,,17.0,4.0
fi_tdt-ud-test,1555,0,117,6.0,,5.0,,,,,8.0,,1.0,,,,,,2.0,,,,,,,5.0,,,,,,,,,,,,,,,,,8.0,,,3.0,,,,,4.0,7.0,,5.0,,,,28.0,,,30.0,,,,,,,,1.0,,,,,1.0,,3.0,
fi_tdt-ud-dev,1364,0,116,5.0,,6.0,,,,,11.0,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,5.0,12.0,,4.0,,,,27.0,,,32.0,,,,,,,,,,,,,6.0,,1.0,
myv_jr-ud-test,921,0,62,,,1.0,,,,,,,2.0,,,,,,,,3.0,,,,,2.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,20.0,,,,,,11.0,,,10.0,,,,,5.0,,,,,,,,3.0,2.0,,
myv_jr-ud-train,1217,0,79,,,,,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,7.0,,,1.0,,,,,1.0,20.0,,1.0,,,,13.0,,,12.0,,,,1.0,7.0,,2.0,,,,,,4.0,6.0,,
quc_iu-ud-test,1435,0,256,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,45.0,,,,,,,,,92.0,,,,,,47.0,,,62.0,,,,,,,,,,,,,4.0,3.0,,
tr_framenet-ud-test,205,0,25,,,4.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,7.0,,,,,,4.0,,,3.0,,,,,,,,,1.0,,,,,1.0,,
tr_framenet-ud-train,2288,0,191,1.0,,6.0,,,,,,1.0,,,,,,,7.0,,11.0,,,,,,,1.0,,,,,,,,,,,,,,,19.0,,,,,,,,,66.0,,,,,,41.0,,,34.0,,,,,,,,,1.0,,,,1.0,2.0,,
tr_framenet-ud-dev,205,0,28,,,1.0,,,,,,,,,,,,,1.0,,6.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,5.0,,,,,,8.0,,,4.0,,,,,,,,,,,,,,,,
fr_pud-ud-test,1000,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ky_ktmu-ud-train,80,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
ky_ktmu-ud-test,701,0,54,,,5.0,,,,,,4.0,,,,,,,6.0,,,,,,,,,1.0,,,,,,,,,,,,,,,14.0,,,,,,,,,7.0,,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,14.0,,,
kpv_ikdp-ud-test,214,0,20,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,10.0,,,,,,3.0,,,2.0,,,,,1.0,,,,,,,,,1.0,,
kpv_lattice-ud-test,643,0,44,,,,,,,1.0,,3.0,1.0,,,,2.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,4.0,,,,7.0,,,4.0,,,,,3.0,,,,,,,,2.0,1.0,,
kpv_lattice-ud-train,20,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
tt_nmctt-ud-test,148,0,16,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,4.0,,,6.0,,,,,,,,,,,,,,,,
abq_atb-ud-test,98,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,4.0,,,,,,,,,6.0,,,,,,4.0,,,3.0,,,,,,,,,,,,,,,,
tr_gb-ud-test,2880,0,309,44.0,,16.0,,,,,,,,,11.0,,,,11.0,,1.0,,,,,4.0,2.0,14.0,13.0,,,,,1.0,,,2.0,,,,,,13.0,,2.0,,,,,10.0,,64.0,,3.0,2.0,,,33.0,,,41.0,,,,,,,,,,,,,21.0,,1.0,
fr_gsd-ud-test,416,0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fr_gsd-ud-train,14450,0,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,
fr_gsd-ud-dev,1476,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nds_lsdc-ud-test,500,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tpn_tudet-ud-test,581,0,78,,,5.0,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,7.0,,,,,,12.0,,,22.0,,,,,,,,,7.0,,,,16.0,3.0,2.0,
fi_pud-ud-test,1000,0,20,1.0,,2.0,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,2.0,,,,2.0,,,4.0,,,,,,,,,,,,,2.0,,,
fr_rhapsodie-ud-train,1288,0,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
fr_rhapsodie-ud-dev,1081,0,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
fr_rhapsodie-ud-test,840,0,64,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
fr_parisstories-ud-dev,692,0,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
fr_parisstories-ud-train,1387,0,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
fr_parisstories-ud-test,697,0,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,
hy_armtdp-ud-train,1974,0,155,1.0,,1.0,,,,,,,14.0,,,,,,,,,6.0,,,,8.0,,,,,,,,1.0,,,,,,3.0,,,,,,,,3.0,,,22.0,44.0,1.0,,,2.0,,24.0,,,21.0,,,,,,,,,1.0,,,,,3.0,,
hy_armtdp-ud-dev,249,0,18,,,,,,,,,,1.0,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,7.0,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,
hy_armtdp-ud-test,277,0,26,1.0,,,,,,,,,,,,,,,,,,3.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,,,,1.0,,4.0,,,3.0,,,,,,,,1.0,,,,,,,,
ota_boun-ud-train,114,0,43,1.0,,,,,,,,1.0,,,,,,,,,,,,,,6.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,4.0,8.0,,,,,,11.0,,,8.0,,,,,,,,,,,,,1.0,2.0,,
ota_boun-ud-test,400,0,95,8.0,,,,,,,,2.0,,,,,,,1.0,,,5.0,,,,6.0,,1.0,,,,,,1.0,,,,1.0,,,,,3.0,,,,,,,,10.0,7.0,,,,,,25.0,,,18.0,,,,,,,,,,,,,5.0,1.0,1.0,
koi_uh-ud-train,34,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
koi_uh-ud-test,94,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,2.0,,,,,,,,,1.0,,
la_udante-ud-train,926,0,59,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,54.0,,,,,,,,,,,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
la_udante-ud-test,419,0,48,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,
la_udante-ud-dev,376,0,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyw_armtdp-ud-test,680,0,103,,,1.0,,,,,,,2.0,,,,,,,,,2.0,,,,2.0,,,,2.0,,,,,,,,,,3.0,,,,,,,,,,,12.0,52.0,1.0,,,,,12.0,,,13.0,,,,,,,,,,,,,1.0,,,
hyw_armtdp-ud-dev,694,0,13,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,2.0,,,,,,2.0,,,3.0,,,,,,,,,,,,,2.0,,,
hyw_armtdp-ud-train,5282,0,517,1.0,,2.0,,,1.0,,,,12.0,,1.0,,,,1.0,,,13.0,,,,31.0,,,,1.0,,,,,,,,,,6.0,,,,,,,,12.0,,,50.0,141.0,,,,4.0,,99.0,,,113.0,1.0,,,,,,,,7.0,,,,16.0,3.0,2.0,
sme_giella-ud-train,2257,0,85,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,10.0,8.0,,,,,,21.0,,,38.0,,,,,,,,,,,,,,3.0,1.0,
sme_giella-ud-test,865,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,
nhi_itml-ud-test,909,0,118,,,,,,,,,,2.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,2.0,,,23.0,,,,,,,,,46.0,,,,,,21.0,,,10.0,,,,,,,,,7.0,,,,3.0,1.0,,
kk_ktb-ud-test,1047,0,88,,,3.0,,,,,,1.0,,,2.0,,,,1.0,,,,,,,1.0,3.0,4.0,,,,,,,,,,,,,,,3.0,,,,,,,,16.0,22.0,,,,,,11.0,,,11.0,,,,,,,,1.0,,,,,6.0,3.0,,
kk_ktb-ud-train,31,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
gn_oldtudet-ud-test,59,0,8,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,3.0,,,
ota_dudu-ud-test,85,0,10,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,
ug_udt-ud-test,900,0,71,,,,,,,,1.0,,1.0,,,,,,1.0,,4.0,,,,,,,,,,,,,6.0,,,,,,,,,,,1.0,,,,,,5.0,20.0,,,,,,12.0,,,17.0,,,,,,,,,,,,,1.0,1.0,1.0,
ug_udt-ud-dev,900,0,49,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,4.0,,,,,,,,,3.0,,,,,,,,8.0,19.0,,,,,,2.0,,,9.0,,,,,,,,,,,,,1.0,,,
ug_udt-ud-train,1656,0,94,,,,,,,,,3.0,5.0,,,,,,2.0,,8.0,,,,,2.0,,,,,,,,4.0,,,,,,,,,2.0,,,,,,,,6.0,32.0,,,,,,12.0,,,14.0,,,,,,,,,,,,,1.0,3.0,,
azz_itml-ud-test,1260,0,23,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,3.0,,,,,,,,,10.0,,,,,,3.0,,,2.0,,,,,,,,,,,,,2.0,,,
la_ittb-ud-dev,2101,0,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_ittb-ud-test,2101,0,43,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_ittb-ud-train,22775,0,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,
qtd_sagt-ud-test,805,0,142,11.0,,8.0,,,,,,,,,,,,,4.0,,4.0,,,,,8.0,,6.0,,,,,,,2.0,,,,,,,,14.0,,,,,,,,,21.0,,,,,,15.0,,,21.0,,,,,,,,,9.0,1.0,1.0,1.0,9.0,1.0,6.0,
qtd_sagt-ud-dev,801,0,184,12.0,,16.0,,,,,,,1.0,1.0,,,1.0,,13.0,,7.0,,,,,10.0,,3.0,,,,,,,,,,,,,,1.0,12.0,,,,,,,,,33.0,,,,,,16.0,,,26.0,,,,,,,,1.0,3.0,6.0,,1.0,12.0,2.0,7.0,
qtd_sagt-ud-train,578,0,79,6.0,,5.0,,,,,,,,,,,,,2.0,,3.0,,,,,5.0,,4.0,,,,1.0,,,,,,,,,,,5.0,,,,,,,,,16.0,,,,,,6.0,,,15.0,,,,,,,,,1.0,2.0,,1.0,6.0,,1.0,
fi_ftb-ud-dev,1875,0,84,1.0,,5.0,,,,,4.0,1.0,,,,,1.0,,1.0,,,,,2.0,,3.0,,,,,,,,,,,,,,,,,29.0,,,,,,,,,9.0,,1.0,,,,22.0,,,,,,,,,,,,,,,,3.0,1.0,1.0,
fi_ftb-ud-train,14981,0,621,13.0,,61.0,,,,,59.0,3.0,,,1.0,,15.0,,6.0,,,,,4.0,,20.0,3.0,,,1.0,,,,,,,,,,,,,163.0,,,,,,,,,55.0,,27.0,1.0,,,141.0,,,,,,,,,,,,,,,,29.0,4.0,15.0,
fi_ftb-ud-test,1867,0,91,1.0,,5.0,,,,,13.0,,,,,,3.0,,,,,,,1.0,,4.0,,,,1.0,,,,,,,,,,,,,24.0,,,,,,,,,12.0,,3.0,,,,19.0,,,,,,,,,,,,,,,,3.0,1.0,1.0,
tr_tourism-ud-train,15473,0,915,7.0,,15.0,,,,,,3.0,1.0,,18.0,,,,6.0,,45.0,,,,,4.0,,6.0,,,,,,,,,,,,,,,107.0,,,,,,,,,405.0,,,,,,169.0,,,87.0,,,,,,,,,8.0,,,,34.0,,,
tr_tourism-ud-dev,2166,0,161,,,8.0,,,,,,,1.0,,,,,,3.0,,4.0,,,,,4.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,78.0,,,,,,30.0,,,17.0,,,,,,,,,,,,,12.0,,,
tr_tourism-ud-test,2191,0,98,,,6.0,,,,,,,,,2.0,,,,4.0,,6.0,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,39.0,,,,,,20.0,,,5.0,,,,,,,,,1.0,,,,9.0,,,
ab_abnc-ud-test,263,0,34,,,,,1.0,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,9.0,,,,,,7.0,4.0,1.0,,,,,,,,,,,,,,1.0,7.0,,
aqz_tudet-ud-test,343,0,1,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_imst-ud-train,3435,0,650,59.0,,12.0,,,,,,8.0,2.0,,,,,,10.0,,29.0,6.0,,,5.0,46.0,,1.0,,,,,,3.0,,,,1.0,,15.0,,,31.0,,,,,,,,42.0,152.0,,,,,,103.0,,,91.0,,,,,,,,,,,,,27.0,7.0,,
tr_imst-ud-dev,1100,0,179,16.0,,3.0,,,,,,4.0,,,,,1.0,,2.0,,10.0,4.0,,,,8.0,,,,,,,,2.0,,,,,,4.0,,,9.0,,,,,,,,8.0,39.0,,,,,,37.0,,,16.0,,,,,,,,,1.0,,,,12.0,2.0,1.0,
tr_imst-ud-test,1100,0,199,24.0,,2.0,,,,,,5.0,,,,,,1.0,5.0,,5.0,,,,,12.0,,2.0,,,,,,1.0,,,,,,3.0,,,10.0,,,,,,,,9.0,37.0,,,,,,23.0,,,46.0,,,,,,,,,1.0,,,,13.0,,,
fr_sequoia-ud-train,2231,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
tr_boun-ud-dev,979,0,198,25.0,,5.0,,,,,,2.0,,,,,,,6.0,,4.0,2.0,,,1.0,16.0,,1.0,,,,,,1.0,,,,,,1.0,,,4.0,,,,,,,,17.0,35.0,,,,,,28.0,,,36.0,,,,,,,,,,,,,8.0,6.0,,
tr_boun-ud-test,979,0,211,16.0,,8.0,,,,,,3.0,,,,,,,3.0,,4.0,2.0,,,1.0,16.0,1.0,2.0,,,,,,3.0,1.0,,,,,3.0,,,,,,,,,,,19.0,37.0,,,,,,35.0,,,43.0,,,,,,,,,,,,,12.0,2.0,,
tr_boun-ud-train,7803,0,1577,172.0,,58.0,,,,,,23.0,,,7.0,1.0,,,47.0,,26.0,25.0,,,3.0,119.0,3.0,21.0,,,,,,4.0,,,,10.0,,4.0,,,32.0,,,,,,,3.0,103.0,328.0,,,2.0,,2.0,222.0,,,273.0,,,,,,,2.0,,1.0,,,,64.0,22.0,,
tr_penn-ud-dev,622,0,19,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,5.0,,,,,,1.0,,,4.0,,,,,,,,,,,,,,,,
tr_penn-ud-test,924,0,31,1.0,,,,,,,,1.0,,,1.0,,,,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,10.0,,,,,,,,,8.0,,,,,,3.0,,,,,,,,,,,,2.0,,,,1.0,,,
tr_penn-ud-train,14850,0,357,3.0,,4.0,,,,,,5.0,1.0,,6.0,,,,34.0,,16.0,,,,,6.0,,8.0,,,,,,4.0,,,1.0,,,,,,58.0,,,,,,,,,96.0,,,,,,49.0,,,49.0,,,,,,,,,3.0,,,,13.0,1.0,,
