Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:cleft,advcl:cmp,advcl:cond,advcl:quote,advcl:relcl,advmod,amod,appos,aux,aux:aspect,aux:caus,aux:cnd,aux:pass,aux:tense,case,cc,ccomp,ccomp:obj,ccomp:obl,ccomp:quote,ccomp:reported,ccomp:speech,compound,compound:lvc,compound:redup,compound:svc,conj,cop,cop:own,csubj,csubj:cleft,csubj:cop,csubj:pass,dep,dep:infl,discourse,fixed,flat,flat:name,mark,nmod,nmod:poss,nsubj,obj,obl,orphan,parataxis,parataxis:discourse,parataxis:insert,parataxis:parenth,reparandum,root,xcomp,xcomp:obj
fi_ood-ud-test,2122,0,106,,,1.0,10.0,,,,,,,,,31.0,,,,,,,,14.0,,,,,,,,,,5.0,14.0,1.0,,,,,,,,,,,,,,,,,,6.0,,,,,24.0,,
pt_porttinari-ud-train,5893,0,258,,5.0,26.0,1.0,,,,,,,,,34.0,,,,8.0,,,,30.0,,,,,5.0,,,,,15.0,50.0,,2.0,,,,,,,,,,,,,,,,,4.0,,,,,78.0,,
pt_porttinari-ud-test,1683,0,62,,,4.0,1.0,,,,,,,,,5.0,,,,6.0,,,,7.0,,,,,2.0,,,,,1.0,15.0,,,,,,,,,,,,,,,,,,,2.0,,,,,19.0,,
pt_porttinari-ud-dev,842,0,30,,,4.0,,,,,,,,,,6.0,,,,2.0,,,,4.0,,,,,1.0,,,,,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,6.0,,
uk_iu-ud-dev,673,0,13,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk_iu-ud-train,5521,0,88,,,,,,,,,,,,,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk_iu-ud-test,898,0,7,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bn_bru-ud-test,56,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
es_ancora-ud-train,14287,0,693,,74.0,,56.0,,,,,,,,,230.0,,,,,,,,87.0,,,,,,,,,,39.0,103.0,,6.0,,,,,,,,,,,,,,,,,2.0,,,,,96.0,,
es_ancora-ud-test,1721,0,79,,7.0,,8.0,,,,,,,,,23.0,,,,,,,,11.0,,,,,,,,,,7.0,12.0,,2.0,,,,,,,,,,,,,,,,,,,,,,9.0,,
es_ancora-ud-dev,1654,0,71,,8.0,,4.0,,,,,,,,,29.0,,,,,,,,8.0,,,,,,,,,,2.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,
hr_set-ud-dev,960,0,98,,,,,,,,,,,,,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
hr_set-ud-train,6914,0,584,,,,,,,,,,,,,582.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
hr_set-ud-test,1136,0,91,,,,,,,,,,,,,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orv_rnc-ud-dev,943,0,36,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
orv_rnc-ud-train,1868,0,107,,,,,,,,,,,,,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,37.0,,,,,,2.0,,,,,,,,
orv_rnc-ud-test,717,0,93,,2.0,,6.0,,,,,,,,,59.0,,,,,,,,1.0,,,,,,,,,,3.0,1.0,,,,,,,,,,,,21.0,,,,,,,,,,,,,,
tr_atis-ud-dev,572,0,1,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_atis-ud-train,4274,0,2,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pt_pud-ud-test,1000,0,59,,1.0,1.0,,,,,,,,,,25.0,,,,1.0,,,,6.0,,,,,,,,,,4.0,13.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,6.0,,
tr_kenet-ud-dev,1646,0,54,,,,45.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,5.0,,,,,,,,,
tr_kenet-ud-test,1643,0,60,,,,50.0,,,,,,,,,1.0,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,1.0,,,,,1.0,,
tr_kenet-ud-train,15398,0,368,,1.0,,288.0,,,,,,,1.0,,9.0,,,,,,3.0,,5.0,,,,,,13.0,,,,7.0,,,1.0,,,,,,5.0,1.0,,,,1.0,,2.0,1.0,11.0,,11.0,,,,,8.0,,
sms_giellagas-ud-test,230,0,6,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
sms_giellagas-ud-train,20,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
sk_snk-ud-dev,1060,0,45,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,
sk_snk-ud-test,1061,0,10,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,
sk_snk-ud-train,8483,0,405,,,,,,,,,,13.0,,,158.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,11.0,,,221.0,,,,,,,,,,,,,,
lt_hse-ud-train,153,0,24,,1.0,2.0,2.0,,,,,,,,,5.0,,,,,,,,1.0,,,,,,,,,,4.0,2.0,,,,,,,,,,,,,,,,,,,3.0,,,,,4.0,,
lt_hse-ud-test,55,0,7,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
lt_hse-ud-dev,55,0,8,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
ess_sli-ud-test,309,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,
be_hse-ud-train,22853,0,578,,,,,,,,,,8.0,,,152.0,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,10.0,,2.0,402.0,,,,,,1.0,,,,,,,,
be_hse-ud-dev,1301,0,26,,,,,,,,,,1.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,
be_hse-ud-test,1077,0,15,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,
et_ewt-ud-train,5444,0,680,1.0,9.0,16.0,63.0,,,,,,,,,245.0,,,,,,,,14.0,,,,,,,,,,60.0,117.0,,,,4.0,,,,,,,,,,,,,,1.0,9.0,,,,,141.0,,
et_ewt-ud-test,913,0,138,1.0,3.0,7.0,9.0,,,,,,,,,49.0,,,,,,,,1.0,,,,,,,,,,8.0,27.0,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,29.0,,
et_ewt-ud-dev,833,0,143,,3.0,,9.0,,,,,,,,,52.0,,,,,,,,4.0,,,,,,,,,,15.0,19.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,39.0,,
wo_wtb-ud-dev,449,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
wo_wtb-ud-train,1188,0,7,,,1.0,,,,,,,,,,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
say_autogramm-ud-test,1864,0,192,,,,,,,,,,,,,184.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,,
cs_pud-ud-test,1000,0,103,,,,,,,,,,,,,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orv_ruthenian-ud-test,390,0,63,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,33.0,,,1.0,,,1.0,,,,,,,,
orv_ruthenian-ud-train,2789,0,440,,,,,,,,,,,,,224.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,214.0,,,,,,,,,,,,,,
orv_ruthenian-ud-dev,344,0,68,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,,1.0,,,,,,,,
ml_ufal-ud-test,218,0,6,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
pt_petrogold-ud-train,7170,0,163,,,28.0,6.0,,,,,,,,,23.0,,,,22.0,,,,5.0,,,,,,,,,,2.0,40.0,,,,,,,,,,,,,,,,,,,2.0,,,,,35.0,,
pt_petrogold-ud-test,1039,0,7,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
pt_petrogold-ud-dev,737,0,3,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
pt_gsd-ud-dev,1204,0,4,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
pt_gsd-ud-test,1200,0,11,,,3.0,,,,,,,,,,3.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
pt_gsd-ud-train,9616,0,46,,1.0,5.0,2.0,,,,,,,,,12.0,,,,2.0,,,,8.0,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,3.0,,,,,3.0,,
lt_alksnis-ud-test,684,0,86,,1.0,,21.0,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,13.0,12.0,,11.0,,,,,,,,,,,,,,,,,1.0,,,,,17.0,,
lt_alksnis-ud-dev,617,0,71,,3.0,2.0,8.0,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,8.0,22.0,,9.0,,,,,,,,,,,,,,,,,2.0,,,,,11.0,,
lt_alksnis-ud-train,2341,0,219,,5.0,15.0,32.0,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,28.0,37.0,,13.0,,,1.0,,,,,,,,,,,,,,10.0,,,,,54.0,,
olo_kkpp-ud-test,106,0,1,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olo_kkpp-ud-train,19,0,1,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it_old-ud-train,1748,0,103,,,2.0,11.0,,2.0,,,,,,,40.0,,,,6.0,,,,,,,,3.0,,,,,,4.0,20.0,,,,,,,,,,,,,,,,,,,4.0,,,,,11.0,,
it_old-ud-dev,316,0,26,,,1.0,,,,,,,,,,10.0,,,,,,,,,,,,3.0,,,,,,1.0,7.0,,,,,,,,,,,,,,,,,,,1.0,,,,,3.0,,
it_old-ud-test,338,0,27,,,1.0,,,1.0,,,,,,,8.0,,,,4.0,,,,,,,,1.0,,,,,,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,
hy_bsut-ud-train,1226,0,69,,3.0,6.0,2.0,,,,,,,,,1.0,,,,,,,,6.0,,,,,,,,1.0,,18.0,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,27.0,2.0,
hy_bsut-ud-test,595,0,35,,,3.0,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1.0,
hy_bsut-ud-dev,479,0,29,,1.0,4.0,3.0,,,,,1.0,,,,1.0,,,,,,,,2.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,10.0,2.0,
vep_vwt-ud-test,103,0,8,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,
es_pud-ud-test,1000,0,54,,,1.0,,,,,,,,,1.0,19.0,,,,,,,,9.0,,,,,,,,,,5.0,7.0,,,,,2.0,,,,,,,,,,,,,,3.0,,,,,6.0,1.0,
hsb_ufal-ud-test,623,0,9,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hsb_ufal-ud-train,23,0,1,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fi_tdt-ud-train,12217,0,1142,6.0,,51.0,106.0,,,,,,,,2.0,387.0,,,,66.0,,,,98.0,,,,,,,,,,80.0,140.0,8.0,1.0,,8.0,,,,,,,,,,,,,,,8.0,,,,,180.0,1.0,
fi_tdt-ud-test,1555,0,152,1.0,,5.0,16.0,,,,,,,,,44.0,,,,17.0,,,,12.0,,,,,,,,,,8.0,20.0,4.0,,,,,,,,,,,,,,,,,,,,,,,25.0,,
fi_tdt-ud-dev,1364,0,145,1.0,,8.0,16.0,,,,,,,,,42.0,,,,1.0,,,,15.0,,,,,,,,,,12.0,21.0,,,,,,,,,,,,,,,,,,,3.0,,,,,26.0,,
it_valico-ud-test,398,0,11,,,,1.0,,,,,,,,,4.0,,,,,,,,1.0,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,
sr_set-ud-test,520,0,54,,,,,,,,,,,,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sr_set-ud-train,3328,0,306,,1.0,,,,,,,,,,,305.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sr_set-ud-dev,536,0,47,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gv_cadhan-ud-test,1164,0,17,,,,3.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,9.0,,
gv_cadhan-ud-train,1172,0,21,,3.0,2.0,3.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,
myv_jr-ud-test,921,0,15,,,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,8.0,,,,,,,,,,,,1.0,1.0,
myv_jr-ud-train,1217,0,11,,,,7.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
tr_framenet-ud-test,205,0,2,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_framenet-ud-train,2288,0,33,,,,27.0,,,,,,,,,,,,,,,,,1.0,,,,,,4.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
tr_framenet-ud-dev,205,0,4,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fr_pud-ud-test,1000,0,75,,1.0,9.0,,,,,,,,,,,,,,2.0,10.0,,,22.0,,,,,,,,,,6.0,4.0,,2.0,,,,,,,,,,,,,,,,,4.0,,,,,15.0,,
it_pud-ud-test,1000,0,54,,,1.0,,,,,,,,,,39.0,,,,2.0,,,,1.0,,,,,,,,,,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
fr_fqb-ud-test,2289,0,18,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,
bm_crb-ud-test,1026,0,9,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ky_ktmu-ud-train,80,0,1,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ky_ktmu-ud-test,701,0,27,,1.0,,4.0,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,
pt_cintil-ud-test,3840,0,163,,,,2.0,,,,,,,28.0,,,,,,,,,,24.0,,,,,,,,,,7.0,35.0,,,,,,11.0,,,,,,,,,,,1.0,,2.0,,,,,48.0,5.0,
pt_cintil-ud-dev,3840,0,105,,,,1.0,,,,,,,4.0,,,,,,,,,,20.0,,,,,,,,,,1.0,20.0,,,,,1.0,5.0,,,,,,,,,,,,,1.0,,,,,52.0,,
pt_cintil-ud-train,30720,0,390,,,,5.0,,,,,,,19.0,,,,,,,,,,21.0,,,,,,,,,,12.0,117.0,,2.0,,,,24.0,,,,,,,,,,5.0,,,6.0,,,,,176.0,3.0,
tt_nmctt-ud-test,148,0,6,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_gb-ud-test,2880,0,197,,1.0,,100.0,,,,,,,,,31.0,,,,,,,,1.0,,,,,,,,3.0,,4.0,30.0,,,,,,,,,3.0,,,,,,,,,,,,,,,24.0,,
br_keb-ud-test,884,0,30,,1.0,,2.0,,,,,,,,,13.0,,,,1.0,,,,1.0,,,,,,,,,,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,6.0,,
fr_gsd-ud-test,416,0,10,,1.0,1.0,,,,,,,,,,,,,,1.0,2.0,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
fr_gsd-ud-train,14450,0,383,,1.0,38.0,4.0,2.0,,,,,,,,,,1.0,,14.0,102.0,,,36.0,,,,,,,,,,33.0,41.0,,2.0,,,,,,,,,,,,,,,,,5.0,,2.0,,,102.0,,
fr_gsd-ud-dev,1476,0,38,,,6.0,1.0,1.0,,,,,,,,,,,,1.0,11.0,,,2.0,,,,,,,,,,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,7.0,,
it_isdt-ud-test,482,0,13,,,4.0,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
it_isdt-ud-train,13121,0,468,,,21.0,10.0,,,,,,,,,326.0,,,,6.0,,,,5.0,,,,,,,,,,17.0,41.0,,,,,,,,,,,,,,,,,,,1.0,,,,,41.0,,
it_isdt-ud-dev,564,0,15,,1.0,,1.0,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
ru_taiga-ud-train,16045,0,480,,,,,,,,,,,,,215.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,254.0,,,,,,3.0,,,,,,,,
ru_taiga-ud-dev,946,0,23,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,10.0,,,,,,,,,,,,,,
ru_taiga-ud-test,881,0,37,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,
tpn_tudet-ud-test,581,0,10,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,4.0,,2.0,,,,,,,,,,,,,,,,1.0,,
fi_pud-ud-test,1000,0,66,,,1.0,3.0,,,,,,,,,27.0,,,,1.0,,,,17.0,,,,,,,,,,4.0,6.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,5.0,,
fr_rhapsodie-ud-train,1288,0,25,,,4.0,1.0,,,,,,,,,,,,,,5.0,,,2.0,,,,,,,,,,2.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,9.0,,
fr_rhapsodie-ud-dev,1081,0,36,,,3.0,,,,,,,,,,,,,,,2.0,,,5.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,24.0,,
fr_rhapsodie-ud-test,840,0,28,,,1.0,,,,,,,,,,,,,,1.0,7.0,,,3.0,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,12.0,,
fr_parisstories-ud-dev,692,0,10,,,,,1.0,,,,,,,,,,,,,4.0,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
fr_parisstories-ud-train,1387,0,32,,,4.0,,1.0,,,,,,,,,,,,,4.0,,,4.0,,,,,,,,,,4.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,7.0,,
fr_parisstories-ud-test,697,0,8,,,1.0,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,
ga_idt-ud-train,4005,0,420,,7.0,51.0,77.0,,,,,,,,,,,,,,,,,79.0,,,,,,,,,,34.0,27.0,,,6.0,34.0,,,,,,,,,,,,,,,17.0,,,,,85.0,3.0,
ga_idt-ud-test,454,0,64,,2.0,16.0,7.0,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,4.0,2.0,,,1.0,4.0,,,,,,,,,,,,,,,7.0,,,,,8.0,2.0,
ga_idt-ud-dev,451,0,55,,1.0,7.0,14.0,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,6.0,1.0,,,2.0,4.0,,,,,,,,,,,,,,,1.0,,,,,8.0,,
ro_art-ud-test,50,0,6,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,
cs_cltt-ud-dev,316,0,11,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_cltt-ud-train,467,0,3,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_cltt-ud-test,338,0,11,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hy_armtdp-ud-train,1974,0,197,,3.0,12.0,9.0,,,,,,,,,10.0,,,,,,,,20.0,,,,,,,,,,55.0,,,2.0,,,,,,,,,,,,,,,,,7.0,,,,,73.0,6.0,
hy_armtdp-ud-dev,249,0,20,,1.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,8.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,5.0,1.0,
hy_armtdp-ud-test,277,0,38,,,,2.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,21.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,7.0,1.0,
mk_mtb-ud-test,155,0,2,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ota_boun-ud-train,114,0,5,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ota_boun-ud-test,400,0,10,,,,4.0,,,,,,,,,1.0,,,,,,,,,,,,,,,3.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
et_edt-ud-dev,3128,0,229,1.0,4.0,9.0,18.0,,,,,,,,,95.0,,,,,,,,13.0,,,,,,,,,,11.0,30.0,,2.0,,1.0,,,,,,,,,,,,,,,2.0,,,,,43.0,,
et_edt-ud-train,24615,0,1695,7.0,45.0,69.0,152.0,,,,,,,,,714.0,,,,,,,,106.0,,,,,,,,,,84.0,231.0,,4.0,,11.0,,,,,,,,,,,,,,,11.0,,,,,261.0,,
et_edt-ud-test,3214,0,290,,8.0,12.0,27.0,,,,,,,,1.0,120.0,,,,,,,,13.0,,,,,,,,,,14.0,41.0,,2.0,,1.0,,,,,,,,,,,,,,,6.0,,,,,45.0,,
ru_syntagrus-ud-train,69630,0,1087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1085.0,,,,,,,,,,,,,,
ru_syntagrus-ud-dev,8906,0,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.0,,,,,,,,,,,,,,
ru_syntagrus-ud-test,8800,0,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0,,,,,,,,,,,,,,
ht_autogramm-ud-test,144,0,10,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sjo_xdt-ud-test,810,0,74,,,,68.0,,,,,,,,,3.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
