Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:cmp,amod,appos,ccomp,ccomp:reported,compound,compound:nn,conj,conj:expl,csubj,dep,discourse,dislocated,flat,flat:foreign,flat:gov,flat:name,flat:range,flat:title,iobj,list,nmod,nmod:gsubj,nmod:npmod,nmod:poss,nsubj,nsubj:cop,nsubj:outer,nsubj:pass,obj,obl,obl:agent,obl:arg,obl:cau,obl:cmp,obl:lmod,orphan,parataxis,reparandum,root,vocative,xcomp,xcomp:pred
orv_ruthenian-ud-test,390,0,16,,,,,,1.0,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,3.0,,,,,,,,,1.0,,,
orv_ruthenian-ud-train,2789,0,339,,,,,,19.0,,,,,3.0,,,,,,,,,274.0,,,8.0,,9.0,,,,9.0,,,,6.0,7.0,,,,,,2.0,,1.0,1.0,,,
orv_ruthenian-ud-dev,344,0,22,,,,,,,,,,,,,,,,,,,,14.0,,,,,1.0,,,,1.0,,,,,2.0,,,,,,,,,4.0,,,
lzh_tuecl-ud-test,100,0,2,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
vi_tuecl-ud-test,100,0,1,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hy_bsut-ud-train,1226,0,266,,,,,,2.0,,,,,16.0,,,,,,,,,153.0,1.0,,1.0,,3.0,,6.0,31.0,33.0,,,1.0,10.0,5.0,,,,,,2.0,,,2.0,,,
hy_bsut-ud-test,595,0,70,,,,,,,,,,,1.0,,,,,,,,,49.0,,,,,5.0,,1.0,6.0,7.0,,,,,,,,,,,,1.0,,,,,
hy_bsut-ud-dev,479,0,94,,,,,,3.0,,,,,1.0,,,,,,1.0,,,55.0,1.0,,,,1.0,,1.0,7.0,18.0,,,1.0,2.0,2.0,,,,,,,,,,,1.0,
mdf_jr-ud-test,454,0,27,,,,,,,,,,1.0,,,,,,,,,,8.0,,,,,3.0,,,5.0,6.0,1.0,,,2.0,,,,1.0,,,,,,,,,
mdf_jr-ud-train,20,0,2,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
myv_jr-ud-test,921,0,126,,,,,,1.0,,,,5.0,3.0,,,,,,,,,2.0,,,,,16.0,1.0,,4.0,83.0,1.0,,,3.0,5.0,,,,1.0,,,,,,1.0,,
myv_jr-ud-train,1217,0,33,,,,,,2.0,,,,5.0,,,,,,,1.0,,,4.0,,,,,4.0,,,2.0,9.0,,,,2.0,2.0,,,,,,,,,2.0,,,
ru_taiga-ud-train,16045,0,709,,,1.0,,,56.0,,,1.0,,44.0,,,,,,,,,232.0,,,10.0,,93.0,,,,167.0,,,5.0,23.0,25.0,2.0,,,,,2.0,13.0,,34.0,,1.0,
ru_taiga-ud-dev,946,0,11,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,2.0,,,,,,,1.0,,2.0,,,
ru_taiga-ud-test,881,0,111,,1.0,,,,10.0,,,1.0,,10.0,,,,,,,,,29.0,,,2.0,,14.0,,,,23.0,,,,8.0,4.0,,,,,,1.0,2.0,,6.0,,,
hy_armtdp-ud-train,1974,0,288,,,,,,1.0,,,1.0,,6.0,,,,,,212.0,,,,,,1.0,,10.0,,2.0,17.0,27.0,,,,3.0,8.0,,,,,,,,,,,,
hy_armtdp-ud-dev,249,0,19,,,,,,,,,,,2.0,,,,,,7.0,,,,,,,,1.0,,,4.0,3.0,,,,,2.0,,,,,,,,,,,,
hy_armtdp-ud-test,277,0,66,,,3.0,,,,,,,,6.0,,,,,1.0,31.0,,,,,,,,4.0,,,9.0,2.0,,,,5.0,5.0,,,,,,,,,,,,
ru_poetry-ud-test,728,0,35,,,,,,2.0,,,,,,,,,,,,,,13.0,,,1.0,,2.0,,,,7.0,,,,1.0,1.0,,,,,,,1.0,,4.0,2.0,1.0,
ru_poetry-ud-dev,789,0,16,,,,,,,,,,,1.0,,,,,,,,,9.0,,,,,1.0,,,,4.0,,,,1.0,,,,,,,,,,,,,
ru_poetry-ud-train,3569,0,96,,,,,,4.0,,,,,11.0,,,,,,,,,33.0,,,3.0,,11.0,,,,15.0,,,,4.0,,1.0,,,,,,,,4.0,8.0,2.0,
koi_uh-ud-train,34,0,2,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
koi_uh-ud-test,94,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
cs_fictree-ud-dev,1309,0,48,,,,,,,,,,,2.0,,,1.0,,,18.0,,,,,,,,1.0,,,,20.0,,,,1.0,3.0,,2.0,,,,,,,,,,
cs_fictree-ud-train,10160,0,413,,,1.0,,,2.0,,,,,17.0,,,6.0,,,172.0,,,,,,,,13.0,,,,132.0,,,2.0,11.0,11.0,,22.0,,,,4.0,,,5.0,15.0,,
cs_fictree-ud-test,1291,0,44,,,,,,,,,,,5.0,,,,,,10.0,,,,,,,,2.0,,,,19.0,,,,1.0,1.0,,4.0,,,,,,,1.0,1.0,,
la_udante-ud-train,926,0,142,,3.0,,,1.0,1.0,,1.0,,,5.0,,,,,,7.0,,1.0,8.0,,,,,29.0,,,,58.0,,,1.0,6.0,11.0,2.0,5.0,,,,1.0,,,2.0,,,
la_udante-ud-test,419,0,25,,,,1.0,,,,,,,4.0,1.0,,,,,1.0,,,13.0,,,,,2.0,,,,2.0,,,,,1.0,,,,,,,,,,,,
la_udante-ud-dev,376,0,32,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,16.0,,,,5.0,,,,,7.0,1.0,,,,,,,,,,,
hyw_armtdp-ud-test,680,0,111,,,,,1.0,1.0,,,,,1.0,,,,1.0,,,,,65.0,1.0,,1.0,,5.0,,1.0,12.0,12.0,,,,4.0,6.0,,,,,,,,,,,,
hyw_armtdp-ud-dev,694,0,68,,,,,,1.0,,,,,1.0,,,,,,,,,17.0,,,,,,,,7.0,30.0,,,,3.0,2.0,,,,,,,,,2.0,5.0,,
hyw_armtdp-ud-train,5282,0,697,,,,,,9.0,,,,,31.0,,,,,,3.0,,,479.0,1.0,,,,24.0,,4.0,54.0,57.0,,,,9.0,13.0,1.0,,,,,1.0,5.0,,3.0,,3.0,
ka_glc-ud-test,151,0,8,,,,,,,,,,,,,,,,,,,,6.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
lzh_kyoto-ud-dev,6102,0,658,2.0,,,,,,,,1.0,,102.0,,,,,1.0,135.0,,,,,,2.0,,42.0,,,,271.0,,3.0,,81.0,12.0,,,,,,,,,6.0,,,
lzh_kyoto-ud-train,74609,0,6665,12.0,,5.0,,4.0,,2.0,,75.0,,612.0,,1.0,,,7.0,574.0,,,,,,24.0,32.0,481.0,,,,2976.0,,39.0,3.0,1249.0,124.0,,,,,10.0,,1.0,,429.0,4.0,1.0,
lzh_kyoto-ud-test,5528,0,377,3.0,,,,,,,,7.0,,23.0,,,,,,28.0,,,,,,,3.0,65.0,,,,141.0,,1.0,,82.0,12.0,,,,,,,1.0,,11.0,,,
la_ittb-ud-dev,2101,0,4,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,
la_ittb-ud-test,2101,0,3,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,
la_ittb-ud-train,22775,0,108,,,,,,,,,,,4.0,,,,,,1.0,,,,,,,,17.0,,,,74.0,,,1.0,,7.0,2.0,,,,,,,,2.0,,,
cs_cac-ud-dev,603,0,50,,,,,1.0,,,,,,6.0,,,1.0,,,21.0,,,,,,,,6.0,,,,10.0,,,,2.0,1.0,,2.0,,,,,,,,,,
cs_cac-ud-train,23478,0,3292,,,2.0,,436.0,21.0,,,,,603.0,,1.0,86.0,,,1079.0,3.0,,,,,1.0,,258.0,,,,564.0,,,8.0,32.0,52.0,,66.0,,,,7.0,,,70.0,,3.0,
cs_cac-ud-test,628,0,25,,,,,3.0,,,,,,,,,1.0,,,8.0,,,,,,,,3.0,,,,8.0,,,,1.0,,,1.0,,,,,,,,,,
cs_poetry-ud-test,297,0,18,,1.0,,,1.0,1.0,,,,,3.0,,,,,,6.0,,,,,,,,1.0,,,,2.0,,,,2.0,1.0,,,,,,,,,,,,
